<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Asia.Seir.Aras,20210921,22800.00,23124.00,21060.00,22554.00,98100889608,4349667,2330,D,22023.00,22850.00
Asia.Seir.Aras,20210920,21154.00,23300.00,21154.00,22023.00,158389557035,7191952,2285,D,22267.00,22930.00
Asia.Seir.Aras,20210919,23000.00,23000.00,22221.00,22267.00,28151421206,1264246,452,D,23390.00,22221.00
Asia.Seir.Aras,20210918,23620.00,24880.00,23334.00,23390.00,51986142496,2222626,739,D,24562.00,23334.00
Asia.Seir.Aras,20210915,24877.00,25800.00,23828.00,24562.00,52054902066,2119296,1662,D,24878.00,24160.00
Asia.Seir.Aras,20210914,23150.00,25005.00,23150.00,24878.00,104700712608,4208586,1660,D,23815.00,25005.00
Asia.Seir.Aras,20210913,23752.00,25000.00,23751.00,23815.00,88123805195,3700340,1220,D,25001.00,23751.00
Asia.Seir.Aras,20210912,26190.00,26190.00,24884.00,25001.00,44642902381,1785650,751,D,26193.00,24884.00
Asia.Seir.Aras,20210911,28000.00,28000.00,25851.00,26193.00,192236686045,7339109,2994,D,27211.00,26200.00
Asia.Seir.Aras,20210908,27000.00,27318.00,26475.00,27211.00,138129627199,5076181,2225,D,26018.00,27318.00
Asia.Seir.Aras,20210907,24230.00,26475.00,24100.00,26018.00,180449895531,6935461,3379,D,25215.00,26475.00
Asia.Seir.Aras,20210906,25894.00,25894.00,24185.00,25215.00,148753605737,5899391,3304,D,24661.00,24230.00
Asia.Seir.Aras,20210905,24700.00,24774.00,24000.00,24661.00,117672420981,4771660,1553,D,23595.00,24774.00
Asia.Seir.Aras,20210904,23444.00,23848.00,22900.00,23595.00,79697685109,3377729,1475,D,22713.00,23848.00
Asia.Seir.Aras,20210901,23100.00,23200.00,22011.00,22713.00,52306735708,2302972,1216,D,22336.00,23080.00
Asia.Seir.Aras,20210831,22270.00,23251.00,21679.00,22336.00,96519167482,4321203,1925,D,22820.00,22280.00
Asia.Seir.Aras,20210830,22682.00,23500.00,22666.00,22820.00,62209381924,2726116,1157,D,23858.00,22666.00
Asia.Seir.Aras,20210829,24800.00,24800.00,23133.00,23858.00,133048855914,5576588,3097,D,24350.00,23133.00
Asia.Seir.Aras,20210828,23900.00,24690.00,23900.00,24350.00,109290895845,4488339,2471,D,23680.00,24560.00
Asia.Seir.Aras,20210825,24000.00,24500.00,22730.00,23680.00,137041525172,5787325,2909,D,23841.00,23910.00
Asia.Seir.Aras,20210824,23699.00,23888.00,23120.00,23841.00,143883853094,6035192,2476,D,22751.00,23888.00
Asia.Seir.Aras,20210823,22599.00,23550.00,21970.00,22751.00,113028607288,4968090,2551,D,23068.00,23200.00
Asia.Seir.Aras,20210822,23698.00,23700.00,22480.00,23068.00,113466434362,4918874,2984,D,23159.00,22599.00
Asia.Seir.Aras,20210815,24257.00,24257.00,22110.00,23159.00,103722985971,4478700,2092,D,23102.00,23000.00
