<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Binalood.AGRI&Husb,20210921,2890.00,2924.00,2778.00,2795.00,27413423983,9807348,512,D,2924.00,2778.00
Binalood.AGRI&Husb,20210920,2861.00,3000.00,2861.00,2924.00,25130467733,8595431,696,D,2933.00,2904.00
Binalood.AGRI&Husb,20210919,2921.00,3030.00,2908.00,2933.00,30362292619,10350745,450,D,3061.00,2908.00
Binalood.AGRI&Husb,20210918,3190.00,3190.00,3046.00,3061.00,28116496139,9186267,432,D,3206.00,3046.00
Binalood.AGRI&Husb,20210915,3190.00,3300.00,3140.00,3206.00,26477694513,8257992,930,D,3255.00,3179.00
Binalood.AGRI&Husb,20210914,3242.00,3340.00,3180.00,3255.00,34296229975,10537229,904,D,3243.00,3288.00
Binalood.AGRI&Husb,20210913,3230.00,3360.00,3222.00,3243.00,47701676184,14710933,737,D,3391.00,3222.00
Binalood.AGRI&Husb,20210912,3520.00,3560.00,3373.00,3391.00,24919081330,7347613,396,D,3550.00,3373.00
Binalood.AGRI&Husb,20210911,3660.00,3700.00,3431.00,3550.00,38883115487,10953704,880,D,3592.00,3500.00
Binalood.AGRI&Husb,20210908,3578.00,3700.00,3401.00,3592.00,42996145358,11968402,1484,D,3541.00,3660.00
Binalood.AGRI&Husb,20210907,3359.00,3648.00,3359.00,3541.00,62947077837,17775238,1453,D,3509.00,3492.00
Binalood.AGRI&Husb,20210906,3500.00,3610.00,3371.00,3509.00,58501317179,16671834,1474,D,3456.00,3450.00
Binalood.AGRI&Husb,20210905,3309.00,3474.00,3309.00,3456.00,70769567626,20479101,1051,D,3309.00,3474.00
Binalood.AGRI&Husb,20210904,3190.00,3333.00,3190.00,3309.00,62781508353,18971720,1014,D,3175.00,3333.00
Binalood.AGRI&Husb,20210901,3130.00,3248.00,3110.00,3175.00,26968608071,8494040,641,D,3120.00,3172.00
