<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Hekmat.Iranian,20190612,1000.00,1000.00,1000.00,1000.00,37784797000,37784797,733,D,1000.00,1000.00
Hekmat.Iranian,20190611,1000.00,1000.00,1000.00,1000.00,4855423000,4855423,469,D,1000.00,1000.00
Hekmat.Iranian,20190610,1000.00,1000.00,1000.00,1000.00,4763587000,4763587,484,D,1000.00,1000.00
Hekmat.Iranian,20190609,1000.00,1000.00,1000.00,1000.00,5079019000,5079019,509,D,1000.00,1000.00
Hekmat.Iranian,20190608,1000.00,1000.00,1000.00,1000.00,7198285000,7198285,688,D,1000.00,1000.00
Hekmat.Iranian,20190603,1000.00,1000.00,1000.00,1000.00,6336988000,6336988,604,D,1000.00,1000.00
Hekmat.Iranian,20190602,1000.00,1000.00,1000.00,1000.00,7530510000,7530510,743,D,1000.00,1000.00
Hekmat.Iranian,20190601,1000.00,1000.00,1000.00,1000.00,6277685000,6277685,625,D,1000.00,1000.00
Hekmat.Iranian,20190529,1000.00,1000.00,1000.00,1000.00,11959559000,11959559,1134,D,1000.00,1000.00
Hekmat.Iranian,20190528,1000.00,1000.00,1000.00,1000.00,6831307000,6831307,677,D,1000.00,1000.00
Hekmat.Iranian,20190526,1000.00,1000.00,1000.00,1000.00,6482148000,6482148,622,D,1000.00,1000.00
Hekmat.Iranian,20190525,1000.00,1000.00,1000.00,1000.00,5919771000,5919771,586,D,1000.00,1000.00
Hekmat.Iranian,20190522,1000.00,1000.00,1000.00,1000.00,5760588000,5760588,562,D,1000.00,1000.00
Hekmat.Iranian,20190519,1000.00,1000.00,1000.00,1000.00,28557643000,28557643,1468,D,1000.00,1000.00
Hekmat.Iranian,20190518,1000.00,1000.00,1000.00,1000.00,16417916000,16417916,1750,D,1000.00,1000.00
Hekmat.Iranian,20190515,1000.00,1000.00,1000.00,1000.00,30987458000,30987458,3093,D,1000.00,1000.00
Hekmat.Iranian,20190514,1000.00,1000.00,1000.00,1000.00,11364119000,11364119,1165,D,1000.00,1000.00
Hekmat.Iranian,20190513,1000.00,1000.00,1000.00,1000.00,46218088000,46218088,4662,D,1000.00,1000.00
Hekmat.Iranian,20190512,1000.00,1000.00,1000.00,1000.00,11440818000,11440818,1134,D,1000.00,1000.00
Hekmat.Iranian,20190511,1000.00,1000.00,1000.00,1000.00,10159611000,10159611,993,D,1000.00,1000.00
Hekmat.Iranian,20190508,1000.00,1000.00,1000.00,1000.00,13415554000,13415554,1294,D,1000.00,1000.00
Hekmat.Iranian,20190507,1000.00,1000.00,1000.00,1000.00,61684744000,61684744,6017,D,1000.00,1000.00
Hekmat.Iranian,20190506,1000.00,1000.00,1000.00,1000.00,14739907000,14739907,1264,D,1000.00,1000.00
Hekmat.Iranian,20190505,1000.00,1000.00,1000.00,1000.00,14552050000,14552050,1466,D,1000.00,1000.00
Hekmat.Iranian,20190504,1000.00,1000.00,1000.00,1000.00,16589403000,16589403,1634,D,1000.00,1000.00
Hekmat.Iranian,20190501,1000.00,1000.00,1000.00,1000.00,19362384000,19362384,1950,D,1000.00,1000.00
Hekmat.Iranian,20190430,1000.00,1000.00,1000.00,1000.00,46322258000,46322258,4122,D,1000.00,1000.00
Hekmat.Iranian,20190429,1000.00,1000.00,1000.00,1000.00,157800440000,157800440,2920,D,1000.00,1000.00
Hekmat.Iranian,20190428,1000.00,1000.00,1000.00,1000.00,18613451000,18613451,1870,D,1000.00,1000.00
Hekmat.Iranian,20190427,1000.00,1000.00,1000.00,1000.00,15925036000,15925036,1615,D,1000.00,1000.00
Hekmat.Iranian,20190424,1000.00,1000.00,1000.00,1000.00,42351304000,42351304,3828,D,1000.00,1000.00
Hekmat.Iranian,20190423,1000.00,1000.00,1000.00,1000.00,20181879000,20181879,1948,D,1000.00,1000.00
Hekmat.Iranian,20190422,1000.00,1000.00,1000.00,1000.00,23439660000,23439660,2377,D,1000.00,1000.00
Hekmat.Iranian,20190420,1000.00,1000.00,1000.00,1000.00,21910960000,21910960,2151,D,1000.00,1000.00
Hekmat.Iranian,20190417,1000.00,1000.00,1000.00,1000.00,147486382000,147486382,14193,D,788.00,1000.00
Hekmat.Iranian,20180715,788.00,788.00,788.00,788.00,33228384,42168,10,D,788.00,788.00
