<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Alborz.Bulk.Co.,20210921,12950.00,12999.00,12451.00,12570.00,15043416851,1196805,388,D,13106.00,12451.00
Alborz.Bulk.Co.,20210920,13032.00,13600.00,12764.00,13106.00,31584889533,2409927,821,D,13225.00,12940.00
Alborz.Bulk.Co.,20210919,13055.00,13900.00,12934.00,13225.00,33861249858,2560489,894,D,13614.00,13214.00
Alborz.Bulk.Co.,20210918,13600.00,14200.00,13584.00,13614.00,39266939437,2884226,785,D,14298.00,13584.00
Alborz.Bulk.Co.,20210915,14600.00,14855.00,14228.00,14298.00,89290728205,6245165,1507,D,14976.00,14228.00
Alborz.Bulk.Co.,20210914,15420.00,15420.00,14650.00,14976.00,92753767714,6193622,2408,D,15410.00,14970.00
Alborz.Bulk.Co.,20210913,15410.00,15410.00,15410.00,15410.00,24406142260,1583786,133,D,13955.00,15410.00
Alborz.Bulk.Co.,20210905,19137.00,19600.00,18296.00,19207.00,190438692222,9915318,2606,D,18947.00,19200.00
Alborz.Bulk.Co.,20210904,19100.00,19694.00,18713.00,18947.00,245867469159,12976286,4035,D,19697.00,19112.00
Alborz.Bulk.Co.,20210901,20830.00,20850.00,19213.00,19697.00,210395111335,10681832,3202,D,20224.00,19213.00
Alborz.Bulk.Co.,20210831,20200.00,20357.00,19410.00,20224.00,180709539952,8935259,2097,D,19388.00,20357.00
Alborz.Bulk.Co.,20210830,18419.00,19630.00,18110.00,19388.00,245456637656,12660254,3015,D,18696.00,19629.00
Alborz.Bulk.Co.,20210829,18847.00,18847.00,17960.00,18696.00,154070617766,8241002,1459,D,17950.00,18640.00
Alborz.Bulk.Co.,20210828,17950.00,17950.00,17950.00,17950.00,27345245400,1523412,146,D,17096.00,17950.00
Alborz.Bulk.Co.,20210823,16900.00,17820.00,16300.00,17096.00,115666604207,6765583,1700,D,16972.00,16933.00
