<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Const.and.Rail,20210921,36800.00,39655.00,35972.00,39127.00,77770123773,1987651,1004,D,37767.00,39655.00
Const.and.Rail,20210920,36000.00,38152.00,36000.00,37767.00,26266759988,695492,398,D,36336.00,38152.00
Const.and.Rail,20210919,38001.00,38990.00,35858.00,36336.00,40742063095,1121250,688,D,37745.00,36710.00
Const.and.Rail,20210918,36500.00,38800.00,36100.00,37745.00,14633482956,387568,368,D,37393.00,38000.00
Const.and.Rail,20210915,38010.00,39035.00,37087.00,37393.00,45367413848,1213275,902,D,39038.00,37087.00
Const.and.Rail,20210914,39500.00,39800.00,37202.00,39038.00,35453460780,908183,647,D,38347.00,39180.00
Const.and.Rail,20210913,38196.00,39600.00,38195.00,38347.00,76292672511,1989541,949,D,40205.00,38900.00
Const.and.Rail,20210912,41199.00,41199.00,40160.00,40205.00,38750894363,963821,425,D,42273.00,40160.00
Const.and.Rail,20210911,43242.00,43444.00,40580.00,42273.00,139241449990,3293869,1833,D,41376.00,40890.00
Const.and.Rail,20210908,40001.00,41562.00,40001.00,41376.00,55893280029,1350851,950,D,39583.00,41562.00
Const.and.Rail,20210907,37120.00,40000.00,37120.00,39583.00,111284820540,2811408,1631,D,38096.00,40000.00
Const.and.Rail,20210906,36420.00,38269.00,36420.00,38096.00,68340659458,1793905,983,D,36447.00,37855.00
Const.and.Rail,20210905,36555.00,37900.00,35555.00,36447.00,34999833215,960292,535,D,36284.00,36380.00
Const.and.Rail,20210904,36394.00,36998.00,35679.00,36284.00,49439818085,1362567,857,D,35590.00,36370.00
Const.and.Rail,20210901,35999.00,36499.00,34442.00,35590.00,38011390871,1068023,733,D,35264.00,36198.00
Const.and.Rail,20210831,35150.00,36780.00,35150.00,35264.00,65827811911,1866695,975,D,36999.00,35150.00
Const.and.Rail,20210830,36997.00,37750.00,36997.00,36999.00,20070211063,542446,291,D,38944.00,36997.00
Const.and.Rail,20210829,41240.00,41240.00,37760.00,38944.00,80373771136,2063841,1465,D,39747.00,37760.00
Const.and.Rail,20210828,39900.00,39998.00,38400.00,39747.00,69860269713,1757610,966,D,38094.00,39998.00
Const.and.Rail,20210825,38150.00,38790.00,36810.00,38094.00,52257615848,1371790,1012,D,37679.00,38790.00
Const.and.Rail,20210824,36700.00,37995.00,36700.00,37679.00,59646287236,1582996,1052,D,36186.00,37730.00
Const.and.Rail,20210823,36010.00,36981.00,35933.00,36186.00,88744533770,2452430,1009,D,35893.00,36570.00
Const.and.Rail,20210822,35070.00,36800.00,35070.00,35893.00,38140937996,1062621,1045,D,35517.00,35990.00
Const.and.Rail,20210815,35790.00,36000.00,34631.00,35517.00,29765568553,838059,704,D,35375.00,35484.00
Const.and.Rail,20210814,36300.00,36300.00,34550.00,35375.00,42858782941,1211558,964,D,35745.00,35770.00
Const.and.Rail,20210811,36200.00,37399.00,35000.00,35745.00,48882825592,1367537,1245,D,36356.00,35106.00
Const.and.Rail,20210810,37210.00,38180.00,35255.00,36356.00,50320619022,1384109,1204,D,37109.00,36000.00
Const.and.Rail,20210809,37300.00,37890.00,35711.00,37109.00,35536746817,957640,833,D,36403.00,37330.00
Const.and.Rail,20210808,36290.00,38130.00,35404.00,36403.00,83753118632,2300717,1563,D,37267.00,36869.00
Const.and.Rail,20210807,37630.00,38973.00,37212.00,37267.00,76445728985,2051290,947,D,39170.00,37212.00
Const.and.Rail,20210804,39200.00,40500.00,38973.00,39170.00,44384533393,1133120,786,D,41024.00,38973.00
Const.and.Rail,20210803,41682.00,42938.00,40783.00,41024.00,98958998029,2412201,1139,D,42929.00,40783.00
Const.and.Rail,20210802,44430.00,44430.00,41851.00,42929.00,38827314951,904463,904,D,42568.00,41853.00
Const.and.Rail,20210801,42965.00,43650.00,40311.00,42568.00,63657720015,1495434,1203,D,41572.00,43550.00
Const.and.Rail,20210731,41000.00,43150.00,39201.00,41572.00,62253044572,1497484,1449,D,41126.00,42290.00
Const.and.Rail,20210728,40200.00,41777.00,38020.00,41126.00,77203314098,1877247,1454,D,39788.00,41777.00
Const.and.Rail,20210727,37857.00,40998.00,37857.00,39788.00,8082990008,203415,166,D,39849.00,40001.00
Const.and.Rail,20210719,41000.00,42621.00,38563.00,39884.00,104941511256,2631160,1941,D,40592.00,38662.00
Const.and.Rail,20210718,43384.00,43384.00,39254.00,40592.00,206005819922,5074995,3102,D,41319.00,41320.00
Const.and.Rail,20210717,41319.00,41319.00,41319.00,41319.00,25480105092,616668,201,D,39352.00,41319.00
Const.and.Rail,20210714,39400.00,39439.00,38510.00,39352.00,54636933494,1388426,901,D,37561.00,39439.00
Const.and.Rail,20210713,37450.00,37761.00,36280.00,37561.00,159058279297,4234697,1813,D,35963.00,37761.00
Const.and.Rail,20210712,35990.00,36307.00,34581.00,35963.00,81943333344,2278530,1449,D,34579.00,36307.00
Const.and.Rail,20210711,32210.00,35187.00,32210.00,34579.00,65907595050,1905992,1352,D,33512.00,35187.00
Const.and.Rail,20210710,35000.00,35000.00,33353.00,33512.00,33352008480,995219,813,D,35108.00,33353.00
Const.and.Rail,20210707,35682.00,36000.00,34003.00,35108.00,42415277877,1208150,1015,D,35290.00,34580.00
Const.and.Rail,20210706,35298.00,35352.00,34501.00,35290.00,25257529882,715706,369,D,33669.00,35352.00
Const.and.Rail,20210705,31620.00,34407.00,31620.00,33669.00,63683293809,1891433,1194,D,32769.00,34407.00
Const.and.Rail,20210704,33800.00,33800.00,32652.00,32769.00,42088563650,1284420,949,D,34370.00,32652.00
Const.and.Rail,20210703,34700.00,35900.00,34125.00,34370.00,40688597179,1183839,1082,D,35921.00,34125.00
Const.and.Rail,20210630,35160.00,36990.00,35110.00,35921.00,74500979265,2074046,1857,D,36189.00,35750.00
Const.and.Rail,20210629,34700.00,37980.00,34550.00,36189.00,217729242124,6016499,4555,D,38260.00,36700.00
Const.and.Rail,20210628,36600.00,36600.00,36600.00,38260.00,1964578200,53677,50,D,38526.00,36600.00
Const.and.Rail,20210627,36686.00,36686.00,36686.00,38526.00,662475788,18058,26,D,38616.00,36686.00
Const.and.Rail,20210626,36732.00,36732.00,36732.00,38616.00,363426408,9894,24,D,38665.00,36732.00
Const.and.Rail,20210623,36757.00,36757.00,36757.00,38665.00,181836879,4947,15,D,38691.00,36757.00
Const.and.Rail,20210622,36777.00,36777.00,36777.00,38691.00,143687739,3907,8,D,38712.00,36777.00
Const.and.Rail,20210621,36795.00,36795.00,36795.00,38712.00,131468535,3573,15,D,38731.00,36795.00
Const.and.Rail,20210620,36542.00,36542.00,36542.00,38731.00,6196828902,169581,51,D,40602.00,36542.00
Const.and.Rail,20210619,38720.00,38720.00,38720.00,40602.00,1082649920,27961,16,D,40757.00,38720.00
Const.and.Rail,20210616,38733.00,38733.00,38733.00,40757.00,93850059,2423,4,D,40771.00,38733.00
Const.and.Rail,20210615,38735.00,38735.00,38735.00,40771.00,17043400,440,3,D,40773.00,38735.00
Const.and.Rail,20210614,38779.00,38779.00,38779.00,40773.00,316359082,8158,13,D,40819.00,38779.00
Const.and.Rail,20210613,38797.00,38797.00,38797.00,40819.00,130745890,3370,8,D,40838.00,38797.00
Const.and.Rail,20210612,39011.00,39011.00,39011.00,40838.00,1567383958,40178,29,D,41064.00,39011.00
Const.and.Rail,20210609,41064.00,41064.00,41064.00,41064.00,14692534944,357796,195,D,45626.00,41064.00
Const.and.Rail,20210608,44456.00,44456.00,44456.00,45626.00,6961453952,156592,41,D,46795.00,44456.00
Const.and.Rail,20210607,45497.00,45497.00,45497.00,46795.00,6521448986,143338,14,D,47891.00,45497.00
Const.and.Rail,20210602,46716.00,46716.00,46716.00,47891.00,6704493456,143516,23,D,49174.00,46716.00
Const.and.Rail,20210601,47953.00,47953.00,47953.00,49174.00,6805825431,141927,9,D,50476.00,47953.00
Const.and.Rail,20210531,49210.00,49210.00,49210.00,50476.00,6918286270,140587,5,D,51800.00,49210.00
Const.and.Rail,20210530,50505.00,50505.00,50505.00,51800.00,7119891870,140974,13,D,53163.00,50505.00
Const.and.Rail,20210529,51832.00,51832.00,51832.00,53163.00,7297064456,140783,8,D,54560.00,51832.00
Const.and.Rail,20210526,51833.00,51833.00,51833.00,54560.00,5286966,102,1,D,54561.00,51833.00
Const.and.Rail,20210525,53225.00,53225.00,53225.00,54561.00,7451500000,140000,6,D,56026.00,53225.00
Const.and.Rail,20210519,53236.00,53236.00,53236.00,56026.00,53236000,1000,1,D,56037.00,53236.00
Const.and.Rail,20210518,54709.00,54709.00,54709.00,56037.00,7664730900,140100,12,D,57588.00,54709.00
Const.and.Rail,20210517,54722.00,54722.00,54722.00,57588.00,67964724,1242,4,D,57602.00,54722.00
Const.and.Rail,20210516,54755.00,54755.00,54755.00,57602.00,169302460,3092,2,D,57636.00,54755.00
Const.and.Rail,20210515,54790.00,54790.00,54790.00,57636.00,183327340,3346,4,D,57673.00,54790.00
Const.and.Rail,20210512,55945.00,55945.00,55945.00,57673.00,62882180,1124,6,D,57675.00,55945.00
Const.and.Rail,20210511,55946.00,55946.00,55946.00,57675.00,24895970,445,4,D,57676.00,55946.00
Const.and.Rail,20210505,55947.00,55947.00,55947.00,57676.00,19021980,340,3,D,57677.00,55947.00
Const.and.Rail,20210502,55954.00,55954.00,55954.00,57677.00,198580746,3549,3,D,57684.00,55954.00
Const.and.Rail,20210501,55955.00,55955.00,55955.00,57684.00,19248520,344,2,D,57685.00,55955.00
Const.and.Rail,20210428,55958.00,55958.00,55958.00,57685.00,80467604,1438,5,D,57688.00,55958.00
Const.and.Rail,20210427,55960.00,55960.00,55960.00,57688.00,60548720,1082,3,D,57690.00,55960.00
Const.and.Rail,20210426,55965.00,55965.00,55965.00,57690.00,151049535,2699,4,D,57695.00,55965.00
Const.and.Rail,20210424,55965.00,55965.00,55965.00,57695.00,5036850,90,1,D,57695.00,55965.00
Const.and.Rail,20210421,56062.00,56062.00,56062.00,57695.00,2811677486,50153,2,D,57795.00,56062.00
Const.and.Rail,20210420,56640.00,56640.00,56640.00,57795.00,5097600,90,1,D,57795.00,56640.00
Const.and.Rail,20210419,56641.00,56641.00,56641.00,57795.00,59189845,1045,4,D,57796.00,56641.00
Const.and.Rail,20210417,56651.00,56651.00,56651.00,57796.00,461479046,8146,6,D,57807.00,56651.00
Const.and.Rail,20210414,56653.00,56653.00,56653.00,57807.00,104638091,1847,2,D,57809.00,56653.00
Const.and.Rail,20210413,56661.00,56661.00,56661.00,57809.00,350844912,6192,16,D,57817.00,56661.00
Const.and.Rail,20210412,56851.00,56851.00,56851.00,57817.00,8166020789,143639,24,D,58011.00,56851.00
Const.and.Rail,20210411,57037.00,57037.00,57037.00,58011.00,8014896277,140521,14,D,58201.00,57037.00
Const.and.Rail,20210410,57039.00,57039.00,57039.00,58201.00,65823006,1154,4,D,58203.00,57039.00
Const.and.Rail,20210407,57044.00,57044.00,57044.00,58203.00,198284944,3476,8,D,58208.00,57044.00
Const.and.Rail,20210406,57047.00,57047.00,57047.00,58208.00,119513465,2095,4,D,58211.00,57047.00
Const.and.Rail,20210405,57052.00,57052.00,57052.00,58211.00,222731008,3904,11,D,58216.00,57052.00
Const.and.Rail,20210404,57258.00,57258.00,57258.00,58216.00,8805536046,153787,19,D,58426.00,57258.00
Const.and.Rail,20210403,57278.00,57278.00,57278.00,58426.00,828583548,14466,11,D,58446.00,57278.00
Const.and.Rail,20210331,57312.00,57312.00,57312.00,58446.00,1447128000,25250,32,D,58481.00,57312.00
Const.and.Rail,20210330,57379.00,57379.00,57379.00,58481.00,2818858133,49127,62,D,58550.00,57379.00
Const.and.Rail,20210328,57593.00,57593.00,57593.00,58550.00,8934805241,155137,158,D,58768.00,57593.00
Const.and.Rail,20210327,58594.00,59000.00,58594.00,58768.00,41908062872,715208,466,D,59789.00,58594.00
Const.and.Rail,20210317,58919.00,58919.00,58919.00,59789.00,14041281485,238315,135,D,60121.00,58919.00
Const.and.Rail,20210316,59179.00,59179.00,59179.00,60121.00,11178025415,188885,80,D,60386.00,59179.00
Const.and.Rail,20210315,59253.00,59253.00,59253.00,60386.00,3224014983,54411,66,D,60462.00,59253.00
Const.and.Rail,20210314,61517.00,62500.00,58203.00,60462.00,220101939798,3640365,4863,D,59390.00,58203.00
Const.and.Rail,20210313,56876.00,61517.00,56876.00,59390.00,151013110847,2542728,2539,D,58036.00,60820.00
Const.and.Rail,20210310,57194.00,57194.00,57194.00,58036.00,13518945780,236370,194,D,58361.00,57194.00
Const.and.Rail,20210309,59200.00,60700.00,57943.00,58361.00,60826411615,1042237,1221,D,59125.00,57943.00
Const.and.Rail,20210308,57110.00,61000.00,57110.00,59125.00,122140305149,2065791,3022,D,58275.00,59200.00
Const.and.Rail,20210307,57196.00,57196.00,57196.00,58275.00,3670438908,64173,108,D,58363.00,57196.00
Const.and.Rail,20210306,57675.00,57675.00,57675.00,58363.00,20350220025,352843,257,D,58852.00,57675.00
Const.and.Rail,20210303,58266.00,58500.00,58266.00,58852.00,24078240150,413224,297,D,59455.00,58266.00
Const.and.Rail,20210302,59200.00,61300.00,58893.00,59455.00,48448678200,814875,1275,D,60094.00,58893.00
Const.and.Rail,20210301,59576.00,61700.00,59576.00,60094.00,74496502032,1239669,1953,D,60791.00,60030.00
Const.and.Rail,20210228,60063.00,61000.00,60062.00,60791.00,19982207534,332616,367,D,61287.00,60062.00
Const.and.Rail,20210227,63221.00,64000.00,60300.00,61287.00,210825816068,3439976,4503,D,61530.00,60300.00
Const.and.Rail,20210224,59204.00,63990.00,59204.00,61530.00,313318835271,5092133,5749,D,60412.00,62200.00
Const.and.Rail,20210223,59428.00,59428.00,59428.00,60412.00,9020932688,151796,107,D,60640.00,59428.00
Const.and.Rail,20210222,59746.00,59746.00,59746.00,60640.00,12874904524,215494,55,D,60965.00,59746.00
Const.and.Rail,20210221,60760.00,63000.00,60251.00,60965.00,35819033196,589388,697,D,61480.00,60251.00
Const.and.Rail,20210220,61310.00,63999.00,60625.00,61480.00,169450575276,2756202,3342,D,61862.00,61190.00
