<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Tadbirgaran.Inv,20210921,35398.00,35574.00,33796.00,34352.00,13007826751,378662,348,D,35574.00,33796.00
Tadbirgaran.Inv,20210920,35580.00,37999.00,35398.00,35574.00,49508502391,1391689,1149,D,37261.00,35398.00
Tadbirgaran.Inv,20210919,36450.00,39950.00,36418.00,37261.00,33442722276,897515,861,D,38334.00,36418.00
Tadbirgaran.Inv,20210918,38231.00,40000.00,38227.00,38334.00,14223050127,371114,354,D,40238.00,38227.00
Tadbirgaran.Inv,20210915,41890.00,41890.00,39400.00,40238.00,27356422389,679872,861,D,40597.00,40249.00
Tadbirgaran.Inv,20210914,40000.00,41300.00,38550.00,40597.00,25268008790,622417,691,D,39667.00,41290.00
Tadbirgaran.Inv,20210913,41414.00,41414.00,39496.00,39667.00,43078077261,1086002,775,D,41574.00,39496.00
Tadbirgaran.Inv,20210912,43560.00,43560.00,41387.00,41574.00,43619631374,1049192,928,D,43565.00,41700.00
Tadbirgaran.Inv,20210911,44220.00,44220.00,42549.00,43565.00,60730418380,1394024,1198,D,42133.00,43680.00
Tadbirgaran.Inv,20210908,39500.00,42921.00,39500.00,42133.00,68188484560,1618420,1482,D,40878.00,42921.00
Tadbirgaran.Inv,20210907,41156.00,42600.00,40511.00,40878.00,61357155962,1500978,1213,D,42643.00,40511.00
Tadbirgaran.Inv,20210906,44700.00,44700.00,41350.00,42643.00,50169289511,1176502,1210,D,43322.00,41410.00
Tadbirgaran.Inv,20210905,42650.00,44500.00,41820.00,43322.00,64310572279,1484473,1235,D,42642.00,43450.00
Tadbirgaran.Inv,20210904,41820.00,43100.00,41820.00,42642.00,62242354991,1459635,1042,D,41048.00,42200.00
Tadbirgaran.Inv,20210901,40450.00,43370.00,40374.00,41048.00,88761619530,2162378,1517,D,42498.00,41611.00
Tadbirgaran.Inv,20210831,42101.00,44590.00,42101.00,42498.00,65197093782,1534118,1028,D,44316.00,42101.00
Tadbirgaran.Inv,20210830,44600.00,46498.00,44206.00,44316.00,26637482022,601077,451,D,46532.00,44206.00
Tadbirgaran.Inv,20210829,46140.00,47990.00,45611.00,46532.00,101171947591,2174246,1696,D,48011.00,45611.00
Tadbirgaran.Inv,20210828,45734.00,48588.00,45734.00,48011.00,123879333020,2580253,1642,D,46275.00,46700.00
Tadbirgaran.Inv,20210825,46170.00,47200.00,45040.00,46275.00,85976726205,1857955,1432,D,46136.00,45731.00
Tadbirgaran.Inv,20210824,45400.00,47290.00,44530.00,46136.00,79627705965,1725917,1317,D,46265.00,46000.00
Tadbirgaran.Inv,20210823,47294.00,47294.00,44100.00,46265.00,104563925732,2260101,1647,D,45043.00,45860.00
Tadbirgaran.Inv,20210822,44900.00,45272.00,43330.00,45043.00,46656267803,1035825,724,D,43117.00,45272.00
Tadbirgaran.Inv,20210815,43550.00,44500.00,43076.00,43117.00,86760135950,2012220,1400,D,45343.00,43300.00
Tadbirgaran.Inv,20210814,44740.00,46970.00,43104.00,45343.00,89235642980,1968032,1487,D,45372.00,43741.00
Tadbirgaran.Inv,20210811,47111.00,47200.00,44835.00,45372.00,101710468610,2241699,1896,D,47194.00,45099.00
Tadbirgaran.Inv,20210810,50000.00,50000.00,45896.00,47194.00,366748477843,7771160,4319,D,48311.00,46527.00
Tadbirgaran.Inv,20210809,48943.00,48943.00,48943.00,48311.00,11944685979,244053,102,D,46613.00,48943.00
Tadbirgaran.Inv,20210808,47200.00,47200.00,47200.00,46613.00,11677327200,247401,122,D,44953.00,47200.00
Tadbirgaran.Inv,20210807,42544.00,47022.00,42544.00,44953.00,375913102081,8362439,3453,D,44783.00,47022.00
Tadbirgaran.Inv,20210804,42950.00,42950.00,42950.00,44783.00,2557543650,59547,21,D,45210.00,42950.00
Tadbirgaran.Inv,20210803,43472.00,43472.00,43472.00,45210.00,3287178752,75616,41,D,45759.00,43472.00
Tadbirgaran.Inv,20210802,43677.00,43677.00,43677.00,45759.00,1294804665,29645,14,D,45975.00,43677.00
Tadbirgaran.Inv,20210801,43769.00,43769.00,43769.00,45975.00,579151408,13232,18,D,46072.00,43769.00
Tadbirgaran.Inv,20210731,45247.00,45247.00,45247.00,46072.00,9314185444,205852,86,D,47628.00,45247.00
Tadbirgaran.Inv,20210728,47519.00,49880.00,47519.00,47628.00,86777302677,1821985,799,D,50020.00,47519.00
Tadbirgaran.Inv,20210727,50020.00,50020.00,50020.00,50020.00,24691972840,493642,114,D,81966.00,50020.00
Tadbirgaran.Inv,20210717,78274.00,78274.00,78274.00,82366.00,94241896,1204,7,D,82393.00,78274.00
Tadbirgaran.Inv,20210714,74751.00,74751.00,74751.00,82393.00,1067818035,14285,42,D,83056.00,74751.00
