<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Dona.Catering,20210921,21679.00,22100.00,20596.00,20780.00,92149435477,4434498,6010,D,21679.00,20596.00
Dona.Catering,20210920,21520.00,22288.00,21000.00,21679.00,103209606095,4760805,9476,D,21676.00,21452.00
Dona.Catering,20210919,22650.00,22650.00,20713.00,21676.00,96973557998,4473827,8608,D,21756.00,21500.00
Dona.Catering,20210918,21470.00,22900.00,21187.00,21756.00,172834264295,7944256,9786,D,22302.00,22400.00
Dona.Catering,20210915,22520.00,23102.00,22173.00,22302.00,140386291489,6294674,33205,D,23340.00,22173.00
Dona.Catering,20210914,22712.00,23980.00,22712.00,23340.00,69113404235,2961178,23257,D,23130.00,23102.00
Dona.Catering,20210913,23014.00,23880.00,22908.00,23130.00,122649650428,5302662,13227,D,24113.00,23550.00
Dona.Catering,20210912,25134.00,25134.00,23938.00,24113.00,87441821509,3626376,3796,D,25197.00,23938.00
Dona.Catering,20210911,24990.00,25435.00,24265.00,25197.00,290944013404,11546710,15640,D,24224.00,24949.00
Dona.Catering,20210908,25930.00,25970.00,24006.00,24224.00,244227381975,10082127,49837,D,25265.00,24265.00
Dona.Catering,20210907,25041.00,26220.00,24903.00,25265.00,149159229927,5903880,30100,D,26213.00,25030.00
Dona.Catering,20210906,26230.00,27368.00,24800.00,26213.00,254691641126,9716316,29140,D,26065.00,25199.00
Dona.Catering,20210905,25399.00,26220.00,24850.00,26065.00,202868968790,7783282,11196,D,24972.00,26220.00
Dona.Catering,20210904,25002.00,25540.00,24286.00,24972.00,229693287348,9198216,15431,D,24967.00,25420.00
Dona.Catering,20210901,25790.00,25799.00,24000.00,24967.00,240167936942,9619380,11978,D,24955.00,24900.00
Dona.Catering,20210831,25000.00,25138.00,24100.00,24955.00,305459035512,12240607,10933,D,23941.00,25138.00
Dona.Catering,20210830,23110.00,25230.00,22964.00,23941.00,279133147564,11659215,11169,D,24172.00,24501.00
Dona.Catering,20210829,24400.00,24604.00,22551.00,24172.00,341104003175,14111726,15637,D,23433.00,23050.00
Dona.Catering,20210828,23433.00,23433.00,22764.00,23433.00,70291239129,2999719,11340,D,22318.00,23433.00
Dona.Catering,20210825,22480.00,23100.00,21474.00,22318.00,167964465179,7525945,14796,D,22164.00,22763.00
Dona.Catering,20210824,21999.00,22376.00,21850.00,22164.00,129332870210,5835169,12836,D,21311.00,22121.00
Dona.Catering,20210823,20755.00,21792.00,20200.00,21311.00,169079103457,7933960,15463,D,20755.00,21792.00
Dona.Catering,20210822,20500.00,21440.00,20110.00,20755.00,108916368084,5247672,15920,D,20780.00,20660.00
Dona.Catering,20210815,21040.00,21560.00,20161.00,20780.00,119669033042,5758933,14073,D,21140.00,20601.00
Dona.Catering,20210814,20990.00,21550.00,20300.00,21140.00,151281093644,7156010,15708,D,20534.00,21371.00
Dona.Catering,20210808,20800.00,21500.00,20464.00,20634.00,216730577078,10503550,12081,D,21541.00,20464.00
Dona.Catering,20210807,22743.00,22780.00,20899.00,21541.00,206434100663,9583231,13699,D,21998.00,20899.00
Dona.Catering,20210804,22220.00,22743.00,20577.00,21998.00,410550824151,18663200,17166,D,21660.00,22460.00
Dona.Catering,20210803,21360.00,21761.00,21220.00,21660.00,110982660628,5123787,9122,D,20725.00,21761.00
