<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Dashte.Khoramdareh,20210921,19301.00,20150.00,18919.00,19060.00,29150068175,1529355,684,D,19914.00,18919.00
Dashte.Khoramdareh,20210920,19091.00,20328.00,19000.00,19914.00,43205955131,2169656,1052,D,19360.00,19601.00
Dashte.Khoramdareh,20210919,19400.00,20310.00,19092.00,19360.00,22909002544,1183322,642,D,20095.00,19100.00
Dashte.Khoramdareh,20210918,20500.00,20960.00,19862.00,20095.00,43325313901,2156046,841,D,20907.00,19862.00
Dashte.Khoramdareh,20210915,20880.00,21500.00,20730.00,20907.00,35509054436,1698444,1166,D,21689.00,20900.00
Dashte.Khoramdareh,20210914,21001.00,21960.00,21001.00,21689.00,28346824027,1306993,802,D,21553.00,21550.00
Dashte.Khoramdareh,20210913,21560.00,22290.00,21449.00,21553.00,41991533277,1948296,824,D,22577.00,21449.00
Dashte.Khoramdareh,20210912,22710.00,23180.00,22471.00,22577.00,18989446115,841105,389,D,23653.00,22471.00
Dashte.Khoramdareh,20210911,24316.00,24700.00,22800.00,23653.00,35189677777,1487752,829,D,23898.00,23240.00
Dashte.Khoramdareh,20210908,23614.00,24316.00,23223.00,23898.00,36228976278,1515962,1252,D,23617.00,23954.00
Dashte.Khoramdareh,20210907,22325.00,24180.00,22325.00,23617.00,59163142126,2505117,1408,D,23495.00,23985.00
Dashte.Khoramdareh,20210906,24190.00,24190.00,22500.00,23495.00,64069703787,2726979,1386,D,23159.00,22600.00
Dashte.Khoramdareh,20210905,22950.00,23307.00,22320.00,23159.00,42605639156,1839702,644,D,22198.00,23307.00
Dashte.Khoramdareh,20210904,22350.00,22612.00,21650.00,22198.00,78173980333,3521656,1193,D,21536.00,22612.00
Dashte.Khoramdareh,20210901,20680.00,22490.00,20610.00,21536.00,64290516515,2985313,1199,D,21642.00,21840.00
Dashte.Khoramdareh,20210831,21531.00,22283.00,21531.00,21642.00,44674027759,2064255,975,D,22664.00,21531.00
Dashte.Khoramdareh,20210830,22798.00,23490.00,22572.00,22664.00,43428937688,1916215,753,D,23759.00,22572.00
Dashte.Khoramdareh,20210829,24960.00,24960.00,23206.00,23759.00,86449397614,3638619,1616,D,24427.00,23206.00
Dashte.Khoramdareh,20210828,24320.00,25000.00,24050.00,24427.00,83358303833,3412597,1736,D,24285.00,24382.00
Dashte.Khoramdareh,20210825,24800.00,24800.00,23790.00,24285.00,80374991276,3309679,1646,D,24826.00,24330.00
Dashte.Khoramdareh,20210824,24550.00,24957.00,24000.00,24826.00,82915923308,3339895,1369,D,23769.00,24670.00
Dashte.Khoramdareh,20210823,23551.00,24514.00,22360.00,23769.00,98122168950,4128124,1625,D,23532.00,24380.00
Dashte.Khoramdareh,20210822,23780.00,23888.00,22800.00,23532.00,115308170659,4900136,1856,D,22751.00,23600.00
Dashte.Khoramdareh,20210815,22290.00,22945.00,21500.00,22751.00,77568726761,3409411,1236,D,21853.00,22945.00
Dashte.Khoramdareh,20210814,22980.00,23000.00,21200.00,21853.00,100594728027,4603340,1982,D,22241.00,21680.00
Dashte.Khoramdareh,20210811,22250.00,22506.00,21603.00,22241.00,189645074771,8526779,2726,D,21435.00,22506.00
Dashte.Khoramdareh,20210810,21000.00,21614.00,20659.00,21435.00,63880876658,2980183,926,D,20585.00,21614.00
Dashte.Khoramdareh,20210809,20000.00,20659.00,20000.00,20585.00,86162386533,4185716,1553,D,19676.00,20659.00
Dashte.Khoramdareh,20210808,19900.00,19900.00,19200.00,19676.00,29343021391,1491316,778,D,19336.00,19790.00
Dashte.Khoramdareh,20210807,18560.00,19630.00,18560.00,19336.00,31555683138,1631925,889,D,18842.00,19450.00
Dashte.Khoramdareh,20210804,18502.00,19450.00,18502.00,18842.00,45065081353,2391772,1036,D,19455.00,18920.00
Dashte.Khoramdareh,20210803,19790.00,19800.00,19000.00,19455.00,29756538977,1529531,872,D,19185.00,19080.00
Dashte.Khoramdareh,20210802,18330.00,19600.00,18330.00,19185.00,34928741989,1820667,944,D,19107.00,19550.00
Dashte.Khoramdareh,20210801,19260.00,19980.00,18488.00,19107.00,17726197557,927711,638,D,19461.00,18488.00
Dashte.Khoramdareh,20210731,18900.00,19800.00,18500.00,19461.00,16767589457,861601,565,D,19134.00,19260.00
Dashte.Khoramdareh,20210728,19950.00,19950.00,18934.00,19134.00,18112239256,946580,682,D,19930.00,18934.00
Dashte.Khoramdareh,20210727,20720.00,20899.00,19471.00,19930.00,25855548655,1297287,727,D,20495.00,19471.00
Dashte.Khoramdareh,20210726,20600.00,21050.00,19760.00,20495.00,31314143448,1527863,947,D,20228.00,20720.00
Dashte.Khoramdareh,20210719,20590.00,20600.00,19800.00,20228.00,28310534472,1399566,888,D,20362.00,20056.00
Dashte.Khoramdareh,20210718,20560.00,21300.00,20159.00,20362.00,38579167779,1894707,959,D,21220.00,20470.00
Dashte.Khoramdareh,20210717,21650.00,21650.00,20720.00,21220.00,33885710850,1596879,992,D,20703.00,20850.00
Dashte.Khoramdareh,20210714,20000.00,20989.00,20000.00,20703.00,37583909898,1815407,1029,D,20256.00,20865.00
Dashte.Khoramdareh,20210713,20000.00,20870.00,19942.00,20256.00,36589722787,1806320,1133,D,20991.00,20000.00
Dashte.Khoramdareh,20210712,20887.00,21487.00,20672.00,20991.00,41249511230,1965104,1276,D,21759.00,20672.00
Dashte.Khoramdareh,20210711,22298.00,22306.00,21201.00,21759.00,69228937364,3181653,1501,D,21245.00,21340.00
Dashte.Khoramdareh,20210710,20850.00,21323.00,20403.00,21245.00,37489314298,1764640,576,D,20308.00,21323.00
Dashte.Khoramdareh,20210707,20970.00,20970.00,19800.00,20308.00,31475301451,1549893,1041,D,20409.00,19950.00
Dashte.Khoramdareh,20210706,20489.00,20551.00,19910.00,20409.00,37912121285,1857591,1204,D,19573.00,20551.00
Dashte.Khoramdareh,20210705,18500.00,19744.00,18500.00,19573.00,55615890254,2841442,1145,D,18804.00,19744.00
Dashte.Khoramdareh,20210704,18610.00,19349.00,18539.00,18804.00,28104627612,1494609,975,D,19514.00,18630.00
Dashte.Khoramdareh,20210703,19100.00,19850.00,18580.00,19514.00,40803075288,2090967,1136,D,19270.00,19420.00
Dashte.Khoramdareh,20210630,19800.00,20240.00,19146.00,19270.00,62725391128,3255124,1506,D,20153.00,19146.00
Dashte.Khoramdareh,20210629,19480.00,20920.00,19480.00,20153.00,43694883057,2168111,1290,D,20129.00,19790.00
Dashte.Khoramdareh,20210628,19880.00,20325.00,19570.00,20129.00,68640196088,3410042,1392,D,19358.00,20325.00
Dashte.Khoramdareh,20210627,18751.00,19688.00,17910.00,19358.00,58361735431,3014854,1042,D,18508.00,19688.00
Dashte.Khoramdareh,20210621,18938.00,19300.00,18938.00,18978.00,72626703761,3826926,1396,D,19934.00,18938.00
