<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Ankolojy.Sobhan,20210921,15741.00,17051.00,15741.00,16038.00,561702711519,35024328,4990,D,16569.00,15741.00
Ankolojy.Sobhan,20210920,16085.00,16085.00,16085.00,16569.00,5548745940,344964,93,D,16931.00,16085.00
Ankolojy.Sobhan,20210919,16837.00,16837.00,16837.00,16931.00,12139426489,720997,61,D,17723.00,16837.00
Ankolojy.Sobhan,20210918,17750.00,18300.00,17664.00,17723.00,19496415178,1100063,268,D,18593.00,17664.00
Ankolojy.Sobhan,20210915,18610.00,18618.00,18160.00,18593.00,389277120109,20936393,2598,D,17732.00,18260.00
Ankolojy.Sobhan,20210912,17540.00,18088.00,17323.00,17732.00,65457041261,3691542,726,D,17231.00,18000.00
Ankolojy.Sobhan,20210911,17000.00,17323.00,15675.00,17231.00,193279895696,11217027,1599,D,16499.00,17323.00
Ankolojy.Sobhan,20210908,16290.00,16674.00,15900.00,16499.00,282170784306,17102537,3058,D,15880.00,16674.00
Ankolojy.Sobhan,20210907,15696.00,15918.00,15300.00,15880.00,340516082233,21443296,2804,D,15160.00,15918.00
Ankolojy.Sobhan,20210906,15140.00,15165.00,14880.00,15160.00,138252201661,9119753,908,D,14443.00,15165.00
Ankolojy.Sobhan,20210905,14300.00,14568.00,14070.00,14443.00,111537707164,7722711,1279,D,13875.00,14568.00
Ankolojy.Sobhan,20210904,14210.00,14498.00,13558.00,13875.00,190461676806,13727417,2855,D,14271.00,14068.00
Ankolojy.Sobhan,20210901,14450.00,14450.00,13910.00,14271.00,92607048848,6489369,1397,D,13832.00,14275.00
Ankolojy.Sobhan,20210831,13500.00,14450.00,13165.00,13832.00,174279980598,12599438,2270,D,13857.00,14150.00
Ankolojy.Sobhan,20210830,14086.00,14142.00,13050.00,13857.00,317473947742,22910991,3148,D,13469.00,13547.00
Ankolojy.Sobhan,20210829,13469.00,13469.00,13469.00,13469.00,45918191544,3409176,380,D,12828.00,13469.00
Ankolojy.Sobhan,20210828,12829.00,12829.00,12829.00,12828.00,15726352676,1225844,188,D,12219.00,12829.00
Ankolojy.Sobhan,20210825,11631.00,12246.00,11631.00,12219.00,112266941421,9187969,1224,D,11663.00,12246.00
Ankolojy.Sobhan,20210824,11440.00,11850.00,11360.00,11663.00,87004586651,7460115,1948,D,11387.00,11800.00
Ankolojy.Sobhan,20210823,11798.00,11810.00,11226.00,11387.00,97121695802,8528888,1974,D,11816.00,11360.00
Ankolojy.Sobhan,20210822,11990.00,12281.00,11500.00,11816.00,55651739855,4709681,1259,D,11828.00,11530.00
Ankolojy.Sobhan,20210815,11660.00,11990.00,11621.00,11828.00,29670465639,2508399,838,D,11616.00,11885.00
Ankolojy.Sobhan,20210814,11460.00,12000.00,11200.00,11616.00,67643398063,5823136,1372,D,11561.00,11660.00
Ankolojy.Sobhan,20210811,11900.00,12000.00,11441.00,11561.00,65300658075,5648573,1656,D,12043.00,11441.00
Ankolojy.Sobhan,20210810,12450.00,12450.00,11914.00,12043.00,72573963052,6026094,1220,D,12235.00,12000.00
Ankolojy.Sobhan,20210809,12700.00,12700.00,11686.00,12235.00,89120897751,7283915,1490,D,12248.00,12200.00
Ankolojy.Sobhan,20210808,12290.00,12295.00,11950.00,12248.00,96677821733,7893399,1351,D,11710.00,12295.00
Ankolojy.Sobhan,20210807,11859.00,11859.00,11300.00,11710.00,79654357509,6802019,1321,D,11295.00,11859.00
Ankolojy.Sobhan,20210804,11240.00,11314.00,11080.00,11295.00,50283982996,4451790,700,D,10776.00,11314.00
Ankolojy.Sobhan,20210803,10940.00,11180.00,10350.00,10776.00,66104096102,6134355,1692,D,10781.00,11063.00
Ankolojy.Sobhan,20210802,11415.00,11415.00,10759.00,10781.00,84025551227,7793636,1156,D,11325.00,10759.00
Ankolojy.Sobhan,20210801,11890.00,11890.00,10970.00,11325.00,87972609800,7768074,1833,D,11545.00,11319.00
Ankolojy.Sobhan,20210731,11530.00,12045.00,11446.00,11545.00,50312262672,4357935,765,D,12048.00,11640.00
Ankolojy.Sobhan,20210728,12520.00,12550.00,11894.00,12048.00,41970263480,3483472,783,D,12520.00,11894.00
Ankolojy.Sobhan,20210727,12785.00,12894.00,12007.00,12520.00,72721612230,5808553,1355,D,12369.00,12371.00
Ankolojy.Sobhan,20210726,12270.00,12700.00,11877.00,12369.00,91371545488,7387340,1579,D,12502.00,12502.00
Ankolojy.Sobhan,20210719,12500.00,12750.00,12210.00,12502.00,65250725112,5219189,1339,D,12184.00,12500.00
