<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Tolid.Daroo,20210921,14376.00,14376.00,13752.00,13846.00,18850437813,1361481,588,D,14475.00,13752.00
Tolid.Daroo,20210920,14680.00,14760.00,14241.00,14475.00,34105394659,2356150,872,D,14273.00,14241.00
Tolid.Daroo,20210919,14000.00,15100.00,13814.00,14273.00,60358225356,4228904,1349,D,14541.00,14120.00
Tolid.Daroo,20210918,15174.00,15200.00,14456.00,14541.00,74500768663,5123532,1398,D,15216.00,14456.00
Tolid.Daroo,20210915,15250.00,15983.00,15174.00,15216.00,88818537789,5837193,1776,D,15972.00,15174.00
Tolid.Daroo,20210914,15160.00,16390.00,15160.00,15972.00,63872053059,3999015,1478,D,15646.00,15800.00
Tolid.Daroo,20210913,15550.00,16250.00,15525.00,15646.00,108662636935,6945126,1678,D,16342.00,15528.00
Tolid.Daroo,20210912,16970.00,16970.00,16217.00,16342.00,32307929298,1976992,524,D,17070.00,16217.00
Tolid.Daroo,20210911,17000.00,17520.00,16660.00,17070.00,116404356207,6819160,2091,D,16686.00,16690.00
Tolid.Daroo,20210908,15680.00,16865.00,15680.00,16686.00,126835544139,7601420,2236,D,16062.00,16865.00
Tolid.Daroo,20210907,16090.00,16700.00,15904.00,16062.00,143298426601,8921805,2522,D,16741.00,15904.00
Tolid.Daroo,20210906,17300.00,17650.00,16249.00,16741.00,227211770192,13572044,4140,D,17104.00,16249.00
Tolid.Daroo,20210905,17100.00,17207.00,16400.00,17104.00,316295976688,18492924,4120,D,16388.00,17207.00
Tolid.Daroo,20210904,16391.00,16391.00,16000.00,16388.00,181219029013,11058263,1325,D,15611.00,16391.00
Tolid.Daroo,20210901,15350.00,15692.00,15100.00,15611.00,154899340247,9922227,1946,D,14945.00,15692.00
Tolid.Daroo,20210831,14595.00,15768.00,14595.00,14945.00,260068920143,17401288,3030,D,15363.00,15100.00
Tolid.Daroo,20210830,15357.00,15626.00,15357.00,15363.00,29411367773,1914488,411,D,16165.00,15357.00
Tolid.Daroo,20210829,16431.00,16431.00,15000.00,16165.00,376305150758,23278637,4467,D,15649.00,15490.00
Tolid.Daroo,20210828,15490.00,15831.00,15270.00,15649.00,137527126384,8788063,1255,D,15078.00,15831.00
Tolid.Daroo,20210825,15480.00,15480.00,14400.00,15078.00,190121503585,12609221,4936,D,14890.00,15180.00
Tolid.Daroo,20210824,14600.00,14900.00,14600.00,14890.00,112467992736,7553401,1252,D,14191.00,14900.00
Tolid.Daroo,20210823,14100.00,14550.00,13510.00,14191.00,116822764918,8232001,2564,D,13883.00,14498.00
Tolid.Daroo,20210822,13650.00,13928.00,13410.00,13883.00,131059201478,9440071,2147,D,13265.00,13928.00
Tolid.Daroo,20210815,12780.00,13398.00,12780.00,13265.00,86575490478,6526839,1755,D,12760.00,13398.00
Tolid.Daroo,20210814,13290.00,13290.00,12517.00,12760.00,64560346111,5059785,1741,D,13175.00,12899.00
Tolid.Daroo,20210811,13710.00,13720.00,13062.00,13175.00,107810946503,8183027,2963,D,13749.00,13220.00
Tolid.Daroo,20210810,13930.00,14190.00,13300.00,13749.00,98618222365,7172609,2240,D,13595.00,13610.00
Tolid.Daroo,20210809,13490.00,13692.00,13060.00,13595.00,76498902491,5626949,1543,D,13040.00,13692.00
Tolid.Daroo,20210808,12090.00,13156.00,12090.00,13040.00,75392979922,5781864,1458,D,12530.00,13156.00
Tolid.Daroo,20210807,12820.00,12820.00,12312.00,12530.00,58900371158,4700817,1564,D,12935.00,12400.00
Tolid.Daroo,20210804,13390.00,13390.00,12620.00,12935.00,41984884167,3245730,1258,D,13152.00,12790.00
Tolid.Daroo,20210803,13190.00,13800.00,13000.00,13152.00,38644015792,2938373,1204,D,13430.00,13070.00
Tolid.Daroo,20210802,13660.00,13909.00,13131.00,13430.00,46360250920,3452047,1356,D,13733.00,13188.00
Tolid.Daroo,20210801,14390.00,14390.00,13581.00,13733.00,66649679784,4853206,1363,D,14241.00,13819.00
Tolid.Daroo,20210731,13970.00,14326.00,13650.00,14241.00,86812941800,6096161,1706,D,13644.00,13950.00
Tolid.Daroo,20210728,13394.00,14170.00,13394.00,13644.00,42535406652,3117484,1291,D,14098.00,13620.00
Tolid.Daroo,20210727,14810.00,14820.00,13943.00,14098.00,29210815918,2071939,780,D,14676.00,13943.00
Tolid.Daroo,20210726,14510.00,15000.00,14427.00,14676.00,43719335246,2978962,1252,D,14736.00,14470.00
Tolid.Daroo,20210719,14988.00,15042.00,14574.00,14736.00,69323037265,4704321,1705,D,14799.00,14696.00
Tolid.Daroo,20210718,14322.00,15240.00,14321.00,14799.00,71362892258,4822084,1487,D,14635.00,14780.00
Tolid.Daroo,20210717,15080.00,15080.00,14400.00,14635.00,54828796609,3746404,1313,D,14834.00,14450.00
Tolid.Daroo,20210714,14510.00,15189.00,14510.00,14834.00,47975787502,3234075,1279,D,14970.00,14849.00
Tolid.Daroo,20210713,14692.00,15350.00,14211.00,14970.00,104453875385,6977711,1959,D,14692.00,14880.00
Tolid.Daroo,20210712,15190.00,15190.00,14493.00,14692.00,120829000535,8224043,2349,D,15255.00,14501.00
Tolid.Daroo,20210711,15295.00,15765.00,14690.00,15255.00,130192237978,8534414,2700,D,15051.00,14960.00
Tolid.Daroo,20210710,14920.00,15186.00,14560.00,15051.00,288059168623,19139090,2960,D,14463.00,15186.00
Tolid.Daroo,20210707,13874.00,14480.00,13850.00,14463.00,299336334411,20696463,2015,D,13791.00,14480.00
Tolid.Daroo,20210706,14005.00,14190.00,13602.00,13791.00,57122838185,4141916,1826,D,13901.00,13873.00
Tolid.Daroo,20210705,13550.00,14270.00,13550.00,13901.00,54854696912,3946206,1357,D,13870.00,14005.00
Tolid.Daroo,20210704,13838.00,14080.00,13838.00,13870.00,155139478432,11185060,2324,D,14566.00,13838.00
Tolid.Daroo,20210703,14800.00,15160.00,14433.00,14566.00,48838845966,3352938,973,D,15192.00,14433.00
Tolid.Daroo,20210630,15650.00,15689.00,14895.00,15192.00,71546797500,4709403,1765,D,15028.00,15030.00
Tolid.Daroo,20210629,14600.00,15760.00,14380.00,15028.00,341514601301,22725714,3995,D,15015.00,15550.00
Tolid.Daroo,20210628,15750.00,15750.00,14600.00,15015.00,59043906913,3932236,1358,D,15319.00,14710.00
Tolid.Daroo,20210627,14840.00,15405.00,14840.00,15319.00,101407172638,6619632,1705,D,14672.00,15405.00
Tolid.Daroo,20210626,14800.00,14970.00,14180.00,14672.00,34989849379,2384806,1130,D,14583.00,14830.00
Tolid.Daroo,20210623,14540.00,14860.00,14361.00,14583.00,26113659785,1790661,1054,D,14344.00,14690.00
Tolid.Daroo,20210622,14500.00,14940.00,13810.00,14344.00,106314938833,7411818,2521,D,14511.00,14500.00
Tolid.Daroo,20210621,14540.00,14777.00,14200.00,14511.00,62160037045,4283681,1975,D,14074.00,14365.00
Tolid.Daroo,20210620,13555.00,14560.00,13555.00,14074.00,68428033208,4861966,2333,D,14268.00,14550.00
Tolid.Daroo,20210619,14139.00,14890.00,14139.00,14268.00,59680187236,4182749,1768,D,15709.00,14139.00
Tolid.Daroo,20210616,14958.00,14958.00,14958.00,15709.00,653260734,43673,26,D,15745.00,14958.00
Tolid.Daroo,20210615,14980.00,14980.00,14980.00,15745.00,416983280,27836,24,D,15768.00,14980.00
Tolid.Daroo,20210614,15014.00,15014.00,15014.00,15768.00,651112138,43367,38,D,15804.00,15014.00
Tolid.Daroo,20210613,15041.00,15041.00,15041.00,15804.00,498654273,33153,17,D,15832.00,15041.00
Tolid.Daroo,20210612,15097.00,15097.00,15097.00,15832.00,1052819489,69737,37,D,15891.00,15097.00
Tolid.Daroo,20210609,15891.00,15891.00,15891.00,15891.00,10130035770,637470,103,D,16727.00,15891.00
Tolid.Daroo,20210608,17500.00,17500.00,16625.00,16727.00,22892288998,1368576,417,D,17838.00,16625.00
Tolid.Daroo,20210526,24662.00,24662.00,24662.00,25654.00,3317951494,134537,39,D,25960.00,24662.00
Tolid.Daroo,20210525,24906.00,24906.00,24906.00,25960.00,2773308006,111351,7,D,26216.00,24906.00
Tolid.Daroo,20210524,24941.00,24941.00,24941.00,26216.00,400303050,16050,7,D,26253.00,24941.00
Tolid.Daroo,20210523,24967.00,24967.00,24967.00,26253.00,303074413,12139,6,D,26281.00,24967.00
Tolid.Daroo,20210522,25010.00,25010.00,25010.00,26281.00,487344860,19486,6,D,26326.00,25010.00
Tolid.Daroo,20210519,25032.00,25032.00,25032.00,26326.00,245639016,9813,6,D,26349.00,25032.00
Tolid.Daroo,20210518,25062.00,25062.00,25062.00,26349.00,347158824,13852,9,D,26381.00,25062.00
Tolid.Daroo,20210517,25119.00,25119.00,25119.00,26381.00,648145557,25803,10,D,26441.00,25119.00
Tolid.Daroo,20210516,25149.00,25149.00,25149.00,26441.00,334733190,13310,8,D,26472.00,25149.00
Tolid.Daroo,20210515,25203.00,25203.00,25203.00,26472.00,607392300,24100,20,D,26529.00,25203.00
Tolid.Daroo,20210512,25745.00,25745.00,25745.00,26529.00,748587365,29077,21,D,26541.00,25745.00
Tolid.Daroo,20210511,25753.00,25753.00,25753.00,26541.00,468009269,18173,17,D,26549.00,25753.00
Tolid.Daroo,20210510,25771.00,25771.00,25771.00,26549.00,1153174937,44747,16,D,26568.00,25771.00
Tolid.Daroo,20210509,25771.00,25771.00,25771.00,26568.00,20771426,806,2,D,26568.00,25771.00
Tolid.Daroo,20210508,25776.00,25776.00,25776.00,26568.00,332716608,12908,8,D,26573.00,25776.00
Tolid.Daroo,20210505,25777.00,25777.00,25777.00,26573.00,45058196,1748,6,D,26574.00,25777.00
Tolid.Daroo,20210503,25779.00,25779.00,25779.00,26574.00,151838310,5890,6,D,26576.00,25779.00
Tolid.Daroo,20210502,25790.00,25790.00,25790.00,26576.00,687071390,26641,13,D,26587.00,25790.00
Tolid.Daroo,20210501,25792.00,25792.00,25792.00,26587.00,119442752,4631,5,D,26589.00,25792.00
Tolid.Daroo,20210428,25796.00,25796.00,25796.00,26589.00,237426384,9204,21,D,26593.00,25796.00
Tolid.Daroo,20210427,25965.00,25965.00,25965.00,26593.00,10583100315,407591,24,D,26768.00,25965.00
Tolid.Daroo,20210426,25966.00,25966.00,25966.00,26768.00,33262446,1281,4,D,26769.00,25966.00
Tolid.Daroo,20210425,25967.00,25967.00,25967.00,26769.00,48038950,1850,4,D,26770.00,25967.00
Tolid.Daroo,20210424,25968.00,25968.00,25968.00,26770.00,65647104,2528,6,D,26771.00,25968.00
Tolid.Daroo,20210421,25970.00,25970.00,25970.00,26771.00,112450100,4330,10,D,26773.00,25970.00
Tolid.Daroo,20210420,26244.00,26244.00,26244.00,26773.00,545560272,20788,20,D,26779.00,26244.00
Tolid.Daroo,20210419,26244.00,26244.00,26244.00,26779.00,15352740,585,2,D,26779.00,26244.00
Tolid.Daroo,20210418,26251.00,26251.00,26251.00,26779.00,622883728,23728,8,D,26786.00,26251.00
Tolid.Daroo,20210417,26259.00,26259.00,26259.00,26786.00,729501279,27781,12,D,26794.00,26259.00
Tolid.Daroo,20210414,26262.00,26262.00,26262.00,26794.00,305637156,11638,10,D,26797.00,26262.00
Tolid.Daroo,20210413,26288.00,26288.00,26288.00,26797.00,2457481104,93483,31,D,26824.00,26288.00
Tolid.Daroo,20210412,26291.00,26291.00,26291.00,26824.00,309103287,11757,17,D,26827.00,26291.00
Tolid.Daroo,20210411,26292.00,26292.00,26292.00,26827.00,70935816,2698,6,D,26828.00,26292.00
Tolid.Daroo,20210410,26297.00,26297.00,26297.00,26828.00,465798761,17713,17,D,26833.00,26297.00
Tolid.Daroo,20210407,26302.00,26302.00,26302.00,26833.00,487086738,18519,15,D,26838.00,26302.00
Tolid.Daroo,20210406,26341.00,26341.00,26341.00,26838.00,3589646116,136276,43,D,26878.00,26341.00
Tolid.Daroo,20210405,26500.00,26500.00,26500.00,26878.00,14435530500,544737,148,D,27040.00,26500.00
Tolid.Daroo,20210404,26533.00,26533.00,26533.00,27040.00,3008523804,113388,99,D,27074.00,26533.00
Tolid.Daroo,20210403,27070.00,27850.00,27060.00,27074.00,49257987003,1819391,837,D,27612.00,27060.00
Tolid.Daroo,20210331,28200.00,28949.00,27035.00,27612.00,174081112211,6304623,3003,D,27586.00,27450.00
Tolid.Daroo,20210330,26494.00,28500.00,26494.00,27586.00,205592043529,7452793,3559,D,27034.00,28200.00
Tolid.Daroo,20210328,26542.00,26542.00,26542.00,27034.00,4439255668,167254,119,D,27083.00,26542.00
Tolid.Daroo,20210327,26728.00,26800.00,26728.00,27083.00,17254745920,645470,361,D,27273.00,26728.00
Tolid.Daroo,20210317,27238.00,27760.00,27238.00,27273.00,59539396565,2183051,842,D,27793.00,27238.00
Tolid.Daroo,20210316,27262.00,27262.00,27262.00,27793.00,2207976642,80991,72,D,27818.00,27262.00
Tolid.Daroo,20210315,27277.00,27277.00,27277.00,27818.00,1285592287,47131,24,D,27833.00,27277.00
Tolid.Daroo,20210314,27284.00,27284.00,27284.00,27833.00,620356308,22737,38,D,27840.00,27284.00
Tolid.Daroo,20210313,27291.00,27291.00,27291.00,27840.00,644968203,23633,36,D,27847.00,27291.00
Tolid.Daroo,20210310,27296.00,27296.00,27296.00,27847.00,529706176,19406,23,D,27853.00,27296.00
Tolid.Daroo,20210309,27306.00,27306.00,27306.00,27853.00,897985116,32886,30,D,27863.00,27306.00
Tolid.Daroo,20210308,27312.00,27312.00,27312.00,27863.00,523489104,19167,33,D,27869.00,27312.00
Tolid.Daroo,20210307,27319.00,27319.00,27319.00,27869.00,576786047,21113,40,D,27876.00,27319.00
Tolid.Daroo,20210306,27326.00,27326.00,27326.00,27876.00,577289076,21126,19,D,27883.00,27326.00
Tolid.Daroo,20210303,27332.00,27332.00,27332.00,27883.00,541993560,19830,23,D,27889.00,27332.00
Tolid.Daroo,20210302,27721.00,28900.00,27721.00,27889.00,70171484017,2516114,1267,D,28286.00,27721.00
Tolid.Daroo,20210301,27737.00,27737.00,27737.00,28286.00,1459243570,52610,48,D,28303.00,27737.00
Tolid.Daroo,20210228,27746.00,27746.00,27746.00,28303.00,797475532,28742,15,D,28312.00,27746.00
Tolid.Daroo,20210227,27756.00,27756.00,27756.00,28312.00,852886368,30728,21,D,28322.00,27756.00
Tolid.Daroo,20210224,27803.00,27803.00,27803.00,28322.00,4071248896,146432,60,D,28370.00,27803.00
Tolid.Daroo,20210223,27874.00,27874.00,27874.00,28370.00,6160460614,221011,72,D,28442.00,27874.00
Tolid.Daroo,20210222,27897.00,27897.00,27897.00,28442.00,2061169845,73885,32,D,28466.00,27897.00
Tolid.Daroo,20210221,28200.00,28200.00,27934.00,28466.00,3537356682,126429,89,D,28504.00,27934.00
Tolid.Daroo,20210220,29000.00,29490.00,28197.00,28504.00,57364445235,2012485,1247,D,28772.00,28200.00
Tolid.Daroo,20210217,29230.00,29300.00,28628.00,28772.00,106838514995,3713267,1403,D,29212.00,29149.00
Tolid.Daroo,20210216,28693.00,30000.00,28215.00,29212.00,119133947065,4078194,2255,D,28693.00,29065.00
