<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Bahman.Dizel.Co,20210921,52300.00,52300.00,48937.00,50538.00,10098339016,203600,244,D,51512.00,49950.00
S*Bahman.Dizel.Co,20210920,54289.00,54289.00,50073.00,51512.00,19701444022,382858,432,D,52708.00,51020.00
S*Bahman.Dizel.Co,20210919,52200.00,53250.00,50840.00,52708.00,9088657590,175869,209,D,53515.00,51557.00
S*Bahman.Dizel.Co,20210918,54599.00,54599.00,52147.00,53515.00,3445187830,65911,96,D,53760.00,52200.00
S*Bahman.Dizel.Co,20210915,54599.00,54599.00,52601.00,53760.00,4621492014,86562,227,D,53862.00,52932.00
S*Bahman.Dizel.Co,20210914,52470.00,54920.00,52470.00,53862.00,11495393587,214190,311,D,54084.00,53604.00
S*Bahman.Dizel.Co,20210913,54960.00,55053.00,52640.00,54084.00,5803378466,107818,198,D,54179.00,53690.00
S*Bahman.Dizel.Co,20210912,57380.00,57500.00,53751.00,54179.00,23281064880,429705,316,D,56579.00,54799.00
S*Bahman.Dizel.Co,20210911,56900.00,56900.00,55000.00,56579.00,13925248621,249248,278,D,57754.00,55800.00
S*Bahman.Dizel.Co,20210908,56999.00,58346.00,55057.00,57754.00,22597427412,391102,425,D,56647.00,57600.00
S*Bahman.Dizel.Co,20210907,57000.00,58480.00,55465.00,56647.00,30125751126,531811,448,D,58384.00,56632.00
S*Bahman.Dizel.Co,20210906,56990.00,58765.00,56000.00,58384.00,98062319951,1679611,1084,D,55967.00,57000.00
S*Bahman.Dizel.Co,20210905,54500.00,56614.00,53200.00,55967.00,63043291627,1126434,515,D,53919.00,56614.00
S*Bahman.Dizel.Co,20210904,53155.00,54271.00,52039.00,53919.00,95406632768,1769440,568,D,51687.00,54271.00
S*Bahman.Dizel.Co,20210901,52000.00,53000.00,50600.00,51687.00,14099014268,272885,348,D,51730.00,52940.00
S*Bahman.Dizel.Co,20210831,51000.00,53158.00,49600.00,51730.00,23857226647,461187,306,D,51610.00,50800.00
S*Bahman.Dizel.Co,20210830,53300.00,54180.00,50647.00,51610.00,38513926818,746250,450,D,53312.00,51712.00
S*Bahman.Dizel.Co,20210829,55400.00,55400.00,51514.00,53312.00,53573624698,1004915,675,D,54225.00,54000.00
S*Bahman.Dizel.Co,20210828,53990.00,55150.00,51701.00,54225.00,35843829304,661016,560,D,52873.00,55145.00
S*Bahman.Dizel.Co,20210825,54888.00,54888.00,51700.00,52873.00,43763456651,827710,549,D,54299.00,52670.00
S*Bahman.Dizel.Co,20210824,54000.00,55000.00,52541.00,54299.00,22915759000,422028,358,D,54351.00,53860.00
S*Bahman.Dizel.Co,20210823,56900.00,56900.00,53236.00,54351.00,32432588876,596721,382,D,56037.00,54000.00
S*Bahman.Dizel.Co,20210822,55600.00,57728.00,55050.00,56037.00,53083575071,947292,357,D,55497.00,55960.00
S*Bahman.Dizel.Co,20210815,54860.00,56500.00,53095.00,55497.00,43350026350,781121,401,D,55338.00,55700.00
S*Bahman.Dizel.Co,20210814,54200.00,56200.00,51151.00,55338.00,24272835770,438629,425,D,53768.00,54855.00
S*Bahman.Dizel.Co,20210811,52000.00,54990.00,52000.00,53768.00,22219544188,413246,302,D,52685.00,54200.00
S*Bahman.Dizel.Co,20210810,52690.00,53666.00,51551.00,52685.00,25094136814,476302,349,D,52663.00,52470.00
S*Bahman.Dizel.Co,20210809,53106.00,53290.00,51530.00,52663.00,61305409423,1164117,495,D,53206.00,52698.00
S*Bahman.Dizel.Co,20210808,54789.00,54789.00,51520.00,53206.00,12798117895,243444,283,D,54194.00,53128.00
S*Bahman.Dizel.Co,20210807,56200.00,56200.00,52620.00,54194.00,7851057869,144731,196,D,54165.00,54300.00
S*Bahman.Dizel.Co,20210804,55688.00,55688.00,53664.00,54165.00,28825968126,532188,317,D,53664.00,54000.00
S*Bahman.Dizel.Co,20210803,53970.00,54714.00,51107.00,53664.00,41896231335,780719,716,D,52109.00,54714.00
S*Bahman.Dizel.Co,20210802,49200.00,52187.00,49200.00,52109.00,66547852381,1277093,501,D,49702.00,52187.00
S*Bahman.Dizel.Co,20210801,49900.00,51100.00,48500.00,49702.00,28541495086,574257,394,D,50621.00,50400.00
S*Bahman.Dizel.Co,20210731,50282.00,51550.00,49500.00,50621.00,18128618968,357841,368,D,50283.00,50000.00
S*Bahman.Dizel.Co,20210728,50500.00,50750.00,48500.00,50283.00,24319737120,483658,514,D,49618.00,50211.00
S*Bahman.Dizel.Co,20210727,49500.00,50789.00,47420.00,49618.00,13597832903,274794,301,D,49914.00,49925.00
S*Bahman.Dizel.Co,20210726,49924.00,49924.00,48000.00,49914.00,62327897830,1248710,440,D,47547.00,49924.00
S*Bahman.Dizel.Co,20210719,48130.00,48899.00,46948.00,47547.00,21042956869,442573,358,D,48797.00,47980.00
S*Bahman.Dizel.Co,20210718,47800.00,49900.00,47800.00,48797.00,12157044422,250729,215,D,49317.00,48790.00
S*Bahman.Dizel.Co,20210717,50700.00,50700.00,47510.00,49317.00,21256135831,431014,349,D,49054.00,49800.00
S*Bahman.Dizel.Co,20210714,48452.00,50499.00,47322.00,49054.00,73424848902,1496826,489,D,48452.00,49500.00
