<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Alborz.Invest.,20210921,8236.00,8350.00,7771.00,7866.00,35995454821,4575875,692,D,8179.00,7920.00
Alborz.Invest.,20210920,7812.00,8242.00,7812.00,8179.00,59357896082,7257003,1089,D,7850.00,8110.00
Alborz.Invest.,20210919,8030.00,8400.00,7639.00,7850.00,46536981389,5928489,927,D,8041.00,8041.00
Alborz.Invest.,20210918,7930.00,8440.00,7800.00,8041.00,42023517056,5226226,1150,D,8072.00,8187.00
Alborz.Invest.,20210915,8469.00,8469.00,7933.00,8072.00,23564085608,2919227,725,D,8350.00,8065.00
Alborz.Invest.,20210914,8300.00,8412.00,7750.00,8350.00,48555471163,5814922,953,D,8012.00,8399.00
Alborz.Invest.,20210913,7500.00,8066.00,7391.00,8012.00,126113449119,15739615,1099,D,7682.00,8066.00
Alborz.Invest.,20210912,7882.00,8050.00,7659.00,7682.00,27792369902,3618038,591,D,8062.00,7663.00
Alborz.Invest.,20210911,7935.00,8590.00,7880.00,8062.00,22772356546,2824580,602,D,8277.00,7889.00
Alborz.Invest.,20210908,8500.00,8630.00,8243.00,8277.00,50956155530,6156132,1031,D,8676.00,8260.00
Alborz.Invest.,20210907,8776.00,9000.00,8333.00,8676.00,67905818464,7827064,1305,D,8771.00,8500.00
Alborz.Invest.,20210906,8775.00,8775.00,8573.00,8771.00,151502559114,17272616,1119,D,8358.00,8629.00
Alborz.Invest.,20210905,8350.00,8360.00,8120.00,8358.00,47696081544,5706972,336,D,7962.00,8360.00
Alborz.Invest.,20210904,7980.00,8079.00,7695.00,7962.00,35275774500,4430277,659,D,7695.00,8079.00
Alborz.Invest.,20210901,7474.00,7868.00,7474.00,7695.00,23463516179,3049374,538,D,7505.00,7850.00
Alborz.Invest.,20210831,7429.00,7745.00,7419.00,7505.00,34901123329,4650316,659,D,7809.00,7419.00
Alborz.Invest.,20210830,7800.00,7990.00,7776.00,7809.00,21717450485,2781094,452,D,8185.00,7776.00
Alborz.Invest.,20210829,8350.00,8500.00,7951.00,8185.00,59715691163,7295748,1428,D,8349.00,8140.00
Alborz.Invest.,20210828,8338.00,8358.00,8200.00,8349.00,108608154136,13008858,1408,D,7960.00,8358.00
Alborz.Invest.,20210825,7790.00,8071.00,7750.00,7960.00,43676583935,5486954,854,D,7687.00,8071.00
Alborz.Invest.,20210824,7760.00,7760.00,7400.00,7687.00,36127842400,4699705,838,D,7542.00,7740.00
Alborz.Invest.,20210823,7540.00,7790.00,7245.00,7542.00,21091070335,2796504,557,D,7537.00,7533.00
Alborz.Invest.,20210822,7500.00,7680.00,7361.00,7537.00,19566991267,2595990,492,D,7329.00,7580.00
Alborz.Invest.,20210815,7310.00,7445.00,7177.00,7329.00,16227150921,2214078,470,D,7339.00,7385.00
Alborz.Invest.,20210814,7500.00,7600.00,7283.00,7339.00,31490740307,4290737,906,D,7666.00,7290.00
Alborz.Invest.,20210811,7910.00,7910.00,7510.00,7666.00,38960085140,5082015,927,D,7746.00,7590.00
Alborz.Invest.,20210810,7880.00,7880.00,7600.00,7746.00,34993452420,4517572,856,D,7554.00,7720.00
Alborz.Invest.,20210809,7349.00,7629.00,7270.00,7554.00,51286399638,6789063,950,D,7266.00,7629.00
Alborz.Invest.,20210808,7180.00,7344.00,7111.00,7266.00,12678951557,1742351,400,D,7211.00,7259.00
Alborz.Invest.,20210807,7267.00,7310.00,7000.00,7211.00,22554870666,3128016,457,D,7131.00,7247.00
Alborz.Invest.,20210804,7220.00,7270.00,7055.00,7131.00,21233324941,2977639,422,D,7029.00,7223.00
Alborz.Invest.,20210803,7172.00,7172.00,6962.00,7029.00,15791055893,2246435,516,D,7189.00,7087.00
Alborz.Invest.,20210802,7388.00,7388.00,7171.00,7189.00,39680110938,5519935,784,D,7548.00,7171.00
Alborz.Invest.,20210801,7577.00,7740.00,7202.00,7548.00,34966339633,4632528,842,D,7498.00,7329.00
Alborz.Invest.,20210731,7200.00,7640.00,7200.00,7498.00,44318705840,5910710,790,D,7334.00,7480.00
Alborz.Invest.,20210728,7060.00,7423.00,6926.00,7334.00,87816484048,11973828,1137,D,7070.00,7423.00
Alborz.Invest.,20210727,7140.00,7289.00,6900.00,7070.00,14770418114,2089042,466,D,7226.00,7005.00
Alborz.Invest.,20210726,7220.00,7480.00,7155.00,7226.00,21180393894,2930951,524,D,7311.00,7180.00
Alborz.Invest.,20210719,6951.00,7408.00,6950.00,7311.00,30772866956,4209199,800,D,7056.00,7390.00
Alborz.Invest.,20210718,7150.00,7275.00,6981.00,7056.00,24415002542,3460183,589,D,7275.00,7020.00
Alborz.Invest.,20210717,7250.00,7520.00,7110.00,7275.00,21880473945,3007677,543,D,7411.00,7200.00
Alborz.Invest.,20210714,7350.00,7740.00,7200.00,7411.00,17393949907,2346895,467,D,7549.00,7490.00
Alborz.Invest.,20210713,7430.00,7900.00,7358.00,7549.00,25790751163,3416368,801,D,7683.00,7585.00
Alborz.Invest.,20210712,7831.00,7920.00,7460.00,7683.00,31516333881,4101972,872,D,7645.00,7550.00
Alborz.Invest.,20210711,7470.00,7663.00,7350.00,7645.00,43010069753,5626264,413,D,7299.00,7663.00
Alborz.Invest.,20210710,7306.00,7390.00,7070.00,7299.00,24602958311,3370570,630,D,7306.00,7390.00
Alborz.Invest.,20210707,7353.00,7554.00,7254.00,7306.00,55247420223,7562210,1254,D,7635.00,7310.00
Alborz.Invest.,20210706,7831.00,7831.00,7300.00,7635.00,217517880245,28490185,2514,D,7459.00,7351.00
Alborz.Invest.,20210705,7459.00,7459.00,7459.00,7459.00,25731364513,3449707,119,D,7104.00,7459.00
Alborz.Invest.,20210704,7104.00,7104.00,7104.00,7104.00,56544458496,7959524,209,D,6766.00,7104.00
Alborz.Invest.,20210703,6325.00,6826.00,6324.00,6766.00,83821441598,12387737,1285,D,6501.00,6826.00
Alborz.Invest.,20210630,6646.00,6686.00,6353.00,6501.00,11316729635,1735125,375,D,6447.00,6450.00
Alborz.Invest.,20210629,6243.00,6553.00,6182.00,6447.00,30739319815,4768348,577,D,6241.00,6553.00
Alborz.Invest.,20210628,6195.00,6430.00,6195.00,6241.00,19329716181,3097241,418,D,6377.00,6200.00
Alborz.Invest.,20210627,6261.00,6517.00,6261.00,6377.00,9399344876,1477221,353,D,6400.00,6305.00
Alborz.Invest.,20210626,6295.00,6518.00,6091.00,6400.00,27705928712,4328991,737,D,6208.00,6450.00
Alborz.Invest.,20210623,6280.00,6299.00,6070.00,6208.00,20083295741,3235016,600,D,6213.00,6195.00
Alborz.Invest.,20210622,6380.00,6390.00,6019.00,6213.00,17528988852,2821169,480,D,6172.00,6180.00
Alborz.Invest.,20210621,5850.00,6392.00,5850.00,6172.00,25265800801,4093767,628,D,6090.00,6300.00
Alborz.Invest.,20210620,6100.00,6300.00,6000.00,6090.00,10982930274,1802758,374,D,6084.00,6062.00
Alborz.Invest.,20210619,5920.00,6190.00,5910.00,6084.00,11088889271,1821347,445,D,6072.00,6080.00
Alborz.Invest.,20210616,5850.00,6230.00,5850.00,6072.00,17580191611,2895355,600,D,6046.00,6070.00
Alborz.Invest.,20210615,6120.00,6250.00,5812.00,6046.00,27574173108,4560558,810,D,6106.00,6020.00
Alborz.Invest.,20210614,6170.00,6480.00,6017.00,6106.00,42737235057,6998715,1224,D,6333.00,6018.00
Alborz.Invest.,20210613,6199.00,6396.00,6125.00,6333.00,32414467618,5118424,893,D,6092.00,6396.00
Alborz.Invest.,20210612,6036.00,6270.00,6036.00,6092.00,66059126239,10844087,1574,D,6353.00,6125.00
Alborz.Invest.,20210609,6353.00,6353.00,6353.00,6353.00,14689381188,2312196,179,D,7058.00,6353.00
Alborz.Invest.,20210608,6747.00,6747.00,6747.00,7058.00,1751986743,259669,30,D,7102.00,6747.00
Alborz.Invest.,20210607,6753.00,6753.00,6753.00,7102.00,230864811,34187,11,D,7108.00,6753.00
Alborz.Invest.,20210602,6758.00,6758.00,6758.00,7108.00,213627138,31611,15,D,7113.00,6758.00
Alborz.Invest.,20210601,6761.00,6761.00,6761.00,7113.00,102165471,15111,7,D,7116.00,6761.00
Alborz.Invest.,20210531,6771.00,6771.00,6771.00,7116.00,431576769,63739,12,D,7127.00,6771.00
Alborz.Invest.,20210530,6797.00,6797.00,6797.00,7127.00,1065055915,156695,27,D,7154.00,6797.00
Alborz.Invest.,20210529,6820.00,6820.00,6820.00,7154.00,960617460,140853,30,D,7178.00,6820.00
Alborz.Invest.,20210526,6823.00,6823.00,6823.00,7178.00,141277038,20706,5,D,7182.00,6823.00
Alborz.Invest.,20210525,6828.00,6828.00,6828.00,7182.00,211770420,31015,6,D,7187.00,6828.00
Alborz.Invest.,20210524,6833.00,6833.00,6833.00,7187.00,198157000,29000,4,D,7192.00,6833.00
Alborz.Invest.,20210523,6835.00,6835.00,6835.00,7192.00,68350000,10000,1,D,7194.00,6835.00
Alborz.Invest.,20210522,6837.00,6837.00,6837.00,7194.00,92299500,13500,2,D,7196.00,6837.00
Alborz.Invest.,20210519,6840.00,6840.00,6840.00,7196.00,109665720,16033,4,D,7199.00,6840.00
Alborz.Invest.,20210518,6846.00,6846.00,6846.00,7199.00,260442378,38043,6,D,7206.00,6846.00
Alborz.Invest.,20210517,6850.00,6850.00,6850.00,7206.00,168852500,24650,9,D,7210.00,6850.00
Alborz.Invest.,20210516,6890.00,6890.00,6890.00,7210.00,1637690990,237691,13,D,7252.00,6890.00
Alborz.Invest.,20210515,6896.00,6896.00,6896.00,7252.00,246945760,35810,17,D,7258.00,6896.00
Alborz.Invest.,20210512,7041.00,7041.00,7041.00,7258.00,17046261,2421,2,D,7258.00,7041.00
Alborz.Invest.,20210511,7042.00,7042.00,7042.00,7258.00,116531016,16548,12,D,7259.00,7042.00
Alborz.Invest.,20210510,7043.00,7043.00,7043.00,7259.00,160862120,22840,10,D,7260.00,7043.00
Alborz.Invest.,20210509,7043.00,7043.00,7043.00,7260.00,31158232,4424,3,D,7260.00,7043.00
Alborz.Invest.,20210508,7043.00,7043.00,7043.00,7260.00,72711932,10324,8,D,7260.00,7043.00
Alborz.Invest.,20210505,7043.00,7043.00,7043.00,7260.00,78029397,11079,7,D,7260.00,7043.00
Alborz.Invest.,20210503,7043.00,7043.00,7043.00,7260.00,23629265,3355,3,D,7260.00,7043.00
Alborz.Invest.,20210502,7043.00,7043.00,7043.00,7260.00,45687941,6487,4,D,7260.00,7043.00
Alborz.Invest.,20210501,7043.00,7043.00,7043.00,7260.00,29587643,4201,4,D,7260.00,7043.00
Alborz.Invest.,20210428,7044.00,7044.00,7044.00,7260.00,220434936,31294,14,D,7261.00,7044.00
Alborz.Invest.,20210427,7044.00,7044.00,7044.00,7261.00,73539360,10440,11,D,7261.00,7044.00
Alborz.Invest.,20210426,7045.00,7045.00,7045.00,7261.00,142428765,20217,11,D,7262.00,7045.00
Alborz.Invest.,20210425,7045.00,7045.00,7045.00,7262.00,83863680,11904,9,D,7262.00,7045.00
Alborz.Invest.,20210418,8243.00,8490.00,8243.00,8252.00,60846982765,7373753,748,D,8411.00,8243.00
Alborz.Invest.,20210417,8272.00,8272.00,8272.00,8411.00,8454000544,1022002,62,D,8440.00,8272.00
Alborz.Invest.,20210414,8297.00,8297.00,8297.00,8440.00,7475480842,900986,53,D,8466.00,8297.00
Alborz.Invest.,20210413,8322.00,8322.00,8322.00,8466.00,7344847404,882582,71,D,8491.00,8322.00
Alborz.Invest.,20210412,8344.00,8344.00,8344.00,8491.00,6497406048,778692,36,D,8514.00,8344.00
Alborz.Invest.,20210411,8345.00,8345.00,8345.00,8514.00,274900990,32942,6,D,8515.00,8345.00
Alborz.Invest.,20210410,8346.00,8346.00,8346.00,8515.00,244203960,29260,9,D,8516.00,8346.00
Alborz.Invest.,20210407,8347.00,8347.00,8347.00,8516.00,216078789,25887,10,D,8517.00,8347.00
Alborz.Invest.,20210406,8348.00,8348.00,8348.00,8517.00,342276348,41001,16,D,8518.00,8348.00
Alborz.Invest.,20210405,8350.00,8350.00,8350.00,8518.00,602318900,72134,17,D,8520.00,8350.00
Alborz.Invest.,20210404,8362.00,8362.00,8362.00,8520.00,3497707532,418286,36,D,8532.00,8362.00
Alborz.Invest.,20210403,8580.00,8580.00,8379.00,8532.00,6780352511,805073,153,D,8550.00,8379.00
Alborz.Invest.,20210331,8410.00,8680.00,8233.00,8550.00,114724159347,13417459,2519,D,8189.00,8680.00
Alborz.Invest.,20210330,8114.00,8470.00,8114.00,8189.00,88738337928,10835778,1615,D,8279.00,8360.00
