<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Fara.Bourse,20210921,36480.00,37448.00,36480.00,37319.00,2429948498332,65112453,16640,D,35665.00,37448.00
Iran.Fara.Bourse,20210913,35665.00,35665.00,35655.00,35665.00,279168449815,7827527,1592,D,33967.00,35665.00
Iran.Fara.Bourse,20210912,33968.00,34967.00,32001.00,33967.00,1392704407540,41001921,18341,D,33302.00,34967.00
Iran.Fara.Bourse,20210911,33491.00,33491.00,32350.00,33302.00,1624885279335,48792020,16323,D,31897.00,33491.00
Iran.Fara.Bourse,20210908,30000.00,32143.00,30000.00,31897.00,463267269628,14523817,5644,D,30613.00,32143.00
Iran.Fara.Bourse,20210907,31250.00,31530.00,30330.00,30613.00,971435814437,31732979,11269,D,31926.00,30330.00
Iran.Fara.Bourse,20210906,33145.00,34000.00,31535.00,31926.00,1781148633703,55789837,21200,D,33194.00,31535.00
Iran.Fara.Bourse,20210905,32100.00,33920.00,30800.00,33194.00,2934277819298,88396899,34068,D,32305.00,33400.00
Iran.Fara.Bourse,20210904,32347.00,32347.00,30900.00,32305.00,887727308778,27479328,5332,D,30807.00,32300.00
Iran.Fara.Bourse,20210901,30841.00,30841.00,30027.00,30807.00,415516604553,13487843,2934,D,29373.00,30841.00
Iran.Fara.Bourse,20210831,27540.00,30438.00,27540.00,29373.00,3009579423543,102459393,16547,D,28989.00,30438.00
Iran.Fara.Bourse,20210830,28989.00,28989.00,28989.00,28989.00,145091452428,5005052,1776,D,30514.00,28989.00
Iran.Fara.Bourse,20210828,30514.00,30514.00,30514.00,30514.00,88878646538,2912717,842,D,29061.00,30514.00
Iran.Fara.Bourse,20210825,29061.00,29061.00,29061.00,29061.00,87061466898,2995818,940,D,27678.00,29061.00
Iran.Fara.Bourse,20210824,28716.00,28716.00,28716.00,27678.00,19346371224,673714,162,D,27349.00,28716.00
Iran.Fara.Bourse,20210815,27349.00,27349.00,27349.00,27349.00,88388357932,3231868,852,D,26047.00,27349.00
Iran.Fara.Bourse,20210814,26055.00,26055.00,25488.00,26047.00,294910104613,11322436,2585,D,24815.00,26055.00
Iran.Fara.Bourse,20210811,24500.00,25038.00,23350.00,24815.00,666513345485,26858953,6813,D,23846.00,25038.00
Iran.Fara.Bourse,20210810,23866.00,23866.00,23293.00,23846.00,765335781949,32094819,5100,D,22730.00,23866.00
Iran.Fara.Bourse,20210809,22730.00,22730.00,22730.00,22730.00,82680034050,3637485,615,D,21648.00,22730.00
Iran.Fara.Bourse,20210808,21785.00,21785.00,21785.00,21648.00,52932517665,2429769,618,D,20748.00,21785.00
Iran.Fara.Bourse,20210807,20792.00,20990.00,20146.00,20748.00,344149961140,16587290,4465,D,19991.00,20990.00
Iran.Fara.Bourse,20210804,19270.00,20370.00,19000.00,19991.00,646194462369,32324191,8127,D,19400.00,20370.00
Iran.Fara.Bourse,20210803,19421.00,19421.00,19000.00,19400.00,1629556686566,83998796,12607,D,18497.00,19112.00
Iran.Fara.Bourse,20210802,18497.00,18497.00,18497.00,18497.00,53576153566,2896478,579,D,17617.00,18497.00
Iran.Fara.Bourse,20210801,17617.00,17617.00,17617.00,17617.00,50404245338,2861114,581,D,16779.00,17617.00
Iran.Fara.Bourse,20210731,16779.00,16779.00,16779.00,16779.00,104812993383,6246677,1031,D,15980.00,16779.00
Iran.Fara.Bourse,20210728,15980.00,15980.00,15980.00,15980.00,206805393720,12941514,674,D,12060.00,15980.00
Iran.Fara.Bourse,20210706,31265.00,32100.00,29750.00,30549.00,738026286408,24158881,10423,D,31147.00,29830.00
Iran.Fara.Bourse,20210705,30875.00,31203.00,30630.00,31147.00,858237409482,27554324,6172,D,29718.00,31203.00
Iran.Fara.Bourse,20210704,28454.00,31300.00,28454.00,29718.00,903609487038,30405779,10141,D,29951.00,30700.00
Iran.Fara.Bourse,20210703,29880.00,31200.00,29868.00,29951.00,108091809364,3608911,1589,D,31439.00,29868.00
Iran.Fara.Bourse,20210630,33190.00,33190.00,30626.00,31439.00,576634147028,18341122,7512,D,32237.00,30750.00
Iran.Fara.Bourse,20210629,32600.00,33300.00,31202.00,32237.00,452649531641,14041516,5528,D,32083.00,32000.00
Iran.Fara.Bourse,20210628,31501.00,33870.00,30815.00,32083.00,981276558237,30585502,9812,D,32436.00,31450.00
Iran.Fara.Bourse,20210627,32645.00,32645.00,30000.00,32436.00,1772533492322,54647149,13553,D,31091.00,32440.00
Iran.Fara.Bourse,20210626,31091.00,31091.00,31091.00,31091.00,42573123937,1369307,434,D,29611.00,31091.00
Iran.Fara.Bourse,20210623,29611.00,29611.00,29611.00,29611.00,41101607772,1388052,487,D,28201.00,29611.00
Iran.Fara.Bourse,20210622,28201.00,28201.00,28201.00,28201.00,83905561069,2975269,713,D,26859.00,28201.00
Iran.Fara.Bourse,20210621,26200.00,27022.00,26000.00,26859.00,133226209233,4960264,1435,D,25736.00,27022.00
Iran.Fara.Bourse,20210620,25500.00,26153.00,24450.00,25736.00,511349317930,19868707,7118,D,24908.00,26153.00
Iran.Fara.Bourse,20210619,24751.00,25760.00,24751.00,24908.00,1313933577342,52752116,11430,D,26053.00,25090.00
Iran.Fara.Bourse,20210616,26053.00,26053.00,26053.00,26053.00,116600748613,4475521,268,D,27424.00,26053.00
Iran.Fara.Bourse,20210615,27424.00,27424.00,27424.00,27424.00,85618770112,3122038,137,D,28867.00,27424.00
Iran.Fara.Bourse,20210614,27458.00,27458.00,27458.00,28867.00,771322678,28091,34,D,28903.00,27458.00
Iran.Fara.Bourse,20210613,27492.00,27492.00,27492.00,28903.00,746215356,27143,22,D,28938.00,27492.00
Iran.Fara.Bourse,20210612,27532.00,27532.00,27532.00,28938.00,905389820,32885,39,D,28981.00,27532.00
Iran.Fara.Bourse,20210609,27267.00,27267.00,27267.00,28981.00,13260705576,486328,366,D,30296.00,27267.00
Iran.Fara.Bourse,20210608,28820.00,28820.00,28820.00,30296.00,844973580,29319,42,D,30336.00,28820.00
Iran.Fara.Bourse,20210607,28855.00,28855.00,28855.00,30336.00,779892940,27028,49,D,30373.00,28855.00
Iran.Fara.Bourse,20210602,28919.00,28919.00,28919.00,30373.00,1443405128,49912,43,D,30441.00,28919.00
Iran.Fara.Bourse,20210601,28956.00,28956.00,28956.00,30441.00,798896040,27590,27,D,30479.00,28956.00
Iran.Fara.Bourse,20210531,28967.00,28967.00,28967.00,30479.00,264932182,9146,22,D,30491.00,28967.00
Iran.Fara.Bourse,20210530,29165.00,29165.00,29165.00,30491.00,4451453950,152630,98,D,30700.00,29165.00
Iran.Fara.Bourse,20210529,29298.00,29298.00,29298.00,30700.00,2957457312,100944,117,D,30839.00,29298.00
Iran.Fara.Bourse,20210526,29351.00,29351.00,29351.00,30839.00,1182375684,40284,27,D,30895.00,29351.00
Iran.Fara.Bourse,20210525,29394.00,29394.00,29394.00,30895.00,976292316,33214,27,D,30941.00,29394.00
Iran.Fara.Bourse,20210524,29431.00,29431.00,29431.00,30941.00,815827320,27720,11,D,30979.00,29431.00
Iran.Fara.Bourse,20210523,29447.00,29447.00,29447.00,30979.00,366703491,12453,9,D,30996.00,29447.00
Iran.Fara.Bourse,20210522,29458.00,29458.00,29458.00,30996.00,254723326,8647,9,D,31008.00,29458.00
Iran.Fara.Bourse,20210519,29483.00,29483.00,29483.00,31008.00,546614820,18540,17,D,31034.00,29483.00
Iran.Fara.Bourse,20210518,29544.00,29544.00,29544.00,31034.00,1353203832,45803,27,D,31098.00,29544.00
Iran.Fara.Bourse,20210517,29583.00,29583.00,29583.00,31098.00,880774659,29773,22,D,31139.00,29583.00
Iran.Fara.Bourse,20210516,29601.00,29601.00,29601.00,31139.00,399939111,13511,21,D,31158.00,29601.00
Iran.Fara.Bourse,20210515,29667.00,29667.00,29667.00,31158.00,1499785518,50554,59,D,31228.00,29667.00
Iran.Fara.Bourse,20210512,30317.00,30317.00,30317.00,31228.00,1359353646,44838,41,D,31254.00,30317.00
Iran.Fara.Bourse,20210511,30334.00,30334.00,30334.00,31254.00,945844454,31181,49,D,31272.00,30334.00
Iran.Fara.Bourse,20210510,30341.00,30341.00,30341.00,31272.00,353199581,11641,19,D,31279.00,30341.00
Iran.Fara.Bourse,20210509,30345.00,30345.00,30345.00,31279.00,190263150,6270,12,D,31283.00,30345.00
Iran.Fara.Bourse,20210508,30371.00,30371.00,30371.00,31283.00,1409032174,46394,16,D,31310.00,30371.00
Iran.Fara.Bourse,20210505,30387.00,30387.00,30387.00,31310.00,818018040,26920,33,D,31326.00,30387.00
Iran.Fara.Bourse,20210503,30390.00,30390.00,30390.00,31326.00,165412770,5443,10,D,31329.00,30390.00
Iran.Fara.Bourse,20210502,30394.00,30394.00,30394.00,31329.00,193427416,6364,13,D,31333.00,30394.00
Iran.Fara.Bourse,20210501,30398.00,30398.00,30398.00,31333.00,266468868,8766,15,D,31338.00,30398.00
Iran.Fara.Bourse,20210428,30421.00,30421.00,30421.00,31338.00,1173337970,38570,46,D,31361.00,30421.00
Iran.Fara.Bourse,20210427,30449.00,30449.00,30449.00,31361.00,1501988272,49328,49,D,31390.00,30449.00
Iran.Fara.Bourse,20210426,30455.00,30455.00,30455.00,31390.00,324558935,10657,25,D,31396.00,30455.00
Iran.Fara.Bourse,20210425,30459.00,30459.00,30459.00,31396.00,250982160,8240,17,D,31401.00,30459.00
Iran.Fara.Bourse,20210424,30467.00,30467.00,30467.00,31401.00,396802208,13024,20,D,31409.00,30467.00
Iran.Fara.Bourse,20210421,30474.00,30474.00,30474.00,31409.00,346946490,11385,18,D,31416.00,30474.00
Iran.Fara.Bourse,20210420,30810.00,30810.00,30810.00,31416.00,1740148800,56480,46,D,31438.00,30810.00
Iran.Fara.Bourse,20210419,30823.00,30823.00,30823.00,31438.00,1074520603,34861,20,D,31452.00,30823.00
Iran.Fara.Bourse,20210418,30825.00,30825.00,30825.00,31452.00,121820400,3952,13,D,31454.00,30825.00
Iran.Fara.Bourse,20210417,30830.00,30830.00,30830.00,31454.00,357812980,11606,28,D,31459.00,30830.00
Iran.Fara.Bourse,20210414,30848.00,30848.00,30848.00,31459.00,1398463232,45334,42,D,31477.00,30848.00
Iran.Fara.Bourse,20210413,30952.00,30952.00,30952.00,31477.00,8187051616,264508,170,D,31583.00,30952.00
Iran.Fara.Bourse,20210412,30968.00,30968.00,30968.00,31583.00,1273775776,41132,51,D,31599.00,30968.00
