<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Ghiam.AGRI&Husb,20210921,19920.00,20170.00,18790.00,18975.00,21741243152,1145761,494,D,19767.00,19010.00
Ghiam.AGRI&Husb,20210920,19970.00,19971.00,19190.00,19767.00,26615327978,1346437,668,D,19020.00,19899.00
Ghiam.AGRI&Husb,20210919,19600.00,20056.00,18876.00,19020.00,35556746187,1869412,579,D,19869.00,18999.00
Ghiam.AGRI&Husb,20210918,20200.00,20200.00,19847.00,19869.00,26715688947,1344573,275,D,20891.00,19847.00
Ghiam.AGRI&Husb,20210915,21550.00,21550.00,20440.00,20891.00,19107827988,914653,764,D,20571.00,21000.00
Ghiam.AGRI&Husb,20210914,19920.00,21000.00,19920.00,20571.00,25717379686,1250171,649,D,20400.00,20600.00
Ghiam.AGRI&Husb,20210913,20500.00,21242.00,20180.00,20400.00,30325572469,1486543,599,D,21242.00,20590.00
Ghiam.AGRI&Husb,20210912,22699.00,22699.00,21103.00,21242.00,35990321119,1694335,576,D,22213.00,21117.00
Ghiam.AGRI&Husb,20210911,22871.00,23000.00,21661.00,22213.00,18538919801,834607,555,D,22446.00,21732.00
Ghiam.AGRI&Husb,20210908,22870.00,22870.00,21800.00,22446.00,27364223683,1219131,890,D,22297.00,22650.00
Ghiam.AGRI&Husb,20210907,22530.00,22860.00,21931.00,22297.00,30842761629,1383289,965,D,23059.00,22313.00
Ghiam.AGRI&Husb,20210906,23601.00,24200.00,22520.00,23059.00,53273042230,2310262,1325,D,23580.00,22531.00
Ghiam.AGRI&Husb,20210905,23358.00,23801.00,22590.00,23580.00,75859636736,3217181,1398,D,22668.00,23790.00
Ghiam.AGRI&Husb,20210904,22990.00,22990.00,22321.00,22668.00,36581783223,1613802,931,D,22118.00,22890.00
Ghiam.AGRI&Husb,20210901,21268.00,22331.00,21090.00,22118.00,51932477740,2347947,626,D,21268.00,22320.00
Ghiam.AGRI&Husb,20210831,20992.00,22095.00,20992.00,21268.00,40753062520,1916187,738,D,22096.00,21340.00
Ghiam.AGRI&Husb,20210830,22090.00,22205.00,22082.00,22096.00,38743812074,1753395,497,D,23244.00,22082.00
Ghiam.AGRI&Husb,20210829,24000.00,24250.00,22120.00,23244.00,61398333467,2641515,1448,D,23278.00,22670.00
Ghiam.AGRI&Husb,20210828,23300.00,23316.00,22550.00,23278.00,60602710746,2603415,768,D,22206.00,23316.00
Ghiam.AGRI&Husb,20210825,22700.00,22700.00,21600.00,22206.00,52620156220,2369607,1129,D,22103.00,22470.00
Ghiam.AGRI&Husb,20210824,21890.00,22129.00,21700.00,22103.00,57758606492,2613101,717,D,21076.00,22129.00
Ghiam.AGRI&Husb,20210823,20969.00,21660.00,20556.00,21076.00,63923926176,3032948,1072,D,20969.00,21565.00
Ghiam.AGRI&Husb,20210822,21490.00,21490.00,20521.00,20969.00,52020824538,2480806,1032,D,20907.00,21050.00
Ghiam.AGRI&Husb,20210815,20640.00,21400.00,20101.00,20907.00,35494940013,1697783,765,D,20384.00,21200.00
Ghiam.AGRI&Husb,20210814,21310.00,21310.00,20112.00,20384.00,60655528239,2975684,1230,D,21116.00,20200.00
Ghiam.AGRI&Husb,20210811,21760.00,21760.00,20460.00,21116.00,57704631205,2732763,1192,D,20912.00,20700.00
Ghiam.AGRI&Husb,20210810,20199.00,21365.00,19730.00,20912.00,123619377686,5911415,1609,D,20348.00,21365.00
Ghiam.AGRI&Husb,20210809,20613.00,20613.00,19710.00,20348.00,176764041459,8687237,2543,D,19632.00,20100.00
Ghiam.AGRI&Husb,20210808,19632.00,19632.00,19632.00,19632.00,21776324832,1109226,156,D,18698.00,19632.00
Ghiam.AGRI&Husb,20210807,18698.00,18698.00,18698.00,18698.00,27076349424,1448088,224,D,17808.00,18698.00
Ghiam.AGRI&Husb,20210804,17980.00,18505.00,17739.00,17808.00,84487109137,4744203,1744,D,18672.00,18505.00
Ghiam.AGRI&Husb,20210803,19300.00,19300.00,18505.00,18672.00,54359119987,2911228,933,D,19478.00,18505.00
Ghiam.AGRI&Husb,20210802,19400.00,20000.00,19050.00,19478.00,27255507508,1399307,746,D,19901.00,19230.00
Ghiam.AGRI&Husb,20210801,19872.00,20303.00,19550.00,19901.00,32876363740,1651963,856,D,19854.00,19567.00
Ghiam.AGRI&Husb,20210731,19390.00,20200.00,19030.00,19854.00,49583721030,2497431,948,D,19815.00,20000.00
Ghiam.AGRI&Husb,20210728,20120.00,20300.00,19696.00,19815.00,36196870754,1826743,979,D,20732.00,19696.00
