<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Golgasht.Nemouneh,20210921,11940.00,12500.00,11717.00,12073.00,6952289122,588957,248,D,12333.00,11717.00
Golgasht.Nemouneh,20210920,12600.00,12620.00,12150.00,12333.00,14906979405,1208669,511,D,12325.00,12320.00
Golgasht.Nemouneh,20210919,12770.00,12900.00,12122.00,12325.00,12899105270,1051651,451,D,12759.00,12122.00
Golgasht.Nemouneh,20210918,12800.00,13155.00,12360.00,12759.00,35091207010,2750367,999,D,12540.00,12630.00
Golgasht.Nemouneh,20210915,12560.00,12930.00,12370.00,12540.00,18905268421,1507603,640,D,12942.00,12564.00
Golgasht.Nemouneh,20210914,12620.00,13420.00,12620.00,12942.00,29761661924,2299663,738,D,13133.00,12800.00
Golgasht.Nemouneh,20210913,13281.00,14082.00,12742.00,13133.00,78941156435,6011098,1225,D,13412.00,12837.00
Golgasht.Nemouneh,20210912,14290.00,14290.00,13281.00,13412.00,19920392058,1485249,553,D,13980.00,13281.00
Golgasht.Nemouneh,20210911,14246.00,14246.00,13400.00,13980.00,81211296331,5809164,1567,D,13568.00,14093.00
Golgasht.Nemouneh,20210908,13499.00,13705.00,13300.00,13568.00,60431833778,4453950,1199,D,13053.00,13705.00
Golgasht.Nemouneh,20210907,11954.00,13186.00,11954.00,13053.00,73926026539,5663686,1176,D,12559.00,13186.00
Golgasht.Nemouneh,20210906,12330.00,12950.00,12001.00,12559.00,22330851376,1778097,742,D,12383.00,12067.00
Golgasht.Nemouneh,20210905,11700.00,12479.00,11700.00,12383.00,27431127220,2215167,664,D,11885.00,12479.00
Golgasht.Nemouneh,20210904,11561.00,12090.00,11561.00,11885.00,14464340816,1215718,436,D,11660.00,11979.00
Golgasht.Nemouneh,20210901,11330.00,11990.00,11160.00,11660.00,11015175403,943027,377,D,11594.00,11840.00
Golgasht.Nemouneh,20210831,11534.00,12000.00,11533.00,11594.00,23543758447,2030695,425,D,12140.00,11533.00
Golgasht.Nemouneh,20210830,11795.00,12000.00,11794.00,12140.00,6824095260,577088,204,D,12414.00,11794.00
Golgasht.Nemouneh,20210829,12900.00,12900.00,11969.00,12414.00,28696806380,2311716,702,D,12598.00,11969.00
Golgasht.Nemouneh,20210828,12460.00,12699.00,12160.00,12598.00,31541549863,2503768,613,D,12095.00,12699.00
Golgasht.Nemouneh,20210825,12460.00,12460.00,11690.00,12095.00,28038414219,2318169,614,D,12209.00,12130.00
Golgasht.Nemouneh,20210824,11770.00,12500.00,11752.00,12209.00,17887461488,1465090,484,D,12004.00,12200.00
Golgasht.Nemouneh,20210823,12100.00,12319.00,11750.00,12004.00,24499340597,2040883,602,D,12327.00,12000.00
Golgasht.Nemouneh,20210822,12550.00,12550.00,12053.00,12327.00,23200523682,1882077,497,D,12182.00,12135.00
Golgasht.Nemouneh,20210815,12309.00,12740.00,12020.00,12182.00,31422415737,2579515,721,D,12471.00,12330.00
Golgasht.Nemouneh,20210814,12500.00,12820.00,12000.00,12471.00,42082354203,3374541,1072,D,12210.00,12350.00
Golgasht.Nemouneh,20210811,11697.00,12281.00,11360.00,12210.00,29952387583,2453128,533,D,11697.00,12281.00
Golgasht.Nemouneh,20210810,11490.00,11716.00,11060.00,11697.00,28419093755,2429596,505,D,11159.00,11716.00
Golgasht.Nemouneh,20210809,10958.00,11403.00,10802.00,11159.00,8733983071,772365,322,D,10958.00,11300.00
Golgasht.Nemouneh,20210808,10914.00,11200.00,10510.00,10958.00,5496830985,500181,311,D,10940.00,10910.00
Golgasht.Nemouneh,20210807,11139.00,11154.00,10600.00,10940.00,10331248631,952119,386,D,11156.00,10672.00
Golgasht.Nemouneh,20210804,11270.00,11460.00,10990.00,11156.00,15705891104,1407800,445,D,11560.00,11139.00
Golgasht.Nemouneh,20210803,11820.00,11899.00,11200.00,11560.00,8421874186,731876,284,D,11626.00,11410.00
Golgasht.Nemouneh,20210802,11998.00,11998.00,11452.00,11626.00,12625170586,1082419,369,D,11451.00,11510.00
Golgasht.Nemouneh,20210801,11000.00,11619.00,10740.00,11451.00,18925607088,1652768,624,D,11066.00,11619.00
Golgasht.Nemouneh,20210731,11000.00,11390.00,10803.00,11066.00,16186639573,1462696,522,D,11371.00,10930.00
Golgasht.Nemouneh,20210728,10950.00,11800.00,10950.00,11371.00,10172102357,899064,357,D,11512.00,11130.00
Golgasht.Nemouneh,20210727,11540.00,12078.00,11276.00,11512.00,15123974647,1313707,413,D,11869.00,11276.00
Golgasht.Nemouneh,20210726,11865.00,12380.00,11560.00,11869.00,17720675304,1493070,486,D,11864.00,11800.00
Golgasht.Nemouneh,20210719,11750.00,12000.00,11070.00,11864.00,22413414910,1889172,559,D,11443.00,11870.00
Golgasht.Nemouneh,20210718,11112.00,11900.00,11110.00,11443.00,10091431006,889218,272,D,11680.00,11290.00
Golgasht.Nemouneh,20210717,12390.00,12401.00,11471.00,11680.00,33935733225,2905405,748,D,12074.00,11490.00
Golgasht.Nemouneh,20210714,11502.00,12177.00,11502.00,12074.00,40971258306,3393450,809,D,11598.00,12177.00
Golgasht.Nemouneh,20210713,11640.00,11980.00,11395.00,11598.00,23376949636,2015685,590,D,11994.00,11601.00
