<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Gilan.Elec..Dev.,20210921,18441.00,19000.00,17932.00,18257.00,21989676615,1221314,2765,D,18875.00,17933.00
Gilan.Elec..Dev.,20210920,18550.00,19000.00,18550.00,18875.00,13589099248,724563,4117,D,18962.00,18605.00
Gilan.Elec..Dev.,20210919,19000.00,19510.00,18488.00,18962.00,20821597946,1114046,3337,D,19461.00,18600.00
Gilan.Elec..Dev.,20210918,19690.00,20000.00,18950.00,19461.00,20604580613,1072995,3652,D,19888.00,18973.00
Gilan.Elec..Dev.,20210915,20000.00,20100.00,19700.00,19888.00,30556702456,1541723,18692,D,20475.00,19743.00
Gilan.Elec..Dev.,20210914,19800.00,20870.00,19800.00,20475.00,29770734009,1452879,14367,D,20388.00,20412.00
Gilan.Elec..Dev.,20210913,20030.00,20890.00,19900.00,20388.00,20005085856,988529,6838,D,20591.00,20302.00
Gilan.Elec..Dev.,20210912,20500.00,21000.00,19985.00,20591.00,18432239284,912184,3248,D,21026.00,20600.00
Gilan.Elec..Dev.,20210911,21680.00,21680.00,20550.00,21026.00,19629041233,934808,4961,D,21059.00,20649.00
Gilan.Elec..Dev.,20210908,21020.00,21695.00,20813.00,21059.00,44497175407,2113026,26825,D,21517.00,21020.00
Gilan.Elec..Dev.,20210907,21230.00,22220.00,21060.00,21517.00,43760331967,2033721,16766,D,22089.00,21170.00
Gilan.Elec..Dev.,20210906,21924.00,22700.00,21420.00,22089.00,78104901496,3535949,17022,D,21772.00,21559.00
Gilan.Elec..Dev.,20210905,20910.00,21925.00,20901.00,21772.00,52994120695,2434072,5890,D,20881.00,21925.00
Gilan.Elec..Dev.,20210904,20701.00,21250.00,20701.00,20881.00,22431913060,1067189,5409,D,20655.00,21050.00
Gilan.Elec..Dev.,20210901,19931.00,21334.00,19930.00,20655.00,20155516410,971588,4412,D,20539.00,21180.00
Gilan.Elec..Dev.,20210831,20400.00,21454.00,20210.00,20539.00,32996004227,1610399,3905,D,21273.00,20280.00
Gilan.Elec..Dev.,20210830,20920.00,21450.00,20824.00,21273.00,22427291583,1073901,1776,D,21919.00,20824.00
Gilan.Elec..Dev.,20210829,22897.00,22897.00,21454.00,21919.00,55662286362,2539486,5923,D,22583.00,21454.00
Gilan.Elec..Dev.,20210828,22600.00,22900.00,21660.00,22583.00,54535972012,2414950,6968,D,22243.00,22630.00
Gilan.Elec..Dev.,20210825,22360.00,22600.00,21650.00,22243.00,51955651324,2335831,5927,D,21562.00,22382.00
Gilan.Elec..Dev.,20210824,21640.00,22050.00,21030.00,21562.00,41786660204,1938015,5478,D,21000.00,22048.00
Gilan.Elec..Dev.,20210823,20550.00,21287.00,19860.00,21000.00,59379369846,2827525,5592,D,20274.00,21287.00
Gilan.Elec..Dev.,20210822,20005.00,20650.00,19961.00,20274.00,31507917033,1550433,5402,D,19839.00,20446.00
Gilan.Elec..Dev.,20210815,19860.00,20011.00,19531.00,19839.00,17775210669,896975,4227,D,19863.00,20004.00
Gilan.Elec..Dev.,20210814,19750.00,20200.00,19199.00,19863.00,23371074937,1185836,4872,D,20206.00,20030.00
Gilan.Elec..Dev.,20210811,19910.00,20456.00,19910.00,20206.00,31694474100,1570443,7649,D,20456.00,20050.00
Gilan.Elec..Dev.,20210810,20615.00,21450.00,19810.00,20456.00,48687361756,2380086,5681,D,20614.00,19999.00
Gilan.Elec..Dev.,20210809,20550.00,20651.00,20000.00,20614.00,38988250477,1891317,4641,D,19668.00,20651.00
Gilan.Elec..Dev.,20210808,19020.00,20162.00,18901.00,19668.00,29813569985,1510924,4495,D,19202.00,20162.00
Gilan.Elec..Dev.,20210807,19276.00,19450.00,18700.00,19202.00,14779691067,773234,3767,D,19274.00,19150.00
Gilan.Elec..Dev.,20210804,19001.00,19551.00,18718.00,19274.00,16416890703,857224,3878,D,19395.00,19159.00
Gilan.Elec..Dev.,20210803,19401.00,19606.00,19035.00,19395.00,24380123514,1269417,3290,D,19928.00,19150.00
Gilan.Elec..Dev.,20210802,19650.00,20200.00,19402.00,19928.00,16639154752,846612,3061,D,20194.00,19560.00
Gilan.Elec..Dev.,20210801,20040.00,20100.00,19716.00,20194.00,13000866106,655126,3788,D,20409.00,19980.00
Gilan.Elec..Dev.,20210731,19886.00,20700.00,19886.00,20409.00,12970335741,641087,4305,D,20514.00,20301.00
Gilan.Elec..Dev.,20210728,20020.00,20300.00,19901.00,20514.00,10884406617,544148,4472,D,20750.00,19923.00
Gilan.Elec..Dev.,20210727,20986.00,20999.00,20020.00,20750.00,11803688985,581757,3400,D,20986.00,20200.00
Gilan.Elec..Dev.,20210726,20510.00,21330.00,20500.00,20986.00,19138438304,915330,4630,D,21073.00,20726.00
Gilan.Elec..Dev.,20210719,20748.00,21320.00,20337.00,21073.00,17919963393,859735,4243,D,21302.00,20735.00
