<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Gohar.Zamin.Iron,20210921,45769.00,46659.00,44415.00,45858.00,97472909311,2131522,540,D,46659.00,46000.00
Gohar.Zamin.Iron,20210920,46513.00,47500.00,45111.00,46659.00,40758339821,868527,309,D,46513.00,47167.00
Gohar.Zamin.Iron,20210919,46508.00,48000.00,45112.00,46513.00,46586993768,1001457,371,D,46508.00,46430.00
Gohar.Zamin.Iron,20210918,47000.00,48500.00,46078.00,46508.00,97772401677,2117554,582,D,48503.00,46666.00
Gohar.Zamin.Iron,20210915,48500.00,49490.00,47770.00,48503.00,38616222646,799481,480,D,48600.00,48365.00
Gohar.Zamin.Iron,20210914,48000.00,50000.00,47680.00,48600.00,25341059784,518547,551,D,48528.00,48532.00
Gohar.Zamin.Iron,20210913,48530.00,49800.00,47510.00,48528.00,14877338324,307557,323,D,48550.00,48500.00
Gohar.Zamin.Iron,20210912,50130.00,50130.00,47600.00,48550.00,71862539529,1490617,421,D,49078.00,49100.00
Gohar.Zamin.Iron,20210911,48881.00,50890.00,47820.00,49078.00,18382905175,371196,327,D,48998.00,48990.00
Gohar.Zamin.Iron,20210908,49300.00,50110.00,47700.00,48998.00,78417690483,1599992,644,D,48971.00,48880.00
Gohar.Zamin.Iron,20210907,48000.00,49294.00,47625.00,48971.00,41960197112,866961,521,D,49294.00,48200.00
Gohar.Zamin.Iron,20210906,49500.00,50003.00,48500.00,49294.00,77555494873,1582843,739,D,49865.00,49100.00
Gohar.Zamin.Iron,20210905,50500.00,50500.00,48522.00,49865.00,31339787578,633094,585,D,49995.00,49510.00
Gohar.Zamin.Iron,20210904,51200.00,51200.00,49500.00,49995.00,52693890815,1052421,693,D,49937.00,49900.00
Gohar.Zamin.Iron,20210901,51500.00,51600.00,49001.00,49937.00,73084964529,1457563,485,D,49613.00,50010.00
Gohar.Zamin.Iron,20210831,47065.00,51929.00,47065.00,49613.00,44009866047,884912,884,D,49542.00,49902.00
