<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
HejratDistribution,20210921,33850.00,33850.00,31061.00,31904.00,19832659471,621639,355,D,32323.00,32680.00
HejratDistribution,20210920,30230.00,32931.00,30230.00,32323.00,42746222640,1322467,449,D,31363.00,32930.00
HejratDistribution,20210919,31150.00,32630.00,30683.00,31363.00,11368328197,364817,236,D,32296.00,31200.00
HejratDistribution,20210918,33400.00,34100.00,32129.00,32296.00,59598633049,1845359,438,D,33819.00,32129.00
HejratDistribution,20210915,33100.00,34850.00,33100.00,33819.00,24773874737,732540,475,D,34004.00,34050.00
HejratDistribution,20210914,32520.00,34500.00,32520.00,34004.00,24053343195,707368,422,D,33577.00,34218.00
HejratDistribution,20210913,34952.00,34952.00,31800.00,33577.00,29855165688,889155,445,D,33296.00,33596.00
HejratDistribution,20210912,34000.00,35500.00,33208.00,33296.00,32513666613,976498,424,D,34955.00,34599.00
HejratDistribution,20210911,34620.00,35900.00,34340.00,34955.00,29367274316,840141,541,D,36139.00,34350.00
HejratDistribution,20210908,37000.00,37000.00,35310.00,36139.00,43095874536,1192500,839,D,35935.00,35621.00
HejratDistribution,20210907,35200.00,36680.00,34010.00,35935.00,54528236981,1517409,768,D,35379.00,36650.00
HejratDistribution,20210906,34000.00,35438.00,34000.00,35379.00,69510665591,1964729,805,D,33751.00,35010.00
HejratDistribution,20210905,32800.00,34661.00,31402.00,33751.00,65875116046,1951816,858,D,33011.00,34661.00
HejratDistribution,20210904,34010.00,34010.00,32300.00,33011.00,40882442660,1238435,635,D,33362.00,32954.00
HejratDistribution,20210901,31580.00,34050.00,31580.00,33362.00,24268543549,727422,492,D,32429.00,33930.00
HejratDistribution,20210831,31610.00,33789.00,31551.00,32429.00,36381157653,1121864,647,D,33211.00,32000.00
HejratDistribution,20210830,33072.00,34700.00,33072.00,33211.00,31902182116,960581,423,D,34812.00,33072.00
HejratDistribution,20210829,35037.00,35037.00,33025.00,34812.00,521402611085,14977573,1820,D,33369.00,33026.00
HejratDistribution,20210828,33369.00,33369.00,33369.00,33369.00,158637527391,4754039,349,D,31780.00,33369.00
HejratDistribution,20210825,31780.00,31780.00,31780.00,31780.00,40441066960,1272532,116,D,30267.00,31780.00
HejratDistribution,20210824,29570.00,30514.00,29280.00,30267.00,22744887459,751484,267,D,29061.00,30514.00
HejratDistribution,20210823,29160.00,29446.00,28313.00,29061.00,16229635760,558465,339,D,29446.00,29446.00
