<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Omid.Taban.Hoor,20210921,1650.00,1691.00,1595.00,1605.00,50491274630,31453691,938,D,1678.00,1595.00
Omid.Taban.Hoor,20210920,1690.00,1740.00,1648.00,1678.00,57417197798,34221321,1366,D,1731.00,1697.00
Omid.Taban.Hoor,20210919,1760.00,1760.00,1663.00,1731.00,28690341373,16680972,538,D,1750.00,1733.00
Omid.Taban.Hoor,20210918,1733.00,1789.00,1692.00,1750.00,16836297002,9914021,363,D,1781.00,1692.00
Omid.Taban.Hoor,20210915,1810.00,1830.00,1753.00,1781.00,72502585788,40704322,1933,D,1845.00,1804.00
Omid.Taban.Hoor,20210914,1870.00,1900.00,1765.00,1845.00,58112519663,31489821,1577,D,1852.00,1834.00
Omid.Taban.Hoor,20210913,1848.00,1900.00,1848.00,1852.00,60217635653,32509285,1130,D,1945.00,1848.00
Omid.Taban.Hoor,20210912,1903.00,1989.00,1896.00,1945.00,26505307446,13950328,647,D,1995.00,1896.00
Omid.Taban.Hoor,20210911,2050.00,2085.00,1927.00,1995.00,71463310528,35814958,1546,D,2028.00,1950.00
Omid.Taban.Hoor,20210908,2055.00,2080.00,2000.00,2028.00,94485398908,46593312,1912,D,2031.00,2035.00
Omid.Taban.Hoor,20210907,2020.00,2080.00,1982.00,2031.00,93089157082,45840144,1792,D,2078.00,2059.00
Omid.Taban.Hoor,20210906,2090.00,2125.00,2012.00,2078.00,186971225571,89957381,3023,D,2059.00,2040.00
Omid.Taban.Hoor,20210905,2043.00,2105.00,1956.00,2059.00,288250540792,140011155,4675,D,2005.00,2103.00
Omid.Taban.Hoor,20210904,2005.00,2005.00,2005.00,2005.00,241950870755,120673751,1843,D,1910.00,2005.00
Omid.Taban.Hoor,20210901,1805.00,1918.00,1805.00,1910.00,299196858975,156620428,2596,D,1827.00,1918.00
Omid.Taban.Hoor,20210831,1850.00,1900.00,1805.00,1827.00,98434194683,53886979,2066,D,1900.00,1805.00
Omid.Taban.Hoor,20210830,1900.00,1949.00,1823.00,1900.00,208879551811,109923415,3966,D,1908.00,1870.00
Omid.Taban.Hoor,20210829,1916.00,1916.00,1830.00,1908.00,359998595820,188685696,4695,D,1825.00,1872.00
Omid.Taban.Hoor,20210828,1770.00,1836.00,1770.00,1825.00,187391390840,102682359,2089,D,1749.00,1836.00
Omid.Taban.Hoor,20210825,1760.00,1800.00,1700.00,1749.00,115237603328,65881897,2433,D,1737.00,1750.00
Omid.Taban.Hoor,20210824,1726.00,1741.00,1687.00,1737.00,69262870978,39871269,1164,D,1659.00,1741.00
Omid.Taban.Hoor,20210823,1603.00,1682.00,1592.00,1659.00,91922434846,55420065,1901,D,1602.00,1682.00
Omid.Taban.Hoor,20210822,1612.00,1627.00,1586.00,1602.00,88041344754,54959038,2127,D,1615.00,1610.00
