<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Office.Ind.,20210921,8450.00,8570.00,7943.00,7975.00,153714578228,19274127,2007,D,8361.00,8000.00
Iran.Office.Ind.,20210920,8210.00,8650.00,8055.00,8361.00,163971690743,19612328,2194,D,8406.00,8280.00
Iran.Office.Ind.,20210919,8540.00,8730.00,8365.00,8406.00,93043538626,11068237,1209,D,8805.00,8365.00
Iran.Office.Ind.,20210918,9400.00,9400.00,8783.00,8805.00,92560911409,10512125,1052,D,9245.00,8783.00
Iran.Office.Ind.,20210915,9300.00,9600.00,9050.00,9245.00,100706793809,10893257,2625,D,9300.00,9250.00
Iran.Office.Ind.,20210914,8919.00,9420.00,8919.00,9300.00,103739838171,11154611,2136,D,9057.00,9390.00
Iran.Office.Ind.,20210913,9110.00,9316.00,9038.00,9057.00,334280074009,36909685,3277,D,9513.00,9150.00
Iran.Office.Ind.,20210912,9550.00,9778.00,9490.00,9513.00,116871866413,12285214,1038,D,9989.00,9490.00
Iran.Office.Ind.,20210911,10490.00,10590.00,9863.00,9989.00,238519249640,23879373,2796,D,10382.00,9863.00
Iran.Office.Ind.,20210908,10590.00,10700.00,10150.00,10382.00,258332057807,24881769,4446,D,10476.00,10366.00
Iran.Office.Ind.,20210907,9780.00,10505.00,9710.00,10476.00,1052511023816,100464490,6911,D,10005.00,10497.00
Iran.Office.Ind.,20210906,9700.00,10200.00,9500.00,10005.00,340321243714,34014616,4132,D,9739.00,9780.00
Iran.Office.Ind.,20210905,9940.00,9940.00,9510.00,9739.00,177656628536,18242610,2507,D,9942.00,9710.00
Iran.Office.Ind.,20210904,10010.00,10192.00,9755.00,9942.00,242972800238,24439756,3437,D,9755.00,9830.00
Iran.Office.Ind.,20210901,9499.00,9879.00,9190.00,9755.00,346338899848,35502650,3037,D,9409.00,9879.00
Iran.Office.Ind.,20210831,9234.00,9813.00,9233.00,9409.00,440180537312,46784081,4782,D,9718.00,9300.00
Iran.Office.Ind.,20210830,9700.00,9954.00,9643.00,9718.00,411530316240,42347679,3324,D,10150.00,9643.00
Iran.Office.Ind.,20210829,10353.00,10353.00,9455.00,10150.00,1556796637575,153379942,11179,D,9860.00,9651.00
Iran.Office.Ind.,20210828,9860.00,9860.00,9860.00,9860.00,59659537180,6050663,434,D,9391.00,9860.00
Iran.Office.Ind.,20210825,9391.00,9391.00,9391.00,9391.00,33857973324,3605364,386,D,8944.00,9391.00
