<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iranian.Investment,20210921,10180.00,10180.00,9262.00,9582.00,81481025853,8503731,2159,D,9749.00,9602.00
Iranian.Investment,20210920,9500.00,10150.00,9211.00,9749.00,83200096517,8534073,2460,D,9687.00,9929.00
Iranian.Investment,20210919,9700.00,9989.00,9598.00,9687.00,42384495200,4375372,1124,D,10103.00,9598.00
Iranian.Investment,20210918,10500.00,10670.00,10052.00,10103.00,40142289235,3973150,1017,D,10581.00,10052.00
Iranian.Investment,20210915,10800.00,11097.00,10475.00,10581.00,94578668789,8938161,2265,D,11026.00,10475.00
Iranian.Investment,20210914,10610.00,11170.00,10610.00,11026.00,38794059833,3518412,1162,D,10859.00,11040.00
Iranian.Investment,20210913,11268.00,11268.00,10812.00,10859.00,76247933413,7021885,2030,D,11381.00,10812.00
Iranian.Investment,20210912,11374.00,11575.00,11374.00,11381.00,30198154277,2653332,777,D,11972.00,11374.00
Iranian.Investment,20210911,12490.00,12500.00,11722.00,11972.00,85054993132,7104637,1822,D,12213.00,11799.00
Iranian.Investment,20210908,12190.00,12587.00,12060.00,12213.00,62183828374,5091546,2083,D,12296.00,12150.00
Iranian.Investment,20210907,11805.00,12550.00,11805.00,12296.00,102643928857,8348004,2551,D,12314.00,12190.00
Iranian.Investment,20210906,12120.00,12550.00,11550.00,12314.00,127101005542,10321555,2976,D,12072.00,12020.00
Iranian.Investment,20210905,12000.00,12299.00,11711.00,12072.00,91901619517,7612959,1928,D,12016.00,12075.00
Iranian.Investment,20210904,12216.00,12300.00,11830.00,12016.00,95980674853,7987862,2148,D,11930.00,11884.00
Iranian.Investment,20210901,11351.00,12199.00,11351.00,11930.00,87361700699,7322807,1909,D,11821.00,12118.00
Iranian.Investment,20210831,11775.00,12100.00,11775.00,11821.00,109207412400,9238722,1789,D,12394.00,11775.00
Iranian.Investment,20210830,12216.00,12216.00,12216.00,12394.00,10146218688,830568,246,D,12858.00,12216.00
Iranian.Investment,20210829,13680.00,13680.00,12710.00,12858.00,159639925536,12416039,3433,D,13378.00,12710.00
Iranian.Investment,20210828,13300.00,13690.00,13101.00,13378.00,118191789740,8834627,2298,D,13046.00,13300.00
Iranian.Investment,20210825,12716.00,13269.00,12716.00,13046.00,174210721908,13353078,2702,D,12643.00,13208.00
Iranian.Investment,20210824,12420.00,12666.00,12330.00,12643.00,123041070845,9731651,1820,D,12063.00,12666.00
Iranian.Investment,20210823,12070.00,12410.00,11600.00,12063.00,92613971418,7677829,1883,D,11842.00,12299.00
Iranian.Investment,20210822,11675.00,12080.00,11410.00,11842.00,108303162070,9146012,2102,D,11555.00,11848.00
Iranian.Investment,20210815,11588.00,11790.00,11400.00,11555.00,78766442592,6816723,1780,D,11476.00,11595.00
Iranian.Investment,20210814,11660.00,11889.00,11200.00,11476.00,89524923795,7801205,2105,D,11702.00,11350.00
Iranian.Investment,20210811,12020.00,12200.00,11473.00,11702.00,126187525529,10783213,3069,D,12076.00,11550.00
Iranian.Investment,20210810,12499.00,12499.00,11700.00,12076.00,170765363850,14140830,3705,D,11936.00,11872.00
Iranian.Investment,20210809,11900.00,12018.00,11750.00,11936.00,63032925190,5280925,1123,D,11446.00,12018.00
Iranian.Investment,20210808,10950.00,11660.00,10800.00,11446.00,185928726034,16243351,2895,D,11105.00,11660.00
Iranian.Investment,20210807,11100.00,11660.00,10830.00,11105.00,131450192442,11837421,3187,D,11399.00,10940.00
Iranian.Investment,20210804,12000.00,12000.00,11320.00,11399.00,159513062648,13993536,3202,D,11915.00,11320.00
Iranian.Investment,20210803,12150.00,12250.00,11580.00,11915.00,121846239225,10226661,2560,D,11753.00,11753.00
