<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kahnooj.Mahtab.Pow,20210921,1499.00,1499.00,1403.00,1413.00,32532016412,23025743,1097,D,1476.00,1403.00
Kahnooj.Mahtab.Pow,20210920,1465.00,1500.00,1444.00,1476.00,32714544915,22171753,1092,D,1482.00,1465.00
Kahnooj.Mahtab.Pow,20210919,1550.00,1550.00,1473.00,1482.00,48194291603,32524491,1394,D,1550.00,1475.00
Kahnooj.Mahtab.Pow,20210918,1590.00,1623.00,1520.00,1550.00,51015143861,32923089,1434,D,1600.00,1537.00
Kahnooj.Mahtab.Pow,20210915,1633.00,1633.00,1582.00,1600.00,30363848800,18979013,1427,D,1631.00,1590.00
Kahnooj.Mahtab.Pow,20210914,1601.00,1659.00,1601.00,1631.00,34899426031,21392751,1278,D,1608.00,1625.00
Kahnooj.Mahtab.Pow,20210913,1622.00,1678.00,1571.00,1608.00,39022280179,24266165,1205,D,1645.00,1605.00
Kahnooj.Mahtab.Pow,20210912,1724.00,1724.00,1633.00,1645.00,44313186939,26938915,1200,D,1718.00,1645.00
Kahnooj.Mahtab.Pow,20210911,1758.00,1779.00,1680.00,1718.00,58094204620,33821181,1412,D,1722.00,1700.00
Kahnooj.Mahtab.Pow,20210908,1700.00,1768.00,1690.00,1722.00,55602668986,32295465,2002,D,1726.00,1748.00
Kahnooj.Mahtab.Pow,20210907,1732.00,1787.00,1707.00,1726.00,69674884802,40362842,1739,D,1796.00,1707.00
Kahnooj.Mahtab.Pow,20210906,1845.00,1845.00,1713.00,1796.00,57975144746,32277339,1914,D,1783.00,1766.00
Kahnooj.Mahtab.Pow,20210905,1733.00,1803.00,1681.00,1783.00,123211834404,69117394,2211,D,1718.00,1803.00
Kahnooj.Mahtab.Pow,20210904,1750.00,1750.00,1695.00,1718.00,79096721308,46052998,1869,D,1710.00,1726.00
Kahnooj.Mahtab.Pow,20210901,1736.00,1740.00,1650.00,1710.00,56309008287,32938068,1444,D,1702.00,1719.00
Kahnooj.Mahtab.Pow,20210831,1700.00,1749.00,1693.00,1702.00,68721383507,40378711,1730,D,1782.00,1693.00
Kahnooj.Mahtab.Pow,20210830,1780.00,1830.00,1777.00,1782.00,40397886326,22668248,882,D,1870.00,1777.00
Kahnooj.Mahtab.Pow,20210829,1872.00,1980.00,1794.00,1870.00,151114298313,80823689,2905,D,1888.00,1794.00
Kahnooj.Mahtab.Pow,20210828,1873.00,1930.00,1801.00,1888.00,118737803111,62885896,2636,D,1874.00,1899.00
Kahnooj.Mahtab.Pow,20210825,1870.00,1920.00,1800.00,1874.00,103129239084,55024573,2350,D,1840.00,1860.00
Kahnooj.Mahtab.Pow,20210824,1825.00,1854.00,1800.00,1840.00,128071337802,69590151,2476,D,1766.00,1854.00
Kahnooj.Mahtab.Pow,20210823,1707.00,1799.00,1686.00,1766.00,116668069415,66060276,2544,D,1714.00,1799.00
Kahnooj.Mahtab.Pow,20210822,1695.00,1746.00,1690.00,1714.00,103825470489,60564248,2615,D,1742.00,1727.00
Kahnooj.Mahtab.Pow,20210815,1783.00,1783.00,1700.00,1742.00,45717478805,26246354,1211,D,1753.00,1743.00
Kahnooj.Mahtab.Pow,20210814,1800.00,1821.00,1720.00,1753.00,60974024073,34774611,1611,D,1807.00,1742.00
Kahnooj.Mahtab.Pow,20210811,1780.00,1834.00,1770.00,1807.00,80715999729,44657067,1705,D,1789.00,1800.00
Kahnooj.Mahtab.Pow,20210810,1820.00,1827.00,1772.00,1789.00,53464350035,29891204,1316,D,1796.00,1778.00
Kahnooj.Mahtab.Pow,20210809,1840.00,1840.00,1761.00,1796.00,71227388570,39656533,1654,D,1829.00,1780.00
Kahnooj.Mahtab.Pow,20210808,1869.00,1869.00,1781.00,1829.00,59797194343,32686633,1326,D,1828.00,1811.00
Kahnooj.Mahtab.Pow,20210807,1818.00,1844.00,1760.00,1828.00,103526751498,56640258,2009,D,1757.00,1844.00
Kahnooj.Mahtab.Pow,20210804,1800.00,1800.00,1725.00,1757.00,76965857270,43795847,1743,D,1808.00,1788.00
