<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
KBC.Company,20210921,27450.00,27706.00,26500.00,27541.00,163402302789,5933014,1879,D,26387.00,27706.00
KBC.Company,20210920,26391.00,26391.00,26010.00,26387.00,185044463889,7012797,1158,D,25135.00,26391.00
KBC.Company,20210919,25490.00,25541.00,24450.00,25135.00,39685705193,1578902,490,D,24325.00,25541.00
KBC.Company,20210918,24300.00,25000.00,23694.00,24325.00,25218756548,1036755,328,D,24941.00,24884.00
KBC.Company,20210915,24155.00,25750.00,24155.00,24941.00,8206881510,329909,268,D,25027.00,24990.00
KBC.Company,20210914,24503.00,25460.00,24020.00,25027.00,14518945493,580124,318,D,24843.00,25200.00
KBC.Company,20210913,23900.00,25200.00,23900.00,24843.00,14248001637,573556,254,D,24915.00,24442.00
KBC.Company,20210912,25669.00,25669.00,24475.00,24915.00,10897910611,442145,230,D,25763.00,24523.00
KBC.Company,20210911,26345.00,26500.00,25322.00,25763.00,9355144703,363303,248,D,25784.00,25689.00
KBC.Company,20210908,26900.00,26900.00,25100.00,25784.00,12024579484,467199,417,D,26044.00,26030.00
KBC.Company,20210907,26236.00,26621.00,25519.00,26044.00,12113077120,466923,311,D,26621.00,25592.00
KBC.Company,20210906,26672.00,27700.00,26000.00,26621.00,22777570615,855630,531,D,26862.00,26200.00
KBC.Company,20210905,26200.00,27620.00,26000.00,26862.00,13870774485,516770,315,D,27185.00,26800.00
KBC.Company,20210904,28555.00,28555.00,26638.00,27185.00,19161157745,704845,374,D,27292.00,26940.00
KBC.Company,20210901,26678.00,27980.00,26001.00,27292.00,22736607449,833078,231,D,26677.00,27340.00
KBC.Company,20210831,26110.00,27316.00,26110.00,26677.00,39903845425,1495794,452,D,27484.00,26260.00
KBC.Company,20210830,27316.00,28200.00,27316.00,27484.00,14493259563,528256,260,D,28753.00,27316.00
KBC.Company,20210829,29900.00,30095.00,27229.00,28753.00,106502466276,3704085,1611,D,28662.00,27500.00
KBC.Company,20210828,28729.00,28730.00,27715.00,28662.00,17899720215,624516,261,D,27362.00,28730.00
