<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
KBahman.Inv..Mng.,20210921,11928.00,12107.00,11140.00,11289.00,16982371942,1504340,3815,D,11714.00,11291.00
KBahman.Inv..Mng.,20210920,11250.00,11910.00,11250.00,11714.00,18649349240,1592086,5750,D,11359.00,11898.00
KBahman.Inv..Mng.,20210919,11360.00,11780.00,11221.00,11359.00,29757838193,2619733,4845,D,11799.00,11363.00
KBahman.Inv..Mng.,20210918,12142.00,12490.00,11700.00,11799.00,26690235298,2261997,4707,D,12307.00,11801.00
KBahman.Inv..Mng.,20210915,12280.00,12900.00,12140.00,12307.00,59962865732,4872243,27140,D,12765.00,12141.00
KBahman.Inv..Mng.,20210914,12601.00,12990.00,12569.00,12765.00,33611731154,2633149,17469,D,12569.00,12625.00
KBahman.Inv..Mng.,20210913,12431.00,12870.00,12120.00,12569.00,25189711928,2004124,9552,D,12555.00,12615.00
KBahman.Inv..Mng.,20210912,13178.00,13178.00,12521.00,12555.00,49543425122,3946180,4850,D,13179.00,12869.00
KBahman.Inv..Mng.,20210911,12999.00,13570.00,12999.00,13179.00,34150570448,2591319,7233,D,13023.00,13111.00
KBahman.Inv..Mng.,20210908,13110.00,13695.00,12820.00,13023.00,53773789810,4129273,38445,D,13157.00,12950.00
KBahman.Inv..Mng.,20210907,12960.00,13650.00,12930.00,13157.00,44708576997,3398018,23641,D,13610.00,13204.00
KBahman.Inv..Mng.,20210906,13800.00,13904.00,13310.00,13610.00,73048347739,5367077,24024,D,13942.00,13603.00
KBahman.Inv..Mng.,20210905,14080.00,14220.00,13610.00,13942.00,49211691055,3529762,8705,D,13887.00,13780.00
KBahman.Inv..Mng.,20210904,14150.00,14200.00,13450.00,13887.00,85052252132,6124394,9577,D,13546.00,14185.00
KBahman.Inv..Mng.,20210901,12950.00,13636.00,12950.00,13546.00,116307649304,8586355,8105,D,12987.00,13636.00
KBahman.Inv..Mng.,20210831,12875.00,13450.00,12875.00,12987.00,133592873253,10286870,7482,D,13552.00,12949.00
KBahman.Inv..Mng.,20210830,13552.00,13552.00,13552.00,13552.00,25738351408,1899229,660,D,14265.00,13552.00
KBahman.Inv..Mng.,20210829,14980.00,15272.00,13818.00,14265.00,121363080707,8507698,6832,D,14545.00,13818.00
KBahman.Inv..Mng.,20210828,14554.00,14554.00,13168.00,14545.00,111825571313,7688503,4972,D,13861.00,14553.00
KBahman.Inv..Mng.,20210825,13921.00,13921.00,13286.00,13861.00,151526334871,10932021,7865,D,13259.00,13921.00
KBahman.Inv..Mng.,20210824,13259.00,13259.00,13259.00,13259.00,44359363436,3345604,4834,D,12628.00,13259.00
KBahman.Inv..Mng.,20210823,12600.00,12730.00,12300.00,12628.00,89250169723,7067364,6061,D,12124.00,12730.00
KBahman.Inv..Mng.,20210822,11600.00,12175.00,11550.00,12124.00,63501587449,5237643,6185,D,11596.00,12175.00
KBahman.Inv..Mng.,20210815,11270.00,11753.00,11270.00,11596.00,22045680130,1901190,5696,D,11454.00,11580.00
KBahman.Inv..Mng.,20210814,11650.00,11901.00,11189.00,11454.00,44209635014,3859784,6619,D,11777.00,11551.00
KBahman.Inv..Mng.,20210811,11960.00,11960.00,11650.00,11777.00,50681806604,4303413,11595,D,11623.00,11899.00
KBahman.Inv..Mng.,20210810,11270.00,11672.00,11270.00,11623.00,38591249185,3320251,2892,D,11117.00,11672.00
KBahman.Inv..Mng.,20210809,11256.00,11365.00,10901.00,11117.00,32194791975,2895980,6586,D,11160.00,11271.00
KBahman.Inv..Mng.,20210808,11257.00,11257.00,10899.00,11160.00,30469884584,2730257,5145,D,10832.00,11190.00
KBahman.Inv..Mng.,20210807,11000.00,11043.00,10700.00,10832.00,14785282857,1364395,5151,D,10684.00,10899.00
KBahman.Inv..Mng.,20210804,10555.00,10949.00,10500.00,10684.00,24025868286,2248684,5182,D,10565.00,10842.00
KBahman.Inv..Mng.,20210803,10650.00,10848.00,10510.00,10565.00,18659027237,1766102,4340,D,10721.00,10553.00
KBahman.Inv..Mng.,20210802,10799.00,10799.00,10651.00,10721.00,27118012992,2529530,4229,D,10824.00,10657.00
KBahman.Inv..Mng.,20210801,10830.00,11000.00,10730.00,10824.00,10741262523,990986,5017,D,10787.00,10802.00
KBahman.Inv..Mng.,20210731,10602.00,11000.00,10562.00,10787.00,20167780678,1869724,5705,D,10731.00,10876.00
KBahman.Inv..Mng.,20210728,10800.00,10830.00,10692.00,10731.00,14565257701,1357337,7012,D,10840.00,10708.00
KBahman.Inv..Mng.,20210727,10940.00,11280.00,10771.00,10840.00,20613654507,1901604,4766,D,11115.00,10835.00
KBahman.Inv..Mng.,20210726,11100.00,11280.00,10950.00,11115.00,22146235565,1992458,5548,D,11104.00,10998.00
KBahman.Inv..Mng.,20210719,10720.00,11210.00,10719.00,11104.00,15935659884,1435105,6408,D,10773.00,11105.00
KBahman.Inv..Mng.,20210718,10880.00,10880.00,10683.00,10773.00,16451261085,1527031,4646,D,11053.00,10808.00
KBahman.Inv..Mng.,20210717,11029.00,11350.00,10900.00,11053.00,21488278489,1944137,6238,D,11110.00,10922.00
KBahman.Inv..Mng.,20210714,11058.00,11199.00,11056.00,11110.00,21615283539,1945517,11427,D,11296.00,11110.00
KBahman.Inv..Mng.,20210713,11410.00,11570.00,11102.00,11296.00,21496091112,1903018,7069,D,11564.00,11135.00
KBahman.Inv..Mng.,20210712,11695.00,11830.00,11320.00,11564.00,19339653035,1672465,7051,D,11552.00,11410.00
KBahman.Inv..Mng.,20210711,11500.00,11670.00,11345.00,11552.00,18750479400,1623109,6069,D,11481.00,11567.00
KBahman.Inv..Mng.,20210710,11031.00,11780.00,11031.00,11481.00,22908565147,1995418,5381,D,11391.00,11500.00
KBahman.Inv..Mng.,20210707,11640.00,11640.00,11192.00,11391.00,20336786880,1785401,4606,D,11757.00,11320.00
KBahman.Inv..Mng.,20210706,11805.00,11860.00,11590.00,11757.00,22105378061,1880233,5345,D,11635.00,11640.00
KBahman.Inv..Mng.,20210705,11510.00,11865.00,11510.00,11635.00,20221774240,1738056,4934,D,11898.00,11720.00
