<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Zarin.Madan.Co.,20210913,19040.00,19850.00,19040.00,19096.00,581117143402,30431013,4965,D,20042.00,19040.00
Zarin.Madan.Co.,20210912,20041.00,20295.00,20041.00,20042.00,306704022605,15302897,1683,D,21095.00,20041.00
Zarin.Madan.Co.,20210911,21051.00,21525.00,21051.00,21095.00,297911780558,14122704,2973,D,22158.00,21051.00
Zarin.Madan.Co.,20210908,21700.00,22315.00,21200.00,22158.00,332983067731,15027333,4721,D,21253.00,22100.00
Zarin.Madan.Co.,20210907,20398.00,21417.00,20000.00,21253.00,392351714714,18461332,4823,D,20398.00,20900.00
Zarin.Madan.Co.,20210906,20120.00,20418.00,20120.00,20398.00,238938135620,11713896,2104,D,19446.00,20418.00
Zarin.Madan.Co.,20210905,18900.00,20000.00,18800.00,19446.00,197006085323,10130967,2674,D,19157.00,19996.00
Zarin.Madan.Co.,20210904,18600.00,19596.00,18600.00,19157.00,163667019043,8543336,2602,D,18782.00,19340.00
Zarin.Madan.Co.,20210901,18945.00,19400.00,18020.00,18782.00,180336145876,9601448,2813,D,18663.00,18800.00
Zarin.Madan.Co.,20210831,18160.00,18777.00,18160.00,18663.00,356143651576,19083033,3873,D,17883.00,18777.00
Zarin.Madan.Co.,20210830,18030.00,18300.00,17817.00,17883.00,242398748310,13554464,2586,D,18754.00,18000.00
Zarin.Madan.Co.,20210829,19110.00,19531.00,18404.00,18754.00,331687044705,17685790,4276,D,19372.00,18404.00
Zarin.Madan.Co.,20210828,19395.00,19790.00,19000.00,19372.00,232103477221,11981178,3149,D,18857.00,19105.00
Zarin.Madan.Co.,20210825,19700.00,19700.00,18658.00,18857.00,385076036984,20421249,4824,D,19640.00,19000.00
Zarin.Madan.Co.,20210824,19800.00,20200.00,19050.00,19640.00,435614591354,22180056,5283,D,19614.00,19800.00
Zarin.Madan.Co.,20210823,19614.00,19614.00,19050.00,19614.00,169973600712,8666121,757,D,18680.00,19614.00
Zarin.Madan.Co.,20210814,18400.00,18774.00,18400.00,18680.00,38200014720,2044978,414,D,17880.00,18774.00
Zarin.Madan.Co.,20210810,17880.00,17880.00,17880.00,17880.00,16847394240,942248,194,D,17029.00,17880.00
Zarin.Madan.Co.,20210809,17020.00,17042.00,16800.00,17029.00,82229580426,4828840,1122,D,16231.00,17042.00
Zarin.Madan.Co.,20210808,15450.00,16660.00,15450.00,16231.00,148796881376,9167391,2890,D,15867.00,16660.00
Zarin.Madan.Co.,20210807,16250.00,16840.00,15656.00,15867.00,175305805534,11048627,2961,D,16479.00,15656.00
Zarin.Madan.Co.,20210804,16725.00,17150.00,16100.00,16479.00,115289081783,6996038,2474,D,16716.00,16405.00
Zarin.Madan.Co.,20210803,16660.00,17270.00,16486.00,16716.00,124882219428,7470843,2183,D,17353.00,16660.00
Zarin.Madan.Co.,20210802,17950.00,18400.00,17176.00,17353.00,104501167569,6022196,1963,D,18079.00,17176.00
Zarin.Madan.Co.,20210801,17850.00,18450.00,17710.00,18079.00,127194823936,7035689,2051,D,17586.00,17950.00
Zarin.Madan.Co.,20210731,17444.00,18100.00,17444.00,17586.00,277864832994,15800614,3729,D,18362.00,17827.00
Zarin.Madan.Co.,20210728,18899.00,18899.00,18205.00,18362.00,35408405518,1928313,379,D,19163.00,18205.00
Zarin.Madan.Co.,20210717,19900.00,20478.00,18738.00,19163.00,421782220818,22010660,3512,D,19724.00,18738.00
Zarin.Madan.Co.,20210714,19010.00,19877.00,19010.00,19724.00,270899665696,13734171,2536,D,18931.00,19870.00
Zarin.Madan.Co.,20210713,18800.00,19500.00,18310.00,18931.00,223569025779,11809901,2297,D,19120.00,19139.00
Zarin.Madan.Co.,20210712,19320.00,19970.00,18741.00,19120.00,195734167008,10236903,2761,D,19727.00,19399.00
Zarin.Madan.Co.,20210711,20250.00,20400.00,19074.00,19727.00,166855667419,8458402,2566,D,19653.00,19650.00
Zarin.Madan.Co.,20210710,19500.00,19725.00,19210.00,19653.00,178224889419,9068377,2098,D,18786.00,19725.00
Zarin.Madan.Co.,20210707,18510.00,19326.00,18241.00,18786.00,161450455446,8594007,1882,D,18423.00,19080.00
