<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Mahan.Chicken,20210921,10828.00,10880.00,10291.00,10431.00,28543917799,2736387,752,D,10832.00,10291.00
Mahan.Chicken,20210920,10800.00,11250.00,10725.00,10832.00,87021301390,8034007,2291,D,11289.00,10725.00
Mahan.Chicken,20210919,11259.00,11490.00,11259.00,11289.00,66599658093,5899404,1062,D,11851.00,11259.00
Mahan.Chicken,20210918,11900.00,12240.00,11784.00,11851.00,50565750309,4266627,809,D,12404.00,11784.00
Mahan.Chicken,20210915,12999.00,12999.00,12364.00,12404.00,27484723740,2215883,664,D,13014.00,12364.00
Mahan.Chicken,20210914,13000.00,13590.00,12620.00,13014.00,75835783655,5827035,2222,D,13161.00,12733.00
Mahan.Chicken,20210913,13120.00,13690.00,13110.00,13161.00,75712876334,5752972,1490,D,13800.00,13110.00
Mahan.Chicken,20210912,14390.00,14390.00,13748.00,13800.00,27294625267,1977848,772,D,14471.00,13748.00
Mahan.Chicken,20210911,15390.00,15390.00,14084.00,14471.00,108106681613,7470385,2289,D,14825.00,14084.00
Mahan.Chicken,20210908,14820.00,14835.00,14500.00,14825.00,151676588542,10231378,2481,D,14129.00,14835.00
Mahan.Chicken,20210907,13760.00,14720.00,13569.00,14129.00,165520012912,11715303,3733,D,14283.00,14632.00
Mahan.Chicken,20210906,14500.00,14979.00,13996.00,14283.00,151228428156,10587761,3802,D,14732.00,13996.00
Mahan.Chicken,20210905,14793.00,15000.00,13900.00,14732.00,124663175378,8462171,2620,D,14286.00,14720.00
Mahan.Chicken,20210904,14200.00,14432.00,13990.00,14286.00,170605379866,11942170,3410,D,13745.00,14432.00
Mahan.Chicken,20210901,13800.00,14200.00,13510.00,13745.00,272375926693,19816858,5165,D,14221.00,13979.00
Mahan.Chicken,20210831,14119.00,14664.00,14119.00,14221.00,131592228956,9253620,2131,D,14862.00,14119.00
Mahan.Chicken,20210830,14853.00,15290.00,14852.00,14862.00,82432848202,5546732,1370,D,15633.00,14852.00
Mahan.Chicken,20210829,15610.00,16100.00,15555.00,15633.00,461891698704,29546669,7134,D,16373.00,15555.00
Mahan.Chicken,20210828,16500.00,16686.00,15680.00,16373.00,385104084027,23520744,6401,D,15892.00,15900.00
Mahan.Chicken,20210825,16108.00,16136.00,15400.00,15892.00,466018674938,29324252,7967,D,15368.00,16136.00
Mahan.Chicken,20210824,14573.00,16107.00,14573.00,15368.00,1110651758852,72268082,13606,D,15340.00,15942.00
Mahan.Chicken,20210823,14634.00,14634.00,14634.00,15340.00,1174422402,80253,50,D,15404.00,14634.00
Mahan.Chicken,20210822,14687.00,14687.00,14687.00,15404.00,1008350672,68656,42,D,15459.00,14687.00
Mahan.Chicken,20210815,14699.00,14699.00,14699.00,15459.00,231288765,15735,15,D,15472.00,14699.00
Mahan.Chicken,20210814,14744.00,14744.00,14744.00,15472.00,886070168,60097,35,D,15520.00,14744.00
Mahan.Chicken,20210811,14848.00,14848.00,14848.00,15520.00,7950109184,535433,229,D,16497.00,14848.00
Mahan.Chicken,20210810,15710.00,15710.00,15710.00,16497.00,668601890,42559,28,D,16536.00,15710.00
Mahan.Chicken,20210809,15721.00,15721.00,15721.00,16536.00,201244521,12801,14,D,16548.00,15721.00
Mahan.Chicken,20210808,15725.00,15725.00,15725.00,16548.00,68812600,4376,7,D,16552.00,15725.00
Mahan.Chicken,20210807,15765.00,15765.00,15765.00,16552.00,725867895,46043,12,D,16594.00,15765.00
Mahan.Chicken,20210804,15765.00,15765.00,15765.00,16594.00,5044800,320,1,D,16594.00,15765.00
Mahan.Chicken,20210803,15783.00,15783.00,15783.00,16594.00,328538928,20816,6,D,16613.00,15783.00
Mahan.Chicken,20210802,15189.00,15189.00,15189.00,16613.00,2105408046,138614,88,D,16876.00,15189.00
Mahan.Chicken,20210801,16037.00,16037.00,16037.00,16876.00,77378525,4825,4,D,16881.00,16037.00
Mahan.Chicken,20210731,16040.00,16040.00,16040.00,16881.00,53300920,3323,5,D,16884.00,16040.00
Mahan.Chicken,20210728,16043.00,16043.00,16043.00,16884.00,43043369,2683,4,D,16887.00,16043.00
Mahan.Chicken,20210727,16046.00,16046.00,16046.00,16887.00,45811330,2855,6,D,16890.00,16046.00
Mahan.Chicken,20210726,16073.00,16073.00,16073.00,16890.00,479345079,29823,22,D,16918.00,16073.00
Mahan.Chicken,20210719,16080.00,16080.00,16080.00,16918.00,128720400,8005,6,D,16926.00,16080.00
Mahan.Chicken,20210718,15436.00,15436.00,15436.00,16926.00,1767807900,114525,86,D,17151.00,15436.00
Mahan.Chicken,20210717,16307.00,16307.00,16307.00,17151.00,239223690,14670,7,D,17165.00,16307.00
Mahan.Chicken,20210714,16314.00,16314.00,16314.00,17165.00,119614248,7332,3,D,17172.00,16314.00
Mahan.Chicken,20210713,16318.00,16318.00,16318.00,17172.00,58940616,3612,8,D,17176.00,16318.00
Mahan.Chicken,20210712,16336.00,16336.00,16336.00,17176.00,316248624,19359,9,D,17195.00,16336.00
Mahan.Chicken,20210711,16362.00,16362.00,16362.00,17195.00,464484456,28388,18,D,17223.00,16362.00
Mahan.Chicken,20210710,16380.00,16380.00,16380.00,17223.00,321523020,19629,23,D,17242.00,16380.00
Mahan.Chicken,20210707,15768.00,15768.00,15768.00,17242.00,2138030424,135593,107,D,17520.00,15768.00
Mahan.Chicken,20210706,16656.00,16656.00,16656.00,17520.00,189245472,11362,12,D,17532.00,16656.00
Mahan.Chicken,20210705,16657.00,16657.00,16657.00,17532.00,14524904,872,2,D,17533.00,16657.00
Mahan.Chicken,20210704,16661.00,16661.00,16661.00,17533.00,71908876,4316,6,D,17537.00,16661.00
Mahan.Chicken,20210703,16667.00,16667.00,16667.00,17537.00,118369034,7102,4,D,17544.00,16667.00
Mahan.Chicken,20210630,16672.00,16672.00,16672.00,17544.00,77924928,4674,7,D,17549.00,16672.00
Mahan.Chicken,20210629,16681.00,16681.00,16681.00,17549.00,136734157,8197,7,D,17558.00,16681.00
Mahan.Chicken,20210628,16077.00,16077.00,16077.00,17558.00,2302226400,143200,78,D,17863.00,16077.00
Mahan.Chicken,20210627,16973.00,16973.00,16973.00,17863.00,40175091,2367,4,D,17866.00,16973.00
Mahan.Chicken,20210626,16976.00,16976.00,16976.00,17866.00,43764128,2578,3,D,17869.00,16976.00
Mahan.Chicken,20210623,16979.00,16979.00,16979.00,17869.00,48339213,2847,6,D,17872.00,16979.00
Mahan.Chicken,20210622,16984.00,16984.00,16984.00,17872.00,78024496,4594,6,D,17877.00,16984.00
Mahan.Chicken,20210621,17077.00,17077.00,17077.00,17877.00,1523302554,89202,8,D,17975.00,17077.00
Mahan.Chicken,20210620,17272.00,17272.00,17272.00,17975.00,3195320000,185000,3,D,18181.00,17272.00
Mahan.Chicken,20210619,17472.00,17472.00,17472.00,18181.00,3260851776,186633,6,D,18391.00,17472.00
Mahan.Chicken,20210616,17683.00,17683.00,17683.00,18391.00,3276659900,185300,6,D,18613.00,17683.00
Mahan.Chicken,20210614,17908.00,17908.00,17908.00,18613.00,3494782016,195152,9,D,18850.00,17908.00
Mahan.Chicken,20210613,18129.00,18129.00,18129.00,18850.00,3444673161,190009,4,D,19083.00,18129.00
Mahan.Chicken,20210612,18349.00,18349.00,18349.00,19083.00,3405244118,185582,4,D,19314.00,18349.00
Mahan.Chicken,20210609,18579.00,18579.00,18579.00,19314.00,3442558647,185293,5,D,19556.00,18579.00
Mahan.Chicken,20210608,18820.00,18820.00,18820.00,19556.00,3611068680,191874,12,D,19810.00,18820.00
Mahan.Chicken,20210607,19060.00,19060.00,19060.00,19810.00,3593743940,188549,5,D,20063.00,19060.00
Mahan.Chicken,20210602,19308.00,19308.00,19308.00,20063.00,3615789852,187269,9,D,20324.00,19308.00
Mahan.Chicken,20210601,19559.00,19559.00,19559.00,20324.00,3650374406,186634,8,D,20588.00,19559.00
Mahan.Chicken,20210530,19563.00,19563.00,19563.00,20588.00,57808665,2955,3,D,20592.00,19563.00
Mahan.Chicken,20210525,19566.00,19566.00,19566.00,20592.00,44160462,2257,3,D,20595.00,19566.00
Mahan.Chicken,20210515,19566.00,19566.00,19566.00,20595.00,6632874,339,1,D,20595.00,19566.00
Mahan.Chicken,20210512,19982.00,19982.00,19982.00,20595.00,277829728,13904,1,D,20599.00,19982.00
Mahan.Chicken,20210511,19982.00,19982.00,19982.00,20599.00,5994600,300,1,D,20599.00,19982.00
Mahan.Chicken,20210510,19982.00,19982.00,19982.00,20599.00,44899554,2247,4,D,20600.00,19982.00
Mahan.Chicken,20210503,19982.00,19982.00,19982.00,20600.00,6194420,310,1,D,20600.00,19982.00
Mahan.Chicken,20210502,19983.00,19983.00,19983.00,20600.00,39966000,2000,1,D,20601.00,19983.00
Mahan.Chicken,20210428,19983.00,19983.00,19983.00,20601.00,14647539,733,2,D,20601.00,19983.00
Mahan.Chicken,20210427,19983.00,19983.00,19983.00,20601.00,39066765,1955,2,D,20601.00,19983.00
Mahan.Chicken,20210426,19983.00,19983.00,19983.00,20601.00,5994900,300,1,D,20601.00,19983.00
Mahan.Chicken,20210425,19983.00,19983.00,19983.00,20601.00,11010633,551,1,D,20601.00,19983.00
Mahan.Chicken,20210421,19983.00,19983.00,19983.00,20601.00,27776370,1390,2,D,20601.00,19983.00
Mahan.Chicken,20210420,20189.00,20189.00,20189.00,20601.00,10457902,518,2,D,20601.00,20189.00
Mahan.Chicken,20210418,20189.00,20189.00,20189.00,20601.00,5027061,249,1,D,20601.00,20189.00
Mahan.Chicken,20210417,20191.00,20191.00,20191.00,20601.00,216851340,10740,2,D,20603.00,20191.00
Mahan.Chicken,20210414,20191.00,20191.00,20191.00,20603.00,25723334,1274,3,D,20603.00,20191.00
Mahan.Chicken,20210413,20193.00,20193.00,20193.00,20603.00,202980036,10052,5,D,20605.00,20193.00
Mahan.Chicken,20210412,20193.00,20193.00,20193.00,20605.00,5048250,250,1,D,20605.00,20193.00
Mahan.Chicken,20210411,20194.00,20194.00,20194.00,20605.00,121164000,6000,4,D,20606.00,20194.00
Mahan.Chicken,20210410,20197.00,20197.00,20197.00,20606.00,331230800,16400,5,D,20609.00,20197.00
Mahan.Chicken,20210405,20205.00,20205.00,20205.00,20609.00,910134225,45045,25,D,20617.00,20205.00
Mahan.Chicken,20210404,20206.00,20206.00,20206.00,20617.00,89088254,4409,5,D,20618.00,20206.00
Mahan.Chicken,20210403,20207.00,20207.00,20207.00,20618.00,61530315,3045,5,D,20619.00,20207.00
Mahan.Chicken,20210331,20243.00,20243.00,20243.00,20619.00,4410139980,217860,17,D,20656.00,20243.00
Mahan.Chicken,20210330,20310.00,20310.00,20310.00,20656.00,8038880790,395809,41,D,20724.00,20310.00
Mahan.Chicken,20210328,20346.00,20346.00,20346.00,20724.00,4391419602,215837,27,D,20761.00,20346.00
Mahan.Chicken,20210327,20355.00,20355.00,20355.00,20761.00,1114436250,54750,15,D,20770.00,20355.00
Mahan.Chicken,20210317,20371.00,20371.00,20371.00,20770.00,1877819151,92181,41,D,20786.00,20371.00
Mahan.Chicken,20210316,20381.00,20381.00,20381.00,20786.00,1208043013,59273,25,D,20796.00,20381.00
Mahan.Chicken,20210315,20390.00,20390.00,20390.00,20796.00,1188084520,58268,18,D,20806.00,20390.00
Mahan.Chicken,20210314,20403.00,20403.00,20403.00,20806.00,1560094992,76464,32,D,20819.00,20403.00
Mahan.Chicken,20210313,20408.00,20408.00,20408.00,20819.00,599811528,29391,29,D,20824.00,20408.00
Mahan.Chicken,20210310,20445.00,20445.00,20445.00,20824.00,4443618525,217345,41,D,20862.00,20445.00
Mahan.Chicken,20210309,20503.00,20503.00,20503.00,20862.00,6898480386,336462,68,D,20921.00,20503.00
Mahan.Chicken,20210308,20511.00,20511.00,20511.00,20921.00,919056888,44808,34,D,20929.00,20511.00
Mahan.Chicken,20210307,20535.00,20535.00,20535.00,20929.00,2904860565,141459,66,D,20954.00,20535.00
Mahan.Chicken,20210306,20581.00,20581.00,20581.00,20954.00,5427415510,263710,46,D,21001.00,20581.00
Mahan.Chicken,20210303,20639.00,20639.00,20639.00,21001.00,6836606833,331247,79,D,21060.00,20639.00
Mahan.Chicken,20210302,20656.00,20656.00,20656.00,21060.00,1938400352,93842,80,D,21077.00,20656.00
Mahan.Chicken,20210301,20716.00,20716.00,20716.00,21077.00,7157875184,345524,90,D,21138.00,20716.00
Mahan.Chicken,20210228,20727.00,20727.00,20727.00,21138.00,1278234090,61670,75,D,21149.00,20727.00
Mahan.Chicken,20210227,20750.00,22320.00,20640.00,21149.00,198292250636,9375877,4256,D,21061.00,20799.00
Mahan.Chicken,20210224,21140.00,21155.00,20357.00,21061.00,150900737828,7165046,2591,D,19958.00,21155.00
Mahan.Chicken,20210223,19243.00,20811.00,19243.00,19958.00,121635262277,6094542,1627,D,19635.00,20600.00
Mahan.Chicken,20210222,19257.00,19257.00,19257.00,19635.00,1915686360,99480,46,D,19650.00,19257.00
Mahan.Chicken,20210221,19950.00,19950.00,19470.00,19650.00,49649775818,2528123,770,D,19867.00,19470.00
Mahan.Chicken,20210220,19917.00,19917.00,19073.00,19867.00,510997572393,25720610,5075,D,18790.00,19917.00
Mahan.Chicken,20210217,18790.00,18790.00,18790.00,18790.00,56336835650,2998235,303,D,17727.00,18790.00
Mahan.Chicken,20210216,17727.00,17727.00,17727.00,17727.00,115928074191,6539633,338,D,16724.00,17727.00
Mahan.Chicken,20210203,47100.00,50602.00,46688.00,47246.00,445432866762,9427996,6044,D,49145.00,46700.00
Mahan.Chicken,20210202,52000.00,52335.00,47351.00,49145.00,220295857593,4482603,2457,D,49843.00,47351.00
Mahan.Chicken,20210131,50188.00,50188.00,47800.00,49843.00,89931662549,1804289,894,D,47799.00,49980.00
Mahan.Chicken,20210130,47799.00,47799.00,47799.00,47799.00,133470677268,2792332,823,D,45523.00,47799.00
Mahan.Chicken,20210127,43000.00,45664.00,43000.00,45523.00,119146564405,2617299,1264,D,43490.00,45664.00
Mahan.Chicken,20210126,43499.00,43499.00,43000.00,43490.00,356722160568,8202377,3733,D,41428.00,43499.00
Mahan.Chicken,20210125,41656.00,41656.00,40000.00,41428.00,80198580538,1935851,1043,D,39673.00,41656.00
Mahan.Chicken,20210124,39900.00,41356.00,37418.00,39673.00,340904388225,8592802,5446,D,39387.00,41356.00
Mahan.Chicken,20210123,39511.00,39511.00,38100.00,39387.00,292936448520,7437299,2880,D,37630.00,39511.00
Mahan.Chicken,20210120,38389.00,38389.00,38389.00,37630.00,33451445209,871381,358,D,36561.00,38389.00
Mahan.Chicken,20210119,36561.00,36561.00,36561.00,36561.00,68508148044,1873804,715,D,34820.00,36561.00
Mahan.Chicken,20210118,33672.00,35355.00,33672.00,34820.00,100118922985,2875314,1756,D,33672.00,35355.00
Mahan.Chicken,20210116,33543.00,34990.00,31866.00,33672.00,160062681762,4753549,3214,D,33543.00,33800.00
Mahan.Chicken,20210113,31666.00,34537.00,31666.00,33543.00,128169180570,3821050,2730,D,33270.00,33999.00
Mahan.Chicken,20210112,33035.00,33723.00,31200.00,33270.00,154981269604,4658326,2832,D,32118.00,31550.00
Mahan.Chicken,20210111,30100.00,33077.00,29928.00,32118.00,192933002538,6007087,3099,D,31502.00,33077.00
Mahan.Chicken,20210110,31300.00,32817.00,31259.00,31502.00,40571506842,1294699,726,D,32904.00,31259.00
Mahan.Chicken,20210109,32820.00,34542.00,32817.00,32904.00,88234782326,2681560,1725,D,34544.00,32817.00
Mahan.Chicken,20210106,35505.00,35505.00,32150.00,34544.00,217089880355,6284478,3586,D,33815.00,33821.00
Mahan.Chicken,20210105,34383.00,34383.00,33890.00,33815.00,39175235011,1140907,743,D,32746.00,34383.00
Mahan.Chicken,20210104,33313.00,33313.00,32700.00,32746.00,36755451794,1103962,738,D,31727.00,33313.00
Mahan.Chicken,20210103,32150.00,32162.00,31010.00,31727.00,41649555955,1298943,877,D,30631.00,32162.00
Mahan.Chicken,20210102,30278.00,30909.00,29000.00,30631.00,99978799409,3264006,1763,D,29438.00,30909.00
Mahan.Chicken,20201230,28400.00,29791.00,28400.00,29438.00,45379768953,1534025,1097,D,28373.00,29791.00
Mahan.Chicken,20201229,28104.00,28900.00,27819.00,28373.00,44461693626,1565364,872,D,28104.00,28499.00
Mahan.Chicken,20201228,28600.00,28989.00,27000.00,28104.00,36460879117,1299729,813,D,28253.00,27820.00
Mahan.Chicken,20201227,28899.00,29400.00,27386.00,28253.00,38313331884,1361594,864,D,28662.00,27801.00
Mahan.Chicken,20201226,28900.00,29440.00,28010.00,28662.00,60363875725,2106096,1428,D,28697.00,28880.00
Mahan.Chicken,20201223,29811.00,29811.00,27148.00,28697.00,65297992767,2275424,1607,D,28573.00,28940.00
Mahan.Chicken,20201222,28623.00,28623.00,28100.00,28573.00,52698115435,1844348,808,D,27260.00,28623.00
Mahan.Chicken,20201221,25500.00,27674.00,25500.00,27260.00,46445856660,1701862,625,D,26357.00,27674.00
Mahan.Chicken,20201220,27950.00,28000.00,26050.00,26357.00,65340443899,2479049,1191,D,27421.00,26050.00
Mahan.Chicken,20201219,26983.00,28403.00,26983.00,27421.00,99775167757,3638578,1560,D,28403.00,27490.00
Mahan.Chicken,20201216,27406.00,27406.00,27406.00,28403.00,15118355464,551644,121,D,28848.00,27406.00
Mahan.Chicken,20201215,27552.00,27552.00,27552.00,28848.00,5233116672,189936,53,D,29002.00,27552.00
Mahan.Chicken,20201214,31370.00,31370.00,28414.00,29002.00,55877073834,1926660,1067,D,29909.00,28414.00
Mahan.Chicken,20201213,30047.00,30047.00,27187.00,29909.00,88193695013,2948720,1608,D,28617.00,30047.00
Mahan.Chicken,20201212,29391.00,29391.00,29391.00,28617.00,23462982255,798305,441,D,27992.00,29391.00
Mahan.Chicken,20201209,29218.00,29218.00,29218.00,27992.00,6763061242,231469,241,D,27827.00,29218.00
Mahan.Chicken,20201208,28401.00,28401.00,28041.00,27827.00,31940730428,1124641,433,D,27049.00,28401.00
Mahan.Chicken,20201207,27522.00,27522.00,24910.00,27049.00,36116539148,1315449,622,D,26212.00,27522.00
Mahan.Chicken,20201206,27292.00,27292.00,27292.00,26212.00,8975874836,328883,211,D,25993.00,27292.00
Mahan.Chicken,20201205,26150.00,26874.00,26000.00,25993.00,16787814137,625518,405,D,25595.00,26874.00
Mahan.Chicken,20201202,26150.00,26150.00,25900.00,25595.00,31413584180,1201310,592,D,24905.00,26150.00
Mahan.Chicken,20201201,25632.00,25632.00,25079.00,24905.00,23355972368,913017,259,D,24412.00,25632.00
Mahan.Chicken,20201130,25079.00,25079.00,24020.00,24412.00,29252737848,1176907,575,D,23885.00,25079.00
Mahan.Chicken,20201129,24690.00,24690.00,24690.00,23885.00,16817618190,681151,251,D,23515.00,24690.00
Mahan.Chicken,20201128,24239.00,24239.00,24239.00,23515.00,19577452476,807684,114,D,23085.00,24239.00
Mahan.Chicken,20201125,24073.00,24073.00,24073.00,23085.00,7780971352,323224,87,D,22927.00,24073.00
Mahan.Chicken,20201124,23798.00,23798.00,23798.00,22927.00,12895136684,541858,166,D,22665.00,23798.00
Mahan.Chicken,20201123,23384.00,23384.00,23020.00,22665.00,19461961520,832330,389,D,22271.00,23384.00
Mahan.Chicken,20201122,22850.00,22977.00,22110.00,22271.00,21871885994,957827,449,D,21883.00,22900.00
Mahan.Chicken,20201121,22349.00,22362.00,22100.00,21883.00,29435634938,1317547,445,D,21298.00,22362.00
Mahan.Chicken,20201118,20141.00,22044.00,20141.00,21298.00,49086366975,2304756,723,D,20995.00,22044.00
Mahan.Chicken,20201117,20881.00,22000.00,20881.00,20995.00,54611972292,2601140,884,D,21979.00,21115.00
Mahan.Chicken,20201116,21170.00,21959.00,21170.00,21979.00,13400106665,631006,312,D,22284.00,21170.00
Mahan.Chicken,20201115,22790.00,23200.00,21461.00,22284.00,28375630475,1285511,531,D,22590.00,21461.00
Mahan.Chicken,20201114,21884.00,22850.00,21884.00,22590.00,29246502792,1311599,758,D,23035.00,22310.00
Mahan.Chicken,20201111,21905.00,21905.00,21905.00,23035.00,896440220,40924,22,D,23057.00,21905.00
Mahan.Chicken,20201110,21906.00,21906.00,21906.00,23057.00,45695916,2086,8,D,23058.00,21906.00
Mahan.Chicken,20201109,21918.00,21918.00,21918.00,23058.00,522568956,23842,14,D,23071.00,21918.00
Mahan.Chicken,20201108,21920.00,21920.00,21920.00,23071.00,93620320,4271,6,D,23073.00,21920.00
Mahan.Chicken,20201107,21924.00,21924.00,21924.00,23073.00,166688172,7603,4,D,23077.00,21924.00
Mahan.Chicken,20201104,21943.00,21943.00,21943.00,23077.00,810223332,36924,33,D,23097.00,21943.00
Mahan.Chicken,20201102,21990.00,21990.00,21990.00,23097.00,2009446200,91380,44,D,23147.00,21990.00
Mahan.Chicken,20201101,21995.00,21995.00,21995.00,23147.00,208314645,9471,13,D,23152.00,21995.00
Mahan.Chicken,20201031,22566.00,23900.00,22566.00,23152.00,27123028030,1195157,455,D,23753.00,22566.00
Mahan.Chicken,20201028,22569.00,22569.00,22569.00,23753.00,128801283,5707,9,D,23756.00,22569.00
Mahan.Chicken,20201027,22572.00,22572.00,22572.00,23756.00,114552900,5075,10,D,23759.00,22572.00
Mahan.Chicken,20201026,22573.00,22573.00,22573.00,23759.00,71714421,3177,6,D,23761.00,22573.00
Mahan.Chicken,20201024,22590.00,22590.00,22590.00,23761.00,674221140,29846,11,D,23778.00,22590.00
Mahan.Chicken,20201021,22726.00,23922.00,22726.00,23778.00,5847562149,256862,110,D,23922.00,22726.00
Mahan.Chicken,20201020,22787.00,22787.00,22787.00,23922.00,2519513016,110568,30,D,23986.00,22787.00
Mahan.Chicken,20201019,22798.00,22798.00,22798.00,23986.00,412279032,18084,28,D,23997.00,22798.00
Mahan.Chicken,20201018,24700.00,24700.00,23019.00,23997.00,10124048135,437712,175,D,24230.00,23019.00
Mahan.Chicken,20201014,23622.00,24060.00,23585.00,24230.00,23509398036,995360,337,D,24826.00,23900.00
Mahan.Chicken,20201013,24057.00,25370.00,24000.00,24826.00,19253761884,795072,353,D,25224.00,24060.00
Mahan.Chicken,20201012,24455.00,25350.00,24444.00,25224.00,22231144822,903612,423,D,25730.00,24800.00
Mahan.Chicken,20201011,26190.00,26800.00,24529.00,25730.00,38774532718,1508724,864,D,25820.00,25380.00
Mahan.Chicken,20201010,25700.00,26064.00,23752.00,25820.00,54004147456,2091588,839,D,24823.00,26064.00
Mahan.Chicken,20201007,24793.00,25822.00,24793.00,24823.00,46726650070,1882414,865,D,26097.00,24793.00
Mahan.Chicken,20201006,25216.00,26100.00,25216.00,26097.00,17628158847,695713,293,D,26543.00,25217.00
Mahan.Chicken,20201005,25222.00,25222.00,25222.00,26543.00,214260890,8495,19,D,26549.00,25222.00
