<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
MiddleEast.LifeINS,20210921,5466.00,5466.00,5261.00,5439.00,6189636900,1162204,186,D,5530.00,5368.00
MiddleEast.LifeINS,20210920,5572.00,5765.00,5420.00,5530.00,7963925271,1448702,194,D,5572.00,5450.00
MiddleEast.LifeINS,20210919,5371.00,5700.00,5357.00,5572.00,6365799939,1155297,170,D,5622.00,5457.00
MiddleEast.LifeINS,20210918,5800.00,5800.00,5476.00,5622.00,10314845149,1853461,202,D,5764.00,5500.00
MiddleEast.LifeINS,20210915,5805.00,5830.00,5670.00,5764.00,8510034240,1490510,342,D,5862.00,5700.00
MiddleEast.LifeINS,20210914,5900.00,6047.00,5740.00,5862.00,10872947949,1858508,296,D,5911.00,5797.00
MiddleEast.LifeINS,20210913,5893.00,6060.00,5893.00,5911.00,18364654337,3106660,290,D,6203.00,5893.00
MiddleEast.LifeINS,20210912,6180.00,6300.00,6059.00,6203.00,9333343847,1526704,129,D,6377.00,6059.00
MiddleEast.LifeINS,20210911,6490.00,6490.00,6181.00,6377.00,7289189691,1161843,271,D,6481.00,6256.00
MiddleEast.LifeINS,20210908,6420.00,6547.00,6354.00,6481.00,8929943989,1380738,422,D,6502.00,6417.00
MiddleEast.LifeINS,20210907,6500.00,6538.00,6300.00,6502.00,6905378826,1073372,301,D,6563.00,6530.00
MiddleEast.LifeINS,20210906,6549.00,6706.00,6415.00,6563.00,15579696037,2373786,349,D,6453.00,6460.00
MiddleEast.LifeINS,20210905,6210.00,6570.00,6210.00,6453.00,14043821947,2176552,355,D,6475.00,6495.00
MiddleEast.LifeINS,20210904,6680.00,6765.00,6311.00,6475.00,23758406646,3669429,568,D,6592.00,6475.00
MiddleEast.LifeINS,20210901,6720.00,6750.00,6478.00,6592.00,29444340976,4466667,540,D,6458.00,6659.00
MiddleEast.LifeINS,20210831,6430.00,6499.00,6202.00,6458.00,50270971883,7784233,687,D,6190.00,6499.00
MiddleEast.LifeINS,20210830,6280.00,6530.00,6096.00,6190.00,32543724907,5257098,515,D,6416.00,6430.00
MiddleEast.LifeINS,20210829,6487.00,6489.00,6194.00,6416.00,49147877140,7660790,735,D,6180.00,6280.00
MiddleEast.LifeINS,20210828,6110.00,6385.00,5979.00,6180.00,46456059498,7517172,806,D,6082.00,6300.00
MiddleEast.LifeINS,20210825,6060.00,6309.00,6000.00,6082.00,27550676804,4530088,568,D,6019.00,6097.00
MiddleEast.LifeINS,20210824,5950.00,6027.00,5900.00,6019.00,23684762279,3934959,468,D,5740.00,6027.00
MiddleEast.LifeINS,20210823,5680.00,5815.00,5500.00,5740.00,15151107025,2637479,317,D,5539.00,5815.00
MiddleEast.LifeINS,20210822,5590.00,5700.00,5400.00,5539.00,26292257238,4746741,591,D,5561.00,5542.00
