<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Pegah.Gilan,20210921,22930.00,23000.00,22321.00,22373.00,33927876989,1516478,955,D,23495.00,22321.00
Pegah.Gilan,20210920,23529.00,24590.00,22579.00,23495.00,92949585073,3956135,4326,D,23767.00,23000.00
Pegah.Gilan,20210919,23900.00,24580.00,23529.00,23767.00,36643327359,1541764,1574,D,24767.00,23529.00
Pegah.Gilan,20210918,26010.00,26420.00,23999.00,24767.00,103081242336,4162094,4314,D,25262.00,24152.00
Pegah.Gilan,20210915,25340.00,25393.00,24306.00,25262.00,76143000534,3014180,8735,D,24184.00,25393.00
Pegah.Gilan,20210914,22500.00,24702.00,22500.00,24184.00,123926348108,5124370,10083,D,23526.00,24702.00
Pegah.Gilan,20210913,23471.00,24390.00,23468.00,23526.00,42562075584,1809164,1602,D,24703.00,23468.00
Pegah.Gilan,20210912,25960.00,25960.00,24615.00,24703.00,63245282710,2560259,2719,D,25910.00,24615.00
Pegah.Gilan,20210911,26779.00,27400.00,25460.00,25910.00,75254557160,2904412,4772,D,26799.00,25460.00
Pegah.Gilan,20210908,26400.00,28300.00,26366.00,26799.00,112835160723,4210399,16752,D,27753.00,26400.00
Pegah.Gilan,20210907,28100.00,28500.00,27662.00,27753.00,84151267807,3032127,6321,D,29117.00,27662.00
Pegah.Gilan,20210906,30000.00,30100.00,28094.00,29117.00,129791706725,4457525,10504,D,28716.00,28201.00
Pegah.Gilan,20210905,29038.00,29038.00,27120.00,28716.00,89423829100,3114070,3414,D,27656.00,29038.00
Pegah.Gilan,20210904,28070.00,28500.00,26800.00,27656.00,82225350830,2973191,4182,D,27672.00,27120.00
Pegah.Gilan,20210901,27990.00,28500.00,26700.00,27672.00,119609671220,4322461,4866,D,27583.00,28000.00
Pegah.Gilan,20210831,26653.00,29400.00,26653.00,27583.00,258169295323,9359867,5952,D,28055.00,27260.00
Pegah.Gilan,20210830,28040.00,28562.00,28040.00,28055.00,51842938625,1847931,1028,D,29515.00,28040.00
Pegah.Gilan,20210829,30032.00,30710.00,29181.00,29515.00,219825672885,7447972,7406,D,30716.00,29181.00
Pegah.Gilan,20210828,31800.00,32490.00,29590.00,30716.00,297761126590,9693865,9818,D,31124.00,29990.00
Pegah.Gilan,20210825,31316.00,31417.00,29310.00,31124.00,366247432255,11767420,8632,D,29921.00,31417.00
Pegah.Gilan,20210824,29600.00,30319.00,29500.00,29921.00,221110324709,7389705,4076,D,28876.00,30319.00
Pegah.Gilan,20210823,28876.00,28876.00,28876.00,28876.00,15979227624,553374,395,D,30395.00,28876.00
Pegah.Gilan,20210822,32500.00,32500.00,29931.00,30395.00,108526122047,3570578,1610,D,31506.00,29931.00
Pegah.Gilan,20210815,31610.00,32049.00,29595.00,31506.00,376358073042,11945649,9691,D,30523.00,32049.00
Pegah.Gilan,20210814,31660.00,31660.00,28646.00,30523.00,629614825715,20627220,9104,D,30153.00,31660.00
Pegah.Gilan,20210811,30153.00,30153.00,30153.00,30153.00,73385798493,2433781,2374,D,28718.00,30153.00
Pegah.Gilan,20210810,28718.00,28718.00,28718.00,28718.00,22530419720,784540,1706,D,27351.00,28718.00
Pegah.Gilan,20210809,27718.00,27718.00,27718.00,27351.00,12048377086,434677,1434,D,26399.00,27718.00
Pegah.Gilan,20210808,26380.00,26439.00,25400.00,26399.00,132242074378,5009426,2383,D,25180.00,26439.00
Pegah.Gilan,20210807,26130.00,26139.00,23651.00,25180.00,410634185606,16307796,9201,D,24895.00,26139.00
Pegah.Gilan,20210804,24897.00,24897.00,23805.00,24895.00,83271119455,3344897,1147,D,23712.00,24897.00
Pegah.Gilan,20210803,23712.00,23712.00,23712.00,23712.00,19876560288,838249,241,D,22583.00,23712.00
Pegah.Gilan,20210802,22638.00,22638.00,21560.00,22583.00,96159900490,4258034,3010,D,21560.00,22638.00
Pegah.Gilan,20210801,21562.00,21562.00,21000.00,21560.00,85731387481,3976491,2406,D,20536.00,21562.00
Pegah.Gilan,20210731,20400.00,20819.00,19900.00,20536.00,78394400065,3817487,4031,D,19828.00,20819.00
Pegah.Gilan,20210728,18465.00,20400.00,18465.00,19828.00,116429981507,5871853,6073,D,19436.00,20000.00
Pegah.Gilan,20210727,20500.00,20500.00,19231.00,19436.00,111664607246,5745220,3418,D,20243.00,19231.00
Pegah.Gilan,20210726,20548.00,20548.00,19200.00,20243.00,302794854177,14957761,8281,D,19570.00,20500.00
Pegah.Gilan,20210719,20090.00,20090.00,20090.00,19570.00,7722194200,384380,1565,D,19134.00,20090.00
Pegah.Gilan,20210718,19479.00,19479.00,19479.00,19134.00,10304585790,529010,1408,D,18552.00,19479.00
Pegah.Gilan,20210717,18518.00,18679.00,18020.00,18552.00,39567032996,2132739,2896,D,17790.00,18679.00
Pegah.Gilan,20210714,17740.00,17959.00,17100.00,17790.00,33114445941,1861452,3544,D,17104.00,17959.00
Pegah.Gilan,20210713,16500.00,17138.00,16500.00,17104.00,61674110019,3605877,3589,D,16322.00,17138.00
Pegah.Gilan,20210712,15750.00,16537.00,15500.00,16322.00,71617740484,4387866,4540,D,15750.00,16430.00
Pegah.Gilan,20210711,16100.00,16159.00,15476.00,15750.00,24514371016,1556481,3505,D,15882.00,15820.00
Pegah.Gilan,20210710,15488.00,16200.00,15488.00,15882.00,41735148056,2627903,3354,D,15443.00,15701.00
Pegah.Gilan,20210707,15650.00,16130.00,15250.00,15443.00,40594095893,2628715,2739,D,16052.00,15449.00
Pegah.Gilan,20210706,16200.00,16330.00,15650.00,16052.00,35679814805,2222828,3167,D,15911.00,15850.00
Pegah.Gilan,20210705,15700.00,16150.00,15630.00,15911.00,30712187251,1930255,2976,D,15559.00,15997.00
Pegah.Gilan,20210704,14670.00,15790.00,14670.00,15559.00,93469756594,6007431,4302,D,15039.00,15790.00
Pegah.Gilan,20210703,15500.00,15550.00,14926.00,15039.00,72576397090,4825735,3925,D,15711.00,14927.00
Pegah.Gilan,20210630,15600.00,15890.00,15350.00,15711.00,51808458204,3297570,3782,D,15134.00,15400.00
Pegah.Gilan,20210629,14350.00,15333.00,14350.00,15134.00,55182472774,3646200,4663,D,14603.00,15333.00
Pegah.Gilan,20210628,14600.00,15000.00,14400.00,14603.00,32123950294,2199841,3853,D,15042.00,14485.00
Pegah.Gilan,20210627,15500.00,15500.00,14788.00,15042.00,62752096540,4171764,4256,D,15566.00,14850.00
Pegah.Gilan,20210626,15251.00,15806.00,15150.00,15566.00,70514262832,4530087,4384,D,15054.00,15239.00
Pegah.Gilan,20210623,15062.00,15083.00,14780.00,15054.00,44248033161,2939194,2931,D,14365.00,15083.00
Pegah.Gilan,20210622,13688.00,14780.00,13390.00,14365.00,60777224216,4230790,5182,D,14091.00,14745.00
Pegah.Gilan,20210621,14079.00,14490.00,14079.00,14091.00,19232478122,1364865,453,D,14820.00,14079.00
Pegah.Gilan,20210620,15200.00,15280.00,14714.00,14820.00,13335549126,901712,1000,D,15488.00,14714.00
Pegah.Gilan,20210619,15610.00,16160.00,15117.00,15488.00,22253293342,1436769,2950,D,15907.00,15150.00
Pegah.Gilan,20210616,15998.00,16285.00,15602.00,15907.00,23425973156,1472695,6920,D,16138.00,15785.00
Pegah.Gilan,20210615,16300.00,17000.00,15994.00,16138.00,49007855624,3036829,5687,D,16832.00,16010.00
Pegah.Gilan,20210614,16870.00,17280.00,16480.00,16832.00,35362500651,2100863,4719,D,16873.00,16500.00
Pegah.Gilan,20210613,16184.00,17279.00,15713.00,16873.00,56248054541,3333634,4624,D,16475.00,16789.00
Pegah.Gilan,20210612,16313.00,17301.00,16217.00,16475.00,35186023886,2135665,4716,D,17070.00,16217.00
Pegah.Gilan,20210609,17500.00,17500.00,16951.00,17070.00,44357298399,2598573,5098,D,17843.00,16951.00
Pegah.Gilan,20210608,18400.00,18600.00,16901.00,17843.00,108933508663,6105240,8407,D,17786.00,17160.00
Pegah.Gilan,20210607,17690.00,17850.00,17100.00,17786.00,81071385015,4558172,7555,D,17000.00,17850.00
Pegah.Gilan,20210602,15922.00,17598.00,15922.00,17000.00,179927393761,10584014,8062,D,16760.00,17598.00
Pegah.Gilan,20210601,16900.00,17100.00,16597.00,16760.00,30421295684,1815123,2510,D,17470.00,16597.00
Pegah.Gilan,20210531,17989.00,18250.00,16898.00,17470.00,115438840361,6607996,9076,D,17787.00,16898.00
Pegah.Gilan,20210530,17700.00,18058.00,16860.00,17787.00,238487979937,13408207,14693,D,17199.00,17880.00
Pegah.Gilan,20210529,16850.00,18500.00,16850.00,17199.00,544240750896,31644498,34688,D,17736.00,17600.00
Pegah.Gilan,20210526,16878.00,16878.00,16878.00,17736.00,450558210,26695,18,D,17766.00,16878.00
Pegah.Gilan,20210525,16955.00,16955.00,16955.00,17766.00,1229152725,72495,36,D,17847.00,16955.00
Pegah.Gilan,20210524,17121.00,17121.00,17121.00,17847.00,2637027783,154023,43,D,18022.00,17121.00
Pegah.Gilan,20210523,17176.00,17176.00,17176.00,18022.00,857786616,49941,40,D,18079.00,17176.00
Pegah.Gilan,20210522,17955.00,17955.00,17955.00,18079.00,12383330085,689687,197,D,18900.00,17955.00
Pegah.Gilan,20210519,18900.00,18900.00,18900.00,18900.00,265535398800,14049492,4315,D,13345.00,18900.00
Pegah.Gilan,20210503,24659.00,24659.00,24659.00,23281.00,665324479,26981,1281,D,23264.00,24659.00
Pegah.Gilan,20210502,24647.00,24647.00,24647.00,23264.00,466469122,18926,922,D,23252.00,24647.00
Pegah.Gilan,20210501,24617.00,24617.00,24617.00,23252.00,1065472994,43282,1160,D,23224.00,24617.00
Pegah.Gilan,20210428,24606.00,24606.00,24606.00,23224.00,399109320,16220,1130,D,23214.00,24606.00
Pegah.Gilan,20210427,24593.00,24593.00,24593.00,23214.00,496360519,20183,1397,D,23201.00,24593.00
Pegah.Gilan,20210426,24581.00,24581.00,24581.00,23201.00,438107163,17823,1102,D,23190.00,24581.00
Pegah.Gilan,20210425,24564.00,24564.00,24564.00,23190.00,612773544,24946,1154,D,23174.00,24564.00
Pegah.Gilan,20210424,24540.00,24540.00,24540.00,23174.00,869255880,35422,1292,D,23151.00,24540.00
Pegah.Gilan,20210421,24508.00,24508.00,24508.00,23151.00,1161091008,47376,1042,D,23121.00,24508.00
Pegah.Gilan,20210420,24416.00,24416.00,24416.00,23121.00,3336153408,136638,1418,D,23034.00,24416.00
Pegah.Gilan,20210419,24404.00,24404.00,24404.00,23034.00,437051236,17909,1250,D,23023.00,24404.00
Pegah.Gilan,20210418,24392.00,24392.00,24392.00,23023.00,410761280,16840,1170,D,23012.00,24392.00
Pegah.Gilan,20210417,24329.00,24329.00,24329.00,23012.00,2297363141,94429,1680,D,22952.00,24329.00
Pegah.Gilan,20210414,24313.00,24313.00,24313.00,22952.00,571598630,23510,1636,D,22937.00,24313.00
Pegah.Gilan,20210413,24282.00,24282.00,24282.00,22937.00,1128821616,46488,2020,D,22908.00,24282.00
Pegah.Gilan,20210412,24266.00,24266.00,24266.00,22908.00,570178202,23497,1553,D,22893.00,24266.00
Pegah.Gilan,20210411,24248.00,24248.00,24248.00,22893.00,638983296,26352,1451,D,22876.00,24248.00
Pegah.Gilan,20210410,24216.00,24216.00,24216.00,22876.00,1163457720,48045,1906,D,22846.00,24216.00
Pegah.Gilan,20210407,24200.00,24200.00,24200.00,22846.00,596360600,24643,1503,D,22831.00,24200.00
Pegah.Gilan,20210406,24180.00,24180.00,24180.00,22831.00,748371000,30950,2031,D,22812.00,24180.00
Pegah.Gilan,20210405,24160.00,24160.00,24160.00,22812.00,722988000,29925,2018,D,22793.00,24160.00
Pegah.Gilan,20210404,24143.00,24143.00,24143.00,22793.00,638147776,26432,1838,D,22777.00,24143.00
Pegah.Gilan,20210403,24117.00,24117.00,24117.00,22777.00,968755773,40169,2394,D,22752.00,24117.00
Pegah.Gilan,20210331,24064.00,24064.00,24064.00,22752.00,1956716032,81313,4055,D,22702.00,24064.00
Pegah.Gilan,20210308,24024.00,24024.00,24024.00,22702.00,1465055592,60983,4237,D,22665.00,24024.00
Pegah.Gilan,20210307,23994.00,23994.00,23994.00,22665.00,1117424574,46571,2813,D,22636.00,23994.00
Pegah.Gilan,20210306,23965.00,23965.00,23965.00,22636.00,1042333710,43494,3017,D,22609.00,23965.00
Pegah.Gilan,20210303,23926.00,23926.00,23926.00,22609.00,1473291302,61577,2889,D,22572.00,23926.00
