<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Peyvand.Gostar,20210921,11562.00,11800.00,11077.00,11134.00,51884631699,4660210,3490,D,11660.00,11089.00
Peyvand.Gostar,20210920,11410.00,11900.00,11410.00,11660.00,21959528589,1883280,4420,D,11605.00,11562.00
Peyvand.Gostar,20210919,11722.00,12170.00,11290.00,11605.00,34051208495,2934251,3946,D,11879.00,11579.00
Peyvand.Gostar,20210918,12356.00,12700.00,11739.00,11879.00,39934955676,3361938,4385,D,12356.00,11879.00
Peyvand.Gostar,20210915,12870.00,12870.00,12018.00,12356.00,59715407892,4832872,19113,D,12650.00,12440.00
Peyvand.Gostar,20210914,12120.00,12780.00,12120.00,12650.00,61677617804,4875723,12516,D,12172.00,12780.00
Peyvand.Gostar,20210913,12440.00,12560.00,11890.00,12172.00,47732390252,3921570,7396,D,12261.00,12214.00
Peyvand.Gostar,20210912,12460.00,12660.00,12220.00,12261.00,59860385650,4882075,3784,D,12863.00,12240.00
Peyvand.Gostar,20210911,13100.00,13370.00,12472.00,12863.00,45265476743,3519021,5684,D,12981.00,12701.00
Peyvand.Gostar,20210908,12940.00,13610.00,12750.00,12981.00,68317940155,5262836,25789,D,13236.00,13070.00
Peyvand.Gostar,20210907,13201.00,13520.00,13166.00,13236.00,86447502372,6531449,14510,D,13858.00,13166.00
Peyvand.Gostar,20210906,14089.00,14300.00,13109.00,13858.00,145941436793,10531295,15194,D,13798.00,13300.00
Peyvand.Gostar,20210905,13730.00,14090.00,13100.00,13798.00,102110372541,7400381,6899,D,13420.00,14020.00
Peyvand.Gostar,20210904,13548.00,13561.00,13010.00,13420.00,84593892987,6303487,6907,D,12916.00,13561.00
Peyvand.Gostar,20210901,12388.00,13235.00,12388.00,12916.00,83189769279,6440920,5513,D,12605.00,13228.00
Peyvand.Gostar,20210831,12459.00,13000.00,12459.00,12605.00,84290077110,6686866,4656,D,13114.00,12461.00
Peyvand.Gostar,20210830,13060.00,13500.00,13047.00,13114.00,46348815705,3534281,1942,D,13733.00,13047.00
Peyvand.Gostar,20210829,14000.00,14240.00,12988.00,13733.00,162768277864,11851967,8753,D,13565.00,13190.00
Peyvand.Gostar,20210828,13289.00,13692.00,12885.00,13565.00,139591424739,10290468,7202,D,13040.00,13692.00
Peyvand.Gostar,20210825,13290.00,13328.00,12720.00,13040.00,144743510644,11099783,7007,D,12713.00,13115.00
Peyvand.Gostar,20210824,12360.00,12744.00,12360.00,12713.00,53939437134,4242797,3989,D,12138.00,12744.00
Peyvand.Gostar,20210823,12144.00,12269.00,11685.00,12138.00,100478586082,8278150,6319,D,11685.00,12269.00
Peyvand.Gostar,20210822,11500.00,11721.00,11310.00,11685.00,64140039968,5489308,5531,D,11163.00,11721.00
Peyvand.Gostar,20210815,11032.00,11300.00,10922.00,11163.00,39675696040,3554095,4896,D,11235.00,11290.00
Peyvand.Gostar,20210814,11498.00,11498.00,11031.00,11235.00,33563133153,2987404,4594,D,11332.00,11196.00
Peyvand.Gostar,20210811,11200.00,11473.00,11200.00,11332.00,39010136077,3442612,6612,D,11190.00,11310.00
Peyvand.Gostar,20210810,11050.00,11500.00,11050.00,11190.00,38622489787,3451374,5039,D,11362.00,11131.00
Peyvand.Gostar,20210809,11030.00,11500.00,11030.00,11362.00,32188015559,2832960,4185,D,11152.00,11389.00
Peyvand.Gostar,20210808,10630.00,11310.00,10630.00,11152.00,26854942750,2408109,3712,D,10975.00,11041.00
Peyvand.Gostar,20210807,10950.00,11148.00,10615.00,10975.00,30287569906,2759721,4250,D,11005.00,10970.00
Peyvand.Gostar,20210804,11150.00,11150.00,10950.00,11005.00,22457196987,2040722,3734,D,10987.00,10980.00
Peyvand.Gostar,20210803,11190.00,11250.00,10850.00,10987.00,18602424743,1693173,3549,D,11022.00,11102.00
Peyvand.Gostar,20210802,10800.00,11200.00,10720.00,11022.00,22594922635,2050049,3270,D,11014.00,10960.00
Peyvand.Gostar,20210801,11100.00,11200.00,10900.00,11014.00,36529456756,3316714,4267,D,11199.00,10918.00
Peyvand.Gostar,20210731,11093.00,11450.00,10998.00,11199.00,30098560658,2687667,4610,D,11238.00,11115.00
Peyvand.Gostar,20210728,11314.00,11695.00,11075.00,11238.00,34199921869,3043288,5030,D,11653.00,11150.00
Peyvand.Gostar,20210727,11850.00,11900.00,11470.00,11653.00,30625198052,2628089,3903,D,12073.00,11470.00
Peyvand.Gostar,20210726,12180.00,12410.00,11911.00,12073.00,27269270271,2258768,4420,D,12179.00,11918.00
Peyvand.Gostar,20210719,12014.00,12455.00,11931.00,12179.00,25229386042,2071480,4173,D,12107.00,12180.00
Peyvand.Gostar,20210718,12290.00,12403.00,12000.00,12107.00,40116943347,3313461,3730,D,12561.00,12012.00
Peyvand.Gostar,20210717,12990.00,13150.00,12288.00,12561.00,77354230456,6158362,5114,D,12934.00,12288.00
Peyvand.Gostar,20210714,12801.00,13090.00,12630.00,12934.00,40933126523,3164767,6528,D,12819.00,12929.00
Peyvand.Gostar,20210713,12555.00,12990.00,12555.00,12819.00,42402280701,3307669,4906,D,12720.00,12850.00
Peyvand.Gostar,20210712,12760.00,13060.00,12600.00,12720.00,62961842237,4949794,5215,D,12866.00,12639.00
Peyvand.Gostar,20210711,13399.00,13399.00,12614.00,12866.00,122902283975,9552362,6018,D,13212.00,12760.00
Peyvand.Gostar,20210710,13000.00,13272.00,12720.00,13212.00,226208095065,17121052,6189,D,12640.00,13272.00
Peyvand.Gostar,20210707,12100.00,12699.00,12100.00,12640.00,59831305156,4733481,3113,D,12095.00,12699.00
Peyvand.Gostar,20210706,11885.00,12350.00,11781.00,12095.00,53214942477,4399665,4372,D,11885.00,12160.00
Peyvand.Gostar,20210705,11712.00,12151.00,11712.00,11885.00,34420942455,2896231,3568,D,12100.00,11900.00
Peyvand.Gostar,20210704,12198.00,12600.00,11750.00,12100.00,40080542341,3312506,3671,D,12232.00,11999.00
Peyvand.Gostar,20210703,11900.00,12300.00,11711.00,12232.00,115791046621,9466336,6016,D,11715.00,12085.00
Peyvand.Gostar,20210630,11540.00,11962.00,11324.00,11715.00,25660567983,2190363,4064,D,11699.00,11802.00
Peyvand.Gostar,20210629,11631.00,11990.00,11517.00,11699.00,26397918077,2256466,3526,D,11906.00,11695.00
Peyvand.Gostar,20210628,11711.00,12355.00,11610.00,11906.00,36967392950,3104952,3767,D,12029.00,11752.00
Peyvand.Gostar,20210627,11900.00,12310.00,11660.00,12029.00,23446670730,1949180,3313,D,12114.00,11790.00
Peyvand.Gostar,20210626,12160.00,12395.00,11900.00,12114.00,45587564474,3763076,3999,D,12166.00,11950.00
Peyvand.Gostar,20210623,12000.00,12355.00,11931.00,12166.00,31221360415,2566359,4158,D,11855.00,12160.00
Peyvand.Gostar,20210622,11800.00,11970.00,11529.00,11855.00,38828409504,3275270,3400,D,11400.00,11970.00
Peyvand.Gostar,20210621,10532.00,11529.00,10532.00,11400.00,32562189215,2856313,4076,D,10980.00,11528.00
Peyvand.Gostar,20210620,10929.00,11270.00,10410.00,10980.00,7362972490,667076,567,D,10926.00,11004.00
Peyvand.Gostar,20210615,11100.00,11470.00,10990.00,11256.00,46102123223,4095701,4259,D,11293.00,11400.00
Peyvand.Gostar,20210614,11050.00,11440.00,11030.00,11293.00,27228224120,2411085,3537,D,11022.00,11320.00
Peyvand.Gostar,20210613,10630.00,11310.00,10502.00,11022.00,23119762084,2097682,2967,D,10932.00,11100.00
Peyvand.Gostar,20210612,10800.00,11070.00,10720.00,10932.00,23908027397,2186993,3010,D,10838.00,10801.00
Peyvand.Gostar,20210609,10660.00,11054.00,10660.00,10838.00,30221884126,2788533,2755,D,11174.00,10930.00
Peyvand.Gostar,20210608,11390.00,11540.00,10721.00,11174.00,49747830155,4452234,4166,D,11163.00,10802.00
Peyvand.Gostar,20210607,11000.00,11280.00,10613.00,11163.00,53368895831,4780879,5032,D,10743.00,11272.00
Peyvand.Gostar,20210602,10480.00,10866.00,10012.00,10743.00,57406290913,5343848,4144,D,10349.00,10866.00
Peyvand.Gostar,20210601,9605.00,10536.00,9605.00,10349.00,17077703427,1650105,1273,D,10035.00,10536.00
Peyvand.Gostar,20210531,10150.00,10403.00,9953.00,10035.00,29171226354,2906811,2737,D,10476.00,9953.00
Peyvand.Gostar,20210530,10980.00,10980.00,10150.00,10476.00,35282369148,3367805,4006,D,10485.00,10207.00
Peyvand.Gostar,20210529,10180.00,10517.00,10180.00,10485.00,26017686384,2481397,3603,D,10017.00,10517.00
Peyvand.Gostar,20210526,9789.00,10185.00,9706.00,10017.00,42224048273,4215079,9316,D,9705.00,10079.00
Peyvand.Gostar,20210525,9499.00,9862.00,9311.00,9705.00,53146910940,5476307,7279,D,9393.00,9862.00
Peyvand.Gostar,20210524,9500.00,9680.00,9121.00,9393.00,31134697297,3314789,3861,D,9595.00,9501.00
Peyvand.Gostar,20210523,9730.00,9900.00,9571.00,9595.00,44408336061,4628093,2391,D,10074.00,9571.00
Peyvand.Gostar,20210522,10100.00,10400.00,10044.00,10074.00,37918492474,3764165,2601,D,10572.00,10044.00
Peyvand.Gostar,20210519,10670.00,10858.00,10442.00,10572.00,30362691182,2871939,3053,D,10991.00,10442.00
Peyvand.Gostar,20210518,11340.00,11340.00,10600.00,10991.00,21080518384,1918004,3121,D,11028.00,10840.00
Peyvand.Gostar,20210517,11300.00,11300.00,10651.00,11028.00,29598044680,2683933,3849,D,10970.00,10940.00
Peyvand.Gostar,20210516,10770.00,11269.00,10395.00,10970.00,50650200342,4617314,4430,D,10942.00,11222.00
Peyvand.Gostar,20210515,10900.00,11214.00,10702.00,10942.00,24767287511,2263405,3564,D,11218.00,10733.00
Peyvand.Gostar,20210512,11345.00,11600.00,10850.00,11218.00,41596395720,3701760,5938,D,11127.00,10911.00
Peyvand.Gostar,20210511,10803.00,11339.00,10803.00,11127.00,42133552404,3767538,5982,D,10828.00,11200.00
Peyvand.Gostar,20210510,10641.00,10967.00,10641.00,10828.00,31641655499,2942480,4114,D,10970.00,10803.00
Peyvand.Gostar,20210509,10726.00,10730.00,10726.00,10970.00,12632752542,1177769,1465,D,11057.00,10726.00
Peyvand.Gostar,20210508,10900.00,11080.00,10826.00,11057.00,16196286713,1492697,1768,D,11160.00,10826.00
Peyvand.Gostar,20210505,11000.00,11479.00,10964.00,11160.00,33695126165,3034076,4519,D,11302.00,11008.00
Peyvand.Gostar,20210503,11121.00,11200.00,11117.00,11302.00,21618959374,1944457,1624,D,11460.00,11117.00
