<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Pakdis.Company,20210921,13510.00,13748.00,13134.00,13156.00,97181100437,7386980,981,D,13825.00,13134.00
Pakdis.Company,20210920,13260.00,14237.00,13260.00,13825.00,59514849121,4304923,1027,D,13689.00,13605.00
Pakdis.Company,20210919,14200.00,14550.00,13546.00,13689.00,91567084457,6688959,1072,D,14258.00,13546.00
Pakdis.Company,20210918,14861.00,15268.00,14113.00,14258.00,96582110555,6773669,1039,D,14855.00,14711.00
Pakdis.Company,20210915,14860.00,15469.00,14560.00,14855.00,70229229604,4727625,1205,D,15114.00,14700.00
Pakdis.Company,20210914,14820.00,15530.00,14820.00,15114.00,100788933919,6668402,1265,D,14800.00,15000.00
Pakdis.Company,20210913,15250.00,15600.00,14560.00,14800.00,108337537635,7320167,1162,D,15295.00,14730.00
Pakdis.Company,20210912,15500.00,15990.00,15188.00,15295.00,68632409160,4487322,988,D,15987.00,15375.00
Pakdis.Company,20210911,15700.00,16197.00,15510.00,15987.00,189247394369,11837495,2208,D,15426.00,15621.00
Pakdis.Company,20210908,14890.00,15710.00,14890.00,15426.00,82389485375,5340877,1587,D,15230.00,15320.00
Pakdis.Company,20210907,15150.00,15810.00,15083.00,15230.00,121769692084,7995298,1738,D,15876.00,15083.00
Pakdis.Company,20210906,16000.00,16390.00,15328.00,15876.00,129943741345,8184732,1999,D,16134.00,15350.00
Pakdis.Company,20210905,15770.00,16480.00,15770.00,16134.00,126117317242,7817061,1664,D,16212.00,15950.00
Pakdis.Company,20210904,16198.00,16363.00,15765.00,16212.00,190529652020,11752326,1834,D,15584.00,16200.00
Pakdis.Company,20210901,15550.00,15765.00,14800.00,15584.00,205877109425,13210781,1829,D,15015.00,15765.00
Pakdis.Company,20210831,14945.00,15630.00,14945.00,15015.00,336785757147,22429654,2453,D,15731.00,15137.00
Pakdis.Company,20210830,15717.00,16188.00,15717.00,15731.00,85604023155,5441798,713,D,16544.00,15717.00
Pakdis.Company,20210829,16900.00,17390.00,15894.00,16544.00,273365419417,16523063,3103,D,16730.00,15894.00
Pakdis.Company,20210828,16700.00,17240.00,16042.00,16730.00,288234921953,17228864,3680,D,16886.00,16880.00
Pakdis.Company,20210825,17398.00,17398.00,16560.00,16886.00,170082192456,10072168,2649,D,17311.00,16667.00
Pakdis.Company,20210824,17200.00,17448.00,16860.00,17311.00,321828215630,18590780,2826,D,16618.00,17160.00
Pakdis.Company,20210823,16030.00,16866.00,15550.00,16618.00,326712683507,19659586,2285,D,16063.00,16866.00
Pakdis.Company,20210822,16570.00,16570.00,15640.00,16063.00,288636417741,17968948,3326,D,16105.00,15900.00
Pakdis.Company,20210815,15888.00,16650.00,15208.00,16105.00,365197490996,22675353,3521,D,15976.00,16300.00
Pakdis.Company,20210814,16137.00,16137.00,15331.00,15976.00,685489287705,42908753,4434,D,15369.00,15555.00
Pakdis.Company,20210811,15369.00,15369.00,15369.00,15369.00,106867941906,6953474,355,D,14638.00,15369.00
Pakdis.Company,20210810,14160.00,14680.00,13981.00,14638.00,683167266198,46669463,1566,D,13981.00,14680.00
Pakdis.Company,20210809,14300.00,14300.00,13600.00,13981.00,85177293815,6092211,938,D,13930.00,13881.00
Pakdis.Company,20210808,13930.00,14295.00,13560.00,13930.00,82351343475,5911828,984,D,13850.00,14000.00
Pakdis.Company,20210807,14057.00,14200.00,13500.00,13850.00,107270910879,7745153,1239,D,14174.00,13930.00
Pakdis.Company,20210804,14050.00,14400.00,14037.00,14174.00,72024008020,5081458,1078,D,14174.00,14057.00
Pakdis.Company,20210803,14348.00,14590.00,14000.00,14174.00,99343753449,7008752,1497,D,14396.00,14080.00
Pakdis.Company,20210802,14439.00,14439.00,14050.00,14396.00,336342377448,23363916,2850,D,13752.00,14301.00
Pakdis.Company,20210801,13856.00,13856.00,13856.00,13752.00,13264750624,957329,123,D,13197.00,13856.00
Pakdis.Company,20210717,13608.00,14110.00,13310.00,13647.00,96187574860,7048056,1600,D,14008.00,13520.00
Pakdis.Company,20210714,14400.00,14410.00,13660.00,14008.00,111827464497,7982899,1539,D,14069.00,13750.00
Pakdis.Company,20210713,13441.00,14113.00,13441.00,14069.00,248392445304,17654677,2187,D,13441.00,14113.00
Pakdis.Company,20210712,13280.00,13582.00,12880.00,13441.00,148536487932,11051336,1561,D,12936.00,13582.00
Pakdis.Company,20210711,12881.00,13250.00,12622.00,12936.00,61717476352,4770965,971,D,12831.00,13030.00
Pakdis.Company,20210710,12800.00,13300.00,12582.00,12831.00,59341475027,4624769,1128,D,13243.00,12885.00
