<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Rahavard.PHARMA,20210921,26870.00,27298.00,25422.00,25674.00,30912177579,1204040,547,D,26759.00,25998.00
Rahavard.PHARMA,20210920,26522.00,27310.00,26522.00,26759.00,10041596608,373924,342,D,26521.00,26814.00
Rahavard.PHARMA,20210919,27050.00,27060.00,26501.00,26521.00,24074171463,907754,481,D,27895.00,26501.00
Rahavard.PHARMA,20210918,29380.00,29870.00,27500.00,27895.00,16940078340,607283,459,D,28655.00,27977.00
Rahavard.PHARMA,20210915,28900.00,29300.00,28288.00,28655.00,20144115660,702998,777,D,29193.00,28980.00
Rahavard.PHARMA,20210914,29880.00,29880.00,28700.00,29193.00,15564322986,533158,577,D,28888.00,28900.00
Rahavard.PHARMA,20210913,29400.00,29970.00,27530.00,28888.00,15693069801,543233,670,D,28616.00,28900.00
Rahavard.PHARMA,20210912,29110.00,30080.00,28532.00,28616.00,47480256272,1659197,671,D,30033.00,29490.00
Rahavard.PHARMA,20210911,31010.00,31010.00,29210.00,30033.00,20806793786,692791,512,D,30161.00,29830.00
Rahavard.PHARMA,20210908,30054.00,30990.00,29561.00,30161.00,21542506998,714250,924,D,30186.00,30150.00
Rahavard.PHARMA,20210907,30020.00,30900.00,29700.00,30186.00,25150901889,833193,753,D,31116.00,30054.00
Rahavard.PHARMA,20210906,30500.00,31860.00,30000.00,31116.00,66167864511,2126470,1093,D,30444.00,30450.00
Rahavard.PHARMA,20210905,30970.00,31060.00,29927.00,30444.00,53318968430,1751394,1099,D,31502.00,30798.00
Rahavard.PHARMA,20210904,31860.00,33180.00,30487.00,31502.00,55645101904,1766388,1339,D,32091.00,30999.00
Rahavard.PHARMA,20210901,32090.00,32414.00,31222.00,32091.00,34397247655,1071871,676,D,30871.00,32414.00
Rahavard.PHARMA,20210831,30312.00,31790.00,29030.00,30871.00,68287167430,2211998,1461,D,30312.00,31648.00
Rahavard.PHARMA,20210830,31270.00,31500.00,30001.00,30312.00,65306016354,2154456,1058,D,31579.00,30999.00
Rahavard.PHARMA,20210829,31813.00,31813.00,30310.00,31579.00,148855013946,4713684,1620,D,30299.00,30900.00
