<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Rail.Sair.Kosar,20210921,40400.00,40765.00,37900.00,39704.00,322433634111,8121032,3050,D,39047.00,40700.00
Rail.Sair.Kosar,20210920,37804.00,40800.00,37220.00,39047.00,837943054081,21459857,4443,D,39178.00,40680.00
Rail.Sair.Kosar,20210919,39178.00,39178.00,39178.00,39178.00,30076402108,767686,110,D,41239.00,39178.00
Rail.Sair.Kosar,20210918,41239.00,41239.00,41239.00,41239.00,42899488335,1040265,137,D,43409.00,41239.00
Rail.Sair.Kosar,20210915,43380.00,45500.00,43374.00,43409.00,367673424504,8469886,1972,D,45656.00,43374.00
Rail.Sair.Kosar,20210914,47100.00,47214.00,43200.00,45656.00,533947282486,11695013,4244,D,44967.00,45400.00
Rail.Sair.Kosar,20210913,43901.00,44999.00,43901.00,44967.00,409434417494,9105174,2805,D,42857.00,44999.00
Rail.Sair.Kosar,20210912,43600.00,43890.00,39710.00,42857.00,441289643497,10296773,4459,D,41800.00,43850.00
Rail.Sair.Kosar,20210911,41560.00,42095.00,40092.00,41800.00,240917256500,5763528,1588,D,40091.00,42095.00
Rail.Sair.Kosar,20210907,40124.00,40124.00,39000.00,40091.00,412002058665,10276771,1750,D,38214.00,40124.00
Rail.Sair.Kosar,20210906,37810.00,38705.00,35200.00,38214.00,287708275273,7528802,1970,D,36862.00,38705.00
Rail.Sair.Kosar,20210905,36899.00,36899.00,34440.00,36862.00,163905937192,4446492,1048,D,35142.00,36899.00
Rail.Sair.Kosar,20210901,35000.00,35159.00,34135.00,35142.00,133317123816,3793622,855,D,33485.00,35159.00
Rail.Sair.Kosar,20210831,32510.00,34135.00,31000.00,33485.00,274606584937,8201001,2118,D,32510.00,34135.00
Rail.Sair.Kosar,20210830,31493.00,34796.00,31493.00,32510.00,81320291941,2501387,730,D,33150.00,33140.00
Rail.Sair.Kosar,20210828,33000.00,33154.00,33000.00,33150.00,189456465392,5715080,1314,D,31576.00,33154.00
Rail.Sair.Kosar,20210825,31650.00,31708.00,30000.00,31576.00,277272545290,8781059,1494,D,30199.00,31708.00
Rail.Sair.Kosar,20210824,30364.00,30414.00,29000.00,30199.00,242152057651,8018607,1496,D,28966.00,30414.00
Rail.Sair.Kosar,20210823,27880.00,29700.00,27880.00,28966.00,282926280907,9767369,1566,D,28832.00,29407.00
Rail.Sair.Kosar,20210822,27080.00,29477.00,27080.00,28832.00,239960861900,8322722,1649,D,28368.00,28000.00
Rail.Sair.Kosar,20210815,28488.00,28999.00,27643.00,28368.00,79328853250,2796402,1138,D,27643.00,28700.00
Rail.Sair.Kosar,20210814,28034.00,28900.00,26633.00,27643.00,326662555948,11817366,2940,D,28034.00,28897.00
Rail.Sair.Kosar,20210811,27267.00,28630.00,25904.00,28034.00,368429426385,13142446,2562,D,27267.00,28090.00
