<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*MesSarcheshme,20210921,6616.00,6617.00,6218.00,6353.00,15908172705,2504126,496,D,6545.00,6445.00
S*MesSarcheshme,20210920,6477.00,6617.00,6341.00,6545.00,14869353146,2271870,472,D,6396.00,6589.00
S*MesSarcheshme,20210919,6570.00,6650.00,6250.00,6396.00,27796022213,4345808,603,D,6578.00,6385.00
S*MesSarcheshme,20210918,6860.00,6967.00,6511.00,6578.00,27300777631,4150440,725,D,6853.00,6530.00
S*MesSarcheshme,20210915,6980.00,6990.00,6814.00,6853.00,17450390092,2546479,757,D,7016.00,6850.00
S*MesSarcheshme,20210914,6950.00,7147.00,6900.00,7016.00,39680299948,5655892,903,D,6905.00,6965.00
S*MesSarcheshme,20210913,6930.00,7178.00,6779.00,6905.00,32384303492,4690046,738,D,7135.00,7000.00
S*MesSarcheshme,20210912,7302.00,7493.00,7119.00,7135.00,50089082130,7020323,749,D,7493.00,7119.00
S*MesSarcheshme,20210911,7760.00,7848.00,7260.00,7493.00,47192857365,6298223,883,D,7616.00,7399.00
S*MesSarcheshme,20210908,7748.00,7760.00,7484.00,7616.00,39813285490,5227714,1067,D,7636.00,7550.00
S*MesSarcheshme,20210907,7620.00,7780.00,7526.00,7636.00,30937610046,4051716,972,D,7914.00,7540.00
S*MesSarcheshme,20210906,7970.00,8100.00,7664.00,7914.00,65314714577,8253548,1255,D,7986.00,7667.00
S*MesSarcheshme,20210905,8100.00,8100.00,7860.00,7986.00,90263973328,11303076,1222,D,8181.00,8010.00
S*MesSarcheshme,20210904,8350.00,8490.00,7950.00,8181.00,147771657811,18063719,2303,D,8086.00,8031.00
S*MesSarcheshme,20210901,8125.00,8129.00,7850.00,8086.00,145356205429,17976121,1150,D,7742.00,8129.00
S*MesSarcheshme,20210831,7251.00,7942.00,7186.00,7742.00,152775918314,19732313,1958,D,7564.00,7849.00
S*MesSarcheshme,20210830,7580.00,7879.00,7520.00,7564.00,45787761643,6053482,826,D,7915.00,7520.00
S*MesSarcheshme,20210829,8200.00,8200.00,7500.00,7915.00,106830357019,13496924,2603,D,7832.00,7551.00
S*MesSarcheshme,20210828,7660.00,7927.00,7471.00,7832.00,118801658676,15168738,2386,D,7550.00,7927.00
S*MesSarcheshme,20210825,7600.00,7700.00,7416.00,7550.00,37437113138,4958721,995,D,7609.00,7530.00
S*MesSarcheshme,20210824,7600.00,7728.00,7414.00,7609.00,51881127915,6818574,961,D,7468.00,7557.00
S*MesSarcheshme,20210823,7700.00,7700.00,7380.00,7468.00,61150617316,8187952,1179,D,7346.00,7420.00
S*MesSarcheshme,20210822,7393.00,7393.00,7201.00,7346.00,94992420873,12931468,1372,D,7041.00,7340.00
S*MesSarcheshme,20210815,6711.00,7163.00,6711.00,7041.00,114203054146,16219077,1537,D,6822.00,7163.00
S*MesSarcheshme,20210814,6800.00,6890.00,6760.00,6822.00,42208021643,6187287,645,D,6808.00,6799.00
S*MesSarcheshme,20210811,6810.00,6945.00,6710.00,6808.00,40656860171,5971841,906,D,6870.00,6829.00
S*MesSarcheshme,20210810,6875.00,6973.00,6730.00,6870.00,27419608171,3991232,631,D,6788.00,6860.00
S*MesSarcheshme,20210809,6805.00,6900.00,6673.00,6788.00,26831229917,3952831,612,D,6739.00,6803.00
S*MesSarcheshme,20210808,6610.00,6840.00,6610.00,6739.00,24009414694,3562819,560,D,6761.00,6720.00
S*MesSarcheshme,20210807,6726.00,6960.00,6602.00,6761.00,22187451827,3281587,563,D,6825.00,6720.00
S*MesSarcheshme,20210804,6660.00,6988.00,6660.00,6825.00,40440230143,5925318,575,D,6724.00,6820.00
S*MesSarcheshme,20210803,6650.00,6789.00,6600.00,6724.00,13840138637,2059915,338,D,6789.00,6701.00
S*MesSarcheshme,20210802,6889.00,6900.00,6650.00,6789.00,18932063703,2788498,498,D,6886.00,6650.00
S*MesSarcheshme,20210801,6948.00,6948.00,6750.00,6886.00,33818118884,4911441,721,D,6777.00,6887.00
S*MesSarcheshme,20210731,6702.00,6957.00,6670.00,6777.00,44445114276,6558447,784,D,6748.00,6749.00
S*MesSarcheshme,20210728,6840.00,6970.00,6600.00,6748.00,23585162780,3494909,559,D,6795.00,6721.00
S*MesSarcheshme,20210727,6695.00,6970.00,6695.00,6795.00,12039920144,1784615,266,D,7047.00,6695.00
S*MesSarcheshme,20210718,7400.00,7400.00,7178.00,7247.00,31841867623,4393869,648,D,7337.00,7269.00
S*MesSarcheshme,20210717,7500.00,7580.00,7235.00,7337.00,50565917544,6891763,1084,D,7550.00,7328.00
S*MesSarcheshme,20210714,7360.00,7650.00,7360.00,7550.00,37491330810,4965769,881,D,7418.00,7560.00
S*MesSarcheshme,20210713,7370.00,7502.00,7260.00,7418.00,35322426958,4761967,683,D,7428.00,7500.00
