<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Alvand.Housing.Inv,20210921,18200.00,18750.00,17013.00,17651.00,99670906414,5646788,2260,D,17908.00,17900.00
Alvand.Housing.Inv,20210920,17830.00,18500.00,17753.00,17908.00,138435974328,7730449,2613,D,18687.00,17754.00
Alvand.Housing.Inv,20210919,18633.00,19127.00,18633.00,18687.00,68337476033,3656879,1149,D,19613.00,18633.00
Alvand.Housing.Inv,20210918,19551.00,19980.00,19551.00,19613.00,20816966598,1061384,498,D,20580.00,19551.00
Alvand.Housing.Inv,20210915,21700.00,21700.00,20292.00,20580.00,95257168683,4628561,2463,D,21360.00,20292.00
Alvand.Housing.Inv,20210914,21800.00,21800.00,21181.00,21360.00,64087187231,3000312,1783,D,21616.00,21204.00
Alvand.Housing.Inv,20210913,21730.00,22350.00,21311.00,21616.00,85278213528,3945149,1634,D,21971.00,21331.00
Alvand.Housing.Inv,20210912,22010.00,22950.00,21200.00,21971.00,123780222626,5633790,2684,D,21945.00,21712.00
Alvand.Housing.Inv,20210911,22308.00,22308.00,21600.00,21945.00,88796562608,4046236,1924,D,21725.00,22000.00
Alvand.Housing.Inv,20210908,22750.00,22750.00,21340.00,21725.00,172321220180,7931901,3908,D,22450.00,21687.00
Alvand.Housing.Inv,20210907,22511.00,23039.00,22374.00,22450.00,166031231297,7395761,3485,D,23551.00,22374.00
Alvand.Housing.Inv,20210906,24900.00,24900.00,22808.00,23551.00,223781033263,9501821,4755,D,24008.00,23039.00
Alvand.Housing.Inv,20210905,23200.00,24477.00,23200.00,24008.00,165521326402,6894355,3057,D,23312.00,24477.00
Alvand.Housing.Inv,20210904,24390.00,24500.00,22731.00,23312.00,365779722542,15690362,7386,D,23924.00,22860.00
Alvand.Housing.Inv,20210901,24050.00,25300.00,23616.00,23924.00,415974722527,17387491,6465,D,24858.00,23905.00
Alvand.Housing.Inv,20210831,24792.00,26096.00,24792.00,24858.00,291179439810,11713824,4005,D,26096.00,24792.00
Alvand.Housing.Inv,20210830,25986.00,26990.00,25986.00,26096.00,174984427120,6705288,2386,D,27353.00,25986.00
Alvand.Housing.Inv,20210829,27751.00,27751.00,25550.00,27353.00,755051766191,27604397,10925,D,26430.00,27000.00
Alvand.Housing.Inv,20210828,25535.00,27995.00,25535.00,26430.00,1772646452945,67068555,18723,D,26878.00,27630.00
Alvand.Housing.Inv,20210825,25697.00,25697.00,25697.00,26878.00,1775534215,69095,67,D,27049.00,25697.00
Alvand.Housing.Inv,20210824,25874.00,25874.00,25874.00,27049.00,1928182228,74522,53,D,27235.00,25874.00
Alvand.Housing.Inv,20210823,25925.00,25925.00,25925.00,27235.00,559150400,21568,21,D,27289.00,25925.00
Alvand.Housing.Inv,20210822,26102.00,26102.00,26102.00,27289.00,1927972026,73863,42,D,27475.00,26102.00
Alvand.Housing.Inv,20210815,26158.00,26158.00,26158.00,27475.00,607545708,23226,11,D,27534.00,26158.00
Alvand.Housing.Inv,20210814,26186.00,26186.00,26186.00,27534.00,312320422,11927,6,D,27564.00,26186.00
Alvand.Housing.Inv,20210811,26249.00,26249.00,26249.00,27564.00,661763539,25211,4,D,27630.00,26249.00
Alvand.Housing.Inv,20210810,26856.00,26856.00,26856.00,27630.00,6394789584,238114,46,D,28269.00,26856.00
Alvand.Housing.Inv,20210809,27000.00,27000.00,27000.00,28269.00,1518993000,56259,7,D,28421.00,27000.00
Alvand.Housing.Inv,20210808,27005.00,27005.00,27005.00,28421.00,54793145,2029,4,D,28426.00,27005.00
