<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Talise.Company,20210921,3370.00,3370.00,3210.00,3224.00,42649398577,13227750,1058,D,3378.00,3210.00
Talise.Company,20210920,3415.00,3420.00,3302.00,3378.00,28849658809,8541138,981,D,3278.00,3343.00
Talise.Company,20210919,3393.00,3450.00,3210.00,3278.00,40810519784,12450968,1188,D,3364.00,3309.00
Talise.Company,20210918,3360.00,3489.00,3349.00,3364.00,19407496947,5768491,741,D,3525.00,3361.00
Talise.Company,20210915,3540.00,3616.00,3480.00,3525.00,30844332041,8749901,1726,D,3616.00,3510.00
Talise.Company,20210914,3420.00,3697.00,3420.00,3616.00,35659629496,9860962,1243,D,3528.00,3551.00
Talise.Company,20210913,3550.00,3690.00,3510.00,3528.00,57435161607,16281619,1610,D,3694.00,3510.00
Talise.Company,20210912,3791.00,3880.00,3664.00,3694.00,36692339200,9932100,945,D,3856.00,3664.00
Talise.Company,20210911,3899.00,3970.00,3801.00,3856.00,55913585625,14501324,1186,D,3842.00,3815.00
Talise.Company,20210908,3770.00,3946.00,3768.00,3842.00,50786132587,13217984,1842,D,3814.00,3869.00
Talise.Company,20210907,3781.00,3886.00,3766.00,3814.00,109182819282,28623435,2127,D,3964.00,3784.00
Talise.Company,20210906,4100.00,4100.00,3790.00,3964.00,94585564274,23863173,2891,D,3971.00,3849.00
Talise.Company,20210905,3950.00,3995.00,3834.00,3971.00,125626454746,31634569,2154,D,3805.00,3995.00
Talise.Company,20210904,3780.00,3849.00,3700.00,3805.00,90508552366,23789053,2106,D,3666.00,3849.00
Talise.Company,20210901,3789.00,3789.00,3502.00,3666.00,72006729985,19639364,1990,D,3686.00,3737.00
Talise.Company,20210831,3643.00,3900.00,3643.00,3686.00,79476337847,21559339,1908,D,3834.00,3643.00
Talise.Company,20210830,3814.00,3930.00,3814.00,3834.00,49994014945,13040093,1103,D,4014.00,3814.00
Talise.Company,20210829,4200.00,4200.00,3956.00,4014.00,171118252053,42632057,3921,D,4164.00,3956.00
Talise.Company,20210828,4190.00,4264.00,4066.00,4164.00,223523291637,53685967,4559,D,4061.00,4118.00
Talise.Company,20210825,4063.00,4063.00,4000.00,4061.00,167799428001,41315678,1516,D,3870.00,4063.00
Talise.Company,20210824,3870.00,3870.00,3870.00,3870.00,31942620090,8253907,423,D,3686.00,3870.00
Talise.Company,20210823,3560.00,3745.00,3521.00,3686.00,107633939195,29199048,1695,D,3567.00,3745.00
Talise.Company,20210822,3570.00,3644.00,3472.00,3567.00,90492494162,25371792,1975,D,3471.00,3600.00
Talise.Company,20210815,3429.00,3550.00,3340.00,3471.00,60310783958,17373330,1898,D,3441.00,3495.00
Talise.Company,20210814,3500.00,3584.00,3405.00,3441.00,79958386901,23234947,2428,D,3584.00,3422.00
Talise.Company,20210811,3580.00,3626.00,3500.00,3584.00,142295641467,39703983,3150,D,3454.00,3557.00
Talise.Company,20210810,3370.00,3507.00,3300.00,3454.00,114364361240,33106332,2602,D,3340.00,3507.00
Talise.Company,20210809,3251.00,3380.00,3251.00,3340.00,66463001823,19901111,1686,D,3258.00,3328.00
Talise.Company,20210808,3203.00,3300.00,3203.00,3258.00,43099136991,13229786,1139,D,3272.00,3259.00
Talise.Company,20210807,3320.00,3340.00,3220.00,3272.00,42100293911,12866567,1203,D,3239.00,3240.00
Talise.Company,20210804,3200.00,3292.00,3200.00,3239.00,76708274339,23683649,1516,D,3281.00,3270.00
Talise.Company,20210803,3340.00,3340.00,3240.00,3281.00,49908058401,15209709,1251,D,3360.00,3242.00
Talise.Company,20210802,3323.00,3449.00,3301.00,3360.00,56529428794,16822860,1509,D,3304.00,3358.00
Talise.Company,20210801,3310.00,3397.00,3250.00,3304.00,52991742980,16036485,1415,D,3299.00,3325.00
Talise.Company,20210731,3290.00,3380.00,3250.00,3299.00,47149820935,14290931,1208,D,3287.00,3303.00
Talise.Company,20210728,3233.00,3400.00,3233.00,3287.00,43016447025,13085657,1256,D,3380.00,3280.00
Talise.Company,20210727,3509.00,3509.00,3253.00,3380.00,61613222020,18228488,1775,D,3400.00,3278.00
Talise.Company,20210726,3419.00,3427.00,3320.00,3400.00,117023474961,34420920,2166,D,3264.00,3427.00
Talise.Company,20210719,3182.00,3300.00,3182.00,3264.00,40323497762,12354479,1358,D,3235.00,3240.00
Talise.Company,20210718,3266.00,3310.00,3201.00,3235.00,38408449939,11872497,1242,D,3326.00,3210.00
Talise.Company,20210717,3420.00,3430.00,3260.00,3326.00,50001941037,15034941,1607,D,3366.00,3266.00
Talise.Company,20210714,3280.00,3430.00,3270.00,3366.00,45211616268,13433118,1571,D,3320.00,3367.00
Talise.Company,20210713,3340.00,3391.00,3280.00,3320.00,43008280803,12955840,1524,D,3405.00,3318.00
Talise.Company,20210712,3400.00,3500.00,3340.00,3405.00,64670820401,18994722,1967,D,3466.00,3380.00
Talise.Company,20210711,3549.00,3549.00,3380.00,3466.00,118075284536,34068908,2809,D,3404.00,3423.00
Talise.Company,20210710,3400.00,3410.00,3350.00,3404.00,64333626041,18900126,1108,D,3248.00,3410.00
