<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Tejarat-No.Ins.,20210921,12829.00,13301.00,12829.00,12939.00,25931286775,2020626,344,D,13504.00,12829.00
Tejarat-No.Ins.,20210920,13450.00,14143.00,13450.00,13504.00,53986727537,3997869,729,D,14157.00,13450.00
Tejarat-No.Ins.,20210919,13612.00,13612.00,13612.00,14157.00,7786976004,572067,150,D,14328.00,13612.00
Tejarat-No.Ins.,20210918,14485.00,14880.00,14042.00,14328.00,63314164951,4418784,512,D,14781.00,14042.00
Tejarat-No.Ins.,20210915,14856.00,15242.00,14494.00,14781.00,154855950599,10476408,1716,D,15256.00,14494.00
Tejarat-No.Ins.,20210914,15554.00,15699.00,14900.00,15256.00,184741400544,12109117,2415,D,15330.00,14923.00
Tejarat-No.Ins.,20210913,14700.00,15361.00,14700.00,15330.00,459619103559,29982237,1686,D,14630.00,15361.00
Tejarat-No.Ins.,20210912,14301.00,14735.00,14300.00,14630.00,82140701865,5614687,551,D,14621.00,14650.00
Tejarat-No.Ins.,20210911,14625.00,14750.00,14620.00,14621.00,113342638686,7751819,485,D,14610.00,14620.00
Tejarat-No.Ins.,20210908,14610.00,14699.00,14610.00,14610.00,77566329855,5308955,848,D,14604.00,14610.00
Tejarat-No.Ins.,20210907,13950.00,14650.00,13950.00,14604.00,78078122589,5346422,677,D,14614.00,14620.00
Tejarat-No.Ins.,20210906,14600.00,14800.00,14600.00,14614.00,55224107542,3778827,825,D,14597.00,14601.00
Tejarat-No.Ins.,20210905,14800.00,14800.00,14590.00,14597.00,88691623138,6076224,689,D,14585.00,14708.00
Tejarat-No.Ins.,20210904,14850.00,14850.00,14580.00,14585.00,84953868130,5824686,725,D,14580.00,14697.00
Tejarat-No.Ins.,20210901,14748.00,14999.00,14484.00,14580.00,30835575351,2113110,620,D,14484.00,14548.00
Tejarat-No.Ins.,20210831,14600.00,14800.00,13740.00,14484.00,116144695818,8018606,948,D,14447.00,14500.00
Tejarat-No.Ins.,20210830,14644.00,14664.00,13912.00,14447.00,117024074447,8100065,953,D,14644.00,13912.00
Tejarat-No.Ins.,20210829,15100.00,15100.00,14000.00,14644.00,130804517774,8932115,1015,D,14582.00,14201.00
Tejarat-No.Ins.,20210828,14849.00,14849.00,14020.00,14582.00,162114913701,11117695,1332,D,14563.00,14700.00
Tejarat-No.Ins.,20210825,14700.00,14700.00,14556.00,14563.00,113032146474,7761781,1022,D,14556.00,14560.00
Tejarat-No.Ins.,20210824,14600.00,14990.00,14507.00,14556.00,173418856712,11913570,1259,D,14507.00,14540.00
Tejarat-No.Ins.,20210823,14310.00,15200.00,14199.00,14507.00,94683222518,6526828,1253,D,14946.00,14199.00
Tejarat-No.Ins.,20210822,15450.00,15450.00,14690.00,14946.00,114210299816,7641443,1231,D,15209.00,14772.00
Tejarat-No.Ins.,20210815,15450.00,15450.00,14830.00,15209.00,130021714141,8548954,1444,D,15372.00,15100.00
Tejarat-No.Ins.,20210814,15500.00,15577.00,14836.00,15372.00,150842311639,9812569,1797,D,14836.00,15500.00
Tejarat-No.Ins.,20210811,14250.00,14901.00,14200.00,14836.00,94533703657,6371750,1203,D,14192.00,14901.00
Tejarat-No.Ins.,20210810,14020.00,14398.00,13800.00,14192.00,117748725414,8297115,1441,D,13713.00,14398.00
Tejarat-No.Ins.,20210809,13205.00,14000.00,13205.00,13713.00,147214358926,10735346,1118,D,13659.00,13871.00
Tejarat-No.Ins.,20210808,13299.00,13847.00,12778.00,13659.00,263449503672,19287472,2204,D,13188.00,13497.00
Tejarat-No.Ins.,20210807,13950.00,13950.00,12778.00,13188.00,463845520405,35170863,2573,D,13450.00,12948.00
Tejarat-No.Ins.,20210804,13450.00,13450.00,13450.00,13450.00,114347528750,8501675,183,D,11970.00,13450.00
Tejarat-No.Ins.,20210803,11970.00,11970.00,11970.00,11970.00,29514812040,2465732,178,D,11400.00,11970.00
Tejarat-No.Ins.,20210802,11400.00,11400.00,11400.00,11400.00,423086319000,37112835,404,D,10555.00,11400.00
Tejarat-No.Ins.,20210719,21035.00,22035.00,21035.00,21110.00,143760706623,6809932,1694,D,22142.00,21035.00
Tejarat-No.Ins.,20210718,22142.00,22142.00,22142.00,22142.00,37163907770,1678435,249,D,23307.00,22142.00
Tejarat-No.Ins.,20210717,24001.00,24010.00,23039.00,23307.00,46468552351,1993763,749,D,24251.00,23039.00
Tejarat-No.Ins.,20210714,24477.00,24898.00,24002.00,24251.00,84575427918,3487504,919,D,24477.00,24200.00
Tejarat-No.Ins.,20210713,25000.00,25180.00,23264.00,24477.00,142249823057,5811637,1771,D,24103.00,24451.00
Tejarat-No.Ins.,20210712,24116.00,24116.00,23850.00,24103.00,74113355864,3074884,742,D,22968.00,24116.00
Tejarat-No.Ins.,20210711,22800.00,23150.00,22500.00,22968.00,64133707661,2792311,892,D,22048.00,23150.00
Tejarat-No.Ins.,20210710,22050.00,23149.00,22000.00,22048.00,57185431491,2593636,514,D,22009.00,22510.00
Tejarat-No.Ins.,20210707,22489.00,22489.00,22000.00,22009.00,169330712351,7693611,736,D,21904.00,22008.00
Tejarat-No.Ins.,20210706,20960.00,22290.00,20960.00,21904.00,85404563755,3898977,869,D,21865.00,22050.00
Tejarat-No.Ins.,20210705,22340.00,22450.00,21500.00,21865.00,58647352733,2682227,1054,D,21486.00,21830.00
Tejarat-No.Ins.,20210704,21680.00,21682.00,20740.00,21486.00,72810069812,3388738,1228,D,20650.00,21682.00
Tejarat-No.Ins.,20210703,19850.00,20732.00,19850.00,20650.00,112907368954,5467716,1293,D,19745.00,20732.00
Tejarat-No.Ins.,20210630,20090.00,20090.00,18943.00,19745.00,125708343507,6366686,1179,D,19940.00,19940.00
Tejarat-No.Ins.,20210629,19900.00,20090.00,19900.00,19940.00,82283376514,4126492,685,D,19859.00,19950.00
Tejarat-No.Ins.,20210628,20100.00,20100.00,19729.00,19859.00,58444367240,2942903,813,D,19729.00,19833.00
Tejarat-No.Ins.,20210627,19900.00,19900.00,19701.00,19729.00,65560623576,3323049,850,D,19701.00,19748.00
Tejarat-No.Ins.,20210626,19393.00,20300.00,19393.00,19701.00,46176713757,2343822,836,D,19421.00,19427.00
Tejarat-No.Ins.,20210623,19245.00,20000.00,19244.00,19421.00,75768169077,3901294,1036,D,19244.00,19630.00
Tejarat-No.Ins.,20210622,19010.00,19580.00,19010.00,19244.00,40606862498,2110093,810,D,18941.00,19066.00
Tejarat-No.Ins.,20210621,19200.00,19500.00,18745.00,18941.00,72349258452,3819648,1354,D,19731.00,18745.00
Tejarat-No.Ins.,20210620,19725.00,20175.00,19725.00,19731.00,97201901010,4926396,748,D,20763.00,20000.00
Tejarat-No.Ins.,20210619,21980.00,22100.00,20178.00,20763.00,165516758698,7971861,2275,D,21240.00,20178.00
Tejarat-No.Ins.,20210616,21240.00,21240.00,21240.00,21240.00,60868381320,2865743,542,D,20229.00,21240.00
Tejarat-No.Ins.,20210615,20020.00,21400.00,20000.00,20229.00,370306333063,18306165,3485,D,20424.00,21150.00
Tejarat-No.Ins.,20210614,19674.00,19674.00,19674.00,20424.00,6489960750,329875,86,D,20709.00,19674.00
Tejarat-No.Ins.,20210613,20692.00,21260.00,20692.00,20709.00,192043494989,9273403,1176,D,21781.00,20692.00
Tejarat-No.Ins.,20210612,21766.00,22224.00,21766.00,21781.00,274486326226,12602301,2072,D,22911.00,21766.00
Tejarat-No.Ins.,20210609,23800.00,23800.00,22610.00,22911.00,385283797360,16816363,891,D,26543.00,22610.00
Tejarat-No.Ins.,20210602,26664.00,26664.00,26664.00,26664.00,1091199349152,40924068,1153,D,28067.00,26664.00
Tejarat-No.Ins.,20210601,28067.00,28067.00,28067.00,28067.00,33951864024,1209672,29,D,29544.00,28067.00
Tejarat-No.Ins.,20210531,28068.00,28068.00,28068.00,29544.00,16672392,594,3,D,29545.00,28068.00
Tejarat-No.Ins.,20210530,28080.00,28080.00,28080.00,29545.00,269259120,9589,14,D,29557.00,28080.00
Tejarat-No.Ins.,20210529,28700.00,28700.00,28700.00,29557.00,14884594900,518627,32,D,30210.00,28700.00
Tejarat-No.Ins.,20210526,28709.00,28709.00,28709.00,30210.00,237940192,8288,3,D,30220.00,28709.00
Tejarat-No.Ins.,20210525,28710.00,28710.00,28710.00,30220.00,29887110,1041,1,D,30221.00,28710.00
Tejarat-No.Ins.,20210524,28718.00,28718.00,28718.00,30221.00,172308000,6000,1,D,30229.00,28718.00
Tejarat-No.Ins.,20210522,28720.00,28720.00,28720.00,30229.00,39633600,1380,1,D,30231.00,28720.00
Tejarat-No.Ins.,20210519,28723.00,28723.00,28723.00,30231.00,69222430,2410,7,D,30234.00,28723.00
Tejarat-No.Ins.,20210518,28724.00,28724.00,28724.00,30234.00,11891736,414,1,D,30235.00,28724.00
Tejarat-No.Ins.,20210517,28726.00,28726.00,28726.00,30235.00,49782158,1733,1,D,30237.00,28726.00
Tejarat-No.Ins.,20210516,28757.00,28757.00,28757.00,30237.00,745352683,25919,10,D,30270.00,28757.00
Tejarat-No.Ins.,20210515,30270.00,30270.00,30270.00,30270.00,36448924290,1204127,25,D,31863.00,30270.00
Tejarat-No.Ins.,20210512,30909.00,30909.00,30909.00,31863.00,26303559,851,2,D,31864.00,30909.00
