<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
TabasParvadeh.Coal,20210921,37420.00,37420.00,35350.00,35772.00,115432477065,3226866,4413,D,37210.00,35801.00
TabasParvadeh.Coal,20210920,36600.00,37740.00,36600.00,37210.00,38527934332,1035419,4713,D,36795.00,37104.00
TabasParvadeh.Coal,20210919,36860.00,38020.00,36200.00,36795.00,95191031715,2587082,4885,D,36846.00,37011.00
TabasParvadeh.Coal,20210918,37766.00,38001.00,36158.00,36846.00,126263522474,3426774,5168,D,38061.00,36850.00
TabasParvadeh.Coal,20210915,38260.00,38800.00,37550.00,38061.00,70990782058,1865162,19170,D,38823.00,38001.00
TabasParvadeh.Coal,20210914,37200.00,39450.00,37200.00,38823.00,99939718085,2574242,11631,D,37840.00,39300.00
TabasParvadeh.Coal,20210913,38000.00,39130.00,37000.00,37840.00,63616550914,1681220,7121,D,38115.00,37841.00
TabasParvadeh.Coal,20210912,38120.00,38880.00,37645.00,38115.00,61724935846,1619420,4737,D,39616.00,38300.00
TabasParvadeh.Coal,20210911,40100.00,40690.00,38560.00,39616.00,63691148357,1607697,6189,D,39372.00,39000.00
TabasParvadeh.Coal,20210908,37958.00,40610.00,37950.00,39372.00,154175332382,3915821,31686,D,38761.00,39429.00
TabasParvadeh.Coal,20210907,38900.00,39320.00,38030.00,38761.00,102472231713,2643707,17516,D,39955.00,38050.00
TabasParvadeh.Coal,20210906,40350.00,41000.00,39120.00,39955.00,174060987146,4356384,16067,D,40652.00,39230.00
TabasParvadeh.Coal,20210905,40890.00,41299.00,40200.00,40652.00,138498560258,3406945,7016,D,40089.00,40850.00
TabasParvadeh.Coal,20210904,39670.00,40500.00,39670.00,40089.00,148483819635,3703886,6898,D,38946.00,40170.00
TabasParvadeh.Coal,20210901,37021.00,39640.00,37021.00,38946.00,147700694971,3792441,6031,D,37762.00,39619.00
TabasParvadeh.Coal,20210831,37401.00,39300.00,37401.00,37762.00,152068866109,4027082,6176,D,39369.00,37520.00
TabasParvadeh.Coal,20210830,39299.00,40137.00,39298.00,39369.00,103294773230,2623751,2709,D,41366.00,39298.00
TabasParvadeh.Coal,20210829,42160.00,43000.00,40141.00,41366.00,214339809460,5181537,8431,D,42253.00,40141.00
TabasParvadeh.Coal,20210828,41101.00,42438.00,41101.00,42253.00,258937851812,6128247,8609,D,40418.00,41899.00
TabasParvadeh.Coal,20210825,40995.00,41093.00,39306.00,40418.00,257674781821,6375211,9043,D,39137.00,41093.00
TabasParvadeh.Coal,20210824,38000.00,39260.00,37835.00,39137.00,268315983893,6855855,7441,D,37391.00,39260.00
TabasParvadeh.Coal,20210823,37800.00,37989.00,36900.00,37391.00,122990633504,3289302,7099,D,37623.00,37280.00
TabasParvadeh.Coal,20210822,36660.00,38561.00,36660.00,37623.00,149661976951,3977887,8245,D,37392.00,37328.00
TabasParvadeh.Coal,20210815,37100.00,37800.00,36500.00,37392.00,120447936782,3221240,5654,D,37196.00,37335.00
TabasParvadeh.Coal,20210814,36500.00,38090.00,36500.00,37196.00,117672082921,3163546,6647,D,37060.00,36991.00
TabasParvadeh.Coal,20210811,37150.00,37690.00,36500.00,37060.00,322097619392,8691308,12773,D,37345.00,37250.00
TabasParvadeh.Coal,20210810,37890.00,38350.00,37025.00,37345.00,129652163940,3471782,7282,D,37191.00,37230.00
TabasParvadeh.Coal,20210809,36902.00,37960.00,36232.00,37191.00,127620492505,3431524,6871,D,36963.00,37400.00
TabasParvadeh.Coal,20210808,36010.00,37500.00,36010.00,36963.00,117484643378,3178466,5431,D,36911.00,37010.00
TabasParvadeh.Coal,20210807,37400.00,37490.00,36010.00,36911.00,165383622011,4480626,6338,D,36702.00,37000.00
TabasParvadeh.Coal,20210804,34950.00,37394.00,34950.00,36702.00,419956403174,11442432,7852,D,35614.00,37394.00
TabasParvadeh.Coal,20210803,34820.00,36000.00,34820.00,35614.00,81245424335,2281282,5384,D,35666.00,35960.00
TabasParvadeh.Coal,20210802,34990.00,36800.00,34510.00,35666.00,133383655384,3739758,5671,D,35124.00,35520.00
TabasParvadeh.Coal,20210801,35980.00,35980.00,34520.00,35124.00,112203193813,3194459,6261,D,35116.00,35150.00
TabasParvadeh.Coal,20210731,33600.00,35251.00,33580.00,35116.00,245123664836,6980449,7633,D,33573.00,35251.00
TabasParvadeh.Coal,20210728,32880.00,34173.00,32870.00,33573.00,101999875988,3038150,8293,D,33432.00,33520.00
TabasParvadeh.Coal,20210727,34210.00,34250.00,32831.00,33432.00,113615119974,3398405,6709,D,34549.00,32880.00
TabasParvadeh.Coal,20210726,35000.00,35750.00,34101.00,34549.00,105919608920,3065738,7441,D,34892.00,34220.00
TabasParvadeh.Coal,20210719,34140.00,35580.00,33750.00,34892.00,99995618602,2865873,9796,D,34519.00,35002.00
TabasParvadeh.Coal,20210718,34300.00,35143.00,33900.00,34519.00,124412342031,3604148,7113,D,35143.00,34680.00
TabasParvadeh.Coal,20210717,36400.00,36400.00,34300.00,35143.00,154742144061,4403194,9057,D,35893.00,34528.00
TabasParvadeh.Coal,20210714,36110.00,36440.00,35500.00,35893.00,129230583403,3600399,14772,D,36364.00,35831.00
TabasParvadeh.Coal,20210713,37290.00,37290.00,35800.00,36364.00,55155649802,1516770,5731,D,37017.00,36102.00
TabasParvadeh.Coal,20210712,35800.00,37800.00,35800.00,37017.00,200291915368,5410854,9014,D,36122.00,36790.00
TabasParvadeh.Coal,20210711,35900.00,36700.00,35760.00,36122.00,79580158884,2203098,6905,D,35379.00,36035.00
TabasParvadeh.Coal,20210710,35016.00,36439.00,34660.00,35379.00,107733069243,3045104,7532,D,35841.00,35901.00
TabasParvadeh.Coal,20210707,35630.00,36700.00,35310.00,35841.00,176938945883,4936785,6912,D,36861.00,35320.00
TabasParvadeh.Coal,20210706,37076.00,37076.00,36200.00,36861.00,317754468253,8620404,8596,D,35311.00,36320.00
TabasParvadeh.Coal,20210705,34000.00,35569.00,34000.00,35311.00,197340776700,5588630,6818,D,33876.00,35569.00
TabasParvadeh.Coal,20210704,32650.00,34600.00,32650.00,33876.00,124165150598,3665237,7056,D,33333.00,34040.00
TabasParvadeh.Coal,20210703,33510.00,34170.00,32700.00,33333.00,92376326328,2771342,7187,D,33768.00,32949.00
TabasParvadeh.Coal,20210630,33770.00,34550.00,33526.00,33768.00,98643584385,2921192,6863,D,33710.00,33700.00
TabasParvadeh.Coal,20210629,33310.00,34312.00,33000.00,33710.00,96654182634,2867226,8162,D,33696.00,34140.00
TabasParvadeh.Coal,20210628,33800.00,34142.00,33300.00,33696.00,100718522086,2989078,8554,D,34137.00,33760.00
TabasParvadeh.Coal,20210627,34450.00,35000.00,33630.00,34137.00,227259257881,6657350,10082,D,34935.00,33910.00
TabasParvadeh.Coal,20210626,35358.00,35358.00,34000.00,34935.00,319084723711,9133672,8057,D,33675.00,34090.00
TabasParvadeh.Coal,20210623,32310.00,34540.00,31500.00,33675.00,449678946370,13353597,14802,D,32896.00,34540.00
TabasParvadeh.Coal,20210622,32080.00,33400.00,32080.00,32896.00,113430700743,3448115,7284,D,32080.00,32520.00
TabasParvadeh.Coal,20210621,31000.00,32631.00,30611.00,32080.00,168923901608,5265722,8604,D,31078.00,32630.00
TabasParvadeh.Coal,20210620,31260.00,31800.00,30900.00,31078.00,67344255139,2166914,6117,D,31272.00,31111.00
TabasParvadeh.Coal,20210619,31041.00,31790.00,30971.00,31272.00,75832048802,2424897,5812,D,31187.00,31380.00
TabasParvadeh.Coal,20210616,31500.00,31610.00,31001.00,31187.00,88001729893,2821734,14534,D,31508.00,31400.00
TabasParvadeh.Coal,20210615,31150.00,31900.00,31150.00,31508.00,103290211748,3278253,10109,D,31366.00,31310.00
TabasParvadeh.Coal,20210614,31200.00,32300.00,30907.00,31366.00,133271251801,4248953,9589,D,31533.00,31530.00
TabasParvadeh.Coal,20210613,31500.00,32428.00,31000.00,31533.00,74727709236,2369795,7581,D,31996.00,31731.00
TabasParvadeh.Coal,20210612,33000.00,33519.00,31615.00,31996.00,170681445545,5334515,8758,D,33278.00,32010.00
TabasParvadeh.Coal,20210609,33300.00,33830.00,32504.00,33278.00,298386229933,8966529,10761,D,32221.00,33210.00
TabasParvadeh.Coal,20210608,30850.00,32504.00,30600.00,32221.00,284314116933,8823913,13528,D,30957.00,32504.00
TabasParvadeh.Coal,20210607,30550.00,31588.00,30100.00,30957.00,139964429862,4521256,14620,D,30744.00,31155.00
TabasParvadeh.Coal,20210602,31000.00,31700.00,30510.00,30744.00,80208378839,2608942,5966,D,30500.00,31020.00
TabasParvadeh.Coal,20210601,30200.00,31400.00,29841.00,30500.00,135040122868,4427548,8924,D,30861.00,30252.00
TabasParvadeh.Coal,20210531,30010.00,31534.00,30010.00,30861.00,150069580546,4862751,9661,D,31190.00,30201.00
TabasParvadeh.Coal,20210530,31572.00,31572.00,30350.00,31190.00,304502860290,9762910,14035,D,30069.00,31134.00
TabasParvadeh.Coal,20210529,30069.00,30069.00,30069.00,30069.00,43229539782,1437678,409,D,27517.00,30069.00
TabasParvadeh.Coal,20210524,30000.00,31400.00,29810.00,30517.00,213031750635,6980723,12724,D,30255.00,30351.00
TabasParvadeh.Coal,20210523,30060.00,31090.00,30060.00,30255.00,353305232022,11677700,11147,D,31642.00,30065.00
TabasParvadeh.Coal,20210522,31700.00,32000.00,31626.00,31642.00,48137947502,1521348,738,D,33290.00,31626.00
TabasParvadeh.Coal,20210519,34800.00,34800.00,32170.00,33290.00,281325037344,8450733,14416,D,33791.00,32400.00
TabasParvadeh.Coal,20210518,32100.00,34087.00,32100.00,33791.00,376281062489,11135554,15095,D,32464.00,34087.00
TabasParvadeh.Coal,20210517,31940.00,32750.00,31790.00,32464.00,309616123549,9537278,15171,D,31220.00,32591.00
TabasParvadeh.Coal,20210516,31250.00,32200.00,31062.00,31220.00,396046205624,12685855,13374,D,32696.00,31240.00
TabasParvadeh.Coal,20210515,32500.00,33899.00,31350.00,32696.00,370925482574,11344652,18364,D,32329.00,31466.00
TabasParvadeh.Coal,20210512,31770.00,32509.00,31310.00,32329.00,970017078436,30004825,38271,D,30669.00,32509.00
TabasParvadeh.Coal,20210511,30338.00,31650.00,30338.00,30669.00,1322196893632,43111697,35903,D,31276.00,31430.00
TabasParvadeh.Coal,20210510,30414.00,30414.00,30414.00,31276.00,3978364098,130807,22,D,31354.00,30414.00
TabasParvadeh.Coal,20210509,30595.00,30595.00,30595.00,31354.00,9542702880,311904,34,D,31541.00,30595.00
TabasParvadeh.Coal,20210508,30717.00,30717.00,30717.00,31541.00,6410361447,208691,29,D,31667.00,30717.00
TabasParvadeh.Coal,20210505,30846.00,30846.00,30846.00,31667.00,6651538902,215637,43,D,31799.00,30846.00
TabasParvadeh.Coal,20210503,31028.00,31028.00,31028.00,31799.00,9514456948,306641,42,D,31987.00,31028.00
TabasParvadeh.Coal,20210502,31033.00,31033.00,31033.00,31987.00,231630312,7464,14,D,31992.00,31033.00
TabasParvadeh.Coal,20210501,31040.00,31040.00,31040.00,31992.00,367079040,11826,43,D,31999.00,31040.00
TabasParvadeh.Coal,20210428,31999.00,31999.00,31999.00,31999.00,59741557018,1866982,183,D,32988.00,31999.00
TabasParvadeh.Coal,20210427,32830.00,32830.00,32830.00,32988.00,40694656310,1239557,164,D,33845.00,32830.00
TabasParvadeh.Coal,20210426,32844.00,32844.00,32844.00,33845.00,655106424,19946,31,D,33859.00,32844.00
TabasParvadeh.Coal,20210425,33016.00,33016.00,33016.00,33859.00,8444964544,255784,22,D,34037.00,33016.00
TabasParvadeh.Coal,20210424,33019.00,33019.00,33019.00,34037.00,138151496,4184,21,D,34040.00,33019.00
TabasParvadeh.Coal,20210421,33164.00,33164.00,33164.00,34040.00,6975549940,210335,25,D,34189.00,33164.00
TabasParvadeh.Coal,20210420,33556.00,33556.00,33556.00,34189.00,3646127848,108658,28,D,34240.00,33556.00
TabasParvadeh.Coal,20210419,33653.00,33653.00,33653.00,34240.00,7020453289,208613,29,D,34339.00,33653.00
TabasParvadeh.Coal,20210418,33749.00,33749.00,33749.00,34339.00,6921717406,205094,39,D,34437.00,33749.00
TabasParvadeh.Coal,20210417,33896.00,33896.00,33896.00,34437.00,10663173160,314585,40,D,34587.00,33896.00
TabasParvadeh.Coal,20210414,33910.00,33910.00,33910.00,34587.00,1020216260,30086,29,D,34602.00,33910.00
TabasParvadeh.Coal,20210413,34482.00,34482.00,34482.00,34602.00,39507096342,1145731,182,D,35185.00,34482.00
TabasParvadeh.Coal,20210412,34955.00,34955.00,34955.00,35185.00,32700647185,935507,69,D,35668.00,34955.00
TabasParvadeh.Coal,20210411,35483.00,35483.00,35483.00,35668.00,36465985549,1027703,102,D,36207.00,35483.00
TabasParvadeh.Coal,20210410,35488.00,35488.00,35488.00,36207.00,329541568,9286,33,D,36212.00,35488.00
