<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
TUKA.Co.,20210921,21250.00,21275.00,19755.00,20961.00,252793892394,12059959,3437,D,20262.00,21275.00
TUKA.Co.,20210920,19265.00,21291.00,19265.00,20262.00,271605726633,13404516,4672,D,20278.00,21090.00
TUKA.Co.,20210919,20269.00,20817.00,20269.00,20278.00,96857017421,4776431,1293,D,21335.00,20269.00
TUKA.Co.,20210918,22790.00,22790.00,21178.00,21335.00,42328369238,1983971,883,D,22292.00,21178.00
TUKA.Co.,20210915,23408.00,23408.00,22163.00,22292.00,162711039516,7299060,3398,D,23329.00,22192.00
TUKA.Co.,20210914,23010.00,23990.00,22510.00,23329.00,102499029283,4393614,2445,D,23493.00,23080.00
TUKA.Co.,20210913,23462.00,24490.00,23462.00,23493.00,116775628538,4970650,1732,D,24696.00,23462.00
TUKA.Co.,20210912,25000.00,25500.00,24576.00,24696.00,32800155999,1328171,908,D,25869.00,24576.00
TUKA.Co.,20210911,26900.00,26900.00,25630.00,25869.00,111301519971,4302427,2407,D,26978.00,25630.00
TUKA.Co.,20210908,28000.00,28000.00,26410.00,26978.00,131076558215,4858580,3239,D,27563.00,26570.00
TUKA.Co.,20210907,26900.00,28215.00,25990.00,27563.00,137651300910,4994040,3198,D,26967.00,27500.00
TUKA.Co.,20210906,25990.00,27566.00,25600.00,26967.00,284901757227,10564843,4717,D,26254.00,26470.00
TUKA.Co.,20210905,26900.00,26950.00,25300.00,26254.00,168010461014,6399422,3346,D,26141.00,26160.00
TUKA.Co.,20210904,26080.00,26243.00,25300.00,26141.00,246288877659,9421560,3204,D,24994.00,26243.00
TUKA.Co.,20210901,25400.00,26452.00,24632.00,24994.00,377276672132,15094945,5284,D,25928.00,25570.00
TUKA.Co.,20210831,25776.00,26791.00,25776.00,25928.00,173763702617,6701836,2499,D,27132.00,25776.00
TUKA.Co.,20210830,27117.00,27720.00,27116.00,27132.00,95816298410,3531551,1154,D,28543.00,27116.00
TUKA.Co.,20210829,29000.00,29700.00,27667.00,28543.00,314379477363,11014244,5447,D,29123.00,27667.00
TUKA.Co.,20210828,30580.00,30580.00,27730.00,29123.00,876877339522,30109869,11490,D,29124.00,28870.00
TUKA.Co.,20210825,29124.00,29124.00,29124.00,29124.00,33212747484,1140391,333,D,27738.00,29124.00
TUKA.Co.,20210824,27738.00,27738.00,27738.00,27738.00,25844992452,931754,313,D,26418.00,27738.00
TUKA.Co.,20210823,25696.00,26582.00,25696.00,26418.00,379222875701,14354816,4979,D,25317.00,26582.00
