<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Zagros.Kosar.Power,20210921,5180.00,5278.00,4940.00,5011.00,29570364719,5900999,730,D,5169.00,5000.00
Zagros.Kosar.Power,20210920,4880.00,5199.00,4880.00,5169.00,67536069413,13064651,988,D,4952.00,5199.00
Zagros.Kosar.Power,20210919,5150.00,5218.00,4871.00,4952.00,26875402959,5427215,650,D,5119.00,4886.00
Zagros.Kosar.Power,20210918,5100.00,5300.00,5000.00,5119.00,24839868267,4852349,625,D,5228.00,5080.00
Zagros.Kosar.Power,20210915,5410.00,5420.00,5150.00,5228.00,19808150741,3788691,845,D,5335.00,5250.00
Zagros.Kosar.Power,20210914,5310.00,5490.00,5085.00,5335.00,30182787002,5657718,931,D,5352.00,5380.00
Zagros.Kosar.Power,20210913,5600.00,5600.00,5238.00,5352.00,22295557082,4165619,659,D,5497.00,5310.00
Zagros.Kosar.Power,20210912,5770.00,5770.00,5485.00,5497.00,41293518445,7511407,637,D,5773.00,5485.00
Zagros.Kosar.Power,20210911,5880.00,5929.00,5650.00,5773.00,26863724345,4653003,740,D,5793.00,5681.00
Zagros.Kosar.Power,20210908,5780.00,5880.00,5670.00,5793.00,24720166992,4267209,1122,D,5806.00,5810.00
Zagros.Kosar.Power,20210907,5740.00,6050.00,5712.00,5806.00,61251884753,10549343,1041,D,6012.00,5717.00
Zagros.Kosar.Power,20210906,6207.00,6207.00,5751.00,6012.00,41525877215,6907684,1188,D,6036.00,5775.00
Zagros.Kosar.Power,20210905,5910.00,6207.00,5660.00,6036.00,127191797700,21072254,1952,D,5912.00,6163.00
Zagros.Kosar.Power,20210904,6019.00,6050.00,5810.00,5912.00,47249423088,7992283,1275,D,5899.00,5840.00
Zagros.Kosar.Power,20210901,5950.00,6095.00,5562.00,5899.00,76845424734,13026963,1371,D,5840.00,5930.00
Zagros.Kosar.Power,20210831,5848.00,5860.00,5421.00,5840.00,105283797084,18028956,1184,D,5581.00,5860.00
Zagros.Kosar.Power,20210830,5579.00,5710.00,5579.00,5581.00,50059046939,8969955,692,D,5872.00,5579.00
Zagros.Kosar.Power,20210829,5950.00,5990.00,5510.00,5872.00,150209774937,25582860,2234,D,5705.00,5601.00
Zagros.Kosar.Power,20210828,5691.00,5760.00,5436.00,5705.00,39259148228,6881209,615,D,5486.00,5760.00
Zagros.Kosar.Power,20210825,5609.00,5619.00,5320.00,5486.00,53229845452,9703701,1377,D,5433.00,5533.00
Zagros.Kosar.Power,20210824,5359.00,5457.00,5350.00,5433.00,54227267657,9981410,941,D,5198.00,5457.00
Zagros.Kosar.Power,20210823,5190.00,5300.00,5070.00,5198.00,71976579164,13846869,1555,D,5159.00,5290.00
Zagros.Kosar.Power,20210822,5169.00,5269.00,5060.00,5159.00,59950836685,11621068,1451,D,5166.00,5156.00
Zagros.Kosar.Power,20210815,5270.00,5270.00,5001.00,5166.00,40992902573,7935697,943,D,5104.00,5199.00
Zagros.Kosar.Power,20210814,5050.00,5293.00,4966.00,5104.00,50145834211,9824601,1208,D,5041.00,5210.00
Zagros.Kosar.Power,20210811,5060.00,5167.00,4941.00,5041.00,56102837694,11129643,1208,D,4969.00,5006.00
Zagros.Kosar.Power,20210810,4870.00,5001.00,4773.00,4969.00,70600144501,14209198,1344,D,4763.00,5001.00
Zagros.Kosar.Power,20210809,4740.00,4823.00,4616.00,4763.00,47514831334,9976443,923,D,4594.00,4823.00
Zagros.Kosar.Power,20210808,4520.00,4688.00,4487.00,4594.00,24906764287,5421460,841,D,4565.00,4686.00
Zagros.Kosar.Power,20210807,4540.00,4676.00,4503.00,4565.00,27771624895,6083935,705,D,4607.00,4540.00
Zagros.Kosar.Power,20210804,4700.00,4750.00,4535.00,4607.00,30721015310,6668249,829,D,4664.00,4613.00
Zagros.Kosar.Power,20210803,4600.00,4842.00,4500.00,4664.00,30694541945,6580785,840,D,4646.00,4611.00
Zagros.Kosar.Power,20210802,4660.00,4760.00,4555.00,4646.00,20849873401,4488076,611,D,4653.00,4623.00
Zagros.Kosar.Power,20210801,4700.00,4800.00,4600.00,4653.00,35262585610,7578659,966,D,4721.00,4668.00
Zagros.Kosar.Power,20210731,4653.00,4855.00,4653.00,4721.00,20153968664,4268693,662,D,4649.00,4685.00
Zagros.Kosar.Power,20210728,4605.00,4800.00,4501.00,4649.00,28216459738,6068820,748,D,4650.00,4739.00
Zagros.Kosar.Power,20210727,4790.00,4868.00,4581.00,4650.00,32168058200,6917760,828,D,4822.00,4605.00
Zagros.Kosar.Power,20210726,5050.00,5050.00,4730.00,4822.00,28746171168,5960950,891,D,4930.00,4790.00
Zagros.Kosar.Power,20210719,4900.00,5108.00,4741.00,4930.00,39641585136,8041021,1008,D,4921.00,4931.00
Zagros.Kosar.Power,20210718,5090.00,5120.00,4878.00,4921.00,49957727559,10151395,1037,D,5134.00,4940.00
Zagros.Kosar.Power,20210717,5300.00,5300.00,5050.00,5134.00,60331829846,11751040,1328,D,5282.00,5080.00
Zagros.Kosar.Power,20210714,5087.00,5317.00,5010.00,5282.00,147630892007,27951808,2163,D,5064.00,5317.00
Zagros.Kosar.Power,20210713,5110.00,5200.00,5046.00,5064.00,112103387086,22135166,1919,D,5311.00,5048.00
Zagros.Kosar.Power,20210712,5260.00,5460.00,5190.00,5311.00,79680609413,15003318,1620,D,5463.00,5190.00
Zagros.Kosar.Power,20210711,5610.00,5610.00,5223.00,5463.00,246105401115,45047481,3172,D,5343.00,5370.00
Zagros.Kosar.Power,20210710,5389.00,5389.00,5389.00,5343.00,12918656303,2397227,192,D,5133.00,5389.00
Zagros.Kosar.Power,20210707,5136.00,5136.00,5136.00,5133.00,16435328400,3200025,221,D,4892.00,5136.00
Zagros.Kosar.Power,20210706,4850.00,4958.00,4721.00,4892.00,61823335460,12636821,907,D,4722.00,4958.00
Zagros.Kosar.Power,20210705,4598.00,4777.00,4480.00,4722.00,64201024305,13595222,1320,D,4550.00,4776.00
Zagros.Kosar.Power,20210704,4458.00,4650.00,4300.00,4550.00,19211763027,4222458,703,D,4458.00,4532.00
Zagros.Kosar.Power,20210703,4720.00,4720.00,4395.00,4458.00,50115804012,11242521,1261,D,4626.00,4395.00
Zagros.Kosar.Power,20210630,4688.00,4698.00,4530.00,4626.00,31856212054,6886014,1040,D,4507.00,4639.00
Zagros.Kosar.Power,20210629,4398.00,4620.00,4371.00,4507.00,57113211721,12671742,1462,D,4400.00,4619.00
Zagros.Kosar.Power,20210628,4460.00,4600.00,4311.00,4400.00,40091032948,9111853,1149,D,4509.00,4360.00
Zagros.Kosar.Power,20210627,4461.00,4677.00,4398.00,4509.00,39067451230,8665262,1213,D,4629.00,4463.00
Zagros.Kosar.Power,20210626,4498.00,4686.00,4445.00,4629.00,59192773161,12787314,1478,D,4463.00,4551.00
Zagros.Kosar.Power,20210623,4510.00,4650.00,4320.00,4463.00,39159491412,8774200,1530,D,4513.00,4442.00
Zagros.Kosar.Power,20210622,4380.00,4591.00,4380.00,4513.00,45860624210,10160783,1366,D,4373.00,4591.00
Zagros.Kosar.Power,20210621,4223.00,4540.00,4223.00,4373.00,85130099903,19468043,2095,D,4445.00,4431.00
Zagros.Kosar.Power,20210620,4415.00,4415.00,4415.00,4445.00,12317196580,2789852,113,D,4647.00,4415.00
Zagros.Kosar.Power,20210619,4441.00,4441.00,4441.00,4647.00,1680603189,378429,67,D,4674.00,4441.00
Zagros.Kosar.Power,20210616,4480.00,4480.00,4480.00,4674.00,2205745920,492354,72,D,4715.00,4480.00
Zagros.Kosar.Power,20210615,4750.00,4922.00,4676.00,4715.00,32110243460,6810419,783,D,4922.00,4676.00
Zagros.Kosar.Power,20210614,4912.00,5020.00,4912.00,4922.00,76545677162,15553252,1626,D,5170.00,4912.00
Zagros.Kosar.Power,20210613,4954.00,4954.00,4954.00,5170.00,2346095504,473576,79,D,5214.00,4954.00
Zagros.Kosar.Power,20210612,5344.00,5344.00,5077.00,5214.00,47172615436,9046434,507,D,5344.00,5077.00
Zagros.Kosar.Power,20210602,5423.00,5610.00,5423.00,5464.00,239948791119,43911410,4977,D,5708.00,5424.00
Zagros.Kosar.Power,20210601,6746.00,6746.00,5500.00,5708.00,32895733510,5763347,251,D,7101.00,5500.00
Zagros.Kosar.Power,20210531,6747.00,6747.00,6747.00,7101.00,36339342,5386,5,D,7102.00,6747.00
Zagros.Kosar.Power,20210530,6754.00,6754.00,6754.00,7102.00,301370234,44621,24,D,7109.00,6754.00
Zagros.Kosar.Power,20210529,6766.00,6766.00,6766.00,7109.00,576287284,85174,39,D,7122.00,6766.00
Zagros.Kosar.Power,20210526,6777.00,6777.00,6777.00,7122.00,486541161,71793,12,D,7133.00,6777.00
Zagros.Kosar.Power,20210525,6783.00,6783.00,6783.00,7133.00,288684480,42560,7,D,7139.00,6783.00
