<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Zayandeh.Maskan,20210921,11842.00,12190.00,11250.00,11545.00,21816794777,1889712,524,D,11842.00,11250.00
Zayandeh.Maskan,20210920,11700.00,12260.00,11648.00,11842.00,161843016611,13667356,2571,D,12261.00,11648.00
Zayandeh.Maskan,20210919,12233.00,12597.00,12233.00,12261.00,31867117801,2599084,612,D,12876.00,12233.00
Zayandeh.Maskan,20210918,13469.00,13740.00,12795.00,12876.00,20707676593,1608284,576,D,13468.00,12795.00
Zayandeh.Maskan,20210915,13750.00,13750.00,13280.00,13468.00,45811360442,3401473,1525,D,13172.00,13330.00
Zayandeh.Maskan,20210914,12769.00,13717.00,12769.00,13172.00,227179745431,17246912,3661,D,13441.00,13717.00
Zayandeh.Maskan,20210913,13441.00,13441.00,13441.00,13441.00,22211386910,1652510,180,D,14148.00,13441.00
Zayandeh.Maskan,20210912,14620.00,14620.00,14063.00,14148.00,31560155521,2230680,562,D,14803.00,14063.00
Zayandeh.Maskan,20210911,15400.00,15500.00,14633.00,14803.00,57141288020,3860061,1179,D,15403.00,14633.00
Zayandeh.Maskan,20210908,15980.00,15980.00,15010.00,15403.00,100533923666,6527098,2047,D,15726.00,15390.00
Zayandeh.Maskan,20210907,15679.00,15795.00,15300.00,15726.00,215713286667,13717400,3531,D,15043.00,15795.00
Zayandeh.Maskan,20210906,14600.00,15554.00,14200.00,15043.00,230877845252,15347738,3609,D,14814.00,15529.00
Zayandeh.Maskan,20210905,14960.00,14960.00,14662.00,14814.00,73633076247,4970425,1391,D,14556.00,14770.00
Zayandeh.Maskan,20210904,14999.00,15150.00,14070.00,14556.00,129740914794,8913520,2662,D,14739.00,14599.00
Zayandeh.Maskan,20210901,14500.00,15199.00,14047.00,14739.00,75763609710,5140335,1325,D,14786.00,15000.00
Zayandeh.Maskan,20210831,14594.00,15200.00,14594.00,14786.00,67084401684,4537062,1231,D,15362.00,14594.00
Zayandeh.Maskan,20210830,15400.00,16260.00,15105.00,15362.00,54688876219,3560042,1060,D,15900.00,15105.00
Zayandeh.Maskan,20210829,15499.00,16099.00,15200.00,15900.00,180413463051,11346637,2359,D,15333.00,15503.00
Zayandeh.Maskan,20210828,15869.00,15869.00,15019.00,15333.00,89893360503,5862775,2060,D,15129.00,15180.00
Zayandeh.Maskan,20210825,15600.00,15700.00,14510.00,15129.00,95652084768,6322639,2015,D,15184.00,15180.00
Zayandeh.Maskan,20210824,15195.00,15196.00,14750.00,15184.00,47535258475,3130678,839,D,14473.00,15196.00
Zayandeh.Maskan,20210823,14400.00,15020.00,13840.00,14473.00,134604700639,9300517,2657,D,14310.00,15019.00
Zayandeh.Maskan,20210822,14214.00,14680.00,14020.00,14310.00,81778776044,5714754,1887,D,14500.00,14074.00
Zayandeh.Maskan,20210815,15000.00,15000.00,14113.00,14500.00,70721232351,4877264,1531,D,14673.00,14214.00
Zayandeh.Maskan,20210814,14540.00,15200.00,13990.00,14673.00,160741437767,10954786,2885,D,14547.00,14783.00
Zayandeh.Maskan,20210811,14547.00,14547.00,14547.00,14547.00,25206881583,1732789,380,D,15312.00,14547.00
Zayandeh.Maskan,20210810,16000.00,16288.00,15088.00,15312.00,102512262987,6694950,2125,D,15882.00,15088.00
Zayandeh.Maskan,20210809,16650.00,17000.00,15799.00,15882.00,188929084206,11895637,3467,D,16630.00,15986.00
Zayandeh.Maskan,20210808,16300.00,17180.00,16060.00,16630.00,72999095365,4389697,1616,D,16756.00,16700.00
Zayandeh.Maskan,20210807,17700.00,17700.00,16648.00,16756.00,48044198431,2867295,1136,D,17524.00,16648.00
Zayandeh.Maskan,20210804,17057.00,17800.00,17057.00,17524.00,66601320096,3800526,1403,D,17057.00,17222.00
Zayandeh.Maskan,20210803,17000.00,17550.00,16360.00,17057.00,79992675696,4689790,2006,D,17115.00,16960.00
Zayandeh.Maskan,20210802,17810.00,17810.00,17056.00,17115.00,17916566524,1046805,335,D,17953.00,17056.00
Zayandeh.Maskan,20210801,18693.00,18693.00,17000.00,17953.00,158607841125,8834493,2232,D,17803.00,17560.00
Zayandeh.Maskan,20210731,17807.00,17815.00,17200.00,17803.00,33298447870,1870424,299,D,16967.00,17815.00
Zayandeh.Maskan,20210728,16110.00,17074.00,16110.00,16967.00,38706778867,2281350,591,D,16261.00,17074.00
Zayandeh.Maskan,20210727,16972.00,17300.00,16124.00,16261.00,62069556856,3817058,972,D,16972.00,16124.00
Zayandeh.Maskan,20210726,16999.00,17570.00,16330.00,16972.00,66573194096,3922445,1817,D,17144.00,16480.00
Zayandeh.Maskan,20210719,17890.00,17890.00,17085.00,17144.00,83293408589,4858423,1258,D,17984.00,17085.00
Zayandeh.Maskan,20210718,18909.00,18909.00,17964.00,17984.00,47257385182,2627728,647,D,18909.00,17964.00
Zayandeh.Maskan,20210717,18857.00,20240.00,18827.00,18909.00,74863078213,3959075,976,D,19817.00,18827.00
Zayandeh.Maskan,20210714,19783.00,20190.00,19783.00,19817.00,180163725056,9091405,1378,D,20824.00,19783.00
Zayandeh.Maskan,20210713,21362.00,21362.00,19440.00,20824.00,138728694631,6661876,2317,D,20345.00,20098.00
Zayandeh.Maskan,20210712,20345.00,20345.00,20345.00,20345.00,21359055835,1049843,279,D,19377.00,20345.00
