<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Gaz.Sekkeh,20210921,13000.00,13000.00,13000.00,13000.00,23659350000,1819950,37,D,14000.00,13000.00
Gaz.Sekkeh,20210920,14000.00,14000.00,14000.00,14000.00,2100000000,150000,3,D,15200.00,14000.00
Gaz.Sekkeh,20210828,15200.00,15200.00,15200.00,15200.00,760000000,50000,1,D,15700.00,15200.00
Gaz.Sekkeh,20210811,15700.00,15700.00,15700.00,15700.00,628000000,40000,1,D,15700.00,15700.00
Gaz.Sekkeh,20210727,15700.00,15700.00,15700.00,15700.00,1570000000,100000,2,D,16500.00,15700.00
Gaz.Sekkeh,20210726,16500.00,16500.00,16500.00,16500.00,198000000,12000,2,D,16500.00,16500.00
Gaz.Sekkeh,20210719,16500.00,16500.00,16500.00,16500.00,1650000000,100000,4,D,17678.00,16500.00
Gaz.Sekkeh,20210718,18000.00,18000.00,17000.00,17678.00,8226300000,465350,14,D,18000.00,17000.00
Gaz.Sekkeh,20210717,18000.00,18000.00,18000.00,18000.00,3600000000,200000,5,D,18598.00,18000.00
Gaz.Sekkeh,20210713,19400.00,19400.00,18500.00,18598.00,4091600000,220000,8,D,19000.00,18500.00
Gaz.Sekkeh,20210710,19000.00,19000.00,19000.00,19000.00,9500000000,500000,10,D,19300.00,19000.00
Gaz.Sekkeh,20210703,19300.00,19300.00,19300.00,19300.00,1779305600,92192,5,D,19300.00,19300.00
Gaz.Sekkeh,20210622,19300.00,19300.00,19300.00,19300.00,3860000000,200000,4,D,19300.00,19300.00
Gaz.Sekkeh,20210609,19300.00,19300.00,19300.00,19300.00,135100000,7000,1,D,19300.00,19300.00
Gaz.Sekkeh,20210526,19300.00,19300.00,19300.00,19300.00,193000000,10000,1,D,19300.00,19300.00
Gaz.Sekkeh,20210522,19300.00,19300.00,19300.00,19300.00,6301450000,326500,7,D,19600.00,19300.00
Gaz.Sekkeh,20210518,19600.00,19600.00,19600.00,19600.00,3920000000,200000,4,D,20200.00,19600.00
Gaz.Sekkeh,20210511,20200.00,20200.00,20200.00,20200.00,30300000,1500,1,D,20200.00,20200.00
Gaz.Sekkeh,20210510,20200.00,20200.00,20200.00,20200.00,6060000000,300000,6,D,20200.00,20200.00
Gaz.Sekkeh,20210427,20200.00,20200.00,20200.00,20200.00,9494000000,470000,10,D,20200.00,20200.00
Gaz.Sekkeh,20210426,20200.00,20200.00,20200.00,20200.00,6060000000,300000,6,D,20200.00,20200.00
Gaz.Sekkeh,20210314,20200.00,20200.00,20200.00,20200.00,8686000000,430000,9,D,20200.00,20200.00
Gaz.Sekkeh,20210309,20200.00,20200.00,20200.00,20200.00,14140000,700,1,D,20200.00,20200.00
Gaz.Sekkeh,20210307,20200.00,20200.00,20200.00,20200.00,1414000000,70000,3,D,21000.00,20200.00
