<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
NiliSanat.Kerman,20210530,5000.00,5000.00,5000.00,5000.00,7483580000,1496716,30,D,5000.00,5000.00
NiliSanat.Kerman,20210310,17000.00,17000.00,16999.00,17000.00,9349950000,550000,11,D,17300.00,17000.00
NiliSanat.Kerman,20210124,17300.00,17300.00,17300.00,17300.00,501700000,29000,2,D,17010.00,17300.00
NiliSanat.Kerman,20210110,17010.00,17010.00,17010.00,17010.00,1560191220,91722,3,D,17002.00,17010.00
NiliSanat.Kerman,20210109,17000.00,17030.00,17000.00,17002.00,93775914000,5515642,201,D,17000.00,17000.00
NiliSanat.Kerman,20210106,17000.00,17000.00,17000.00,17000.00,34850000000,2050000,41,D,17000.00,17000.00
NiliSanat.Kerman,20210103,17000.00,17000.00,17000.00,17000.00,990726000,58278,3,D,17000.00,17000.00
NiliSanat.Kerman,20201228,17000.00,17000.00,17000.00,17000.00,850000000,50000,1,D,17330.00,17000.00
NiliSanat.Kerman,20201223,17330.00,17330.00,17330.00,17330.00,100514000,5800,1,D,17000.00,17330.00
NiliSanat.Kerman,20201222,17000.00,17000.00,17000.00,17000.00,1870000000,110000,8,D,16983.00,17000.00
NiliSanat.Kerman,20201221,17000.00,17000.00,16630.00,16983.00,5604450000,330000,14,D,17000.00,16630.00
NiliSanat.Kerman,20201214,17000.00,17000.00,17000.00,17000.00,85000000,5000,1,D,17000.00,17000.00
NiliSanat.Kerman,20201213,17000.00,17000.00,17000.00,17000.00,765000000,45000,3,D,17000.00,17000.00
NiliSanat.Kerman,20201209,17000.00,17000.00,17000.00,17000.00,850000000,50000,1,D,16700.00,17000.00
NiliSanat.Kerman,20201208,16700.00,16700.00,16700.00,16700.00,117317500,7025,1,D,16700.00,16700.00
NiliSanat.Kerman,20201207,16700.00,16700.00,16700.00,16700.00,6730100000,403000,16,D,16563.00,16700.00
NiliSanat.Kerman,20201201,16563.00,16563.00,16563.00,16563.00,662520000,40000,2,D,16563.00,16563.00
NiliSanat.Kerman,20201122,16563.00,16563.00,16563.00,16563.00,5347480491,322857,10,D,16563.00,16563.00
NiliSanat.Kerman,20201116,16563.00,16563.00,16563.00,16563.00,828150000,50000,1,D,16902.00,16563.00
NiliSanat.Kerman,20201111,16902.00,16902.00,16902.00,16902.00,253530000,15000,1,D,16410.00,16902.00
NiliSanat.Kerman,20201109,16410.00,16410.00,16410.00,16410.00,246150000,15000,1,D,16410.00,16410.00
NiliSanat.Kerman,20201104,16410.00,16410.00,16410.00,16410.00,574350000,35000,1,D,16918.00,16410.00
NiliSanat.Kerman,20201102,16918.00,16919.00,16918.00,16918.00,4229550000,250000,5,D,17442.00,16919.00
NiliSanat.Kerman,20201101,17442.00,17442.00,17442.00,17442.00,1744200000,100000,2,D,17982.00,17442.00
NiliSanat.Kerman,20201028,18000.00,18000.00,17899.00,17982.00,9889900000,550000,11,D,18453.00,17899.00
NiliSanat.Kerman,20201024,18940.00,18940.00,18380.00,18453.00,2122100000,115000,5,D,18950.00,18380.00
NiliSanat.Kerman,20201021,18950.00,18950.00,18950.00,18950.00,1421250000,75000,2,D,18950.00,18950.00
NiliSanat.Kerman,20201020,18950.00,18950.00,18950.00,18950.00,1061200000,56000,3,D,18950.00,18950.00
NiliSanat.Kerman,20201019,18950.00,18950.00,18950.00,18950.00,10157200000,536000,35,D,18450.00,18950.00
NiliSanat.Kerman,20201018,18450.00,18450.00,18450.00,18450.00,9225000000,500000,20,D,19000.00,18450.00
NiliSanat.Kerman,20201011,19000.00,19000.00,19000.00,19000.00,5000800000,263200,9,D,19003.00,19000.00
NiliSanat.Kerman,20201010,19090.00,19090.00,19000.00,19003.00,20408700000,1074000,46,D,18190.00,19000.00
NiliSanat.Kerman,20201007,18190.00,18190.00,18190.00,18190.00,8549300000,470000,22,D,18190.00,18190.00
NiliSanat.Kerman,20201005,18190.00,18190.00,18190.00,18190.00,13587930000,747000,32,D,17325.00,18190.00
NiliSanat.Kerman,20201003,17325.00,17325.00,17325.00,17325.00,259875000,15000,1,D,17325.00,17325.00
NiliSanat.Kerman,20200930,16925.00,17770.00,16925.00,17325.00,493770000,28500,5,D,16925.00,17770.00
NiliSanat.Kerman,20200919,16601.00,17100.00,16601.00,16925.00,1015515000,60000,4,D,16601.00,17000.00
NiliSanat.Kerman,20200915,16601.00,16601.00,16601.00,16601.00,1660100000,100000,5,D,16600.00,16601.00
NiliSanat.Kerman,20200913,16600.00,16600.00,16600.00,16600.00,315400000,19000,3,D,17014.00,16600.00
NiliSanat.Kerman,20200909,17243.00,17243.00,17000.00,17014.00,4338695000,255000,6,D,17777.00,17000.00
NiliSanat.Kerman,20200908,17840.00,17840.00,17714.00,17777.00,533310000,30000,2,D,18262.00,17714.00
NiliSanat.Kerman,20200905,18517.00,18517.00,17850.00,18262.00,821805000,45000,3,D,19000.00,17850.00
NiliSanat.Kerman,20200831,19000.00,19000.00,19000.00,19000.00,285000000,15000,1,D,19090.00,19000.00
NiliSanat.Kerman,20200826,19090.00,19090.00,19090.00,19090.00,286350000,15000,1,D,19092.00,19090.00
NiliSanat.Kerman,20200825,19101.00,19100.00,19090.00,19092.00,1527395000,80000,3,D,19684.00,19090.00
NiliSanat.Kerman,20200823,19686.00,19689.00,19650.00,19684.00,30509866271,1550000,39,D,19689.00,19689.00
NiliSanat.Kerman,20200818,20000.00,20000.00,19600.00,19689.00,1378250000,70000,5,D,20000.00,19600.00
NiliSanat.Kerman,20200817,20000.00,20000.00,20000.00,20000.00,300000000,15000,1,D,20000.00,20000.00
NiliSanat.Kerman,20200816,20000.00,20000.00,20000.00,20000.00,2000000,100,1,D,20000.00,20000.00
NiliSanat.Kerman,20200815,20000.00,20000.00,20000.00,20000.00,300000000,15000,1,D,20018.00,20000.00
NiliSanat.Kerman,20200812,20018.00,20018.00,20018.00,20018.00,300270000,15000,1,D,20427.00,20018.00
NiliSanat.Kerman,20200811,20392.00,20490.00,20392.00,20427.00,4493930000,220000,10,D,20190.00,20490.00
NiliSanat.Kerman,20200809,20190.00,20190.00,20190.00,20190.00,2019000,100,1,D,20000.00,20190.00
NiliSanat.Kerman,20200805,20000.00,20000.00,20000.00,20000.00,2800000000,140000,6,D,20590.00,20000.00
NiliSanat.Kerman,20200804,20590.00,20590.00,20590.00,20590.00,1029500000,50000,1,D,20729.00,20590.00
NiliSanat.Kerman,20200803,21568.00,21568.00,20500.00,20729.00,2902040000,140000,7,D,20940.00,20500.00
NiliSanat.Kerman,20200802,20000.00,20999.00,20000.00,20940.00,8836483000,422000,20,D,20325.00,20999.00
NiliSanat.Kerman,20200801,19389.00,20500.00,19389.00,20325.00,1930835000,95000,3,D,19779.00,20500.00
NiliSanat.Kerman,20200729,19411.00,20000.00,19411.00,19779.00,1582330000,80000,4,D,19608.00,20000.00
NiliSanat.Kerman,20200728,19571.00,20159.00,19571.00,19608.00,313724000,16000,3,D,20159.00,20159.00
NiliSanat.Kerman,20200727,19733.00,20500.00,19733.00,20159.00,11379620000,564500,31,D,19733.00,20500.00
NiliSanat.Kerman,20200726,19854.00,19854.00,19400.00,19733.00,2368010000,120000,5,D,20467.00,19400.00
NiliSanat.Kerman,20200725,20466.00,20470.00,20466.00,20467.00,10130930000,495000,20,D,19870.00,20466.00
NiliSanat.Kerman,20200722,20642.00,20642.00,19000.00,19870.00,3278600000,165000,8,D,19660.00,19000.00
NiliSanat.Kerman,20200721,17357.00,20000.00,17357.00,19660.00,17157179400,872712,44,D,17185.00,19560.00
NiliSanat.Kerman,20200720,17486.00,17486.00,17000.00,17185.00,3012758090,175315,8,D,17486.00,17400.00
NiliSanat.Kerman,20200719,17500.00,17951.00,17036.00,17486.00,3839909100,219600,12,D,18318.00,17036.00
NiliSanat.Kerman,20200718,18947.00,18947.00,18000.00,18318.00,1256818670,68610,7,D,19333.00,18367.00
NiliSanat.Kerman,20200715,19750.00,19750.00,19000.00,19333.00,966672500,50000,5,D,19830.00,19000.00
NiliSanat.Kerman,20200714,19400.00,20000.00,19400.00,19830.00,5255000000,265000,11,D,20000.00,19700.00
NiliSanat.Kerman,20200713,20000.00,20000.00,20000.00,20000.00,1000000000,50000,1,D,20390.00,20000.00
