<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Melli.Mortgage1803,20210918,636113.00,636113.00,636113.00,636113.00,15266712,24,1,D,669592.00,636113.00
Melli.Mortgage1803,20210914,669592.00,669592.00,669592.00,669592.00,6695920,10,1,D,704833.00,669592.00
Melli.Mortgage1803,20210911,704833.00,704833.00,704833.00,704833.00,45814145,65,2,D,741929.00,704833.00
Melli.Mortgage1803,20210908,712500.00,748125.00,712500.00,741929.00,34128750,46,4,D,712500.00,748125.00
Melli.Mortgage1803,20210905,712500.00,712500.00,712500.00,712500.00,7125000,10,1,D,750000.00,712500.00
Melli.Mortgage1803,20210904,750000.00,750000.00,750000.00,750000.00,33000000,44,1,D,756506.00,750000.00
Melli.Mortgage1803,20210828,756760.00,756760.00,755900.00,756506.00,78676660,104,9,D,720724.00,756760.00
Melli.Mortgage1803,20210825,720000.00,721000.00,720000.00,720724.00,20901000,29,2,D,702867.00,721000.00
Melli.Mortgage1803,20210815,653888.00,722718.00,653888.00,702867.00,56229324,80,8,D,688303.00,722000.00
Melli.Mortgage1803,20210814,688303.00,688303.00,688303.00,688303.00,19272484,28,3,D,655527.00,688303.00
Melli.Mortgage1803,20210811,629211.00,695000.00,629211.00,655527.00,13110532,20,4,D,662327.00,629211.00
Melli.Mortgage1803,20210810,658351.00,720000.00,658350.00,662327.00,82128610,124,9,D,693000.00,658350.00
Melli.Mortgage1803,20210808,693000.00,693000.00,693000.00,693000.00,77616000,112,11,D,660000.00,693000.00
Melli.Mortgage1803,20210804,660000.00,660000.00,660000.00,660000.00,660000,1,1,D,689039.00,660000.00
Melli.Mortgage1803,20210803,689039.00,689039.00,689039.00,689039.00,57190237,83,8,D,725304.00,689039.00
Melli.Mortgage1803,20210802,725304.00,725304.00,725304.00,725304.00,23209728,32,5,D,690766.00,725304.00
Melli.Mortgage1803,20210801,690766.00,690766.00,690766.00,690766.00,55952046,81,3,D,657873.00,690766.00
Melli.Mortgage1803,20210728,620000.00,680038.00,615274.00,657873.00,29604300,45,8,D,647656.00,680038.00
Melli.Mortgage1803,20210727,630010.00,695898.00,630000.00,647656.00,58936732,91,10,D,662760.00,695898.00
Melli.Mortgage1803,20210726,647600.00,715000.00,647600.00,662760.00,26510400,40,5,D,681684.00,651000.00
Melli.Mortgage1803,20210719,681684.00,681684.00,681684.00,681684.00,6135156,9,2,D,717562.00,681684.00
Melli.Mortgage1803,20210718,717562.00,717562.00,717562.00,717562.00,58840084,82,5,D,755328.00,717562.00
Melli.Mortgage1803,20210714,755328.00,755328.00,755328.00,755328.00,5287296,7,1,D,795082.00,755328.00
Melli.Mortgage1803,20210705,795082.00,795082.00,795082.00,795082.00,5565574,7,1,D,836928.00,795082.00
Melli.Mortgage1803,20210703,883000.00,860000.00,799437.00,836928.00,17575496,21,4,D,841512.00,860000.00
Melli.Mortgage1803,20210628,844000.00,844138.00,763744.00,841512.00,40392572,48,6,D,803941.00,844138.00
Melli.Mortgage1803,20210626,804000.00,804000.00,803900.00,803941.00,23314300,29,3,D,766508.00,803900.00
Melli.Mortgage1803,20210623,790738.00,790738.00,715430.00,766508.00,16863176,22,3,D,753084.00,790000.00
Melli.Mortgage1803,20210619,753084.00,753084.00,753084.00,753084.00,63259056,84,2,D,717223.00,753084.00
