<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Melli.Mortgage1806,20210921,657000.00,657000.00,656949.00,656985.00,18395592,28,3,D,691525.00,656949.00
Melli.Mortgage1806,20210920,691525.00,691525.00,691525.00,691525.00,5532200,8,1,D,727921.00,691525.00
Melli.Mortgage1806,20210918,727921.00,727921.00,727921.00,727921.00,5823368,8,1,D,766232.00,727921.00
Melli.Mortgage1806,20210914,766232.00,766232.00,766232.00,766232.00,5363624,7,1,D,766282.00,766232.00
Melli.Mortgage1806,20210912,766282.00,766282.00,766282.00,766282.00,5363974,7,1,D,806612.00,766282.00
Melli.Mortgage1806,20210907,807000.00,807000.00,806550.00,806612.00,46783500,58,5,D,849000.00,806550.00
Melli.Mortgage1806,20210829,849000.00,849000.00,849000.00,849000.00,11886000,14,1,D,877713.00,849000.00
Melli.Mortgage1806,20210828,940999.00,940999.00,852002.00,877713.00,91282120,104,7,D,896844.00,852002.00
Melli.Mortgage1806,20210825,836000.00,923998.00,836000.00,896844.00,150669830,168,15,D,879999.00,836000.00
Melli.Mortgage1806,20210815,879999.00,879999.00,879999.00,879999.00,7039992,8,1,D,907037.00,879999.00
Melli.Mortgage1806,20210810,952079.00,952079.00,861406.00,907037.00,100681135,111,11,D,906743.00,880000.00
Melli.Mortgage1806,20210809,952124.00,952124.00,861447.00,906743.00,242100383,267,21,D,906786.00,861447.00
Melli.Mortgage1806,20210807,957163.00,957163.00,866005.00,906786.00,34457876,38,4,D,911584.00,866005.00
Melli.Mortgage1806,20210801,911586.00,911586.00,911581.00,911584.00,30082262,33,5,D,868178.00,911581.00
Melli.Mortgage1806,20210731,868178.00,868178.00,868176.00,868178.00,37331634,43,3,D,826837.00,868176.00
Melli.Mortgage1806,20210728,826836.00,826838.00,826830.00,826837.00,192653118,233,7,D,787465.00,826838.00
Melli.Mortgage1806,20210727,785899.00,806257.00,729471.00,787465.00,281912412,358,11,D,767864.00,806257.00
Melli.Mortgage1806,20210726,767945.00,767945.00,767500.00,767864.00,111340305,145,6,D,731377.00,767944.00
Melli.Mortgage1806,20210719,731377.00,731377.00,731377.00,731377.00,19747179,27,3,D,696550.00,731377.00
Melli.Mortgage1806,20210718,696550.00,696550.00,696550.00,696550.00,20896500,30,3,D,663381.00,696550.00
Melli.Mortgage1806,20210717,663381.00,663381.00,663381.00,663381.00,27198621,41,4,D,631792.00,663381.00
Melli.Mortgage1806,20210714,670532.00,670532.00,610001.00,631792.00,15794804,25,3,D,638602.00,610001.00
Melli.Mortgage1806,20210713,638602.00,638602.00,638602.00,638602.00,35123110,55,2,D,608193.00,638602.00
Melli.Mortgage1806,20210712,608193.00,608193.00,608193.00,608193.00,106433775,175,6,D,640203.00,608193.00
Melli.Mortgage1806,20210711,640203.00,640203.00,640203.00,640203.00,5121624,8,1,D,673897.00,640203.00
Melli.Mortgage1806,20210710,673897.00,673897.00,673897.00,673897.00,5391176,8,1,D,709365.00,673897.00
Melli.Mortgage1806,20210704,709365.00,709365.00,709365.00,709365.00,141873000,200,2,D,746700.00,709365.00
Melli.Mortgage1806,20210623,746700.00,746700.00,746700.00,746700.00,118725300,159,2,D,785999.00,746700.00
Melli.Mortgage1806,20210613,785999.00,785999.00,785999.00,785999.00,5501993,7,1,D,785997.00,785999.00
Melli.Mortgage1806,20210612,785998.00,785998.00,785997.00,785997.00,16505944,21,3,D,758673.00,785997.00
Melli.Mortgage1806,20210608,769846.00,785896.00,731951.00,758673.00,31105583,41,5,D,770474.00,785896.00
Melli.Mortgage1806,20210607,722350.00,785999.00,722350.00,770474.00,31589418,41,5,D,760368.00,785996.00
Melli.Mortgage1806,20210601,760368.00,760368.00,760367.00,760368.00,20529929,27,3,D,724163.00,760367.00
Melli.Mortgage1806,20210531,694088.00,728791.00,694088.00,724163.00,108624450,150,12,D,694088.00,728788.00
Melli.Mortgage1806,20210530,694088.00,694088.00,694087.00,694088.00,32622114,47,3,D,661037.00,694087.00
Melli.Mortgage1806,20210529,712560.00,712567.00,644705.00,661037.00,232685200,352,15,D,678636.00,712000.00
Melli.Mortgage1806,20210525,728098.00,728098.00,658800.00,678636.00,215127464,317,15,D,693427.00,728000.00
Melli.Mortgage1806,20210524,700641.00,700641.00,633915.00,693427.00,51313626,74,7,D,667278.00,700641.00
Melli.Mortgage1806,20210523,677839.00,677839.00,613283.00,667278.00,252898509,379,8,D,645561.00,613283.00
Melli.Mortgage1806,20210522,645560.00,645563.00,645559.00,645561.00,231110971,358,15,D,614822.00,645563.00
Melli.Mortgage1806,20210519,617879.00,617879.00,559035.00,614822.00,236706474,385,16,D,588457.00,617878.00
Melli.Mortgage1806,20210518,538872.00,595590.00,538872.00,588457.00,98272382,167,8,D,567233.00,595590.00
Melli.Mortgage1806,20210517,568875.00,568875.00,514697.00,567233.00,74874788,132,14,D,541786.00,568875.00
Melli.Mortgage1806,20210516,542290.00,542296.00,490650.00,541786.00,55262126,102,7,D,516473.00,542296.00
Melli.Mortgage1806,20210515,531348.00,531348.00,480744.00,516473.00,102261667,198,14,D,506046.00,531199.00
Melli.Mortgage1806,20210512,473162.00,522968.00,473162.00,506046.00,175598074,347,15,D,498065.00,520000.00
Melli.Mortgage1806,20210511,498065.00,498065.00,498065.00,498065.00,5478715,11,1,D,524278.00,498065.00
Melli.Mortgage1806,20210510,524278.00,524278.00,524278.00,524278.00,5242780,10,1,D,551871.00,524278.00
Melli.Mortgage1806,20210509,551871.00,551871.00,551871.00,551871.00,5518710,10,1,D,580916.00,551871.00
Melli.Mortgage1806,20210508,580916.00,580916.00,580916.00,580916.00,5809160,10,2,D,611490.00,580916.00
Melli.Mortgage1806,20210503,600278.00,663464.00,600278.00,611490.00,70932796,116,9,D,631871.00,600278.00
Melli.Mortgage1806,20210421,638136.00,638136.00,590102.00,631871.00,14533026,23,2,D,621160.00,590102.00
Melli.Mortgage1806,20210420,621172.00,621172.00,621100.00,621160.00,62116030,100,6,D,591593.00,621169.00
Melli.Mortgage1806,20210419,578812.00,638139.00,577365.00,591593.00,169195563,286,17,D,607752.00,577365.00
Melli.Mortgage1806,20210418,607752.00,607752.00,607752.00,607752.00,27956592,46,4,D,578812.00,607752.00
Melli.Mortgage1806,20210417,578812.00,578812.00,578812.00,578812.00,34728720,60,6,D,551250.00,578812.00
Melli.Mortgage1806,20210414,551250.00,551250.00,551250.00,551250.00,191283750,347,12,D,525000.00,551250.00
Melli.Mortgage1806,20210413,525000.00,525000.00,525000.00,525000.00,67200000,128,8,D,500000.00,525000.00
Melli.Mortgage1806,20210412,500000.00,500000.00,500000.00,500000.00,8000000,16,1,D,508647.00,500000.00
Melli.Mortgage1806,20210411,508647.00,508647.00,508647.00,508647.00,82909461,163,4,D,535417.00,508647.00
Melli.Mortgage1806,20210407,535417.00,535417.00,535417.00,535417.00,5354170,10,1,D,563596.00,535417.00
Melli.Mortgage1806,20210406,563596.00,563596.00,563596.00,563596.00,17471476,31,3,D,536759.00,563596.00
Melli.Mortgage1806,20210405,536759.00,536759.00,536759.00,536759.00,2683795,5,1,D,565009.00,536759.00
Melli.Mortgage1806,20210403,558000.00,586862.00,558000.00,565009.00,39550654,70,2,D,558919.00,586862.00
Melli.Mortgage1806,20210331,558919.00,558919.00,558919.00,558919.00,21238922,38,2,D,532304.00,558919.00
Melli.Mortgage1806,20210330,532304.00,532304.00,532304.00,532304.00,49504272,93,1,D,560320.00,532304.00
Melli.Mortgage1806,20210328,560320.00,560320.00,560320.00,560320.00,19611200,35,1,D,589810.00,560320.00
