<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Mortgage.Right9710,20210104,481487.00,481490.00,435634.00,470613.00,3873616323,8231,337,D,458562.00,481490.00
Mortgage.Right9710,20210103,458562.00,458562.00,458562.00,458562.00,1869098712,4076,244,D,436726.00,458562.00
Mortgage.Right9710,20210102,436726.00,436726.00,436726.00,436726.00,1671350402,3827,313,D,415930.00,436726.00
Mortgage.Right9710,20201230,415930.00,415930.00,415930.00,415930.00,387646760,932,70,D,396124.00,415930.00
Mortgage.Right9710,20201229,373502.00,412818.00,373502.00,396124.00,1792855903,4526,280,D,393160.00,412818.00
Mortgage.Right9710,20201228,393160.00,393160.00,393160.00,393160.00,1635152440,4159,205,D,413852.00,393160.00
Mortgage.Right9710,20201227,413803.00,414001.00,413803.00,413852.00,1711693134,4136,158,D,435582.00,413803.00
Mortgage.Right9710,20201226,435582.00,435582.00,435582.00,435582.00,1544138190,3545,128,D,458507.00,435582.00
Mortgage.Right9710,20201223,458507.00,458507.00,458507.00,458507.00,852823020,1860,63,D,482638.00,458507.00
Mortgage.Right9710,20201222,499900.00,499900.00,481298.00,482638.00,943074071,1954,79,D,506629.00,481298.00
Mortgage.Right9710,20201221,500077.00,515000.00,495603.00,506629.00,1697206281,3350,139,D,521687.00,495603.00
Mortgage.Right9710,20201220,510010.00,533900.00,507011.00,521687.00,1406989227,2697,122,D,533408.00,513910.00
Mortgage.Right9710,20201219,537366.00,558000.00,526270.00,533408.00,912661550,1711,149,D,553968.00,526270.00
Mortgage.Right9710,20201216,545000.00,563988.00,545000.00,553968.00,843693315,1523,110,D,564550.00,555220.00
Mortgage.Right9710,20201215,556000.00,576980.00,555033.00,564550.00,1257817424,2228,145,D,574095.00,558062.00
Mortgage.Right9710,20201214,577777.00,598998.00,566000.00,574095.00,2079947447,3623,217,D,575901.00,574598.00
Mortgage.Right9710,20201213,560000.00,589200.00,547590.00,575901.00,1567601665,2722,155,D,576383.00,576100.00
Mortgage.Right9710,20201212,572000.00,599979.00,553111.00,576383.00,1351617365,2345,154,D,575029.00,560201.00
Mortgage.Right9710,20201209,561000.00,588000.00,555001.00,575029.00,1754987601,3052,180,D,582022.00,586490.00
Mortgage.Right9710,20201208,574787.00,600000.00,574787.00,582022.00,2311210448,3971,174,D,605038.00,577303.00
Mortgage.Right9710,20201207,610000.00,628881.00,601556.00,605038.00,689743337,1140,137,D,633216.00,602000.00
Mortgage.Right9710,20201206,628882.00,640030.00,628881.00,633216.00,878904137,1388,102,D,661979.00,628881.00
Mortgage.Right9710,20201205,679700.00,679700.00,646743.00,661979.00,1893921920,2861,285,D,680782.00,668000.00
Mortgage.Right9710,20201202,624000.00,684411.00,624000.00,680782.00,823746630,1210,125,D,651820.00,684411.00
Mortgage.Right9710,20201201,633200.00,668443.00,630000.00,651820.00,1812059666,2780,104,D,638737.00,664995.00
Mortgage.Right9710,20201130,610010.00,650000.00,610010.00,638737.00,1165695771,1825,84,D,635056.00,640017.00
Mortgage.Right9710,20201129,630000.00,678926.00,624132.00,635056.00,642676898,1012,90,D,656665.00,626000.00
Mortgage.Right9710,20201128,684980.00,684980.00,645000.00,656665.00,956760579,1457,135,D,677984.00,645008.00
Mortgage.Right9710,20201125,681000.00,685000.00,671181.00,677984.00,1190540703,1756,97,D,706506.00,671355.00
