<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Mortgage.Right9711,20210203,510015.00,548264.00,510015.00,545376.00,1118020033,2050,156,D,522157.00,548264.00
Mortgage.Right9711,20210202,520000.00,531899.00,481244.00,522157.00,904376056,1732,145,D,506571.00,531899.00
Mortgage.Right9711,20210201,495000.00,510955.00,465010.00,506571.00,1091153309,2154,151,D,486624.00,510955.00
Mortgage.Right9711,20210131,482000.00,514998.00,480543.00,486624.00,1382498453,2841,178,D,505834.00,500000.00
Mortgage.Right9711,20210130,481010.00,519666.00,481010.00,505834.00,1227659711,2427,175,D,503183.00,486000.00
Mortgage.Right9711,20210127,492010.00,524000.00,492010.00,503183.00,985233022,1958,137,D,511499.00,505100.00
Mortgage.Right9711,20210126,483010.00,533684.00,483010.00,511499.00,1539610990,3010,174,D,508271.00,500000.00
Mortgage.Right9711,20210125,520000.00,520000.00,496340.00,508271.00,1092273980,2149,131,D,522463.00,500111.00
Mortgage.Right9711,20210124,495222.00,529636.00,495222.00,522463.00,1389230443,2659,155,D,504416.00,529636.00
Mortgage.Right9711,20210123,460200.00,504978.00,460200.00,504416.00,997230033,1977,186,D,480932.00,504978.00
Mortgage.Right9711,20210120,454555.00,495951.00,454555.00,480932.00,1660659679,3453,206,D,472335.00,495951.00
Mortgage.Right9711,20210119,486900.00,500000.00,463617.00,472335.00,2003170687,4241,219,D,488017.00,463617.00
Mortgage.Right9711,20210118,486808.00,499997.00,486808.00,488017.00,426038428,873,56,D,512429.00,486808.00
Mortgage.Right9711,20210116,530157.00,555000.00,504226.00,512429.00,614402005,1199,114,D,530764.00,504226.00
Mortgage.Right9711,20210113,585961.00,585961.00,530157.00,530764.00,538194504,1014,80,D,558059.00,530157.00
Mortgage.Right9711,20210112,552300.00,575000.00,552221.00,558059.00,338741936,607,35,D,581285.00,552221.00
Mortgage.Right9711,20210111,589994.00,599990.00,556675.00,581285.00,762646613,1312,117,D,585973.00,557000.00
Mortgage.Right9711,20210110,551000.00,592301.00,550000.00,585973.00,2169271253,3702,215,D,564097.00,580000.00
Mortgage.Right9711,20210109,543307.00,574995.00,543307.00,564097.00,2956996791,5242,238,D,571902.00,567500.00
Mortgage.Right9711,20210106,580049.00,590000.00,553000.00,571902.00,1329673321,2325,178,D,580049.00,568990.00
Mortgage.Right9711,20210105,597982.00,597982.00,568031.00,580049.00,1458242065,2514,223,D,596961.00,587974.00
Mortgage.Right9711,20210104,600000.00,620000.00,572001.00,596961.00,2476790402,4149,311,D,602106.00,595000.00
Mortgage.Right9711,20210103,602106.00,602106.00,602106.00,602106.00,665327130,1105,136,D,573435.00,602106.00
Mortgage.Right9711,20210102,573435.00,573435.00,573435.00,573435.00,1321767675,2305,212,D,546129.00,573435.00
Mortgage.Right9711,20201230,546155.00,546155.00,546000.00,546129.00,240296885,440,30,D,520148.00,546155.00
Mortgage.Right9711,20201229,500000.00,534298.00,483414.00,520148.00,1592173221,3061,182,D,508856.00,534298.00
Mortgage.Right9711,20201228,474605.00,514996.00,474605.00,508856.00,1368822720,2690,171,D,499581.00,510000.00
Mortgage.Right9711,20201227,476700.00,524994.00,476700.00,499581.00,954700196,1911,184,D,501789.00,510000.00
Mortgage.Right9711,20201226,499299.00,519970.00,499299.00,501789.00,975477981,1944,149,D,525577.00,499299.00
Mortgage.Right9711,20201223,526100.00,526130.00,525370.00,525577.00,374736410,713,24,D,553021.00,525370.00
Mortgage.Right9711,20201222,561999.00,568155.00,546585.00,553021.00,1490392726,2695,158,D,575352.00,546585.00
Mortgage.Right9711,20201221,584000.00,584986.00,548011.00,575352.00,1850332103,3216,150,D,559490.00,568155.00
Mortgage.Right9711,20201220,546610.00,571000.00,543828.00,559490.00,1491601564,2666,113,D,570120.00,570000.00
Mortgage.Right9711,20201219,567011.00,584998.00,553200.00,570120.00,1286761339,2257,148,D,582215.00,567998.00
Mortgage.Right9711,20201216,580000.00,587503.00,570039.00,582215.00,1010143672,1735,94,D,584240.00,575200.00
Mortgage.Right9711,20201215,593000.00,593000.00,573010.00,584240.00,1204702204,2062,117,D,595076.00,581001.00
Mortgage.Right9711,20201214,629800.00,629800.00,572150.00,595076.00,629590601,1058,130,D,601606.00,593998.00
Mortgage.Right9711,20201213,580220.00,618877.00,580220.00,601606.00,1312704695,2182,140,D,593866.00,609011.00
Mortgage.Right9711,20201212,592000.00,620000.00,563449.00,593866.00,1235241281,2080,206,D,593104.00,591002.00
Mortgage.Right9711,20201209,580000.00,609998.00,580000.00,593104.00,1369477368,2309,178,D,594294.00,600000.00
Mortgage.Right9711,20201208,590771.00,610000.00,590771.00,594294.00,1513071636,2546,176,D,621864.00,594210.00
Mortgage.Right9711,20201207,622000.00,622000.00,621862.00,621864.00,399858508,643,68,D,654591.00,621862.00
Mortgage.Right9711,20201206,648374.00,676958.00,648347.00,654591.00,819548427,1252,121,D,682470.00,648347.00
Mortgage.Right9711,20201205,721156.00,721156.00,660000.00,682470.00,1143819684,1676,150,D,686816.00,660000.00
Mortgage.Right9711,20201202,625700.00,687070.00,625700.00,686816.00,460853810,671,93,D,654353.00,687070.00
Mortgage.Right9711,20201201,663500.00,675406.00,633010.00,654353.00,668748327,1022,70,D,643244.00,675406.00
Mortgage.Right9711,20201130,610010.00,664398.00,610010.00,643244.00,759027486,1180,63,D,634024.00,642027.00
Mortgage.Right9711,20201129,640000.00,645000.00,631000.00,634024.00,323986501,511,85,D,664016.00,631001.00
Mortgage.Right9711,20201128,660010.00,679998.00,659794.00,664016.00,479419773,722,78,D,694519.00,659794.00
Mortgage.Right9711,20201125,690010.00,710000.00,682708.00,694519.00,755637186,1088,75,D,718640.00,682708.00
Mortgage.Right9711,20201124,717000.00,720010.00,715642.00,718640.00,338479622,471,44,D,753307.00,715642.00
Mortgage.Right9711,20201123,740052.00,790000.00,735289.00,753307.00,1049356803,1393,80,D,773986.00,735300.00
Mortgage.Right9711,20201122,763010.00,794910.00,751010.00,773986.00,1281721117,1656,116,D,789383.00,752000.00
Mortgage.Right9711,20201121,772000.00,813898.00,767411.00,789383.00,1752429382,2220,112,D,807799.00,770011.00
Mortgage.Right9711,20201118,780110.00,819998.00,780110.00,807799.00,707632383,876,97,D,807486.00,812960.00
Mortgage.Right9711,20201117,785000.00,820000.00,785000.00,807486.00,919726828,1139,90,D,825028.00,810000.00
Mortgage.Right9711,20201116,785000.00,830000.00,785000.00,825028.00,1150088832,1394,115,D,824684.00,829980.00
Mortgage.Right9711,20201115,785010.00,840000.00,785010.00,824684.00,1077037837,1306,125,D,821602.00,807700.00
Mortgage.Right9711,20201114,781000.00,832837.00,781000.00,821602.00,1824777755,2221,161,D,793179.00,832837.00
Mortgage.Right9711,20201111,794000.00,794020.00,780010.00,793179.00,678960879,856,105,D,756210.00,794020.00
