<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Mortgage.Right9712,20210303,531000.00,557999.00,505002.00,527933.00,1324055514,2508,180,D,531581.00,534120.00
Mortgage.Right9712,20210302,506000.00,550000.00,506000.00,531581.00,1064756840,2003,180,D,532550.00,536000.00
Mortgage.Right9712,20210301,510000.00,555850.00,503000.00,532550.00,1884162782,3538,209,D,529385.00,535000.00
Mortgage.Right9712,20210228,529000.00,550000.00,528371.00,529385.00,1288523088,2434,158,D,556180.00,529000.00
Mortgage.Right9712,20210227,542000.00,578997.00,540318.00,556180.00,1261972100,2269,109,D,568755.00,540318.00
Mortgage.Right9712,20210224,560010.00,579215.00,560000.00,568755.00,764407329,1344,118,D,551634.00,579000.00
Mortgage.Right9712,20210223,517551.00,572029.00,517551.00,551634.00,1288616241,2336,127,D,544790.00,570000.00
Mortgage.Right9712,20210222,535180.00,591500.00,535168.00,544790.00,1855555713,3406,197,D,563334.00,535168.00
Mortgage.Right9712,20210221,594000.00,594000.00,560258.00,563334.00,1029773884,1828,113,D,589745.00,560258.00
Mortgage.Right9712,20210220,570000.00,609945.00,567156.00,589745.00,1587004929,2691,164,D,597004.00,579660.00
Mortgage.Right9712,20210217,585010.00,619840.00,579033.00,597004.00,1319975690,2211,152,D,609508.00,589998.00
Mortgage.Right9712,20210216,596110.00,639995.00,593300.00,609508.00,918529262,1507,116,D,624002.00,618900.00
Mortgage.Right9712,20210215,603100.00,643695.00,603010.00,624002.00,1586836796,2543,165,D,634711.00,615100.00
Mortgage.Right9712,20210214,586111.00,644723.00,586111.00,634711.00,1857163520,2926,174,D,614022.00,644723.00
Mortgage.Right9712,20210213,607062.00,630000.00,581000.00,614022.00,2051446292,3341,204,D,611060.00,630000.00
Mortgage.Right9712,20210209,600000.00,627660.00,569005.00,611060.00,2213872070,3623,204,D,597772.00,620000.00
Mortgage.Right9712,20210208,603010.00,610000.00,588337.00,597772.00,2296639939,3842,179,D,619302.00,599998.00
Mortgage.Right9712,20210207,640070.00,640075.00,585000.00,619302.00,2870466890,4635,240,D,609596.00,613950.00
Mortgage.Right9712,20210206,609990.00,610075.00,551973.00,609596.00,1554469738,2550,183,D,581024.00,610075.00
Mortgage.Right9712,20210203,555000.00,582897.00,532000.00,581024.00,1973740159,3397,222,D,555140.00,582897.00
Mortgage.Right9712,20210202,513100.00,559022.00,513100.00,555140.00,1495548179,2694,162,D,532402.00,559022.00
Mortgage.Right9712,20210201,502000.00,538017.00,502000.00,532402.00,1082372910,2033,156,D,512398.00,538017.00
Mortgage.Right9712,20210131,503000.00,524997.00,492001.00,512398.00,767571925,1498,146,D,511307.00,506122.00
Mortgage.Right9712,20210130,502005.00,523487.00,501010.00,511307.00,728612761,1425,152,D,517216.00,506000.00
Mortgage.Right9712,20210127,487180.00,536630.00,487180.00,517216.00,1030811185,1993,161,D,511081.00,506199.00
Mortgage.Right9712,20210126,540000.00,540000.00,500020.00,511081.00,768154195,1503,156,D,521519.00,508000.00
Mortgage.Right9712,20210125,537703.00,537703.00,510818.00,521519.00,501179546,961,112,D,537703.00,519998.00
Mortgage.Right9712,20210124,512000.00,550000.00,512000.00,537703.00,1218434540,2266,177,D,537876.00,535026.00
Mortgage.Right9712,20210123,505010.00,548020.00,500101.00,537876.00,1475394293,2743,193,D,521924.00,534111.00
