<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Mortgage.Right9802,20210505,410657.00,410667.00,371662.00,397625.00,2085939973,5246,393,D,391112.00,410667.00
Mortgage.Right9802,20210503,388000.00,400000.00,387911.00,391112.00,2056860295,5259,256,D,408327.00,387912.00
Mortgage.Right9802,20210502,416666.00,420000.00,400000.00,408327.00,2082466728,5100,269,D,413074.00,400009.00
Mortgage.Right9802,20210501,424997.00,424999.00,407000.00,413074.00,2903497895,7029,358,D,428195.00,410500.00
Mortgage.Right9802,20210428,445000.00,451877.00,408946.00,428195.00,2240318439,5232,319,D,430469.00,425999.00
Mortgage.Right9802,20210427,396666.00,437043.00,396666.00,430469.00,2517383674,5848,467,D,416232.00,427000.00
Mortgage.Right9802,20210426,390000.00,416373.00,390000.00,416232.00,1234127004,2965,170,D,396546.00,416373.00
Mortgage.Right9802,20210425,376155.00,407223.00,376155.00,396546.00,2483570801,6263,279,D,387832.00,407223.00
Mortgage.Right9802,20210424,381222.00,409000.00,379712.00,387832.00,4587274421,11828,381,D,399696.00,383000.00
Mortgage.Right9802,20210421,383322.00,412700.00,383322.00,399696.00,1417320371,3546,210,D,402875.00,390359.00
Mortgage.Right9802,20210420,398859.00,410000.00,398833.00,402875.00,1626003135,4036,197,D,419824.00,400021.00
Mortgage.Right9802,20210419,420122.00,427880.00,418352.00,419824.00,1820775350,4337,171,D,440370.00,418352.00
Mortgage.Right9802,20210418,443363.00,463999.00,437710.00,440370.00,660115113,1499,101,D,460747.00,437710.00
Mortgage.Right9802,20210417,478000.00,501881.00,454669.00,460747.00,2541021843,5515,241,D,478598.00,454669.00
Mortgage.Right9802,20210414,478000.00,490000.00,465000.00,478598.00,1192666349,2492,194,D,478720.00,478000.00
Mortgage.Right9802,20210413,485036.00,495000.00,469756.00,478720.00,1366265853,2854,193,D,494479.00,470290.00
Mortgage.Right9802,20210412,484500.00,509000.00,484000.00,494479.00,1367727824,2766,180,D,509459.00,485036.00
Mortgage.Right9802,20210411,471111.00,517150.00,471111.00,509459.00,1782598187,3499,201,D,492531.00,497055.00
Mortgage.Right9802,20210410,480000.00,499990.00,480000.00,492531.00,1727797466,3508,282,D,482685.00,492081.00
Mortgage.Right9802,20210407,480000.00,497999.00,454300.00,482685.00,2124297076,4401,281,D,474338.00,480008.00
Mortgage.Right9802,20210406,487364.00,490001.00,464873.00,474338.00,2559529027,5396,368,D,489339.00,479999.00
Mortgage.Right9802,20210405,500000.00,500100.00,487364.00,489339.00,1276195963,2608,224,D,513014.00,487364.00
Mortgage.Right9802,20210404,512800.00,539998.00,508509.00,513014.00,1854033107,3614,330,D,535272.00,508509.00
Mortgage.Right9802,20210403,536000.00,548798.00,511120.00,535272.00,1350490896,2523,185,D,532647.00,529199.00
Mortgage.Right9802,20210331,520010.00,544999.00,519190.00,532647.00,826134985,1551,115,D,546509.00,542000.00
Mortgage.Right9802,20210330,565000.00,566000.00,534021.00,546509.00,721939037,1321,111,D,562127.00,534027.00
Mortgage.Right9802,20210328,570000.00,584887.00,552555.00,562127.00,483991731,861,85,D,573944.00,562000.00
Mortgage.Right9802,20210327,544548.00,589000.00,544548.00,573944.00,714559787,1245,102,D,572997.00,563177.00
Mortgage.Right9802,20210317,563510.00,589978.00,563501.00,572997.00,653789724,1141,93,D,585635.00,579958.00
Mortgage.Right9802,20210316,555202.00,592998.00,555202.00,585635.00,667038253,1139,99,D,582033.00,571533.00
Mortgage.Right9802,20210315,555100.00,594880.00,552233.00,582033.00,1844463983,3169,205,D,579718.00,590000.00
Mortgage.Right9802,20210314,570015.00,599887.00,566151.00,579718.00,977403966,1686,122,D,595728.00,568050.00
Mortgage.Right9802,20210313,561000.00,605729.00,561000.00,595728.00,1367791954,2296,146,D,576885.00,580000.00
Mortgage.Right9802,20210310,542010.00,587780.00,542010.00,576885.00,848020937,1470,129,D,559791.00,587780.00
Mortgage.Right9802,20210309,530142.00,578704.00,530122.00,559791.00,1119582651,2000,136,D,551147.00,578703.00
Mortgage.Right9802,20210308,552000.00,559990.00,540000.00,551147.00,691689596,1255,108,D,553556.00,548000.00
Mortgage.Right9802,20210307,550000.00,559974.00,541000.00,553556.00,1004703818,1815,125,D,552882.00,546050.00
Mortgage.Right9802,20210306,555000.00,564993.00,530010.00,552882.00,1624921560,2939,199,D,551095.00,550002.00
Mortgage.Right9802,20210303,550002.00,563998.00,532100.00,551095.00,759408940,1378,146,D,559260.00,550010.00
Mortgage.Right9802,20210302,551021.00,567988.00,551020.00,559260.00,885867465,1584,170,D,562198.00,551111.00
Mortgage.Right9802,20210301,553070.00,574995.00,553067.00,562198.00,1144073385,2035,156,D,556510.00,564000.00
Mortgage.Right9802,20210228,550010.00,579981.00,541135.00,556510.00,740158247,1330,138,D,565982.00,559910.00
Mortgage.Right9802,20210227,561000.00,584679.00,554737.00,565982.00,1005184170,1776,166,D,583933.00,577988.00
