<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Abshirin.Agro,20210921,2764.00,2909.00,2764.00,2786.00,33165476351,11902399,811,D,2909.00,2764.00
Abshirin.Agro,20210920,2890.00,2890.00,2890.00,2909.00,7256590590,2510931,95,D,2979.00,2890.00
Abshirin.Agro,20210919,2954.00,2954.00,2954.00,2979.00,6877195584,2328096,83,D,3045.00,2954.00
Abshirin.Agro,20210918,3150.00,3150.00,3027.00,3045.00,11046181588,3627377,141,D,3120.00,3027.00
Abshirin.Agro,20210915,3128.00,3128.00,3040.00,3120.00,46987823648,15061891,1000,D,3037.00,3049.00
Abshirin.Agro,20210914,3037.00,3037.00,3037.00,3037.00,18648382652,6140396,245,D,2893.00,3037.00
Abshirin.Agro,20210913,2895.00,2895.00,2815.00,2893.00,48592908324,16794715,789,D,2811.00,2895.00
Abshirin.Agro,20210912,2840.00,2840.00,2750.00,2811.00,38771603719,13791421,911,D,2758.00,2840.00
Abshirin.Agro,20210911,2660.00,2765.00,2660.00,2758.00,32459538623,11769773,503,D,2685.00,2765.00
Abshirin.Agro,20210908,2680.00,2750.00,2637.00,2685.00,20981247185,7813573,869,D,2718.00,2678.00
Abshirin.Agro,20210907,2650.00,2790.00,2650.00,2718.00,16389114867,6029295,581,D,2710.00,2720.00
Abshirin.Agro,20210906,2710.00,2710.00,2670.00,2710.00,15671878682,5784047,398,D,2657.00,2700.00
Abshirin.Agro,20210905,2657.00,2657.00,2650.00,2657.00,20115413935,7570837,497,D,2605.00,2657.00
Abshirin.Agro,20210904,2599.00,2606.00,2551.00,2605.00,22993931991,8827707,537,D,2555.00,2606.00
Abshirin.Agro,20210901,2533.00,2608.00,2529.00,2555.00,15174339415,5939346,597,D,2580.00,2580.00
Abshirin.Agro,20210831,2570.00,2628.00,2570.00,2580.00,17484204536,6775966,584,D,2622.00,2570.00
Abshirin.Agro,20210830,2614.00,2650.00,2614.00,2622.00,10254183652,3911549,383,D,2667.00,2614.00
Abshirin.Agro,20210829,2742.00,2742.00,2642.00,2667.00,33147614170,12429539,999,D,2695.00,2642.00
Abshirin.Agro,20210828,2707.00,2707.00,2660.00,2695.00,30717699362,11399028,1022,D,2654.00,2700.00
Abshirin.Agro,20210825,2646.00,2662.00,2560.00,2654.00,30271952077,11404550,964,D,2610.00,2662.00
Abshirin.Agro,20210824,2610.00,2610.00,2610.00,2610.00,20433739590,7829019,426,D,2559.00,2610.00
Abshirin.Agro,20210823,2570.00,2628.00,2526.00,2559.00,34349714406,13421829,1151,D,2577.00,2628.00
Abshirin.Agro,20210822,2649.00,2649.00,2547.00,2577.00,19535554971,7580752,930,D,2598.00,2553.00
Abshirin.Agro,20210815,2670.00,2676.00,2580.00,2598.00,37700292208,14513036,1268,D,2632.00,2610.00
Abshirin.Agro,20210814,2637.00,2637.00,2586.00,2632.00,47145618452,17914812,1306,D,2586.00,2637.00
Abshirin.Agro,20210811,2525.00,2700.00,2525.00,2586.00,87206708928,33725442,2673,D,2630.00,2640.00
Abshirin.Agro,20210810,2608.00,2608.00,2608.00,2630.00,2910530608,1116001,107,D,2661.00,2608.00
Abshirin.Agro,20210809,2661.00,2661.00,2661.00,2661.00,6632050215,2492315,105,D,2715.00,2661.00
Abshirin.Agro,20210808,2752.00,2752.00,2646.00,2715.00,34794113748,12817324,684,D,2699.00,2646.00
Abshirin.Agro,20210807,2699.00,2699.00,2699.00,2699.00,21993945876,8148924,341,D,2647.00,2699.00
Abshirin.Agro,20210804,2610.00,2662.00,2610.00,2647.00,37763804394,14267583,577,D,3956.00,2662.00
Abshirin.Agro,20210719,3962.00,3962.00,3962.00,4036.00,339067960,85580,13,D,4042.00,3962.00
Abshirin.Agro,20210718,3884.00,3884.00,3884.00,4042.00,90800152,23378,9,D,4045.00,3884.00
Abshirin.Agro,20210717,3965.00,3965.00,3965.00,4045.00,17247750,4350,3,D,4045.00,3965.00
Abshirin.Agro,20210714,3968.00,3968.00,3968.00,4045.00,173596032,43749,8,D,4048.00,3968.00
Abshirin.Agro,20210713,3969.00,3969.00,3969.00,4048.00,109750788,27652,5,D,4050.00,3969.00
Abshirin.Agro,20210712,3908.00,3908.00,3908.00,4050.00,584449216,149552,16,D,4070.00,3908.00
Abshirin.Agro,20210711,3991.00,3991.00,3991.00,4070.00,125065967,31337,9,D,4072.00,3991.00
Abshirin.Agro,20210710,3992.00,3992.00,3992.00,4072.00,56550672,14166,5,D,4073.00,3992.00
Abshirin.Agro,20210707,3993.00,3993.00,3993.00,4073.00,77971311,19527,9,D,4074.00,3993.00
