<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Alumtek,20210920,28384.00,29745.00,28017.00,28214.00,20395221600,722864,214,D,28883.00,29240.00
Alumtek,20210919,28949.00,28949.00,28250.00,28883.00,174994151613,6058787,1412,D,28106.00,28949.00
Alumtek,20210918,28134.00,28134.00,26600.00,28106.00,69542337702,2474273,440,D,27315.00,28134.00
Alumtek,20210915,27315.00,27315.00,27315.00,27315.00,12059463240,441496,57,D,26520.00,27315.00
Alumtek,20210829,26735.00,26735.00,25179.00,26520.00,39921766603,1505344,405,D,25957.00,26735.00
Alumtek,20210828,25957.00,25957.00,25957.00,25957.00,21414135645,824985,202,D,25201.00,25957.00
Alumtek,20210825,25000.00,25216.00,24400.00,25201.00,24462093458,970692,271,D,24482.00,25216.00
Alumtek,20210824,24000.00,24637.00,23555.00,24482.00,40188353163,1641534,460,D,23920.00,24637.00
Alumtek,20210823,23500.00,23961.00,23300.00,23920.00,50967631532,2130710,649,D,23264.00,23950.00
Alumtek,20210822,22990.00,23295.00,21700.00,23264.00,39521822871,1698847,504,D,22186.00,23295.00
Alumtek,20210815,21717.00,22353.00,21051.00,22186.00,46179243787,2081478,596,D,21702.00,22353.00
Alumtek,20210814,21717.00,21717.00,21200.00,21702.00,121057376393,5578293,752,D,21085.00,21717.00
Alumtek,20210811,21085.00,21085.00,21085.00,21085.00,11840745620,561572,71,D,20471.00,21085.00
Alumtek,20210810,20471.00,20471.00,20471.00,20471.00,11613034532,567292,69,D,19497.00,20471.00
Alumtek,20210809,19497.00,19497.00,19497.00,19497.00,10919216862,560046,58,D,18930.00,19497.00
Alumtek,20210808,18947.00,18947.00,18947.00,18930.00,10280130631,542573,69,D,18396.00,18947.00
Alumtek,20210807,18396.00,18396.00,18390.00,18396.00,13283436564,722093,208,D,17861.00,18396.00
Alumtek,20210804,17252.00,18970.00,17252.00,17861.00,40807035392,2284694,834,D,18160.00,18642.00
Alumtek,20210803,17856.00,17857.00,17856.00,18160.00,4020388818,225156,122,D,18408.00,17856.00
Alumtek,20210802,18203.00,19000.00,18202.00,18408.00,6291363936,344821,222,D,18764.00,18202.00
Alumtek,20210801,19550.00,19550.00,18709.00,18764.00,26523249167,1413498,523,D,19287.00,18709.00
Alumtek,20210731,18932.00,20517.00,18932.00,19287.00,47581210692,2467000,1039,D,19928.00,19120.00
Alumtek,20210728,19405.00,19405.00,19405.00,19928.00,1186635155,61151,36,D,20005.00,19405.00
Alumtek,20210727,19905.00,19905.00,19905.00,20005.00,7937377515,398763,102,D,20520.00,19905.00
Alumtek,20210726,20370.00,20955.00,20356.00,20520.00,7740812591,379426,184,D,20985.00,20356.00
Alumtek,20210719,20955.00,21387.00,20955.00,20985.00,54277204958,2586536,926,D,21603.00,20955.00
Alumtek,20210718,21519.00,21550.00,21519.00,21603.00,8255630470,383626,131,D,22184.00,21519.00
Alumtek,20210717,22600.00,22950.00,22130.00,22184.00,17866028339,805351,324,D,22814.00,22130.00
Alumtek,20210714,23774.00,23774.00,22661.00,22814.00,27841357294,1220389,493,D,23361.00,22661.00
Alumtek,20210713,23590.00,23590.00,22712.00,23361.00,25976288254,1111943,459,D,23106.00,23350.00
Alumtek,20210712,23200.00,23668.00,22700.00,23106.00,20501238178,887284,578,D,23276.00,22960.00
Alumtek,20210711,22660.00,23493.00,22660.00,23276.00,25332693475,1088359,578,D,22810.00,23368.00
Alumtek,20210710,22882.00,22882.00,22000.00,22810.00,49296866347,2161171,813,D,22216.00,22882.00
Alumtek,20210707,21960.00,22246.00,21949.00,22216.00,10506854982,472931,212,D,21599.00,22246.00
Alumtek,20210706,22650.00,22650.00,21536.00,21599.00,56856413031,2632377,919,D,22202.00,21536.00
Alumtek,20210705,22124.00,23400.00,22124.00,22202.00,19271840472,868006,312,D,22808.00,22124.00
Alumtek,20210704,22961.00,23380.00,22773.00,22808.00,11160649419,489340,268,D,23477.00,22773.00
Alumtek,20210703,24300.00,24360.00,22961.00,23477.00,19738695053,840760,488,D,23671.00,22961.00
Alumtek,20210630,23711.00,23711.00,23093.00,23671.00,21749879620,918829,593,D,23021.00,23711.00
Alumtek,20210629,22800.00,23484.00,22116.00,23021.00,35683008672,1550051,806,D,22800.00,23484.00
Alumtek,20210628,23500.00,23500.00,22704.00,22800.00,12939638356,567537,255,D,23406.00,22704.00
Alumtek,20210627,23900.00,24000.00,23386.00,23406.00,10528507694,449815,280,D,24109.00,23386.00
Alumtek,20210626,23890.00,24890.00,23803.00,24109.00,38878686241,1612615,932,D,24539.00,23850.00
Alumtek,20210623,24187.00,26578.00,24187.00,24539.00,77478962402,3157428,1331,D,25460.00,24187.00
Alumtek,20210622,24768.00,24768.00,24768.00,25460.00,925357248,37361,18,D,25533.00,24768.00
Alumtek,20210621,24768.00,24768.00,24768.00,25533.00,5201280,210,1,D,25533.00,24768.00
Alumtek,20210620,24771.00,24771.00,24771.00,25533.00,55982460,2260,3,D,25537.00,24771.00
Alumtek,20210619,24321.00,24321.00,24321.00,25537.00,477105057,19617,20,D,25601.00,24321.00
Alumtek,20210616,24866.00,24866.00,24866.00,25601.00,431773224,17364,9,D,25635.00,24866.00
Alumtek,20210615,25030.00,25030.00,25030.00,25635.00,2173930590,86853,28,D,25804.00,25030.00
Alumtek,20210614,25636.00,26350.00,25625.00,25804.00,7999224788,312011,185,D,26417.00,25625.00
Alumtek,20210613,26728.00,26728.00,25964.00,26417.00,39842995561,1508234,732,D,25950.00,25964.00
Alumtek,20210612,24710.00,25964.00,24710.00,25950.00,25825880369,995198,255,D,25208.00,25964.00
Alumtek,20210609,25333.00,25333.00,24000.00,25208.00,23076967044,915480,301,D,24596.00,25333.00
Alumtek,20210608,23001.00,25214.00,23001.00,24596.00,52677888660,2141740,673,D,24014.00,25214.00
Alumtek,20210607,24014.00,24014.00,24014.00,24014.00,10927066406,455029,77,D,24756.00,24014.00
Alumtek,20210602,24177.00,24177.00,24177.00,24756.00,1628175888,67344,37,D,24924.00,24177.00
Alumtek,20210601,24250.00,24250.00,24250.00,24924.00,736787750,30383,37,D,25000.00,24250.00
Alumtek,20210531,25000.00,25000.00,25000.00,25000.00,11777275000,471091,59,D,36146.00,25000.00
Alumtek,20210518,35137.00,35137.00,35137.00,36213.00,100843190,2870,9,D,36223.00,35137.00
Alumtek,20210516,34452.00,34452.00,34452.00,36223.00,241095096,6998,4,D,36265.00,34452.00
Alumtek,20210515,35185.00,35185.00,35185.00,36265.00,80503280,2288,3,D,36273.00,35185.00
Alumtek,20210512,35550.00,35550.00,35550.00,36273.00,40669200,1144,2,D,36275.00,35550.00
Alumtek,20210511,35551.00,35551.00,35551.00,36275.00,32600267,917,2,D,36276.00,35551.00
Alumtek,20210510,34833.00,34833.00,34833.00,36276.00,104394501,2997,6,D,36284.00,34833.00
Alumtek,20210509,35559.00,35559.00,35559.00,36284.00,5156055,145,1,D,36284.00,35559.00
Alumtek,20210505,35559.00,35559.00,35559.00,36284.00,12552327,353,2,D,36284.00,35559.00
Alumtek,20210503,34853.00,34853.00,34853.00,36284.00,273386932,7844,5,D,36305.00,34853.00
Alumtek,20210502,35579.00,35579.00,35579.00,36305.00,6119588,172,1,D,36305.00,35579.00
Alumtek,20210501,35579.00,35579.00,35579.00,36305.00,5016639,141,1,D,36305.00,35579.00
Alumtek,20210428,35579.00,35579.00,35579.00,36305.00,5123376,144,1,D,36305.00,35579.00
Alumtek,20210427,34922.00,34922.00,34922.00,36305.00,946875108,27114,17,D,36377.00,34922.00
Alumtek,20210426,35650.00,35650.00,35650.00,36377.00,8912500,250,1,D,36377.00,35650.00
Alumtek,20210425,35650.00,35650.00,35650.00,36377.00,7130000,200,1,D,36377.00,35650.00
Alumtek,20210421,34932.00,34932.00,34932.00,36377.00,134872452,3861,8,D,36387.00,34932.00
Alumtek,20210420,35662.00,35662.00,35662.00,36387.00,63870642,1791,5,D,36389.00,35662.00
Alumtek,20210419,35662.00,35662.00,35662.00,36389.00,8915500,250,1,D,36389.00,35662.00
Alumtek,20210417,34965.00,34965.00,34965.00,36389.00,416607975,11915,6,D,36421.00,34965.00
Alumtek,20210414,35720.00,35720.00,35720.00,36421.00,730795480,20459,10,D,36448.00,35720.00
Alumtek,20210413,35781.00,35781.00,35781.00,36448.00,1677413280,46880,13,D,36511.00,35781.00
Alumtek,20210412,35784.00,35784.00,35784.00,36511.00,72068976,2014,3,D,36514.00,35784.00
Alumtek,20210411,35074.00,35074.00,35074.00,36514.00,273717496,7804,14,D,36535.00,35074.00
Alumtek,20210410,35807.00,35807.00,35807.00,36535.00,43756154,1222,5,D,36537.00,35807.00
Alumtek,20210407,35868.00,35868.00,35868.00,36537.00,1554375648,43336,23,D,36599.00,35868.00
Alumtek,20210406,36554.00,37200.00,36554.00,36599.00,20639405872,563938,286,D,37299.00,36554.00
Alumtek,20210405,37290.00,37999.00,37290.00,37299.00,44159592069,1183934,367,D,38843.00,37290.00
Alumtek,20210404,38146.00,38146.00,38146.00,38843.00,2023607154,53049,8,D,38924.00,38146.00
Alumtek,20210403,38430.00,38430.00,38403.00,38924.00,6572980294,171151,77,D,39186.00,38403.00
Alumtek,20210331,39060.00,40980.00,39053.00,39186.00,30076248611,767521,290,D,39850.00,39053.00
Alumtek,20210330,40376.00,40376.00,39203.00,39850.00,25294587115,634737,327,D,39200.00,40365.00
Alumtek,20210317,39190.00,39207.00,39001.00,39200.00,37794949842,964150,435,D,38066.00,39207.00
Alumtek,20210316,36520.00,38361.00,36520.00,38066.00,49293094832,1294934,457,D,37244.00,38361.00
Alumtek,20210315,37200.00,38500.00,37200.00,37244.00,102721051456,2758049,975,D,38749.00,37200.00
Alumtek,20210314,38749.00,38749.00,38749.00,38749.00,22274901399,574851,73,D,39539.00,38749.00
Alumtek,20210313,39539.00,39539.00,39539.00,39539.00,51278089561,1296899,137,D,40345.00,39539.00
Alumtek,20210310,39621.00,39621.00,39621.00,40345.00,2072812236,52316,44,D,40429.00,39621.00
Alumtek,20210309,40300.00,41399.00,39391.00,40429.00,90580980346,2240484,921,D,40194.00,39391.00
Alumtek,20210308,38530.00,40495.00,38530.00,40194.00,162287034304,4037612,1097,D,39316.00,40495.00
Alumtek,20210307,38766.00,38766.00,38766.00,39316.00,5975856432,154152,54,D,39557.00,38766.00
Alumtek,20210227,38863.00,39634.00,37800.00,39557.00,60475334953,1528803,923,D,38480.00,39634.00
Alumtek,20210224,38790.00,38863.00,37921.00,38480.00,85835004240,2230654,711,D,37732.00,38863.00
Alumtek,20210223,35980.00,37805.00,35980.00,37732.00,109369175118,2898609,839,D,36704.00,37805.00
