<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Arman.Insurance,20210921,6407.00,6767.00,6407.00,6573.00,1827293973,283903,60,D,6605.00,6609.00
Arman.Insurance,20210920,6450.00,6590.00,6440.00,6605.00,1297578120,201052,49,D,6628.00,6543.00
Arman.Insurance,20210919,6594.00,6660.00,6463.00,6628.00,1667315699,257823,27,D,6662.00,6463.00
Arman.Insurance,20210918,6500.00,6649.00,6489.00,6662.00,1356903712,208938,36,D,6689.00,6649.00
Arman.Insurance,20210915,6630.00,6690.00,6630.00,6689.00,6534647549,985467,137,D,6835.00,6630.00
Arman.Insurance,20210914,6683.00,6820.00,6683.00,6835.00,2497489905,373273,97,D,6889.00,6700.00
Arman.Insurance,20210913,6843.00,6848.00,6843.00,6889.00,7346169868,1073524,58,D,7054.00,6843.00
Arman.Insurance,20210912,7165.00,7165.00,6971.00,7054.00,5956366352,854173,81,D,7186.00,6971.00
Arman.Insurance,20210911,7100.00,7197.00,7048.00,7186.00,3592612830,509423,108,D,7265.00,7048.00
Arman.Insurance,20210908,7101.00,7394.00,7100.00,7265.00,2865640059,401602,108,D,7319.00,7101.00
Arman.Insurance,20210907,7191.00,7494.00,7141.00,7319.00,3279296502,452971,99,D,7358.00,7160.00
Arman.Insurance,20210906,7457.00,7457.00,7023.00,7358.00,15845358739,2153384,278,D,7240.00,7285.00
Arman.Insurance,20210905,7397.00,7397.00,7024.00,7240.00,6051693659,835821,145,D,7240.00,7201.00
Arman.Insurance,20210904,7200.00,7415.00,7095.00,7240.00,11232251612,1551356,279,D,7314.00,7211.00
Arman.Insurance,20210901,7487.00,7487.00,6862.00,7314.00,26457973240,3617491,484,D,7131.00,7200.00
Arman.Insurance,20210831,7131.00,7131.00,7131.00,7131.00,14014112178,1965238,81,D,6924.00,7131.00
Arman.Insurance,20210830,6924.00,6924.00,6924.00,6924.00,13676928732,1975293,113,D,6723.00,6924.00
Arman.Insurance,20210829,6670.00,6724.00,6601.00,6723.00,13891846131,2066225,218,D,6529.00,6724.00
Arman.Insurance,20210828,6638.00,6686.00,6440.00,6529.00,3854627250,584925,167,D,6492.00,6670.00
Arman.Insurance,20210825,6433.00,6623.00,6433.00,6492.00,3590140804,543604,175,D,6431.00,6616.00
Arman.Insurance,20210824,6449.00,6639.00,6301.00,6431.00,4504300787,702764,152,D,6449.00,6570.00
Arman.Insurance,20210823,6462.00,6469.00,6300.00,6449.00,2400098431,374573,82,D,6462.00,6331.00
Arman.Insurance,20210822,6463.00,6547.00,6433.00,6462.00,2519430297,390164,95,D,6463.00,6450.00
Arman.Insurance,20210815,6499.00,6510.00,6321.00,6463.00,3350625810,526582,77,D,6516.00,6450.00
Arman.Insurance,20210814,6532.00,6546.00,6372.00,6516.00,2659107966,410758,84,D,6532.00,6383.00
Arman.Insurance,20210811,6542.00,6580.00,6353.00,6532.00,1776378200,273967,92,D,6542.00,6450.00
Arman.Insurance,20210810,6538.00,6672.00,6520.00,6542.00,1173486685,179386,71,D,6542.00,6585.00
Arman.Insurance,20210809,6678.00,6678.00,6355.00,6542.00,2603024957,399525,67,D,6551.00,6355.00
Arman.Insurance,20210808,6552.00,6560.00,6510.00,6551.00,1005234029,153718,56,D,6552.00,6540.00
Arman.Insurance,20210807,6555.00,6582.00,6500.00,6552.00,2071148897,316732,59,D,6556.00,6525.00
Arman.Insurance,20210804,6699.00,6699.00,6500.00,6556.00,2044449257,312603,62,D,6560.00,6550.00
Arman.Insurance,20210803,6694.00,6730.00,6520.00,6560.00,2006474815,305489,78,D,6558.00,6558.00
Arman.Insurance,20210802,6557.00,6720.00,6540.00,6558.00,1824637276,277873,63,D,6556.00,6550.00
Arman.Insurance,20210801,6545.00,6690.00,6540.00,6556.00,2787528189,423445,82,D,6545.00,6660.00
Arman.Insurance,20210731,6546.00,6550.00,6490.00,6545.00,2165140063,331046,83,D,6546.00,6546.00
Arman.Insurance,20210728,6369.00,6737.00,6369.00,6546.00,4101026004,629082,102,D,6565.00,6565.00
Arman.Insurance,20210727,6565.00,6565.00,6565.00,6565.00,136814600,20840,6,D,6565.00,6565.00
Arman.Insurance,20210719,6391.00,6699.00,6391.00,6565.00,2567933424,394976,170,D,6587.00,6440.00
Arman.Insurance,20210718,6456.00,6608.00,6423.00,6587.00,1584575494,245333,71,D,6612.00,6432.00
Arman.Insurance,20210717,6554.00,6600.00,6454.00,6612.00,2581831056,396562,124,D,6648.00,6455.00
Arman.Insurance,20210714,6499.00,6663.00,6499.00,6648.00,1165886896,177246,99,D,6658.00,6553.00
Arman.Insurance,20210713,6488.00,6749.00,6488.00,6658.00,1130679680,172150,78,D,6670.00,6530.00
Arman.Insurance,20210712,6561.00,6722.00,6535.00,6670.00,4928324110,745576,139,D,6730.00,6599.00
Arman.Insurance,20210711,6626.00,6895.00,6545.00,6730.00,1915453466,287210,157,D,6744.00,6698.00
Arman.Insurance,20210710,6520.00,6911.00,6520.00,6744.00,5654604044,835094,232,D,6710.00,6879.00
Arman.Insurance,20210707,6579.00,6708.00,6575.00,6710.00,3284358629,498886,95,D,6777.00,6575.00
Arman.Insurance,20210706,6622.00,6786.00,6612.00,6777.00,1720747642,260079,103,D,6812.00,6613.00
Arman.Insurance,20210705,7000.00,7000.00,6715.00,6812.00,5426088948,806676,103,D,6922.00,6715.00
Arman.Insurance,20210704,6745.00,6999.00,6739.00,6922.00,2354234834,343362,90,D,6942.00,6811.00
Arman.Insurance,20210703,6770.00,6971.00,6770.00,6942.00,1614549964,237676,81,D,6971.00,6770.00
Arman.Insurance,20210630,6970.00,7181.00,6966.00,6971.00,14647904605,2101279,192,D,7181.00,6966.00
Arman.Insurance,20210629,7424.00,7424.00,6992.00,7181.00,24146052399,3362365,437,D,7208.00,7036.00
Arman.Insurance,20210628,7208.00,7208.00,7208.00,7208.00,12770334312,1771689,122,D,6999.00,7208.00
Arman.Insurance,20210627,6999.00,6999.00,6999.00,6999.00,15147515760,2164240,181,D,6796.00,6999.00
Arman.Insurance,20210626,6836.00,6836.00,6830.00,6796.00,8212087636,1201301,152,D,6637.00,6836.00
Arman.Insurance,20210623,6587.00,6784.00,6587.00,6637.00,3894270468,579643,146,D,6587.00,6784.00
Arman.Insurance,20210622,6583.00,6745.00,6583.00,6587.00,1692078546,256192,71,D,6583.00,6583.00
Arman.Insurance,20210621,6740.00,6740.00,6580.00,6583.00,2224517665,337663,55,D,6582.00,6582.00
Arman.Insurance,20210620,6740.00,6740.00,6573.00,6582.00,1128893121,169593,76,D,6573.00,6662.00
Arman.Insurance,20210619,6750.00,6750.00,6400.00,6573.00,648919061,98152,46,D,6570.00,6670.00
Arman.Insurance,20210616,6563.00,6758.00,6563.00,6570.00,1469483357,222237,87,D,6563.00,6567.00
Arman.Insurance,20210615,6470.00,6500.00,6440.00,6563.00,3574935785,553353,90,D,6625.00,6500.00
Arman.Insurance,20210614,6510.00,6579.00,6510.00,6625.00,2772643365,424917,79,D,6666.00,6550.00
Arman.Insurance,20210613,6546.00,6648.00,6542.00,6666.00,3622200858,553425,76,D,6740.00,6542.00
Arman.Insurance,20210612,6996.00,6996.00,6610.00,6740.00,4104326894,618308,96,D,6814.00,6645.00
Arman.Insurance,20210609,6790.00,6929.00,6688.00,6814.00,4920443907,729480,118,D,6890.00,6720.00
Arman.Insurance,20210608,7158.00,7158.00,6790.00,6890.00,10767077431,1562815,335,D,7000.00,6898.00
Arman.Insurance,20210607,6956.00,7350.00,6956.00,7000.00,16546281764,2363624,420,D,7171.00,6956.00
Arman.Insurance,20210602,7514.00,7517.00,7081.00,7171.00,13535465432,1887443,496,D,7299.00,7090.00
Arman.Insurance,20210601,7272.00,7610.00,7272.00,7299.00,104759267283,14352406,876,D,7496.00,7480.00
Arman.Insurance,20210531,7496.00,7630.00,7496.00,7496.00,103190594508,13765319,524,D,7890.00,7496.00
Arman.Insurance,20210530,7890.00,7890.00,7890.00,7890.00,60970259040,7727536,96,D,8133.00,7890.00
Arman.Insurance,20210524,7891.00,7891.00,7891.00,8133.00,78910000,10000,1,D,8135.00,7891.00
Arman.Insurance,20210519,7797.00,7797.00,7797.00,8135.00,1665431403,213599,6,D,8207.00,7797.00
Arman.Insurance,20210518,7962.00,7962.00,7962.00,8207.00,58743636,7378,3,D,8208.00,7962.00
Arman.Insurance,20210515,7801.00,7801.00,7801.00,8208.00,67478650,8650,2,D,8211.00,7801.00
