<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Arian.Co.,20210921,2855.00,2956.00,2784.00,2793.00,14162202973,5070297,360,D,2870.00,2784.00
Arian.Co.,20210920,2923.00,2940.00,2852.00,2870.00,13938268388,4857140,550,D,2940.00,2883.00
Arian.Co.,20210919,2924.00,3040.00,2922.00,2940.00,12330108780,4194379,310,D,3012.00,2922.00
Arian.Co.,20210918,3021.00,3100.00,3007.00,3012.00,22536495979,7483221,474,D,3099.00,3007.00
Arian.Co.,20210915,3110.00,3180.00,3085.00,3099.00,16383458150,5287078,645,D,3180.00,3085.00
Arian.Co.,20210914,3052.00,3187.00,3052.00,3180.00,26488726811,8328718,596,D,3095.00,3187.00
Arian.Co.,20210913,3200.00,3200.00,3083.00,3095.00,21933371478,7086383,555,D,3178.00,3083.00
Arian.Co.,20210912,3310.00,3320.00,3168.00,3178.00,33427348881,10518808,735,D,3265.00,3168.00
Arian.Co.,20210911,3196.00,3270.00,3196.00,3265.00,59419138785,18200329,882,D,3175.00,3270.00
Arian.Co.,20210908,3122.00,3226.00,3122.00,3175.00,20394957990,6423343,920,D,3154.00,3195.00
Arian.Co.,20210907,3090.00,3161.00,3040.00,3154.00,55690282566,17659666,1184,D,3069.00,3161.00
Arian.Co.,20210906,3122.00,3190.00,3044.00,3069.00,79041542591,25756405,1538,D,3138.00,3088.00
Arian.Co.,20210905,3182.00,3200.00,3087.00,3138.00,21507073068,6853457,657,D,3182.00,3145.00
Arian.Co.,20210904,3250.00,3260.00,3142.00,3182.00,20551528786,6458186,701,D,3178.00,3160.00
Arian.Co.,20210901,3053.00,3190.00,3053.00,3178.00,32411440025,10197839,722,D,3098.00,3190.00
Arian.Co.,20210831,3093.00,3159.00,3093.00,3098.00,41789867195,13490351,745,D,3188.00,3093.00
Arian.Co.,20210830,3225.00,3359.00,3181.00,3188.00,24084712002,7555886,424,D,3279.00,3181.00
Arian.Co.,20210829,3360.00,3378.00,3182.00,3279.00,81373689782,24819792,1580,D,3280.00,3182.00
Arian.Co.,20210828,3225.00,3289.00,3185.00,3280.00,60029518192,18299472,1020,D,3194.00,3289.00
Arian.Co.,20210825,3210.00,3226.00,3114.00,3194.00,49017377589,15344583,1064,D,3133.00,3195.00
Arian.Co.,20210824,3133.00,3133.00,3100.00,3133.00,31796950649,10150272,509,D,3042.00,3133.00
Arian.Co.,20210823,3030.00,3060.00,2892.00,3042.00,43215971241,14205496,682,D,2971.00,3060.00
Arian.Co.,20210822,2853.00,2979.00,2853.00,2971.00,33291318641,11205419,786,D,2893.00,2979.00
Arian.Co.,20210815,2960.00,2960.00,2857.00,2893.00,18064122615,6244845,653,D,2917.00,2879.00
Arian.Co.,20210814,2861.00,2932.00,2861.00,2917.00,40779398160,13979699,924,D,2847.00,2931.00
Arian.Co.,20210811,2784.00,2895.00,2784.00,2847.00,19554308811,6869546,710,D,2827.00,2877.00
Arian.Co.,20210810,2885.00,2885.00,2781.00,2827.00,19746272856,6983973,607,D,2805.00,2851.00
Arian.Co.,20210809,2818.00,2823.00,2742.00,2805.00,13588974670,4844770,407,D,2741.00,2823.00
Arian.Co.,20210808,2675.00,2790.00,2675.00,2741.00,17089740148,6235289,643,D,2720.00,2730.00
