<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Behesht.Pars.Co,20210921,11529.00,11529.00,11184.00,11239.00,11113353720,988855,220,D,19214.00,11184.00
Behesht.Pars.Co,20210705,18639.00,18639.00,18639.00,19214.00,20614734,1106,3,D,19215.00,18639.00
Behesht.Pars.Co,20210704,18640.00,18640.00,18640.00,19215.00,10624800,570,2,D,19216.00,18640.00
Behesht.Pars.Co,20210703,18640.00,18640.00,18640.00,19216.00,5051440,271,1,D,19216.00,18640.00
Behesht.Pars.Co,20210630,19092.00,19092.00,19092.00,19216.00,7664483400,401450,7,D,19682.00,19092.00
Behesht.Pars.Co,20210623,18710.00,18710.00,18710.00,19682.00,111586440,5964,5,D,19694.00,18710.00
Behesht.Pars.Co,20210622,19106.00,19106.00,19106.00,19694.00,37065640,1940,3,D,19696.00,19106.00
Behesht.Pars.Co,20210621,19107.00,19107.00,19107.00,19696.00,13374900,700,1,D,19697.00,19107.00
Behesht.Pars.Co,20210620,19108.00,19108.00,19108.00,19697.00,10222780,535,2,D,19698.00,19108.00
Behesht.Pars.Co,20210619,18715.00,18715.00,18715.00,19698.00,5053050,270,1,D,19699.00,18715.00
Behesht.Pars.Co,20210616,19112.00,19112.00,19112.00,19699.00,64789680,3390,1,D,19703.00,19112.00
Behesht.Pars.Co,20210615,19112.00,19112.00,19112.00,19703.00,5351360,280,1,D,19703.00,19112.00
Behesht.Pars.Co,20210614,19112.00,19112.00,19112.00,19703.00,5064680,265,1,D,19703.00,19112.00
Behesht.Pars.Co,20210613,18719.00,18719.00,18719.00,19703.00,5054130,270,1,D,19704.00,18719.00
Behesht.Pars.Co,20210612,19118.00,19118.00,19118.00,19704.00,80047066,4187,1,D,19709.00,19118.00
Behesht.Pars.Co,20210609,19118.00,19118.00,19118.00,19709.00,5066270,265,1,D,19709.00,19118.00
Behesht.Pars.Co,20210608,19233.00,19233.00,19233.00,19709.00,1923300000,100000,2,D,19827.00,19233.00
Behesht.Pars.Co,20210602,18847.00,18847.00,18847.00,19827.00,104412380,5540,9,D,19838.00,18847.00
Behesht.Pars.Co,20210601,19243.00,19243.00,19243.00,19838.00,5772900,300,1,D,19838.00,19243.00
Behesht.Pars.Co,20210531,19244.00,19244.00,19244.00,19838.00,9371828,487,1,D,19839.00,19244.00
Behesht.Pars.Co,20210530,19245.00,19245.00,19245.00,19839.00,13471500,700,2,D,19840.00,19245.00
Behesht.Pars.Co,20210529,18854.00,18854.00,18854.00,19840.00,57259598,3037,4,D,19846.00,18854.00
Behesht.Pars.Co,20210526,19252.00,19252.00,19252.00,19846.00,10838876,563,2,D,19847.00,19252.00
Behesht.Pars.Co,20210525,19253.00,19253.00,19253.00,19847.00,10781680,560,2,D,19848.00,19253.00
Behesht.Pars.Co,20210524,19253.00,19253.00,19253.00,19848.00,5044286,262,1,D,19848.00,19253.00
Behesht.Pars.Co,20210523,18857.00,18857.00,18857.00,19848.00,5053676,268,1,D,19849.00,18857.00
Behesht.Pars.Co,20210522,19254.00,19254.00,19254.00,19849.00,5006040,260,1,D,19849.00,19254.00
Behesht.Pars.Co,20210519,19255.00,19255.00,19255.00,19849.00,19255000,1000,1,D,19850.00,19255.00
Behesht.Pars.Co,20210518,19258.00,19258.00,19258.00,19850.00,53209854,2763,4,D,19853.00,19258.00
Behesht.Pars.Co,20210517,18862.00,18862.00,18862.00,19853.00,10034584,532,2,D,19854.00,18862.00
Behesht.Pars.Co,20210516,19259.00,19259.00,19259.00,19854.00,5007340,260,1,D,19854.00,19259.00
Behesht.Pars.Co,20210515,19259.00,19259.00,19259.00,19854.00,5777700,300,1,D,19854.00,19259.00
Behesht.Pars.Co,20210512,19457.00,19457.00,19457.00,19854.00,5058820,260,1,D,19854.00,19457.00
