<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Pars.Packing,20150907,500.00,500.00,500.00,500.00,505000,1010,1,D,500.00,500.00
Pars.Packing,20150831,500.00,500.00,500.00,500.00,995000,1990,1,D,465.00,500.00
Pars.Packing,20150629,465.00,465.00,465.00,465.00,6975000,15000,1,D,402.00,465.00
Pars.Packing,20150531,402.00,402.00,402.00,402.00,645210,1605,1,D,440.00,402.00
Pars.Packing,20150527,440.00,440.00,440.00,440.00,4400000,10000,1,D,444.00,440.00
Pars.Packing,20150511,444.00,444.00,444.00,444.00,4717056,10624,1,D,461.00,444.00
Pars.Packing,20150509,461.00,461.00,460.00,461.00,59870000,130000,3,D,493.00,460.00
Pars.Packing,20150413,490.00,500.00,490.00,493.00,1480000,3000,2,D,475.00,500.00
Pars.Packing,20150408,475.00,475.00,475.00,475.00,4750000,10000,1,D,500.00,475.00
Pars.Packing,20150314,500.00,500.00,500.00,500.00,15000000,30000,1,D,441.00,500.00
Pars.Packing,20150308,441.00,441.00,441.00,441.00,3528000,8000,1,D,441.00,441.00
Pars.Packing,20150304,441.00,441.00,441.00,441.00,5292000,12000,1,D,513.00,441.00
Pars.Packing,20150208,555.00,555.00,500.00,513.00,25635315,50000,3,D,534.00,500.00
Pars.Packing,20150124,531.00,550.00,531.00,534.00,44921120,84147,5,D,550.00,549.00
Pars.Packing,20150117,550.00,550.00,550.00,550.00,11984500,21790,2,D,525.00,550.00
Pars.Packing,20150111,525.00,525.00,525.00,525.00,10500000,20000,1,D,650.00,525.00
Pars.Packing,20150104,650.00,650.00,650.00,650.00,1168050,1797,1,D,700.00,650.00
Pars.Packing,20141130,700.00,700.00,700.00,700.00,14000000,20000,1,D,712.00,700.00
Pars.Packing,20141125,710.00,750.00,710.00,712.00,11400000,16000,2,D,800.00,750.00
Pars.Packing,20141119,800.00,800.00,800.00,800.00,3200000,4000,1,D,980.00,800.00
Pars.Packing,20141112,980.00,980.00,980.00,980.00,245000,250,1,D,1000.00,980.00
Pars.Packing,20141026,1000.00,1000.00,1000.00,1000.00,64447000,64447,6,D,844.00,1000.00
Pars.Packing,20141019,850.00,850.00,800.00,844.00,28497600,33747,2,D,743.00,800.00
Pars.Packing,20141018,710.00,799.00,700.00,743.00,36937756,49747,6,D,700.00,748.00
Pars.Packing,20141015,700.00,700.00,700.00,700.00,38500000,55000,2,D,680.00,700.00
Pars.Packing,20141008,680.00,680.00,680.00,680.00,6800000,10000,1,D,500.00,680.00
Pars.Packing,20140910,500.00,500.00,500.00,500.00,1045000,2090,1,D,650.00,500.00
Pars.Packing,20140909,650.00,650.00,650.00,650.00,1365000,2100,1,D,500.00,650.00
Pars.Packing,20140907,500.00,500.00,500.00,500.00,1561000,3122,2,D,508.00,500.00
Pars.Packing,20140708,508.00,508.00,508.00,508.00,15240000,30000,1,D,351.00,508.00
Pars.Packing,20140628,351.00,351.00,351.00,351.00,438048,1248,1,D,502.00,351.00
Pars.Packing,20140623,502.00,502.00,501.00,502.00,7313383,14576,2,D,501.00,501.00
Pars.Packing,20140621,500.00,501.00,500.00,501.00,34539000,69000,2,D,501.00,501.00
Pars.Packing,20140525,501.00,501.00,501.00,501.00,5010000,10000,1,D,501.00,501.00
Pars.Packing,20140504,501.00,501.00,501.00,501.00,501000,1000,1,D,500.00,501.00
Pars.Packing,20140427,501.00,501.00,500.00,500.00,7580651,15151,3,D,603.00,501.00
Pars.Packing,20140413,603.00,603.00,602.00,603.00,15070000,25000,2,D,601.00,602.00
Pars.Packing,20140329,602.00,602.00,600.00,601.00,15030000,25000,2,D,701.00,600.00
Pars.Packing,20140309,700.00,701.00,700.00,701.00,28030000,40000,2,D,800.00,701.00
Pars.Packing,20140226,800.00,800.00,800.00,800.00,4000000,5000,1,D,800.00,800.00
Pars.Packing,20140205,800.00,800.00,800.00,800.00,4000000,5000,1,D,500.00,800.00
Pars.Packing,20131224,500.00,500.00,500.00,500.00,1459500,2919,1,D,1000.00,500.00
