<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*City.Bank,20210920,5650.00,5815.00,5570.00,5649.00,40658266723,7197026,754,D,5794.00,5700.00
S*City.Bank,20210919,5754.00,5920.00,5754.00,5794.00,31654683671,5488881,360,D,5993.00,5754.00
S*City.Bank,20210918,6167.00,6300.00,5920.00,5993.00,48124158428,8029968,497,D,6166.00,5920.00
S*City.Bank,20210915,6210.00,6231.00,6051.00,6166.00,32644158122,5303948,735,D,6229.00,6130.00
S*City.Bank,20210914,6260.00,6340.00,6101.00,6229.00,72184190739,11588838,1021,D,6271.00,6175.00
S*City.Bank,20210913,6309.00,6350.00,6118.00,6271.00,50257653467,8014544,477,D,6307.00,6280.00
S*City.Bank,20210911,6325.00,6500.00,6240.00,6307.00,42840610285,6792285,563,D,6325.00,6300.00
S*City.Bank,20210908,6330.00,6480.00,6255.00,6325.00,45284695467,7159697,1181,D,6337.00,6340.00
S*City.Bank,20210907,6370.00,6554.00,6200.00,6337.00,35433791603,5593949,441,D,6364.00,6320.00
S*City.Bank,20210906,6400.00,6420.00,6125.00,6364.00,58190796895,9143255,776,D,6375.00,6395.00
S*City.Bank,20210905,6321.00,6538.00,6215.00,6375.00,55745498021,8744566,957,D,6470.00,6380.00
S*City.Bank,20210904,6431.00,6580.00,6360.00,6470.00,52440413129,8105043,1008,D,6410.00,6411.00
S*City.Bank,20210901,6500.00,6660.00,6311.00,6410.00,107498249868,16771253,1363,D,6573.00,6540.00
S*City.Bank,20210831,6630.00,6720.00,6476.00,6573.00,71732891158,10912991,1172,D,6705.00,6530.00
S*City.Bank,20210830,6710.00,6751.00,6510.00,6705.00,266700826059,39774099,2267,D,6492.00,6680.00
S*City.Bank,20210829,6492.00,6492.00,6492.00,6492.00,76611001344,11800832,404,D,6243.00,6492.00
S*City.Bank,20210828,6243.00,6243.00,6243.00,6243.00,39286949280,6292960,152,D,6003.00,6243.00
S*City.Bank,20210814,5920.00,6090.00,5900.00,6003.00,18489496585,3081628,334,D,6006.00,5960.00
S*City.Bank,20210811,5950.00,6150.00,5950.00,6006.00,41137915504,6849503,848,D,6054.00,5980.00
S*City.Bank,20210810,5930.00,6250.00,5860.00,6054.00,45131951143,7454806,1026,D,6037.00,6160.00
S*City.Bank,20210809,6130.00,6150.00,5998.00,6037.00,63700288583,10551028,1019,D,6247.00,6004.00
