<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Bagheran.Cement,20210921,19256.00,19710.00,18590.00,19132.00,103703298838,5420517,1087,D,19141.00,18950.00
Bagheran.Cement,20210920,19440.00,19447.00,18390.00,19141.00,338990046039,17709882,1978,D,18881.00,19150.00
Bagheran.Cement,20210919,18490.00,18945.00,18044.00,18881.00,367341425845,19455358,1932,D,18043.00,18945.00
Bagheran.Cement,20210918,18043.00,18043.00,18043.00,18043.00,42059983171,2331097,183,D,17518.00,18043.00
Bagheran.Cement,20210915,16900.00,17525.00,16900.00,17518.00,51656751162,2948745,437,D,17015.00,17525.00
Bagheran.Cement,20210914,16218.00,17219.00,16218.00,17015.00,50656556560,2977252,385,D,16718.00,17219.00
Bagheran.Cement,20210913,16701.00,17050.00,16701.00,16718.00,46656486365,2790814,377,D,17217.00,16860.00
Bagheran.Cement,20210912,17300.00,17490.00,17212.00,17217.00,16941451248,983988,157,D,17744.00,17212.00
Bagheran.Cement,20210911,18347.00,18347.00,17458.00,17744.00,30608374823,1725008,383,D,17997.00,17458.00
Bagheran.Cement,20210908,18000.00,18121.00,17350.00,17997.00,40656247923,2259046,562,D,17594.00,18119.00
Bagheran.Cement,20210907,17191.00,17990.00,17191.00,17594.00,27304895221,1551959,457,D,17703.00,17800.00
Bagheran.Cement,20210906,17600.00,18000.00,17250.00,17703.00,18986796193,1072539,386,D,17680.00,17560.00
Bagheran.Cement,20210905,18016.00,18016.00,17446.00,17680.00,18202819284,1029557,445,D,17985.00,17520.00
Bagheran.Cement,20210904,17950.00,18016.00,17600.00,17985.00,44659239910,2483168,471,D,17492.00,18016.00
Bagheran.Cement,20210901,17400.00,17833.00,16906.00,17492.00,53808403114,3076129,548,D,17314.00,17833.00
Bagheran.Cement,20210831,17279.00,17500.00,17279.00,17314.00,28241912433,1631122,317,D,17813.00,17279.00
Bagheran.Cement,20210830,17960.00,18279.00,17215.00,17813.00,176595087918,9914059,1431,D,17747.00,17220.00
Bagheran.Cement,20210829,17747.00,17747.00,17747.00,17747.00,14053991276,791908,97,D,17231.00,17747.00
Bagheran.Cement,20210828,17232.00,17232.00,17232.00,17231.00,10281490032,596651,61,D,16731.00,17232.00
Bagheran.Cement,20210825,16731.00,16731.00,16731.00,16731.00,11545661556,690076,65,D,15935.00,16731.00
Bagheran.Cement,20210824,15935.00,15935.00,15935.00,15935.00,11725084545,735807,49,D,15471.00,15935.00
Bagheran.Cement,20210823,15471.00,15471.00,15471.00,15471.00,16737750009,1081879,59,D,15021.00,15471.00
Bagheran.Cement,20210822,15000.00,15069.00,14700.00,15021.00,30957440963,2060944,268,D,14631.00,15069.00
Bagheran.Cement,20210815,14320.00,14912.00,14320.00,14631.00,24151997315,1650737,390,D,14757.00,14700.00
Bagheran.Cement,20210814,15000.00,15000.00,14300.00,14757.00,19122310255,1295835,259,D,14702.00,14502.00
Bagheran.Cement,20210811,15367.00,15367.00,14532.00,14702.00,22779731340,1549399,393,D,14981.00,14870.00
Bagheran.Cement,20210810,15000.00,15080.00,14650.00,14981.00,24950112403,1665453,281,D,14647.00,14945.00
Bagheran.Cement,20210809,14080.00,14752.00,14080.00,14647.00,40180801099,2743263,346,D,14323.00,14752.00
Bagheran.Cement,20210808,14100.00,14670.00,14100.00,14323.00,11520485273,804319,264,D,14281.00,14120.00
Bagheran.Cement,20210807,14550.00,14960.00,14201.00,14281.00,40596502753,2842643,340,D,14535.00,14349.00
Bagheran.Cement,20210804,14092.00,14942.00,14092.00,14535.00,33620072502,2313103,383,D,14507.00,14450.00
Bagheran.Cement,20210803,14473.00,14986.00,14473.00,14507.00,17104906899,1179061,263,D,14920.00,14500.00
Bagheran.Cement,20210802,15351.00,15351.00,14893.00,14920.00,18866732370,1264491,195,D,15353.00,14893.00
Bagheran.Cement,20210801,15570.00,15766.00,15334.00,15353.00,20779788707,1353477,232,D,15808.00,15334.00
Bagheran.Cement,20210731,15700.00,16070.00,15510.00,15808.00,16682549605,1055349,271,D,15894.00,15600.00
Bagheran.Cement,20210728,15600.00,16036.00,15200.00,15894.00,42078961152,2647543,345,D,15569.00,15700.00
Bagheran.Cement,20210727,16100.00,16100.00,15393.00,15569.00,35745201915,2295882,300,D,15869.00,15400.00
Bagheran.Cement,20210726,16000.00,16000.00,15518.00,15869.00,2963445221,190268,63,D,15997.00,15600.00
Bagheran.Cement,20210714,16000.00,16299.00,15785.00,15997.00,35996343463,2250150,365,D,16223.00,15801.00
Bagheran.Cement,20210713,15750.00,16400.00,15741.00,16223.00,8708171727,536807,173,D,16225.00,16150.00
Bagheran.Cement,20210712,16448.00,16448.00,15969.00,16225.00,19812920641,1221143,402,D,15969.00,15969.00
Bagheran.Cement,20210711,15550.00,15996.00,15500.00,15969.00,41694372239,2611033,173,D,15531.00,15996.00
Bagheran.Cement,20210710,15377.00,16080.00,15377.00,15531.00,66363447055,4272943,443,D,15852.00,15852.00
Bagheran.Cement,20210707,16387.00,16387.00,15700.00,15852.00,24297026784,1532788,319,D,16148.00,15700.00
Bagheran.Cement,20210706,16200.00,16370.00,15630.00,16148.00,9259102535,572229,212,D,15910.00,16290.00
Bagheran.Cement,20210705,15340.00,16276.00,15340.00,15910.00,18065363593,1135484,241,D,15814.00,16013.00
Bagheran.Cement,20210704,15415.00,15850.00,15415.00,15814.00,3694190862,234467,133,D,15847.00,15850.00
Bagheran.Cement,20210703,15418.00,15852.00,15418.00,15847.00,44684968960,2819747,378,D,15391.00,15651.00
Bagheran.Cement,20210630,15399.00,15418.00,14854.00,15391.00,26665279413,1732504,358,D,14969.00,15418.00
Bagheran.Cement,20210629,14610.00,15294.00,14610.00,14969.00,6326044062,421006,173,D,14878.00,15220.00
Bagheran.Cement,20210628,15000.00,15194.00,14800.00,14878.00,10925779924,734344,182,D,15157.00,14999.00
Bagheran.Cement,20210627,14707.00,15489.00,14707.00,15157.00,12927289003,852874,253,D,15038.00,15150.00
Bagheran.Cement,20210626,14800.00,15046.00,14608.00,15038.00,14429973801,959558,202,D,14608.00,15046.00
Bagheran.Cement,20210623,14700.00,14750.00,14300.00,14608.00,12395596323,848539,233,D,14326.00,14750.00
Bagheran.Cement,20210622,14040.00,14649.00,14040.00,14326.00,4806718258,332989,153,D,14225.00,14235.00
Bagheran.Cement,20210621,14305.00,14500.00,14134.00,14225.00,8856378273,624243,207,D,14571.00,14410.00
Bagheran.Cement,20210620,14300.00,14959.00,14300.00,14571.00,4514669094,311852,133,D,14649.00,14400.00
Bagheran.Cement,20210619,14750.00,14890.00,14200.00,14649.00,10348379341,706431,228,D,14465.00,14310.00
Bagheran.Cement,20210616,13939.00,14800.00,13939.00,14465.00,6287784289,433094,196,D,14370.00,14700.00
Bagheran.Cement,20210615,14310.00,14800.00,13976.00,14370.00,1793385837,126254,58,D,14408.00,13976.00
Bagheran.Cement,20210612,15115.00,15119.00,14304.00,14408.00,11867976243,823729,133,D,14746.00,14445.00
Bagheran.Cement,20210609,14800.00,15009.00,14589.00,14746.00,11439579237,775769,180,D,15040.00,14600.00
Bagheran.Cement,20210608,14952.00,15390.00,14602.00,15040.00,8485511037,563451,198,D,14949.00,14710.00
Bagheran.Cement,20210607,14950.00,14950.00,14550.00,14949.00,15936295046,1066042,235,D,14515.00,14950.00
Bagheran.Cement,20210602,14500.00,14618.00,13771.00,14515.00,11895593743,819551,162,D,14193.00,14618.00
Bagheran.Cement,20210601,14500.00,14500.00,13780.00,14193.00,4215353876,296516,123,D,14178.00,14066.00
Bagheran.Cement,20210531,14399.00,14728.00,13876.00,14178.00,16904464971,1192279,267,D,14305.00,13890.00
Bagheran.Cement,20210530,14305.00,14305.00,14305.00,14305.00,12213780660,853812,133,D,13889.00,14305.00
Bagheran.Cement,20210529,13850.00,13922.00,13300.00,13889.00,20896970438,1504587,201,D,13517.00,13922.00
Bagheran.Cement,20210526,13535.00,13535.00,13150.00,13517.00,9470337180,699768,163,D,13141.00,13535.00
Bagheran.Cement,20210523,13131.00,13437.00,13131.00,13141.00,36394929983,2769670,203,D,13537.00,13131.00
Bagheran.Cement,20210522,13300.00,13999.00,13288.00,13537.00,3952658383,297156,45,D,13698.00,13288.00
Bagheran.Cement,20210519,13664.00,14350.00,13662.00,13698.00,24101906875,1759579,272,D,14381.00,13662.00
Bagheran.Cement,20210518,14380.00,14725.00,14380.00,14381.00,17732551635,1233069,168,D,14824.00,14380.00
Bagheran.Cement,20210517,14735.00,15225.00,14734.00,14824.00,7839057034,531799,130,D,15189.00,14734.00
Bagheran.Cement,20210516,15000.00,15770.00,14857.00,15189.00,41317028571,2720135,393,D,15316.00,14857.00
Bagheran.Cement,20210515,14910.00,15508.00,14910.00,15316.00,11427892908,746119,240,D,15319.00,15101.00
Bagheran.Cement,20210512,15000.00,15615.00,15000.00,15319.00,9738168358,635122,262,D,15304.00,15320.00
Bagheran.Cement,20210511,15282.00,15615.00,15282.00,15304.00,33409799390,2183138,516,D,15918.00,15320.00
Bagheran.Cement,20210510,15604.00,15604.00,15604.00,15918.00,244249412,15653,6,D,15922.00,15604.00
Bagheran.Cement,20210509,15604.00,15604.00,15604.00,15922.00,29881660,1915,1,D,15922.00,15604.00
Bagheran.Cement,20210508,15604.00,15604.00,15604.00,15922.00,5024488,322,1,D,15922.00,15604.00
Bagheran.Cement,20210505,15296.00,15296.00,15296.00,15922.00,334416448,21863,25,D,15933.00,15296.00
Bagheran.Cement,20210503,15615.00,15615.00,15615.00,15933.00,25499295,1633,3,D,15933.00,15615.00
Bagheran.Cement,20210502,15618.00,15618.00,15618.00,15933.00,187416000,12000,4,D,15936.00,15618.00
Bagheran.Cement,20210501,15650.00,16240.00,15649.00,15936.00,2121954040,135385,50,D,15968.00,15649.00
Bagheran.Cement,20210428,15610.00,16402.00,15607.00,15968.00,11018648470,688659,325,D,15925.00,15852.00
Bagheran.Cement,20210427,15892.00,16368.00,15892.00,15925.00,35962407038,2258263,342,D,16554.00,16000.00
Bagheran.Cement,20210426,16226.00,16226.00,16226.00,16554.00,160540044,9894,7,D,16557.00,16226.00
Bagheran.Cement,20210425,16229.00,16229.00,16229.00,16557.00,168603081,10389,7,D,16560.00,16229.00
Bagheran.Cement,20210424,16399.00,16600.00,16399.00,16560.00,10153991523,619169,190,D,16733.00,16399.00
Bagheran.Cement,20210418,16403.00,16403.00,16403.00,16733.00,238040336,14512,11,D,16737.00,16403.00
Bagheran.Cement,20210417,16434.00,16434.00,16434.00,16737.00,1893919896,115244,38,D,16769.00,16434.00
Bagheran.Cement,20210414,16710.00,17200.00,16577.00,16769.00,25347786062,1511628,354,D,16915.00,16577.00
Bagheran.Cement,20210413,16700.00,17450.00,16612.00,16915.00,42335261089,2502857,633,D,16946.00,17000.00
Bagheran.Cement,20210412,16919.00,17600.00,16919.00,16946.00,62853516443,3709108,833,D,17623.00,17000.00
Bagheran.Cement,20210411,17274.00,17274.00,17274.00,17623.00,154515930,8945,12,D,17626.00,17274.00
Bagheran.Cement,20210410,17348.00,17348.00,17348.00,17626.00,4231350680,243910,40,D,17702.00,17348.00
Bagheran.Cement,20210407,17703.00,17990.00,17701.00,17702.00,18419555267,1040531,128,D,18062.00,17701.00
Bagheran.Cement,20210406,18040.00,18748.00,18040.00,18062.00,50389101902,2789815,475,D,18791.00,18040.00
Bagheran.Cement,20210405,18748.00,19199.00,18748.00,18791.00,32399678165,1724234,525,D,19130.00,18748.00
Bagheran.Cement,20210404,18806.00,18806.00,18806.00,19130.00,2968884414,157869,33,D,19189.00,18806.00
Bagheran.Cement,20210403,19700.00,19700.00,19142.00,19189.00,17660116540,922161,213,D,19532.00,19142.00
Bagheran.Cement,20210331,18701.00,19556.00,18701.00,19532.00,111177848202,5692211,1023,D,18987.00,19556.00
Bagheran.Cement,20210330,19000.00,19000.00,19000.00,18987.00,1690069000,88951,17,D,18986.00,19000.00
Bagheran.Cement,20210309,18800.00,19300.00,18661.00,18986.00,39735350803,2092863,721,D,19041.00,19110.00
Bagheran.Cement,20210308,18722.00,19600.00,18722.00,19041.00,55901304576,2935899,938,D,19104.00,18850.00
Bagheran.Cement,20210307,18838.00,18838.00,18838.00,19104.00,5991086816,318032,54,D,19222.00,18838.00
Bagheran.Cement,20210306,19200.00,19588.00,19012.00,19222.00,15899694408,829030,278,D,19399.00,19012.00
Bagheran.Cement,20210303,19000.00,19478.00,19000.00,19399.00,57218705389,2949540,997,D,18911.00,19390.00
Bagheran.Cement,20210302,18500.00,18921.00,18500.00,18911.00,55927878095,2957390,696,D,18370.00,18921.00
Bagheran.Cement,20210301,17758.00,18663.00,17758.00,18370.00,47572006832,2589618,867,D,18120.00,18468.00
Bagheran.Cement,20210228,18059.00,18600.00,18059.00,18120.00,47178019350,2603637,469,D,18427.00,18059.00
Bagheran.Cement,20210224,18450.00,18700.00,18407.00,18427.00,22746104409,1234402,410,D,18782.00,18407.00
Bagheran.Cement,20210223,18744.00,19180.00,18744.00,18782.00,69066995374,3677302,936,D,19126.00,18752.00
Bagheran.Cement,20210222,19078.00,19859.00,19078.00,19126.00,81095904159,4239996,919,D,19467.00,19078.00
Bagheran.Cement,20210221,19249.00,19644.00,19249.00,19467.00,9265614739,480941,206,D,19641.00,19249.00
Bagheran.Cement,20210220,19859.00,19859.00,19000.00,19641.00,107291406934,5462743,1552,D,19281.00,19340.00
Bagheran.Cement,20210217,18595.00,19540.00,18592.00,19281.00,119065860485,6175420,1443,D,18971.00,19540.00
Bagheran.Cement,20210216,18884.00,19640.00,18884.00,18971.00,124759181218,6576367,1779,D,19269.00,18886.00
Bagheran.Cement,20210215,19403.00,19403.00,18500.00,19269.00,217952707711,11310962,1955,D,18838.00,18800.00
Bagheran.Cement,20210214,18780.00,18906.00,18000.00,18838.00,62556986438,3320859,558,D,18356.00,18906.00
Bagheran.Cement,20210213,18240.00,18568.00,17668.00,18356.00,217974158574,11875022,1842,D,18028.00,18568.00
Bagheran.Cement,20210209,18029.00,18029.00,17686.00,18028.00,231222677217,12825514,1065,D,17171.00,18029.00
Bagheran.Cement,20210208,17431.00,17431.00,17431.00,17171.00,10528655189,604019,139,D,16924.00,17431.00
Bagheran.Cement,20210207,16924.00,16924.00,16924.00,16924.00,26632486448,1573652,134,D,16432.00,16924.00
Bagheran.Cement,20210206,16642.00,16642.00,16642.00,16432.00,11676509818,701629,136,D,16158.00,16642.00
Bagheran.Cement,20210203,16519.00,16519.00,16519.00,16158.00,11101726102,672058,159,D,15733.00,16519.00
Bagheran.Cement,20210202,16074.00,16074.00,16074.00,15733.00,5428800612,337738,123,D,15606.00,16074.00
Bagheran.Cement,20210201,14970.00,15888.00,14964.00,15606.00,47841017302,3065518,489,D,15426.00,15888.00
Bagheran.Cement,20210131,15610.00,16090.00,15337.00,15426.00,80166688422,5196790,964,D,15811.00,15390.00
Bagheran.Cement,20210130,16300.00,16563.00,15599.00,15811.00,118477318016,7493416,1480,D,16081.00,15900.00
Bagheran.Cement,20210127,15644.00,16500.00,15644.00,16081.00,101166381947,6291037,1712,D,16127.00,16300.00
Bagheran.Cement,20210126,16099.00,16590.00,16099.00,16127.00,22219273558,1377790,279,D,16596.00,16099.00
Bagheran.Cement,20210125,16590.00,17000.00,16590.00,16596.00,37849337050,2280697,483,D,17103.00,16590.00
Bagheran.Cement,20210124,16750.00,17738.00,16706.00,17103.00,155548771109,9094835,1696,D,17222.00,16775.00
Bagheran.Cement,20210123,16982.00,17900.00,16982.00,17222.00,131078522573,7611097,2025,D,17507.00,17022.00
Bagheran.Cement,20210120,17442.00,17916.00,17442.00,17507.00,147032525633,8398733,1263,D,18359.00,17442.00
Bagheran.Cement,20210119,17916.00,17916.00,17916.00,18359.00,3831247020,213845,58,D,18470.00,17916.00
Bagheran.Cement,20210118,17931.00,17931.00,17931.00,18470.00,517094178,28838,19,D,18485.00,17931.00
Bagheran.Cement,20210116,18240.00,18240.00,18240.00,18485.00,10966179840,601216,118,D,18804.00,18240.00
Bagheran.Cement,20210113,18510.00,19051.00,17943.00,18804.00,233428522055,12414038,3133,D,18497.00,18560.00
Bagheran.Cement,20210112,18516.00,18516.00,17450.00,18497.00,299810823107,16208308,1977,D,17977.00,18515.00
Bagheran.Cement,20210111,17977.00,17977.00,17977.00,17977.00,22511392641,1252233,208,D,17454.00,17977.00
Bagheran.Cement,20210110,17467.00,17467.00,16959.00,17454.00,55403795772,3174190,895,D,16959.00,17467.00
Bagheran.Cement,20210109,16738.00,17499.00,16738.00,16959.00,95507997132,5631565,1158,D,17255.00,17240.00
Bagheran.Cement,20210106,17010.00,17010.00,17010.00,17255.00,9880479630,580863,174,D,17536.00,17010.00
Bagheran.Cement,20210105,17502.00,17958.00,17499.00,17536.00,41100738700,2343852,592,D,18040.00,17499.00
Bagheran.Cement,20210104,17577.00,18650.00,17577.00,18040.00,185043168162,10257629,3156,D,18120.00,17600.00
Bagheran.Cement,20210103,17958.00,17958.00,17958.00,18120.00,13830012498,770131,72,D,18513.00,17958.00
Bagheran.Cement,20210102,18964.00,18964.00,17860.00,18513.00,45712103985,2469197,574,D,18412.00,17860.00
Bagheran.Cement,20201230,18412.00,18412.00,18412.00,18412.00,28540625320,1550110,282,D,17876.00,18412.00
Bagheran.Cement,20201229,17876.00,17876.00,17876.00,17876.00,68740334648,3845398,522,D,17356.00,17876.00
Bagheran.Cement,20201228,17000.00,17510.00,17000.00,17356.00,38535593030,2220301,217,D,15932.00,17510.00
Bagheran.Cement,20201214,16470.00,16470.00,15897.00,15932.00,48928962741,3071057,741,D,16388.00,15897.00
Bagheran.Cement,20201213,16707.00,16707.00,15735.00,16388.00,70391520496,4295336,1185,D,16221.00,16027.00
Bagheran.Cement,20201212,16243.00,16243.00,15579.00,16221.00,44545920184,2746271,651,D,15470.00,16243.00
Bagheran.Cement,20201209,15579.00,15579.00,15300.00,15470.00,16994659670,1092284,411,D,15126.00,15579.00
Bagheran.Cement,20201208,15262.00,15282.00,14392.00,15126.00,41186504054,2722832,579,D,14837.00,15282.00
Bagheran.Cement,20201207,14520.00,14870.00,14400.00,14837.00,48428492281,3264077,698,D,14437.00,14870.00
