<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Namavaran.Co.,20210921,13005.00,13005.00,13005.00,13231.00,4167166140,320428,25,D,13407.00,13005.00
Namavaran.Co.,20210920,13193.00,13193.00,13193.00,13407.00,4579659704,347128,14,D,13601.00,13193.00
Namavaran.Co.,20210919,13193.00,13193.00,13193.00,13601.00,5079305,385,1,D,13601.00,13193.00
Namavaran.Co.,20210918,13008.00,13008.00,13008.00,13601.00,1266784080,97385,51,D,13692.00,13008.00
Namavaran.Co.,20210915,13292.00,13292.00,13292.00,13692.00,259419964,19517,11,D,13703.00,13292.00
Namavaran.Co.,20210914,13311.00,13311.00,13311.00,13703.00,447369399,33609,27,D,13722.00,13311.00
Namavaran.Co.,20210913,13317.00,13317.00,13317.00,13722.00,130506600,9800,11,D,13728.00,13317.00
Namavaran.Co.,20210912,13234.00,13234.00,13234.00,13728.00,2746835806,207559,79,D,13930.00,13234.00
Namavaran.Co.,20210911,13583.00,13583.00,13583.00,13930.00,1688258236,124292,90,D,14003.00,13583.00
Namavaran.Co.,20210908,13776.00,13776.00,13776.00,14003.00,4178288352,303302,121,D,14202.00,13776.00
Namavaran.Co.,20210907,14240.00,14646.00,14111.00,14202.00,76237442995,5368159,1678,D,14547.00,14111.00
Namavaran.Co.,20210906,14436.00,14905.00,14436.00,14547.00,737025193604,50665512,11043,D,15195.00,14436.00
Namavaran.Co.,20210905,14868.00,14868.00,14868.00,15195.00,2788612344,187558,32,D,15327.00,14868.00
Namavaran.Co.,20210904,14905.00,14905.00,14905.00,15327.00,791872840,53128,28,D,15365.00,14905.00
Namavaran.Co.,20210901,15365.00,15365.00,15365.00,15365.00,29427478220,1915228,262,D,15840.00,15365.00
Namavaran.Co.,20210831,15066.00,15066.00,15066.00,15840.00,204927732,13602,14,D,15858.00,15066.00
Namavaran.Co.,20210830,15392.00,15392.00,15392.00,15858.00,198064256,12868,8,D,15868.00,15392.00
Namavaran.Co.,20210829,15692.00,15692.00,15692.00,15868.00,6102697260,388905,113,D,16177.00,15692.00
Namavaran.Co.,20210828,15868.00,15868.00,15868.00,16177.00,3576631332,225399,125,D,16358.00,15868.00
Namavaran.Co.,20210825,15558.00,15558.00,15558.00,16358.00,204120960,13120,15,D,16376.00,15558.00
Namavaran.Co.,20210824,15894.00,15894.00,15894.00,16376.00,173228706,10899,13,D,16385.00,15894.00
Namavaran.Co.,20210822,15896.00,15896.00,15896.00,16385.00,45621520,2870,6,D,16387.00,15896.00
Namavaran.Co.,20210815,15572.00,15572.00,15572.00,16387.00,46155408,2964,3,D,16391.00,15572.00
Namavaran.Co.,20210814,15903.00,15903.00,15903.00,16391.00,66681279,4193,4,D,16394.00,15903.00
Namavaran.Co.,20210811,15905.00,15905.00,15905.00,16394.00,47555950,2990,6,D,16396.00,15905.00
Namavaran.Co.,20210810,15994.00,15994.00,15994.00,16396.00,1802939644,112726,12,D,16488.00,15994.00
Namavaran.Co.,20210809,15768.00,15768.00,15768.00,16488.00,1253839824,79518,8,D,16597.00,15768.00
Namavaran.Co.,20210807,16101.00,16101.00,16101.00,16597.00,17067060,1060,2,D,16598.00,16101.00
Namavaran.Co.,20210802,15769.00,15769.00,15769.00,16598.00,5156463,327,1,D,16598.00,15769.00
Namavaran.Co.,20210731,16101.00,16101.00,16101.00,16598.00,5973471,371,1,D,16598.00,16101.00
Namavaran.Co.,20210728,16102.00,16102.00,16102.00,16598.00,9983240,620,1,D,16599.00,16102.00
Namavaran.Co.,20210727,16103.00,16103.00,16103.00,16599.00,48309000,3000,4,D,16601.00,16103.00
Namavaran.Co.,20210718,15773.00,15773.00,15773.00,16601.00,20820360,1320,2,D,16603.00,15773.00
Namavaran.Co.,20210717,16106.00,16106.00,16106.00,16603.00,10227310,635,2,D,16604.00,16106.00
Namavaran.Co.,20210714,16107.00,16107.00,16107.00,16604.00,10292373,639,2,D,16605.00,16107.00
Namavaran.Co.,20210713,16127.00,16127.00,16127.00,16605.00,396885470,24610,14,D,16625.00,16127.00
Namavaran.Co.,20210712,15797.00,15797.00,15797.00,16625.00,29224450,1850,2,D,16628.00,15797.00
Namavaran.Co.,20210711,16130.00,16130.00,16130.00,16628.00,7258500,450,1,D,16628.00,16130.00
Namavaran.Co.,20210710,16132.00,16132.00,16132.00,16628.00,29537692,1831,2,D,16630.00,16132.00
Namavaran.Co.,20210707,16133.00,16133.00,16133.00,16630.00,19359600,1200,1,D,16631.00,16133.00
Namavaran.Co.,20210706,15802.00,15802.00,15802.00,16631.00,25283200,1600,2,D,16633.00,15802.00
Namavaran.Co.,20210705,16135.00,16135.00,16135.00,16633.00,5066390,314,1,D,16633.00,16135.00
Namavaran.Co.,20210630,15814.00,15814.00,15814.00,16633.00,153648824,9716,5,D,16646.00,15814.00
Namavaran.Co.,20210627,16148.00,16148.00,16148.00,16646.00,24189704,1498,2,D,16647.00,16148.00
Namavaran.Co.,20210623,15815.00,15815.00,15815.00,16647.00,5187320,328,1,D,16647.00,15815.00
Namavaran.Co.,20210622,16148.00,16148.00,16148.00,16647.00,5651800,350,1,D,16647.00,16148.00
Namavaran.Co.,20210621,16153.00,16153.00,16153.00,16647.00,101424687,6279,1,D,16652.00,16153.00
Namavaran.Co.,20210607,16153.00,16153.00,16153.00,16652.00,5492020,340,1,D,16652.00,16153.00
Namavaran.Co.,20210602,16153.00,16153.00,16153.00,16652.00,5217419,323,1,D,16652.00,16153.00
Namavaran.Co.,20210601,16154.00,16154.00,16154.00,16652.00,22938680,1420,2,D,16653.00,16154.00
Namavaran.Co.,20210516,15825.00,15825.00,15825.00,16653.00,42774975,2703,4,D,16657.00,15825.00
Namavaran.Co.,20210512,16324.00,16324.00,16324.00,16657.00,5011468,307,1,D,16657.00,16324.00
Namavaran.Co.,20210511,16324.00,16324.00,16324.00,16657.00,5386920,330,1,D,16657.00,16324.00
Namavaran.Co.,20210509,16324.00,16324.00,16324.00,16657.00,16324000,1000,1,D,16657.00,16324.00
Namavaran.Co.,20210505,16324.00,16324.00,16324.00,16657.00,5060440,310,1,D,16657.00,16324.00
Namavaran.Co.,20210427,16325.00,16325.00,16325.00,16657.00,29891075,1831,1,D,16658.00,16325.00
Namavaran.Co.,20210421,16325.00,16325.00,16325.00,16658.00,10643900,652,2,D,16658.00,16325.00
Namavaran.Co.,20210417,16326.00,16326.00,16326.00,16658.00,60471504,3704,1,D,16659.00,16326.00
Namavaran.Co.,20210413,16326.00,16326.00,16326.00,16659.00,5061060,310,1,D,16659.00,16326.00
Namavaran.Co.,20210411,15995.00,15995.00,15995.00,16659.00,53023425,3315,2,D,16661.00,15995.00
Namavaran.Co.,20210410,16337.00,16337.00,16337.00,16661.00,530952500,32500,1,D,16670.00,16337.00
Namavaran.Co.,20210407,16338.00,16338.00,16338.00,16670.00,66332280,4060,5,D,16671.00,16338.00
Namavaran.Co.,20210406,16338.00,16338.00,16338.00,16671.00,5064780,310,1,D,16671.00,16338.00
Namavaran.Co.,20210404,16049.00,16049.00,16049.00,16671.00,1312920543,81807,10,D,16717.00,16049.00
Namavaran.Co.,20210403,16384.00,16384.00,16384.00,16717.00,39206912,2393,2,D,16718.00,16384.00
Namavaran.Co.,20210328,16058.00,16058.00,16058.00,16718.00,249461030,15535,17,D,16727.00,16058.00
Namavaran.Co.,20210327,16393.00,16393.00,16393.00,16727.00,15737280,960,2,D,16727.00,16393.00
Namavaran.Co.,20210317,16394.00,16394.00,16394.00,16727.00,51477160,3140,4,D,16728.00,16394.00
Namavaran.Co.,20210316,16395.00,16395.00,16395.00,16728.00,32412915,1977,5,D,16729.00,16395.00
Namavaran.Co.,20210315,16067.00,16067.00,16067.00,16729.00,197286693,12279,17,D,16736.00,16067.00
Namavaran.Co.,20210314,16402.00,16402.00,16402.00,16736.00,18763888,1144,3,D,16736.00,16402.00
Namavaran.Co.,20210313,16409.00,16409.00,16409.00,16736.00,402168181,24509,2,D,16743.00,16409.00
Namavaran.Co.,20210310,16410.00,16410.00,16410.00,16743.00,58567290,3569,6,D,16744.00,16410.00
Namavaran.Co.,20210309,16077.00,16077.00,16077.00,16744.00,63568458,3954,3,D,16746.00,16077.00
Namavaran.Co.,20210308,16412.00,16412.00,16412.00,16746.00,5087720,310,1,D,16746.00,16412.00
Namavaran.Co.,20210306,16413.00,16413.00,16413.00,16746.00,37241097,2269,3,D,16747.00,16413.00
Namavaran.Co.,20210303,16084.00,16084.00,16084.00,16747.00,180076464,11196,12,D,16754.00,16084.00
Namavaran.Co.,20210302,16423.00,16423.00,16423.00,16754.00,197059577,11999,3,D,16758.00,16423.00
Namavaran.Co.,20210301,16424.00,16424.00,16424.00,16758.00,46085744,2806,3,D,16759.00,16424.00
Namavaran.Co.,20210228,16434.00,16434.00,16434.00,16759.00,571163670,34755,8,D,16769.00,16434.00
Namavaran.Co.,20210227,16749.00,17084.00,16749.00,16769.00,113154089176,6747824,1336,D,17446.00,16749.00
Namavaran.Co.,20210224,17099.00,17099.00,17099.00,17446.00,78313420,4580,5,D,17447.00,17099.00
Namavaran.Co.,20210223,17101.00,17101.00,17101.00,17447.00,138176080,8080,10,D,17449.00,17101.00
Namavaran.Co.,20210222,17110.00,17110.00,17110.00,17449.00,537117120,31392,13,D,17459.00,17110.00
Namavaran.Co.,20210221,17197.00,17197.00,17197.00,17459.00,4946579474,287642,76,D,17547.00,17197.00
Namavaran.Co.,20210206,17773.00,17773.00,16739.00,17547.00,325427774975,18545936,4152,D,17256.00,17250.00
Namavaran.Co.,20210203,16135.00,17833.00,16135.00,17256.00,552931527310,32042819,5172,D,16984.00,17833.00
Namavaran.Co.,20210202,16482.00,16482.00,16482.00,16984.00,252850362,15341,13,D,16991.00,16482.00
Namavaran.Co.,20210201,16514.00,16514.00,16514.00,16991.00,1181840924,71566,34,D,17024.00,16514.00
Namavaran.Co.,20210131,16548.00,16548.00,16548.00,17024.00,1255198896,75852,53,D,17059.00,16548.00
Namavaran.Co.,20210130,17059.00,17059.00,17059.00,17059.00,29690268314,1740446,299,D,17956.00,17059.00
Namavaran.Co.,20210127,17428.00,17428.00,17428.00,17956.00,347357468,19931,24,D,17966.00,17428.00
Namavaran.Co.,20210126,17450.00,17450.00,17450.00,17966.00,785808400,45032,27,D,17989.00,17450.00
Namavaran.Co.,20210125,17482.00,17482.00,17482.00,17989.00,1134319570,64885,39,D,18022.00,17482.00
Namavaran.Co.,20210124,18022.00,18022.00,18022.00,18022.00,31624428896,1754768,420,D,18970.00,18022.00
Namavaran.Co.,20210123,18484.00,18484.00,18484.00,18970.00,2885759048,156122,96,D,19055.00,18484.00
Namavaran.Co.,20210120,18561.00,18561.00,18561.00,19055.00,2673489318,144038,73,D,19135.00,18561.00
Namavaran.Co.,20210119,18625.00,18625.00,18625.00,19135.00,2189964750,117582,83,D,19201.00,18625.00
Namavaran.Co.,20210118,18345.00,18345.00,18345.00,19201.00,2138843550,116590,55,D,19310.00,18345.00
Namavaran.Co.,20210116,18776.00,18776.00,18776.00,19310.00,1522977688,81113,39,D,19356.00,18776.00
Namavaran.Co.,20210113,18902.00,18902.00,18902.00,19356.00,4166964802,220451,126,D,19486.00,18902.00
Namavaran.Co.,20210112,20273.00,20273.00,19093.00,19486.00,135114464615,6933888,2474,D,19683.00,19093.00
Namavaran.Co.,20210111,18925.00,20095.00,18925.00,19683.00,447320272192,22726070,5236,D,19510.00,20080.00
Namavaran.Co.,20210110,19218.00,19218.00,19218.00,19510.00,9655526778,502421,243,D,19812.00,19218.00
Namavaran.Co.,20210109,19830.00,19931.00,19628.00,19812.00,15465544602,784971,318,D,20235.00,19628.00
Namavaran.Co.,20210106,20500.00,20960.00,19750.00,20235.00,253452523255,12525280,4508,D,20360.00,19750.00
Namavaran.Co.,20210105,20200.00,21890.00,20113.00,20360.00,544033053773,26720643,6739,D,21171.00,20360.00
Namavaran.Co.,20210104,21171.00,21171.00,21171.00,21171.00,22771591113,1075603,380,D,21825.00,21171.00
Namavaran.Co.,20210103,21791.00,22300.00,21791.00,21825.00,132510631644,6071374,1731,D,22464.00,21791.00
Namavaran.Co.,20210102,23600.00,23600.00,22322.00,22464.00,98235111835,4373033,1794,D,23012.00,22322.00
Namavaran.Co.,20201230,23075.00,23075.00,22403.00,23012.00,199514756847,8670168,2967,D,22403.00,23075.00
Namavaran.Co.,20201229,22500.00,22500.00,21390.00,22403.00,236170310759,10541740,3360,D,21845.00,22500.00
