<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Diox.Company,20151121,710.00,710.00,701.00,708.00,60666823,85723,3,D,704.00,701.00
Diox.Company,20151116,701.00,706.00,701.00,704.00,41703177,59277,5,D,740.00,701.00
Diox.Company,20151115,740.00,740.00,740.00,740.00,14800000,20000,2,D,758.00,740.00
Diox.Company,20151111,759.00,759.00,757.00,758.00,7580000,10000,2,D,707.00,757.00
Diox.Company,20151108,711.00,711.00,703.00,707.00,7070000,10000,2,D,713.00,703.00
Diox.Company,20151107,713.00,713.00,712.00,713.00,12420872,17431,2,D,764.00,712.00
Diox.Company,20151102,760.00,769.00,760.00,764.00,15290000,20000,3,D,740.00,769.00
Diox.Company,20151031,740.00,740.00,740.00,740.00,14800000,20000,2,D,739.00,740.00
Diox.Company,20151025,777.00,777.00,710.00,739.00,165595275,224129,8,D,777.00,750.00
Diox.Company,20151014,779.00,779.00,777.00,777.00,48201000,62000,5,D,777.00,777.00
Diox.Company,20151005,777.00,777.00,777.00,777.00,7770000,10000,2,D,779.00,777.00
Diox.Company,20151003,779.00,779.00,779.00,779.00,7790000,10000,1,D,778.00,779.00
Diox.Company,20150923,778.00,778.00,778.00,778.00,7780000,10000,1,D,777.00,778.00
Diox.Company,20150920,777.00,777.00,777.00,777.00,3885000,5000,1,D,775.00,777.00
Diox.Company,20150919,770.00,778.00,770.00,775.00,61992265,79945,5,D,810.00,777.00
Diox.Company,20150915,810.00,810.00,810.00,810.00,81000,100,1,D,810.00,810.00
Diox.Company,20150914,810.00,810.00,810.00,810.00,4050000,5000,1,D,807.00,810.00
Diox.Company,20150913,801.00,840.00,801.00,807.00,159712910,197982,7,D,867.00,810.00
Diox.Company,20150912,900.00,900.00,840.00,867.00,173014400,199660,5,D,916.00,840.00
Diox.Company,20150909,915.00,920.00,914.00,916.00,73540980,80300,6,D,831.00,916.00
Diox.Company,20150907,830.00,831.00,830.00,831.00,12460000,15000,2,D,837.00,831.00
Diox.Company,20150906,850.00,850.00,820.00,837.00,58600000,70000,10,D,805.00,830.00
Diox.Company,20150902,805.00,805.00,805.00,805.00,18274305,22701,2,D,805.00,805.00
Diox.Company,20150831,805.00,805.00,805.00,805.00,8050000,10000,1,D,807.00,805.00
Diox.Company,20150824,808.00,808.00,806.00,807.00,80730000,100000,3,D,816.00,806.00
Diox.Company,20150822,850.00,850.00,804.00,816.00,4077602,5000,3,D,859.00,804.00
Diox.Company,20150819,850.00,890.00,850.00,859.00,11170000,13000,3,D,850.00,890.00
Diox.Company,20150818,850.00,850.00,850.00,850.00,25500000,30000,3,D,848.00,850.00
Diox.Company,20150817,850.00,850.00,848.00,848.00,33940000,40000,3,D,801.00,848.00
Diox.Company,20150810,801.00,801.00,801.00,801.00,14866560,18560,2,D,800.00,801.00
Diox.Company,20150809,800.00,800.00,800.00,800.00,8800000,11000,1,D,870.00,800.00
Diox.Company,20150808,870.00,870.00,870.00,870.00,2610000,3000,1,D,879.00,870.00
Diox.Company,20150805,870.00,885.00,870.00,879.00,4572000,5200,2,D,780.00,885.00
Diox.Company,20150804,850.00,850.00,761.00,780.00,26514000,34000,4,D,858.00,761.00
Diox.Company,20150803,900.00,900.00,850.00,858.00,5150000,6000,2,D,924.00,850.00
Diox.Company,20150725,925.00,925.00,915.00,924.00,61882500,67000,4,D,1031.00,915.00
Diox.Company,20150715,1000.00,1060.00,1000.00,1031.00,26800000,26000,5,D,902.00,1000.00
Diox.Company,20150711,900.00,920.00,900.00,902.00,112810000,125000,3,D,973.00,920.00
Diox.Company,20150707,1000.00,1000.00,920.00,973.00,114800000,118000,6,D,1000.00,1000.00
Diox.Company,20150706,1000.00,1000.00,1000.00,1000.00,17000000,17000,2,D,1019.00,1000.00
Diox.Company,20150705,1022.00,1025.00,1000.00,1019.00,99826000,98000,6,D,1014.00,1000.00
Diox.Company,20150704,1030.00,1030.00,1011.00,1014.00,89042547,87777,4,D,1032.00,1011.00
Diox.Company,20150701,1050.00,1050.00,1021.00,1032.00,30965000,30000,4,D,1079.00,1021.00
Diox.Company,20150630,1060.00,1100.00,1060.00,1079.00,14132000,13100,4,D,1059.00,1100.00
Diox.Company,20150629,1059.00,1059.00,1059.00,1059.00,21180000,20000,1,D,1054.00,1059.00
Diox.Company,20150624,1070.00,1070.00,1050.00,1054.00,98510000,93500,4,D,1029.00,1060.00
Diox.Company,20150623,1050.00,1050.00,1021.00,1029.00,80558094,78277,6,D,1051.00,1021.00
Diox.Company,20150622,1053.00,1053.00,1050.00,1051.00,143928596,136924,8,D,1052.00,1050.00
Diox.Company,20150621,1052.00,1052.00,1052.00,1052.00,9598448,9124,2,D,1100.00,1052.00
Diox.Company,20150617,1100.00,1100.00,1100.00,1100.00,5500000,5000,1,D,1030.00,1100.00
Diox.Company,20150608,1030.00,1030.00,1030.00,1030.00,5100560,4952,1,D,1199.00,1030.00
Diox.Company,20150602,1199.00,1199.00,1199.00,1199.00,2398000,2000,1,D,1051.00,1199.00
