<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Ashtad.Iran,20210921,6377.00,6444.00,6377.00,6508.00,3142093285,492252,130,D,6574.00,6377.00
Ashtad.Iran,20210920,6688.00,6688.00,6554.00,6574.00,9383852740,1427407,314,D,6756.00,6554.00
Ashtad.Iran,20210919,6953.00,6954.00,6711.00,6756.00,9363389986,1386565,191,D,6918.00,6711.00
Ashtad.Iran,20210918,7062.00,7201.00,6851.00,6918.00,10057835595,1453760,242,D,7062.00,6920.00
Ashtad.Iran,20210915,7199.00,7199.00,7055.00,7062.00,17249139625,2442591,524,D,7273.00,7070.00
Ashtad.Iran,20210914,7600.00,7650.00,7009.00,7273.00,29982731223,4122529,1026,D,7308.00,7090.00
Ashtad.Iran,20210913,7273.00,7320.00,7143.00,7308.00,25370406177,3471705,420,D,7107.00,7320.00
Ashtad.Iran,20210912,7117.00,7117.00,6963.00,7107.00,61350281667,8632204,1038,D,6910.00,7117.00
Ashtad.Iran,20210911,6960.00,6966.00,6700.00,6910.00,25101309854,3632723,479,D,6764.00,6966.00
Ashtad.Iran,20210908,6729.00,7068.00,6695.00,6764.00,15520952972,2294798,518,D,6902.00,6898.00
Ashtad.Iran,20210907,7060.00,7070.00,6851.00,6902.00,18486208325,2678351,529,D,7062.00,6851.00
Ashtad.Iran,20210906,7178.00,7285.00,6950.00,7062.00,26286195585,3722020,803,D,7142.00,6950.00
Ashtad.Iran,20210905,7250.00,7262.00,7000.00,7142.00,20804741047,2912964,467,D,7147.00,7070.00
Ashtad.Iran,20210904,7200.00,7215.00,7011.00,7147.00,19922542379,2787438,415,D,7005.00,7215.00
Ashtad.Iran,20210901,6860.00,7188.00,6850.00,7005.00,11245618695,1605478,271,D,6990.00,7060.00
Ashtad.Iran,20210831,7010.00,7216.00,6952.00,6990.00,11143056879,1594130,290,D,7167.00,6952.00
Ashtad.Iran,20210830,7160.00,7362.00,7143.00,7167.00,12692720999,1771068,294,D,7363.00,7143.00
Ashtad.Iran,20210829,7567.00,7609.00,7308.00,7363.00,34010317568,4619067,757,D,7534.00,7308.00
Ashtad.Iran,20210828,7500.00,7547.00,7355.00,7534.00,28592201328,3795314,545,D,7328.00,7547.00
Ashtad.Iran,20210825,7554.00,7554.00,7150.00,7328.00,17133077421,2338083,450,D,7348.00,7333.00
Ashtad.Iran,20210824,7298.00,7369.00,7200.00,7348.00,31621013810,4303109,601,D,7155.00,7369.00
Ashtad.Iran,20210823,7212.00,7420.00,7128.00,7155.00,32256174531,4508133,829,D,7503.00,7132.00
Ashtad.Iran,20210822,7447.00,7670.00,7447.00,7503.00,39328873815,5241527,781,D,7677.00,7447.00
Ashtad.Iran,20210815,7674.00,7780.00,7674.00,7677.00,12049512100,1569544,177,D,7911.00,7674.00
Ashtad.Iran,20210814,8061.00,8210.00,7891.00,7911.00,9725643871,1229426,216,D,8135.00,7891.00
Ashtad.Iran,20210811,8060.00,8288.00,7897.00,8135.00,29340844841,3606706,714,D,8141.00,8180.00
Ashtad.Iran,20210810,7937.00,8389.00,7936.00,8141.00,22276352603,2736369,508,D,8181.00,8141.00
Ashtad.Iran,20210809,8500.00,8500.00,8046.00,8181.00,25084939546,3066095,581,D,8294.00,8107.00
Ashtad.Iran,20210808,8200.00,8590.00,8151.00,8294.00,27119501744,3269619,522,D,8403.00,8510.00
Ashtad.Iran,20210807,8243.00,8438.00,8152.00,8403.00,22474807173,2674658,445,D,8193.00,8252.00
Ashtad.Iran,20210804,8130.00,8210.00,8051.00,8193.00,23082354181,2817448,326,D,7971.00,8210.00
Ashtad.Iran,20210803,7762.00,8020.00,7762.00,7971.00,17860294775,2240792,377,D,7787.00,8020.00
Ashtad.Iran,20210802,7850.00,7959.00,7763.00,7787.00,20631430333,2649496,409,D,8003.00,7850.00
Ashtad.Iran,20210801,8152.00,8152.00,7610.00,8003.00,32093006975,4010068,736,D,7764.00,7765.00
Ashtad.Iran,20210731,7900.00,7900.00,7900.00,7764.00,4211237200,533068,49,D,7670.00,7900.00
Ashtad.Iran,20210728,7818.00,7818.00,7818.00,7670.00,3595810920,459940,90,D,7591.00,7818.00
Ashtad.Iran,20210727,7305.00,7599.00,7305.00,7591.00,32375351617,4264889,392,D,7378.00,7599.00
Ashtad.Iran,20210726,7592.00,7592.00,7346.00,7378.00,21166563576,2868701,553,D,7573.00,7388.00
Ashtad.Iran,20210719,7488.00,7592.00,7391.00,7573.00,37865245335,4999931,825,D,7231.00,7455.00
Ashtad.Iran,20210718,7350.00,7391.00,6965.00,7231.00,36533369289,5052220,948,D,7176.00,7391.00
Ashtad.Iran,20210717,7176.00,7176.00,7176.00,7176.00,10433215104,1453904,149,D,6967.00,7176.00
Ashtad.Iran,20210714,6920.00,6984.00,6785.00,6967.00,17684038522,2538102,319,D,6781.00,6984.00
Ashtad.Iran,20210713,6787.00,6966.00,6584.00,6781.00,11588537227,1708948,454,D,6787.00,6788.00
Ashtad.Iran,20210712,6770.00,6940.00,6727.00,6787.00,8205353029,1208194,393,D,6771.00,6779.00
Ashtad.Iran,20210711,6740.00,6976.00,6701.00,6771.00,10707316313,1581374,424,D,6863.00,6756.00
Ashtad.Iran,20210710,6540.00,6884.00,6540.00,6863.00,26887218397,3917963,593,D,6684.00,6884.00
Ashtad.Iran,20210707,6767.00,6850.00,6575.00,6684.00,11890170157,1778769,462,D,6760.00,6670.00
Ashtad.Iran,20210706,7070.00,7070.00,6664.00,6760.00,23888080066,3533775,702,D,6870.00,6664.00
Ashtad.Iran,20210705,6870.00,6870.00,6850.00,6870.00,15867509590,2309687,292,D,6670.00,6870.00
Ashtad.Iran,20210704,6610.00,6932.00,6559.00,6670.00,32623261634,4891042,908,D,6761.00,6900.00
Ashtad.Iran,20210703,6750.00,7170.00,6716.00,6761.00,45443783278,6721493,1202,D,7069.00,6716.00
Ashtad.Iran,20210630,7074.00,7200.00,7065.00,7069.00,9303861564,1316752,234,D,7283.00,7065.00
Ashtad.Iran,20210629,7261.00,7546.00,7252.00,7283.00,11817289836,1622524,266,D,7476.00,7252.00
Ashtad.Iran,20210628,7420.00,7780.00,7408.00,7476.00,14678187866,1963504,488,D,7637.00,7408.00
Ashtad.Iran,20210627,7801.00,7928.00,7469.00,7637.00,21743401822,2846954,783,D,7699.00,7480.00
Ashtad.Iran,20210626,7680.00,7720.00,7550.00,7699.00,38341578726,4980363,714,D,7496.00,7720.00
Ashtad.Iran,20210623,7395.00,7840.00,7395.00,7496.00,63164520374,8425877,1219,D,7623.00,7474.00
Ashtad.Iran,20210622,7410.00,7410.00,7410.00,7623.00,616022940,83134,20,D,7639.00,7410.00
Ashtad.Iran,20210621,7426.00,7426.00,7426.00,7639.00,613097986,82561,19,D,7655.00,7426.00
