<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Foolad.Afza,20210921,49399.00,49399.00,46859.00,47375.00,75750941799,1598970,713,D,48308.00,48320.00
Foolad.Afza,20210920,47550.00,49900.00,47550.00,48308.00,27748491420,574407,500,D,48698.00,47566.00
Foolad.Afza,20210919,48962.00,51099.00,48552.00,48698.00,30536040524,627052,480,D,50053.00,48552.00
Foolad.Afza,20210918,52400.00,52400.00,49929.00,50053.00,18317193089,365959,436,D,51473.00,50940.00
Foolad.Afza,20210915,51900.00,51900.00,50509.00,51473.00,15659457619,304228,433,D,50476.00,51201.00
Foolad.Afza,20210914,48000.00,50505.00,48000.00,50476.00,28169022757,558069,422,D,49034.00,50505.00
Foolad.Afza,20210913,49999.00,49999.00,47690.00,49034.00,14996273320,305832,426,D,49144.00,49700.00
Foolad.Afza,20210912,50000.00,50700.00,48738.00,49144.00,25191510541,512610,591,D,50245.00,49002.00
Foolad.Afza,20210911,50710.00,50711.00,49250.00,50245.00,57461582039,1143636,994,D,49234.00,50250.00
Foolad.Afza,20210908,49234.00,49234.00,49234.00,49234.00,17703315550,359575,324,D,47800.00,49234.00
Foolad.Afza,20210907,47310.00,47851.00,47010.00,47800.00,17457679650,365221,308,D,46458.00,47851.00
Foolad.Afza,20210906,46373.00,46494.00,45455.00,46458.00,29995008022,645636,440,D,45140.00,46494.00
Foolad.Afza,20210905,45000.00,46268.00,43770.00,45140.00,21924167399,485694,653,D,45023.00,45455.00
Foolad.Afza,20210904,46996.00,47137.00,44423.00,45023.00,12583530462,279494,368,D,45783.00,44750.00
Foolad.Afza,20210901,44982.00,46206.00,44252.00,45783.00,15410248670,336594,331,D,44861.00,46000.00
Foolad.Afza,20210831,44642.00,46669.00,44559.00,44861.00,11488111403,256083,244,D,45937.00,44559.00
Foolad.Afza,20210830,48200.00,48200.00,45714.00,45937.00,12497134816,272049,284,D,47127.00,45720.00
Foolad.Afza,20210829,47800.00,48500.00,45780.00,47127.00,25701854129,545372,694,D,47192.00,47300.00
Foolad.Afza,20210828,48025.00,48025.00,46700.00,47192.00,12695019165,269008,328,D,46627.00,46850.00
Foolad.Afza,20210825,46340.00,46965.00,45144.00,46627.00,20251551585,434327,379,D,45598.00,46965.00
Foolad.Afza,20210824,45461.00,45801.00,44380.00,45598.00,15614926992,342448,412,D,44467.00,45801.00
Foolad.Afza,20210823,44472.00,44472.00,44100.00,44467.00,12803577238,287936,261,D,43177.00,44472.00
Foolad.Afza,20210822,44167.00,44800.00,42843.00,43177.00,20316204268,470529,481,D,44168.00,43898.00
Foolad.Afza,20210815,45310.00,45739.00,43951.00,44168.00,27257151580,617124,657,D,45310.00,44444.00
Foolad.Afza,20210814,46000.00,46300.00,45000.00,45310.00,10398441543,229493,284,D,45052.00,45815.00
Foolad.Afza,20210811,43800.00,46427.00,43800.00,45052.00,18560381095,411978,488,D,45077.00,45740.00
Foolad.Afza,20210810,44397.00,45170.00,44397.00,45077.00,13302353802,295100,277,D,43855.00,45170.00
Foolad.Afza,20210809,43110.00,44279.00,43100.00,43855.00,13915006167,317298,240,D,42990.00,44279.00
Foolad.Afza,20210808,43578.00,43578.00,42010.00,42990.00,12677672108,294897,312,D,42925.00,42930.00
Foolad.Afza,20210807,43510.00,43527.00,41507.00,42925.00,13791450899,321290,316,D,42790.00,43480.00
Foolad.Afza,20210804,43523.00,43523.00,42800.00,42790.00,7024673771,163315,210,D,42260.00,43000.00
Foolad.Afza,20210803,40728.00,42812.00,40320.00,42260.00,18691210921,442294,441,D,41566.00,42812.00
Foolad.Afza,20210802,42000.00,43490.00,41440.00,41566.00,9982950960,240170,211,D,42721.00,41440.00
Foolad.Afza,20210801,42310.00,44372.00,42289.00,42721.00,9300320161,217984,305,D,43596.00,42293.00
Foolad.Afza,20210731,43841.00,44397.00,43310.00,43596.00,6772139429,154466,263,D,43104.00,43654.00
Foolad.Afza,20210728,43245.00,43246.00,42030.00,43104.00,13928653431,323143,397,D,41987.00,43246.00
Foolad.Afza,20210727,42268.00,42269.00,40300.00,41987.00,20008686073,476546,450,D,41038.00,41535.00
Foolad.Afza,20210726,41038.00,41038.00,40711.00,41038.00,13773085634,335620,182,D,39843.00,41038.00
Foolad.Afza,20210719,38352.00,40697.00,38327.00,39843.00,27819765282,698229,421,D,39512.00,40697.00
Foolad.Afza,20210718,40040.00,40040.00,38955.00,39512.00,5645454060,144577,186,D,40159.00,38955.00
Foolad.Afza,20210717,41488.00,41488.00,39080.00,40159.00,7021931992,175086,299,D,40287.00,40579.00
Foolad.Afza,20210712,40860.00,41550.00,40086.00,40287.00,18315349679,454623,455,D,41325.00,40600.00
Foolad.Afza,20210711,43498.00,43591.00,39443.00,41325.00,15124236466,365987,423,D,41518.00,40501.00
Foolad.Afza,20210710,41700.00,41705.00,40555.00,41518.00,8998163402,215965,237,D,40491.00,41705.00
Foolad.Afza,20210707,39752.00,40555.00,38210.00,40491.00,11432276839,282339,244,D,39374.00,40555.00
