<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Ahwaz.Rolling.Co,20210921,5939.00,5939.00,5939.00,5896.00,8399474249,1414291,128,D,5823.00,5939.00
Ahwaz.Rolling.Co,20210920,5730.00,5962.00,5730.00,5823.00,53114673166,9120749,619,D,5846.00,5962.00
Ahwaz.Rolling.Co,20210919,5799.00,5799.00,5799.00,5846.00,10537658649,1817151,188,D,6040.00,5799.00
Ahwaz.Rolling.Co,20210918,6004.00,6004.00,6004.00,6040.00,9547440720,1590180,113,D,6126.00,6004.00
Ahwaz.Rolling.Co,20210915,6028.00,6028.00,6028.00,6126.00,2779763976,461142,46,D,6151.00,6028.00
Ahwaz.Rolling.Co,20210914,6045.00,6045.00,6045.00,6151.00,1935826620,320236,75,D,6168.00,6045.00
Ahwaz.Rolling.Co,20210913,6117.00,6117.00,6117.00,6168.00,11072412285,1810105,164,D,6371.00,6117.00
Ahwaz.Rolling.Co,20210912,6366.00,6366.00,6366.00,6371.00,13842013956,2174366,104,D,6495.00,6366.00
Ahwaz.Rolling.Co,20210911,6455.00,6455.00,6455.00,6495.00,10180316055,1577121,167,D,6586.00,6455.00
Ahwaz.Rolling.Co,20210908,6572.00,6790.00,6572.00,6586.00,46462329757,7055069,922,D,6706.00,6572.00
Ahwaz.Rolling.Co,20210907,6600.00,6732.00,6600.00,6706.00,88724114521,13229624,603,D,7062.00,6732.00
Ahwaz.Rolling.Co,20210906,7014.00,7154.00,7014.00,7062.00,55074754617,7798904,1181,D,7084.00,7050.00
Ahwaz.Rolling.Co,20210905,7110.00,7110.00,7044.00,7084.00,53413635453,7539819,1275,D,7113.00,7102.00
Ahwaz.Rolling.Co,20210904,7118.00,7118.00,7051.00,7113.00,62797380468,8828728,1659,D,7048.00,7118.00
Ahwaz.Rolling.Co,20210901,7048.00,7048.00,7048.00,7048.00,36018564368,5110466,769,D,7191.00,7048.00
Ahwaz.Rolling.Co,20210831,7191.00,7191.00,7191.00,7191.00,50958180153,7086383,797,D,7263.00,7191.00
Ahwaz.Rolling.Co,20210830,7263.00,7263.00,7263.00,7263.00,23323366854,3211258,391,D,7336.00,7263.00
Ahwaz.Rolling.Co,20210829,7450.00,7455.00,7312.00,7336.00,45786004744,6241457,1095,D,7385.00,7312.00
Ahwaz.Rolling.Co,20210828,7499.00,7499.00,7352.00,7385.00,86715994942,11742433,2013,D,7426.00,7420.00
Ahwaz.Rolling.Co,20210825,7426.00,7440.00,7426.00,7426.00,101267191625,13636818,1690,D,7501.00,7426.00
Ahwaz.Rolling.Co,20210824,7500.00,7524.00,7380.00,7501.00,94292556298,12570070,1860,D,7450.00,7524.00
Ahwaz.Rolling.Co,20210823,7526.00,7527.00,7379.00,7450.00,101581978000,13634870,1971,D,7453.00,7500.00
Ahwaz.Rolling.Co,20210822,7385.00,7500.00,7384.00,7453.00,115307758885,15472350,2102,D,7458.00,7499.00
Ahwaz.Rolling.Co,20210815,7418.00,7540.00,7417.00,7458.00,79041267253,10598603,1515,D,7491.00,7530.00
Ahwaz.Rolling.Co,20210814,7449.00,7580.00,7449.00,7491.00,145618438565,19438400,2603,D,7524.00,7449.00
Ahwaz.Rolling.Co,20210811,7475.00,7577.00,7474.00,7524.00,112638325668,14971189,2280,D,7549.00,7474.00
Ahwaz.Rolling.Co,20210810,7545.00,7680.00,7545.00,7549.00,120451615688,15956493,2164,D,7621.00,7545.00
Ahwaz.Rolling.Co,20210809,7573.00,7600.00,7573.00,7621.00,6266393264,827450,207,D,7649.00,7573.00
Ahwaz.Rolling.Co,20210808,7658.00,7720.00,7582.00,7649.00,83587247002,10927502,1645,D,7658.00,7660.00
Ahwaz.Rolling.Co,20210807,7720.00,7720.00,7581.00,7658.00,82838353031,10817270,1597,D,7657.00,7662.00
Ahwaz.Rolling.Co,20210804,7645.00,7722.00,7570.00,7657.00,88642993641,11576013,1777,D,7646.00,7700.00
Ahwaz.Rolling.Co,20210803,7580.00,7717.00,7569.00,7646.00,66391458824,8682862,1408,D,7645.00,7699.00
Ahwaz.Rolling.Co,20210802,7712.00,7712.00,7560.00,7645.00,91994396612,12033246,2194,D,7636.00,7712.00
Ahwaz.Rolling.Co,20210801,7637.00,7637.00,7577.00,7636.00,89889542844,11772194,1899,D,7562.00,7637.00
Ahwaz.Rolling.Co,20210731,7643.00,7643.00,7493.00,7562.00,223877773915,29607320,4765,D,7568.00,7643.00
Ahwaz.Rolling.Co,20210728,7568.00,7568.00,7568.00,7568.00,45117313120,5961590,871,D,7494.00,7568.00
Ahwaz.Rolling.Co,20210727,7381.00,7529.00,7381.00,7494.00,327561441593,43709470,6666,D,7455.00,7529.00
Ahwaz.Rolling.Co,20210726,7500.00,7500.00,7425.00,7455.00,210113041584,28184568,2637,D,9078.00,7426.00
Ahwaz.Rolling.Co,20210717,8993.00,8993.00,8993.00,9078.00,1192067115,132555,33,D,9083.00,8993.00
Ahwaz.Rolling.Co,20210714,9083.00,9083.00,9083.00,9083.00,30771868799,3387853,413,D,9268.00,9083.00
Ahwaz.Rolling.Co,20210713,9178.00,9178.00,9178.00,9268.00,521420536,56812,19,D,9270.00,9178.00
Ahwaz.Rolling.Co,20210712,9179.00,9179.00,9179.00,9270.00,233779951,25469,14,D,9271.00,9179.00
Ahwaz.Rolling.Co,20210711,9180.00,9180.00,9180.00,9271.00,319124340,34763,13,D,9272.00,9180.00
Ahwaz.Rolling.Co,20210710,9272.00,9272.00,9272.00,9272.00,21192472624,2285642,294,D,9461.00,9272.00
Ahwaz.Rolling.Co,20210707,9372.00,9372.00,9372.00,9461.00,1086749004,115957,25,D,9466.00,9372.00
Ahwaz.Rolling.Co,20210706,9374.00,9374.00,9374.00,9466.00,342863424,36576,23,D,9468.00,9374.00
Ahwaz.Rolling.Co,20210705,9375.00,9375.00,9375.00,9468.00,190284375,20297,13,D,9469.00,9375.00
Ahwaz.Rolling.Co,20210704,9469.00,9469.00,9469.00,9469.00,21824880313,2304877,291,D,9662.00,9469.00
Ahwaz.Rolling.Co,20210703,9566.00,9566.00,9566.00,9662.00,108641062,11357,5,D,9662.00,9566.00
Ahwaz.Rolling.Co,20210630,9567.00,9567.00,9567.00,9662.00,206943777,21631,10,D,9663.00,9567.00
Ahwaz.Rolling.Co,20210629,9571.00,9571.00,9571.00,9663.00,895548899,93569,27,D,9667.00,9571.00
Ahwaz.Rolling.Co,20210628,9667.00,9667.00,9667.00,9667.00,22595288121,2337363,288,D,9864.00,9667.00
Ahwaz.Rolling.Co,20210627,9767.00,9767.00,9767.00,9864.00,234788913,24039,18,D,9865.00,9767.00
Ahwaz.Rolling.Co,20210626,9773.00,9773.00,9773.00,9865.00,1316442646,134702,43,D,9871.00,9773.00
Ahwaz.Rolling.Co,20210623,9778.00,9778.00,9778.00,9871.00,1039225396,106282,50,D,9876.00,9778.00
Ahwaz.Rolling.Co,20210622,9876.00,9876.00,9876.00,9876.00,28769824980,2913105,203,D,16460.00,9876.00
Ahwaz.Rolling.Co,20210123,16142.00,16142.00,16142.00,16460.00,1244871040,77120,24,D,16471.00,16142.00
Ahwaz.Rolling.Co,20210120,16146.00,16146.00,16146.00,16471.00,400743720,24820,17,D,16475.00,16146.00
Ahwaz.Rolling.Co,20210119,16149.00,16149.00,16149.00,16475.00,373655562,23138,14,D,16478.00,16149.00
Ahwaz.Rolling.Co,20210118,15837.00,15837.00,15837.00,16478.00,956982399,60427,22,D,16496.00,15837.00
Ahwaz.Rolling.Co,20210116,16178.00,16178.00,16178.00,16496.00,1362802364,84238,16,D,16508.00,16178.00
Ahwaz.Rolling.Co,20210113,16206.00,16206.00,16206.00,16508.00,3110482404,191934,31,D,16536.00,16206.00
Ahwaz.Rolling.Co,20210112,16219.00,16219.00,16219.00,16536.00,1391119849,85771,27,D,16549.00,16219.00
Ahwaz.Rolling.Co,20210111,16126.00,16126.00,16126.00,16549.00,13492495192,836692,173,D,16797.00,16126.00
Ahwaz.Rolling.Co,20210110,16521.00,16521.00,16521.00,16797.00,6734438709,407629,112,D,16858.00,16521.00
Ahwaz.Rolling.Co,20210109,16858.00,16858.00,16858.00,16858.00,51294156902,3042719,293,D,17202.00,16858.00
Ahwaz.Rolling.Co,20210106,17197.00,17500.00,17197.00,17202.00,562628054241,32706470,3741,D,17547.00,17197.00
Ahwaz.Rolling.Co,20210105,17544.00,17800.00,17544.00,17547.00,1015937613114,57898275,4119,D,18274.00,17544.00
Ahwaz.Rolling.Co,20210104,17924.00,17924.00,17924.00,18274.00,1702744152,94998,48,D,18289.00,17924.00
Ahwaz.Rolling.Co,20210103,17970.00,17970.00,17970.00,18289.00,5184668460,288518,42,D,18336.00,17970.00
Ahwaz.Rolling.Co,20210102,17985.00,17985.00,17985.00,18336.00,1783248720,99152,49,D,18352.00,17985.00
Ahwaz.Rolling.Co,20201230,17877.00,17877.00,17877.00,18352.00,14628463068,818284,213,D,18621.00,17877.00
Ahwaz.Rolling.Co,20201229,18255.00,18255.00,18255.00,18621.00,611414715,33493,23,D,18627.00,18255.00
Ahwaz.Rolling.Co,20201228,18278.00,18278.00,18278.00,18627.00,2675643308,146386,48,D,18651.00,18278.00
Ahwaz.Rolling.Co,20201227,18337.00,18337.00,18337.00,18651.00,6606894448,360304,47,D,18711.00,18337.00
Ahwaz.Rolling.Co,20201226,18037.00,18037.00,18037.00,18711.00,4187199365,232145,105,D,18788.00,18037.00
Ahwaz.Rolling.Co,20201223,18420.00,18420.00,18420.00,18788.00,722929740,39247,28,D,18795.00,18420.00
Ahwaz.Rolling.Co,20201222,18424.00,18424.00,18424.00,18795.00,511192304,27746,33,D,18800.00,18424.00
Ahwaz.Rolling.Co,20201221,18443.00,18443.00,18443.00,18800.00,2076884673,112611,17,D,18819.00,18443.00
Ahwaz.Rolling.Co,20201220,18198.00,18198.00,18198.00,18819.00,7409079126,407137,123,D,18956.00,18198.00
Ahwaz.Rolling.Co,20201219,18616.00,18616.00,18616.00,18956.00,4328350312,232507,62,D,18995.00,18616.00
Ahwaz.Rolling.Co,20201216,18623.00,18623.00,18623.00,18995.00,936736900,50300,32,D,19003.00,18623.00
Ahwaz.Rolling.Co,20201215,18628.00,18628.00,18628.00,19003.00,563031300,30225,23,D,19008.00,18628.00
Ahwaz.Rolling.Co,20201214,18309.00,18309.00,18309.00,19008.00,3438649908,187812,96,D,19071.00,18309.00
Ahwaz.Rolling.Co,20201213,18702.00,18702.00,18702.00,19071.00,1385144928,74064,57,D,19083.00,18702.00
Ahwaz.Rolling.Co,20201212,18744.00,18744.00,18744.00,19083.00,4727611680,252220,116,D,19126.00,18744.00
Ahwaz.Rolling.Co,20201209,18806.00,18806.00,18806.00,19126.00,7000458276,372246,149,D,19189.00,18806.00
Ahwaz.Rolling.Co,20201208,18668.00,18668.00,18668.00,19189.00,13906782604,744953,174,D,19445.00,18668.00
Ahwaz.Rolling.Co,20201207,19081.00,19081.00,19081.00,19445.00,2722477080,142680,47,D,19470.00,19081.00
Ahwaz.Rolling.Co,20201206,19097.00,19097.00,19097.00,19470.00,1825501327,95591,65,D,19486.00,19097.00
Ahwaz.Rolling.Co,20201205,19113.00,19113.00,19113.00,19486.00,1902699150,99550,45,D,19503.00,19113.00
Ahwaz.Rolling.Co,20201202,18833.00,18833.00,18833.00,19503.00,6199974264,329208,124,D,19617.00,18833.00
Ahwaz.Rolling.Co,20201201,19234.00,19234.00,19234.00,19617.00,1019825148,53022,42,D,19626.00,19234.00
Ahwaz.Rolling.Co,20201130,19257.00,19257.00,19257.00,19626.00,2603450115,135195,79,D,19650.00,19257.00
Ahwaz.Rolling.Co,20201129,19287.00,19287.00,19287.00,19650.00,3343710042,173366,100,D,19680.00,19287.00
Ahwaz.Rolling.Co,20201128,18946.00,18946.00,18946.00,19680.00,2964461674,156469,71,D,19735.00,18946.00
Ahwaz.Rolling.Co,20201125,19348.00,19348.00,19348.00,19735.00,830416160,42920,38,D,19742.00,19348.00
Ahwaz.Rolling.Co,20201124,19355.00,19355.00,19355.00,19742.00,929872265,48043,29,D,19750.00,19355.00
Ahwaz.Rolling.Co,20201123,19370.00,19370.00,19370.00,19750.00,1611370930,83189,26,D,19765.00,19370.00
Ahwaz.Rolling.Co,20201122,19015.00,19015.00,19015.00,19765.00,2297544420,120828,50,D,19807.00,19015.00
Ahwaz.Rolling.Co,20201121,19419.00,19419.00,19419.00,19807.00,927587373,47767,41,D,19815.00,19419.00
Ahwaz.Rolling.Co,20201118,19451.00,19451.00,19451.00,19815.00,3496764623,179773,68,D,19847.00,19451.00
Ahwaz.Rolling.Co,20201117,19462.00,19462.00,19462.00,19847.00,1305744504,67092,40,D,19859.00,19462.00
Ahwaz.Rolling.Co,20201116,19489.00,19489.00,19489.00,19859.00,3040615313,156017,73,D,19886.00,19489.00
Ahwaz.Rolling.Co,20200922,19811.00,19811.00,19811.00,19886.00,36472585897,1841027,203,D,20215.00,19811.00
Ahwaz.Rolling.Co,20200921,19660.00,19660.00,19660.00,20215.00,14315704240,728164,71,D,20479.00,19660.00
Ahwaz.Rolling.Co,20200920,20090.00,20090.00,20090.00,20479.00,2343779760,116664,41,D,20500.00,20090.00
Ahwaz.Rolling.Co,20200919,20127.00,20127.00,20127.00,20500.00,4112409021,204323,55,D,20537.00,20127.00
Ahwaz.Rolling.Co,20200916,20537.00,20537.00,20537.00,20537.00,83002441885,4041605,386,D,20956.00,20537.00
Ahwaz.Rolling.Co,20200915,20956.00,20956.00,20956.00,20956.00,215733218480,10294580,1038,D,21829.00,20956.00
Ahwaz.Rolling.Co,20200914,21487.00,21487.00,21487.00,21829.00,10600138736,493328,139,D,21925.00,21487.00
Ahwaz.Rolling.Co,20200913,21540.00,21540.00,21540.00,21925.00,6018986820,279433,84,D,21979.00,21540.00
Ahwaz.Rolling.Co,20200912,21622.00,21622.00,21622.00,21979.00,9304768236,430338,130,D,22063.00,21622.00
