<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iranian.Falat,20210921,13140.00,13295.00,12947.00,12950.00,39291709053,3034225,188,D,13347.00,13295.00
Iranian.Falat,20210920,12844.00,13638.00,12844.00,13347.00,12451228106,932856,208,D,13241.00,13140.00
Iranian.Falat,20210919,13223.00,13630.00,13221.00,13241.00,16295385156,1230700,252,D,13629.00,13221.00
Iranian.Falat,20210918,13720.00,14060.00,13529.00,13629.00,13182801454,967272,175,D,13947.00,13529.00
Iranian.Falat,20210915,14245.00,14245.00,13471.00,13947.00,20894299375,1498077,512,D,13831.00,13960.00
Iranian.Falat,20210914,13450.00,13880.00,13450.00,13831.00,11818532044,854484,194,D,13476.00,13880.00
Iranian.Falat,20210913,13890.00,13890.00,13120.00,13476.00,16265816770,1207036,321,D,13525.00,13260.00
Iranian.Falat,20210912,13800.00,13901.00,13515.00,13525.00,29555777599,2185194,286,D,13932.00,13529.00
Iranian.Falat,20210911,14000.00,14186.00,13620.00,13932.00,26367355710,1892523,517,D,13773.00,13780.00
Iranian.Falat,20210908,13540.00,13840.00,13340.00,13773.00,23416517816,1700118,642,D,13437.00,13810.00
Iranian.Falat,20210907,13256.00,13763.00,13244.00,13437.00,36830773078,2740930,706,D,13653.00,13540.00
Iranian.Falat,20210906,13770.00,13773.00,12971.00,13653.00,80941542177,5928533,820,D,13372.00,13400.00
Iranian.Falat,20210905,13447.00,13448.00,13000.00,13372.00,27188402372,2033208,436,D,13057.00,13448.00
Iranian.Falat,20210904,12600.00,13258.00,12600.00,13057.00,50840970047,3893727,554,D,12872.00,13258.00
Iranian.Falat,20210901,12780.00,13335.00,12612.00,12872.00,26209424025,2036211,615,D,13002.00,12820.00
Iranian.Falat,20210831,13040.00,13330.00,12937.00,13002.00,29456278882,2265602,480,D,13337.00,12937.00
Iranian.Falat,20210830,13343.00,13964.00,13321.00,13337.00,42604919852,3194591,595,D,13732.00,13399.00
Iranian.Falat,20210829,14390.00,14390.00,13597.00,13732.00,76050446104,5538167,1662,D,14017.00,13597.00
Iranian.Falat,20210828,14400.00,14400.00,13682.00,14017.00,92616775497,6607608,2063,D,14077.00,14018.00
Iranian.Falat,20210825,14096.00,14096.00,13701.00,14077.00,65673713751,4665199,1087,D,13686.00,14096.00
Iranian.Falat,20210824,13212.00,14280.00,13212.00,13686.00,222286644825,16242006,3475,D,13907.00,13940.00
Iranian.Falat,20210823,13679.00,13679.00,13679.00,13907.00,4436195453,324307,37,D,14102.00,13679.00
Iranian.Falat,20210822,13811.00,13811.00,13811.00,14102.00,3090017896,223736,26,D,14238.00,13811.00
Iranian.Falat,20210815,13880.00,13880.00,13880.00,14238.00,1592730000,114750,16,D,14309.00,13880.00
Iranian.Falat,20210814,13756.00,13756.00,13756.00,14309.00,2232117340,162265,27,D,14479.00,13756.00
Iranian.Falat,20210811,14061.00,14061.00,14061.00,14479.00,349528338,24858,8,D,14495.00,14061.00
Iranian.Falat,20210810,14068.00,14068.00,14068.00,14495.00,176539332,12549,6,D,14503.00,14068.00
Iranian.Falat,20210809,14076.00,14076.00,14076.00,14503.00,185352768,13168,9,D,14511.00,14076.00
Iranian.Falat,20210808,13904.00,13904.00,13904.00,14511.00,1605800768,115492,12,D,14635.00,13904.00
Iranian.Falat,20210807,14197.00,14197.00,14197.00,14635.00,14197000,1000,1,D,14636.00,14197.00
Iranian.Falat,20210804,14207.00,14207.00,14207.00,14636.00,223817078,15754,3,D,14646.00,14207.00
Iranian.Falat,20210803,14208.00,14208.00,14208.00,14646.00,27506688,1936,1,D,14647.00,14208.00
Iranian.Falat,20210802,13932.00,13932.00,13932.00,14647.00,233361000,16750,11,D,14665.00,13932.00
Iranian.Falat,20210801,14273.00,14273.00,14273.00,14665.00,1084690908,75996,10,D,14714.00,14273.00
Iranian.Falat,20210731,14274.00,14274.00,14274.00,14714.00,29404440,2060,3,D,14715.00,14274.00
Iranian.Falat,20210728,14286.00,14286.00,14286.00,14715.00,255747972,17902,7,D,14727.00,14286.00
Iranian.Falat,20210727,14005.00,14005.00,14005.00,14727.00,196070000,14000,6,D,14742.00,14005.00
Iranian.Falat,20210726,14304.00,14304.00,14304.00,14742.00,80431392,5623,6,D,14746.00,14304.00
Iranian.Falat,20210719,14364.00,14364.00,14364.00,14746.00,1333094112,92808,15,D,14808.00,14364.00
Iranian.Falat,20210718,14365.00,14365.00,14365.00,14808.00,14365000,1000,2,D,14809.00,14365.00
Iranian.Falat,20210717,14229.00,14229.00,14229.00,14809.00,2127961179,149551,27,D,14977.00,14229.00
Iranian.Falat,20210714,14650.00,14650.00,14650.00,14977.00,2681155100,183014,20,D,15103.00,14650.00
Iranian.Falat,20210713,14653.00,14653.00,14653.00,15103.00,73265000,5000,3,D,15106.00,14653.00
Iranian.Falat,20210712,14680.00,14680.00,14680.00,15106.00,575015600,39170,14,D,15133.00,14680.00
Iranian.Falat,20210711,14383.00,14383.00,14383.00,15133.00,70749977,4919,6,D,15139.00,14383.00
Iranian.Falat,20210710,14690.00,14690.00,14690.00,15139.00,104299000,7100,5,D,15144.00,14690.00
Iranian.Falat,20210707,14690.00,14690.00,14690.00,15144.00,7345000,500,1,D,15144.00,14690.00
Iranian.Falat,20210706,14708.00,14708.00,14708.00,15144.00,387070436,26317,11,D,15162.00,14708.00
Iranian.Falat,20210705,14436.00,14436.00,14436.00,15162.00,413028396,28611,11,D,15195.00,14436.00
Iranian.Falat,20210703,14746.00,14746.00,14746.00,15195.00,158298310,10735,3,D,15202.00,14746.00
Iranian.Falat,20210630,14747.00,14747.00,14747.00,15202.00,29125325,1975,3,D,15203.00,14747.00
Iranian.Falat,20210628,14747.00,14747.00,14747.00,15203.00,5898800,400,2,D,15203.00,14747.00
Iranian.Falat,20210627,14748.00,14748.00,14748.00,15203.00,14748000,1000,1,D,15204.00,14748.00
Iranian.Falat,20210626,14765.00,14765.00,14765.00,15204.00,366806895,24843,4,D,15221.00,14765.00
Iranian.Falat,20210623,14462.00,14462.00,14462.00,15221.00,24831254,1717,3,D,15223.00,14462.00
Iranian.Falat,20210622,14768.00,14768.00,14768.00,15223.00,18164640,1230,3,D,15224.00,14768.00
Iranian.Falat,20210621,14770.00,14770.00,14770.00,15224.00,49479500,3350,3,D,15226.00,14770.00
Iranian.Falat,20210620,14771.00,14771.00,14771.00,15226.00,14771000,1000,2,D,15227.00,14771.00
Iranian.Falat,20210619,14468.00,14468.00,14468.00,15227.00,21702000,1500,3,D,15229.00,14468.00
Iranian.Falat,20210616,14774.00,14774.00,14774.00,15229.00,20594956,1394,2,D,15230.00,14774.00
Iranian.Falat,20210615,14775.00,14775.00,14775.00,15230.00,14775000,1000,1,D,15231.00,14775.00
Iranian.Falat,20210614,14776.00,14776.00,14776.00,15231.00,14776000,1000,1,D,15232.00,14776.00
Iranian.Falat,20210613,14471.00,14471.00,14471.00,15232.00,5064850,350,1,D,15232.00,14471.00
Iranian.Falat,20210612,14778.00,14778.00,14778.00,15232.00,66604446,4507,2,D,15235.00,14778.00
Iranian.Falat,20210609,14778.00,14778.00,14778.00,15235.00,5911200,400,1,D,15235.00,14778.00
Iranian.Falat,20210607,14475.00,14475.00,14475.00,15235.00,16081725,1111,1,D,15236.00,14475.00
Iranian.Falat,20210602,14780.00,14780.00,14780.00,15236.00,20692000,1400,2,D,15237.00,14780.00
Iranian.Falat,20210601,14781.00,14781.00,14781.00,15237.00,14781000,1000,1,D,15238.00,14781.00
Iranian.Falat,20210531,14782.00,14782.00,14782.00,15238.00,14782000,1000,1,D,15239.00,14782.00
Iranian.Falat,20210526,14480.00,14480.00,14480.00,15239.00,34274160,2367,2,D,15242.00,14480.00
Iranian.Falat,20210522,14481.00,14481.00,14481.00,15242.00,16088391,1111,1,D,15243.00,14481.00
Iranian.Falat,20210519,14786.00,14786.00,14786.00,15243.00,5618680,380,1,D,15243.00,14786.00
Iranian.Falat,20210518,14787.00,14787.00,14787.00,15243.00,11962683,809,2,D,15244.00,14787.00
Iranian.Falat,20210517,14934.00,14934.00,14934.00,15244.00,3136140000,210000,10,D,15395.00,14934.00
Iranian.Falat,20210516,14861.00,14861.00,14861.00,15395.00,3007866400,202400,3,D,15643.00,14861.00
Iranian.Falat,20210512,15331.00,15331.00,15331.00,15643.00,10041805,655,1,D,15643.00,15331.00
Iranian.Falat,20210511,15331.00,15331.00,15331.00,15643.00,23211134,1514,2,D,15643.00,15331.00
Iranian.Falat,20210510,15019.00,15019.00,15019.00,15643.00,30293323,2017,4,D,15644.00,15019.00
Iranian.Falat,20210503,15020.00,15020.00,15020.00,15644.00,22214580,1479,3,D,15645.00,15020.00
Iranian.Falat,20210428,15333.00,15333.00,15333.00,15645.00,15302334,998,2,D,15645.00,15333.00
Iranian.Falat,20210427,15021.00,15021.00,15021.00,15645.00,21044421,1401,3,D,15646.00,15021.00
Iranian.Falat,20210426,15334.00,15334.00,15334.00,15646.00,5060220,330,2,D,15646.00,15334.00
Iranian.Falat,20210424,15335.00,15335.00,15335.00,15646.00,55957415,3649,2,D,15647.00,15335.00
Iranian.Falat,20210403,15253.00,15253.00,15253.00,15697.00,5789382921,379557,48,D,15888.00,15253.00
Iranian.Falat,20210331,15617.00,15617.00,15617.00,15888.00,2993529028,191684,29,D,15935.00,15617.00
Iranian.Falat,20210330,15705.00,15705.00,15705.00,15935.00,5698449315,362843,42,D,16025.00,15705.00
Iranian.Falat,20210328,16439.00,16439.00,15643.00,16025.00,24117714830,1504998,527,D,15962.00,15643.00
Iranian.Falat,20210327,15583.00,16050.00,15583.00,15962.00,37324069519,2338353,1021,D,15583.00,16050.00
Iranian.Falat,20210317,15668.00,15668.00,14980.00,15583.00,83532778279,5360355,1366,D,15212.00,15668.00
Iranian.Falat,20210316,15180.00,15231.00,14603.00,15212.00,32722841347,2151076,485,D,14506.00,15231.00
Iranian.Falat,20210315,14173.00,14529.00,14173.00,14506.00,29370337776,2024679,614,D,14106.00,14529.00
Iranian.Falat,20210314,14134.00,14134.00,13805.00,14106.00,63062997555,4470522,1250,D,13723.00,14134.00
Iranian.Falat,20210313,13170.00,13832.00,13170.00,13723.00,22161407114,1614895,379,D,13430.00,13832.00
Iranian.Falat,20210310,13295.00,13564.00,13294.00,13430.00,10386508547,780790,239,D,13565.00,13294.00
Iranian.Falat,20210309,13900.00,13900.00,13324.00,13565.00,17160986528,1265704,499,D,13595.00,13351.00
Iranian.Falat,20210308,13232.00,13638.00,13232.00,13595.00,30950583352,2276545,517,D,13241.00,13638.00
Iranian.Falat,20210307,13231.00,13470.00,13231.00,13241.00,35619403190,2690118,443,D,13501.00,13232.00
Iranian.Falat,20210306,13800.00,13800.00,12870.00,13501.00,50980057917,3776114,944,D,13143.00,13130.00
Iranian.Falat,20210303,13152.00,13152.00,13090.00,13143.00,19685586244,1496778,313,D,12769.00,13152.00
Iranian.Falat,20210302,12868.00,12868.00,12800.00,12769.00,14558684374,1131472,229,D,12494.00,12868.00
Iranian.Falat,20210301,12103.00,12720.00,12103.00,12494.00,26436921943,2116040,390,D,12350.00,12720.00
Iranian.Falat,20210228,12319.00,12758.00,12319.00,12350.00,36208555505,2931906,559,D,12570.00,12319.00
Iranian.Falat,20210227,12610.00,13000.00,12523.00,12570.00,23552874319,1873797,344,D,13044.00,12523.00
Iranian.Falat,20210224,13050.00,13390.00,13003.00,13044.00,18588769339,1426197,335,D,13268.00,13003.00
Iranian.Falat,20210223,13262.00,13446.00,13262.00,13268.00,20295858209,1529713,302,D,13532.00,13262.00
Iranian.Falat,20210222,13375.00,13645.00,13375.00,13532.00,9498678254,708610,201,D,13647.00,13375.00
Iranian.Falat,20210221,14100.00,14200.00,13215.00,13647.00,86063701691,6306235,1184,D,13765.00,13350.00
Iranian.Falat,20210220,13821.00,13821.00,13170.00,13765.00,56378383257,4095748,786,D,13419.00,13821.00
