<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Gazlouleh,20210921,28786.00,29300.00,28786.00,29044.00,6915684143,240072,80,D,29676.00,28786.00
Gazlouleh,20210920,29663.00,30500.00,29663.00,29676.00,12840320694,432684,199,D,30580.00,29663.00
Gazlouleh,20210919,31989.00,31989.00,30127.00,30580.00,27816193963,909634,498,D,31058.00,30127.00
Gazlouleh,20210918,30280.00,31168.00,30261.00,31058.00,10822276966,348452,195,D,30261.00,31168.00
Gazlouleh,20210914,30288.00,30288.00,29420.00,30261.00,10798847526,356764,177,D,29406.00,30288.00
Gazlouleh,20210913,29100.00,29969.00,28225.00,29406.00,24611284416,836939,500,D,29097.00,29967.00
Gazlouleh,20210912,28700.00,29314.00,28300.00,29097.00,21381619899,734837,517,D,28461.00,29314.00
Gazlouleh,20210911,28580.00,28590.00,27252.00,28461.00,20642965876,725312,235,D,27758.00,28590.00
Gazlouleh,20210908,26310.00,27897.00,26310.00,27758.00,23168957367,834684,289,D,27085.00,27897.00
Gazlouleh,20210907,27500.00,27700.00,26520.00,27085.00,15480762223,571554,230,D,27174.00,27090.00
Gazlouleh,20210906,27500.00,28038.00,26513.00,27174.00,8847443075,325745,252,D,27256.00,27000.00
Gazlouleh,20210905,26900.00,27659.00,26110.00,27256.00,28710924535,1053378,462,D,26854.00,27659.00
Gazlouleh,20210904,25750.00,27300.00,25718.00,26854.00,18946785281,705542,296,D,26513.00,27000.00
Gazlouleh,20210901,26988.00,27400.00,26265.00,26513.00,16674919503,628925,344,D,27077.00,26900.00
Gazlouleh,20210831,27650.00,28425.00,26771.00,27077.00,21443043838,791932,453,D,27598.00,26771.00
Gazlouleh,20210830,28738.00,28738.00,27493.00,27598.00,13196901490,478178,167,D,28343.00,27887.00
Gazlouleh,20210829,27456.00,28710.00,27120.00,28343.00,12396948184,437388,306,D,27948.00,28150.00
Gazlouleh,20210828,27886.00,28090.00,27006.00,27948.00,21060427647,753560,438,D,27272.00,27860.00
Gazlouleh,20210825,28739.00,28739.00,27065.00,27272.00,38483426261,1411112,549,D,27902.00,27065.00
Gazlouleh,20210824,28339.00,28339.00,27531.00,27902.00,4953898863,174920,79,D,27514.00,28338.00
Gazlouleh,20210815,26914.00,26914.00,26914.00,27514.00,2654097196,98614,46,D,27746.00,26914.00
Gazlouleh,20210814,27500.00,28301.00,27452.00,27746.00,6680892346,242992,86,D,28301.00,27452.00
Gazlouleh,20210811,28410.00,29440.00,28213.00,28301.00,12353009383,436492,319,D,29085.00,28213.00
Gazlouleh,20210810,29844.00,30400.00,28985.00,29085.00,24444397330,840461,404,D,29881.00,28985.00
Gazlouleh,20210809,30290.00,30425.00,28653.00,29881.00,23935853486,801041,389,D,29539.00,29510.00
Gazlouleh,20210808,29559.00,29559.00,29058.00,29539.00,24961997713,845047,326,D,28699.00,29559.00
Gazlouleh,20210807,28058.00,29792.00,28058.00,28699.00,26277771760,915623,376,D,28925.00,29792.00
Gazlouleh,20210804,28511.00,29800.00,28511.00,28925.00,5228433325,183040,127,D,29392.00,28511.00
Gazlouleh,20210803,29175.00,30000.00,29175.00,29392.00,7422845455,254174,142,D,30077.00,29175.00
Gazlouleh,20210802,31287.00,31287.00,29465.00,30077.00,20759581012,690208,323,D,30376.00,29466.00
Gazlouleh,20210801,31000.00,31045.00,29238.00,30376.00,24166050160,795551,352,D,30141.00,30817.00
Gazlouleh,20210731,29317.00,32403.00,29317.00,30141.00,21213639357,703805,356,D,30860.00,29900.00
Gazlouleh,20210728,30019.00,30019.00,30019.00,30860.00,886431051,29529,23,D,30947.00,30019.00
Gazlouleh,20210727,30135.00,30135.00,30135.00,30947.00,1214651445,40307,24,D,31067.00,30135.00
Gazlouleh,20210726,32699.00,32699.00,30897.00,31067.00,14610463243,470286,266,D,31852.00,30897.00
Gazlouleh,20210719,30859.00,32751.00,30845.00,31852.00,73316407566,2301809,804,D,31798.00,32000.00
Gazlouleh,20210718,31860.00,31860.00,31258.00,31798.00,11141893850,350401,148,D,30343.00,31860.00
Gazlouleh,20210717,30362.00,30362.00,30360.00,30343.00,10077230892,331903,159,D,29478.00,30362.00
Gazlouleh,20210714,29522.00,29522.00,28200.00,29478.00,14915568716,505986,167,D,28663.00,29522.00
Gazlouleh,20210713,28808.00,28808.00,27130.00,28663.00,14297199307,498807,195,D,27969.00,28808.00
Gazlouleh,20210712,28018.00,28018.00,27250.00,27969.00,10125511818,362026,227,D,27202.00,28018.00
Gazlouleh,20210711,26400.00,27843.00,26250.00,27202.00,17005380577,625146,304,D,27033.00,27770.00
Gazlouleh,20210710,28390.00,28390.00,26801.00,27033.00,25686720208,950216,438,D,27629.00,26810.00
Gazlouleh,20210707,27755.00,27755.00,26948.00,27629.00,38521823585,1394252,438,D,26947.00,27755.00
Gazlouleh,20210706,27309.00,27309.00,27309.00,26947.00,6115167825,223925,47,D,26514.00,27309.00
Gazlouleh,20210705,26609.00,26609.00,26609.00,26514.00,10109903287,379943,31,D,25342.00,26609.00
