<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iranian.Inv.Co,20210921,3512.00,3540.00,3348.00,3445.00,21441487496,6223838,371,D,3451.00,3503.00
Iranian.Inv.Co,20210920,3313.00,3480.00,3313.00,3451.00,10480989537,3036669,184,D,3381.00,3480.00
Iranian.Inv.Co,20210919,3475.00,3475.00,3308.00,3381.00,6392949579,1898700,198,D,3410.00,3420.00
Iranian.Inv.Co,20210918,3511.00,3578.00,3406.00,3410.00,22243749918,6523579,208,D,3511.00,3454.00
Iranian.Inv.Co,20210915,3595.00,3595.00,3400.00,3511.00,9736904949,2772035,281,D,3491.00,3540.00
Iranian.Inv.Co,20210914,3475.00,3520.00,3401.00,3491.00,10343048524,2962753,267,D,3420.00,3449.00
Iranian.Inv.Co,20210913,3599.00,3599.00,3394.00,3420.00,22368342662,6541100,252,D,3498.00,3394.00
Iranian.Inv.Co,20210912,3539.00,3539.00,3400.00,3498.00,27683653466,7914970,468,D,3436.00,3497.00
Iranian.Inv.Co,20210911,3469.00,3469.00,3469.00,3436.00,6958689116,2005964,107,D,3368.00,3469.00
Iranian.Inv.Co,20210908,3239.00,3439.00,3239.00,3368.00,23638501840,7018836,555,D,3339.00,3439.00
Iranian.Inv.Co,20210907,3395.00,3395.00,3306.00,3339.00,7043128943,2125904,142,D,3408.00,3306.00
Iranian.Inv.Co,20210906,3560.00,3560.00,3404.00,3408.00,20499199521,6015146,408,D,3509.00,3404.00
Iranian.Inv.Co,20210905,3588.00,3589.00,3422.00,3509.00,14667143322,4179561,336,D,3485.00,3450.00
Iranian.Inv.Co,20210904,3540.00,3541.00,3386.00,3485.00,14725775123,4225965,371,D,3438.00,3541.00
Iranian.Inv.Co,20210901,3423.00,3526.00,3327.00,3438.00,14104961599,4102699,358,D,3424.00,3526.00
Iranian.Inv.Co,20210831,3421.00,3527.00,3421.00,3424.00,9553303798,2790262,281,D,3601.00,3421.00
Iranian.Inv.Co,20210830,3511.00,3512.00,3511.00,3601.00,1557727149,443664,59,D,3619.00,3511.00
Iranian.Inv.Co,20210829,3616.00,3724.00,3616.00,3619.00,19544486390,5400181,536,D,3727.00,3616.00
Iranian.Inv.Co,20210828,3874.00,3874.00,3651.00,3727.00,20115010576,5397591,753,D,3763.00,3651.00
Iranian.Inv.Co,20210825,3739.00,3802.00,3622.00,3763.00,45861798005,12189045,698,D,3692.00,3802.00
Iranian.Inv.Co,20210824,3694.00,3749.00,3553.00,3692.00,30374628401,8227590,517,D,3642.00,3612.00
Iranian.Inv.Co,20210823,3637.00,3680.00,3501.00,3642.00,32871686046,9025641,518,D,3573.00,3600.00
Iranian.Inv.Co,20210822,3500.00,3659.00,3481.00,3573.00,67607161285,18920038,903,D,3553.00,3600.00
Iranian.Inv.Co,20210815,3537.00,3631.00,3537.00,3553.00,21878793913,6157109,317,D,3646.00,3537.00
Iranian.Inv.Co,20210814,3737.00,3737.00,3574.00,3646.00,5055808019,1400447,136,D,3684.00,3574.00
Iranian.Inv.Co,20210811,3697.00,3697.00,3570.00,3684.00,58573152541,15898232,440,D,3521.00,3697.00
Iranian.Inv.Co,20210810,3521.00,3521.00,3521.00,3521.00,11472893299,3258419,74,D,3419.00,3521.00
Iranian.Inv.Co,20210809,3505.00,3505.00,3505.00,3419.00,1752868025,500105,24,D,3403.00,3505.00
Iranian.Inv.Co,20210808,3490.00,3490.00,3490.00,3403.00,1579790380,452662,35,D,3389.00,3490.00
Iranian.Inv.Co,20210807,3460.00,3460.00,3460.00,3389.00,9052885860,2616441,48,D,3091.00,3460.00
Iranian.Inv.Co,20210718,7491.00,7491.00,7491.00,7672.00,2046578655,273205,61,D,7722.00,7491.00
Iranian.Inv.Co,20210717,7780.00,8000.00,7712.00,7722.00,12454158990,1612782,192,D,7950.00,7712.00
Iranian.Inv.Co,20210714,8080.00,8080.00,7843.00,7950.00,7820635770,978572,221,D,7854.00,7919.00
Iranian.Inv.Co,20210713,7590.00,7919.00,7590.00,7854.00,27563664485,3509394,422,D,7689.00,7919.00
Iranian.Inv.Co,20210712,7732.00,7732.00,7611.00,7689.00,9865429534,1280194,231,D,7507.00,7732.00
Iranian.Inv.Co,20210711,7300.00,7525.00,7300.00,7507.00,11215932822,1494121,165,D,7306.00,7525.00
Iranian.Inv.Co,20210710,7473.00,7473.00,7124.00,7306.00,11971588580,1638496,254,D,7118.00,7276.00
Iranian.Inv.Co,20210707,7130.00,7148.00,6800.00,7118.00,16991672320,2387281,232,D,6940.00,7148.00
Iranian.Inv.Co,20210706,6945.00,6945.00,6743.00,6940.00,14492319331,2088299,163,D,6743.00,6945.00
Iranian.Inv.Co,20210705,6680.00,6760.00,6471.00,6743.00,11087587706,1644286,250,D,6564.00,6760.00
Iranian.Inv.Co,20210704,6670.00,6670.00,6391.00,6564.00,10930466652,1665254,218,D,6497.00,6518.00
